FILE_NUMBER,WATER_SOURCE_ID,WITHDRAWAL_WATER_BODY_NAME,WATER_CASE_ID,FILE_TYPE_x,CUSTOMER_NAME_x,TOTAL_PERMIT_QTY,TOTAL_PERMIT_QTY_UNIT,REPORT_FREQ,REPORT_INTERVAL,WATER_CASE_VERIFIED,WATER_SOURCE_TYPE,SOURCE_TYPE,WATER_TYPE,AQUIFER,REAA,ACTIVE_SOURCE,SOURCE_NOTES,HYDROLOGIC_UNIT_CODE,STATE_USE_SOURCE,STATE_USE,WUC_CODE_DESC,WUC_CODE_DESC_SOURCE,USGS_USE,USGS_AREA,BOROUGH,WATER_SOURCE_VERIFIED,INTAKE_NAME,INTAKE_LOCATION,INTAKE_NOTES,WELL_DEPTH,CASING_DEPTH,OPEN_INTERVALS,LAND_SURFACE_ELEVATION_FT,LAND_SURFACE_ELEVATION_SOURCE,WELL_INFO_SOURCE,ACTIVE_INTAKE,SOURCE_INTAKE_VERIFIED,METHODOLOGY,DAILY_PEAK_QTY_UNIT,WATER_SOURCE_USAGE_VERIFIED,FILE_TYPE_y,Priority Date,CUSTOMER_NAME_y,wswc_long,wswc_lat,wswc_QTY,wswc_SiteNativeID
32259,58562,Big Creek Well,58561,LAS,"BIG CREEK FISHERIES, LLC",23910000.0,gallons,Y,M,T,well,ground,fresh,,,T,USS 7017,,las,,,las,,,,T,Big Creek Well,,,,,,,dem,,T,T,metered,gallons,T,,,,,,73.37715990000001,
32346,10009,UAA Consortium Library,9994,LAS,"UAA, FACILITIES & LAND MANAGEMENT",52596000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,AS124,,,,,,,dem,,T,T,metered,gallons,T,,,,,,161.41133844,
39797,2067,Pillar Creek,841,ADL,KODIAK CITY OF,91250000.0,gallons,M,M,T,creek,surface,fresh,,,T,,19020701.0,hardcopy,Water Supply,Public (Municipal) Community,hardcopy,,,BKO,T,Pillar Creek,POINT (-152.440819245999 57.8012235722),,0.0,0.0,,0.0,,,T,T,metered,gallons,T,,,,-152.440819245999,57.8012235722,280.03621250000003,WaDEAK_S182
40250,10642,"Drilled Wells, 260 ft USS1095",10640,ADL,TESORO ALASKA PETROLEUM COMPANY,4730400.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,"Drilled Wells, 260 ft USS1095",POINT (-151.386140426999 60.6811842676999),,,,,,dem,,T,T,metered,gallons,T,,,,-151.386140426999,60.6811842676999,14.517077256,WaDEAK_S183
40315,12117,Well B,12108,ADL,SOLDOTNA CITY OF,36500000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Well B,,,,,,,dem,,T,T,metered,gallons,T,,,,,,112.01448500000001,
42514,55757,Wells (Combined use of Wells (1&5)_ 6_ (7_15 &16) and (10_12 & 14),55756,ADL,"AGRIUM, U.S., INC.",788396494.5,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,wells,POINT (-151.336107602999 60.6750483193999),,,,,,dem,,T,T,metered,gallons,T,,,,-151.336107602999,60.6750483193999,2419.502118006105,WaDEAK_S185
42595,2043,Ram's Creek,2042,ADL,KING COVE CITY OF,52560000.0,gallons,M,M,T,creek,surface,fresh,,,T,,19030101.0,hardcopy,Water Supply,Public (Municipal) Community,hardcopy,,,BAE,T,Ram's Creek,POINT (-162.321596857999 55.0599314687),,0.0,0.0,,0.0,,,T,T,metered,gallons,T,,,,-162.321596857999,55.0599314687,161.3008584,WaDEAK_S186
42925,221,Monashka Creek,201,ADL,KODIAK CITY OF,152083333.0,gallons,M,M,T,lake,surface,fresh,,,T,,19020701.0,hardcopy,Water Supply,Public (Municipal) Community,hardcopy,,,BKO,T,Monashka Creek,POINT (-152.45973014622 57.8427699317965),,0.0,0.0,,0.0,,,T,T,metered,gallons,T,,,,-152.45973014622,57.8427699317965,466.72701981037,WaDEAK_S187
42925,18022,Monashka Creek #1,201,ADL,KODIAK CITY OF,152083333.0,gallons,M,M,T,river,surface,fresh,,,T,,,las,,,las,,,,T,Monashka Creek #1,POINT (-152.462151132 57.8423122849999),,,,,,dem,,T,T,metered,gallons,T,,,,-152.462151132,57.8423122849999,466.72701981037,WaDEAK_S188
43058,12685,Long Lake,12679,ADL,DCCED ALASKA INDUSTRIAL DEV EXPORT AUTH AEA,547500.0,acre_feet,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Snettisham project,,,,,,,dem,,T,T,estimated,gallons,T,,,,,,1.680217275,
43671,13862,Indian River,13861,ADL,SITKA SOUND SCIENCE CENTER,30.0,cubic_feet,M,M,T,river,surface,fresh,,,T,,,las,,,las,,,,T,Indian River,POINT (-135.312847194 57.0541934126),,,,,,dem,,T,T,metered,gallons,T,,,,-135.312847194,57.0541934126,9.20667e-05,WaDEAK_S190
43672,12802,Indian River #2,12801,ADL,SITKA CITY AND BOR,1277500000.0,gallons,M,M,T,river,surface,fresh,,,T,,,las,,,las,,,,T,Indian River #2,POINT (-135.305958272 57.0594560894),,,,,,dem,,T,T,metered,gallons,T,,,,-135.305958272,57.0594560894,3920.5069750000002,WaDEAK_S191
43672,12803,Indian River #3,12801,ADL,SITKA CITY AND BOR,1277500000.0,gallons,M,M,T,river,surface,fresh,,,T,,,las,,,las,,,,T,Indian River #3,POINT (-135.305958272 57.0594560894),,,,,,dem,,T,T,metered,gallons,T,,,,-135.305958272,57.0594560894,3920.5069750000002,WaDEAK_S192
43672,12804,Indian River #4,12801,ADL,SITKA CITY AND BOR,1277500000.0,gallons,M,M,T,river,surface,fresh,,,T,,,las,,,las,,,,T,Indian River #4,POINT (-135.305958272 57.0594560894),,,,,,dem,,T,T,metered,gallons,T,,,,-135.305958272,57.0594560894,3920.5069750000002,WaDEAK_S193
43826,12809,Blue Lake 4 - SMCIP ,12808,ADL,SITKA CITY AND BOR,11313996605.0,gallons,M,M,T,lake,surface,fresh,,,T,,,las,,,las,,,,T,Blue Lake 4 - SMCIP ,POINT (-135.200249192 57.0637909010999),,,,,,dem,,T,T,metered,gallons,T,,,,-135.200249192,57.0637909010999,34721.41104111845,WaDEAK_S194
43826,12810,Blue Lake 5 - SMCIP ,12808,ADL,SITKA CITY AND BOR,11313996605.0,gallons,M,M,T,lake,surface,fresh,,,T,,,las,,,las,,,,T,Blue Lake 5 - SMCIP ,POINT (-135.200249192 57.0637909010999),,,,,,dem,,T,T,metered,gallons,T,,,,-135.200249192,57.0637909010999,34721.41104111845,WaDEAK_S195
43826,12811,Hatchery 6- NSRAA ,12808,ADL,SITKA CITY AND BOR,11313996605.0,gallons,M,M,T,lake,surface,fresh,,,T,,,las,,,las,,,,T,Hatchery 6- NSRAA ,POINT (-135.200249192 57.0637909010999),,,,,,dem,,T,T,metered,gallons,T,,,,-135.200249192,57.0637909010999,34721.41104111845,WaDEAK_S196
43982,53455,Dewey Lake,53450,ADL,ALASKA POWER & TELEPHONE CO,9123828.0,gallons,M,M,T,lake,surface,fresh,,,T,,,las,,,las,,,,T,Dewey Lake,,,,,,,dem,,T,T,metered,gallons,T,,,,,,28.00002451092,
43982,53455,Dewey Lake,53450,ADL,ALASKA POWER & TELEPHONE CO,9123828.0,gallons,M,M,T,lake,surface,fresh,,,T,,,las,,,las,,,,T,Dewey Lake,,,,,,,dem,,T,T,estimated,acre_feet,T,,,,,,28.00002451092,
43985,12739,"Wells, Dewey Lake & W Creek",12738,ADL,SKAGWAY CITY OF,183960000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,"Wells, Dewey Lake & W Creek",,,,,,,dem,,T,T,estimated,gallons,T,,,,,,564.5530044,
44197,37223,ER #07 SUNNY SLOPE,37207,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,8030000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,ER #07 SUNNY SLOPE,,,,,,,dem,,T,T,metered,gallons,T,,,,,,24.6431867,
44439,19980,"Wells #1, 2, 4, 5 & #3 Bypass",19973,ADL,JUNEAU CITY AND BOR,1297481378.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,"Wells #1, 2, 4, 5 & #3 Bypass",POINT (-134.398233666 58.3068490105),,,,,,dem,,T,T,metered,gallons,T,,,,-134.398233666,58.3068490105,3981.82762613042,WaDEAK_S200
44626,37225,CITY WELL NO. 01 - AIRPORT HEIGHTS ,37208,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,4015000000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,CITY WELL NO. 01 - AIRPORT HEIGHTS ,,,,,,,dem,,T,T,metered,gallons,T,,,,,,12321.593350000001,
44626,37226,CITY WELL NO. 02 - MERRILL FIELD,37208,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,4015000000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,CITY WELL NO. 02 - MERRILL FIELD,,,,,,,dem,,T,T,metered,gallons,T,,,,,,12321.593350000001,
44626,37227,CITY WELL NO. 03 -CONCRETE STREET,37208,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,4015000000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,CITY WELL NO. 03 -CONCRETE STREET,,,,,,,dem,,T,T,metered,gallons,T,,,,,,12321.593350000001,
44626,37228,CITY WELL NO. 04 - COMMERCIAL DRIVE,37208,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,4015000000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,CITY WELL NO. 04 - COMMERCIAL DRIVE,,,,,,,dem,,T,T,metered,gallons,T,,,,,,12321.593350000001,
44626,37229,CITY WELL NO. 05 - ARCTIC BOULEVARD,37208,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,4015000000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,CITY WELL NO. 05 - ARCTIC BOULEVARD,,,,,,,dem,,T,T,metered,gallons,T,,,,,,12321.593350000001,
44626,37230,CITY WELL NO. 06 - NORTHWOOD DRIVE,37208,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,4015000000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,CITY WELL NO. 06 - NORTHWOOD DRIVE,,,,,,,dem,,T,T,metered,gallons,T,,,,,,12321.593350000001,
44626,37231,CITY WELL NO. 08 - GOOSE LAKE,37208,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,4015000000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,CITY WELL NO. 08 - GOOSE LAKE,,,,,,,dem,,T,T,metered,gallons,T,,,,,,12321.593350000001,
44626,37232,GIRDWOOD #2,37208,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,4015000000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,GIRDWOOD #2,,,,,,,dem,,T,T,metered,gallons,T,,,,,,12321.593350000001,
44626,37233,SHIP CREEK WTF,37208,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,4015000000.0,gallons,M,M,T,river,surface,fresh,,,T,,,las,,,las,,,,T,SHIP CREEK WTF,,,,,,,dem,,T,T,metered,gallons,T,,,,,,12321.593350000001,
45127,37251,CITY WELL NO. 44 - BROOKWOOD NO. 1,37243,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,27151593.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,CITY WELL NO. 44 - BROOKWOOD NO. 1,,,,,,,dem,,T,T,metered,gallons,T,,,,,,83.32525224177,
45420,37253,CITY WELL NO. 34 - HOLLOWBROOK,37244,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,18250000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,CITY WELL NO. 34 - HOLLOWBROOK,,,,,,,dem,,T,T,metered,gallons,T,,,,,,56.007242500000004,
45780,12683,Salmon Creek,12677,ADL,ALASKA ELECTRIC LIGHT & POWERCOMPANY,28308684600.0,gallons,M,M,T,creek,surface,fresh,,,T,,,las,,,las,,,,T,Salmon Creek Reservoir,,,,,,,dem,,T,T,metered,gallons,T,,,,,,86876.239082094,
45781,12681,Annex Creek Development,12678,ADL,ALASKA ELECTRIC LIGHT & POWERCOMPANY,17457022170.0,gallons,M,M,T,creek,surface,fresh,,,T,,,las,,,las,,,,T,Annex Creek Development,,,,,,,dem,,T,T,metered,gallons,T,,,,,,53573.6807672913,
47223,1946,Meals Lake,1945,ADL,CORDOVA CITY OF,139284000.0,gallons,M,M,T,lake,surface,fresh,,RCH,T,,,hardcopy,Water Supply,Public (Municipal) Community,hardcopy,,,,T,Meals Lake,POINT (-145.749682188034 60.5310681491883),,0.0,0.0,,0.0,,,T,T,metered,gallons,T,,,,-145.749682188034,60.5310681491883,427.44727476,WaDEAK_S214
47229,26714,Fort Knox Mine,26713,ADL,ALASKA DEPARTMENT OF NATURAL RESOURCES,527039879.5,gallons,M,M,T,lake,surface,fresh,,,T,transfer from DNR,,las,,,las,,,,T,Freshwater Reservoir,,,,,,,dem,,T,T,estimated,gallons,T,,,,,,1617.427415798755,
47240,1944,Murcheson Falls,1943,ADL,CORDOVA CITY OF,354050000.0,gallons,M,M,T,lake,surface,fresh,,RCH,T,,19020104.0,las,,,las,,,,T,Murcheson Falls,POINT (-145.710554122925 60.5386254596079),,0.0,0.0,,0.0,,,T,T,metered,gallons,T,,,,-145.710554122925,60.5386254596079,1086.5405045,WaDEAK_S216
50905,37255,ARCTIC IND. #1,37245,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,420480000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,ARCTIC IND. #1,,,,,,,dem,,T,T,metered,gallons,T,,,,,,1290.4068672,
50906,37258,CITY WELL NO. 20 - CREEKSIDE PARK,37246,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,262800000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,CITY WELL NO. 20 - CREEKSIDE PARK,,,,,,,dem,,T,T,metered,gallons,T,,,,,,806.5042920000001,
50907,37260,CITY WELL NO. 40 - DIMOND,37247,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,289080000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,CITY WELL NO. 40 - DIMOND,,,,,,,dem,,T,T,metered,gallons,T,,,,,,887.1547212,
50908,37262,CITY WELL NO. 37 - CAMPBELL LAKE,37248,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,105120000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,CITY WELL NO. 37 - CAMPBELL LAKE,,,,,,,dem,,T,T,metered,gallons,T,,,,,,322.6017168,
50909,37264,CITY WELL NO. 27 - HOMESTEAD,37249,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,210240000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,CITY WELL NO. 27 - HOMESTEAD,,,,,,,dem,,T,T,metered,gallons,T,,,,,,645.2034336,
50910,37266,CITY WELL NO. 21 - KLUANE TERRACE,37250,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,170820000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,CITY WELL NO. 21 - KLUANE TERRACE,,,,,,,dem,,T,T,metered,gallons,T,,,,,,524.2277898,
50911,37276,CITY WELL NO. 33 - MESA VERDE,37268,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,18250000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,CITY WELL NO. 33 - MESA VERDE,,,,,,,dem,,T,T,metered,gallons,T,,,,,,56.007242500000004,
50913,37278,NUNAKA VALLEY #01,37269,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,99864000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,NUNAKA VALLEY #01,,,,,,,dem,,T,T,metered,gallons,T,,,,,,306.47163096,
50914,37280,CITY WELL NO. 23 - NUNAKA VALLEY,37270,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,99864000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,CITY WELL NO. 23 - NUNAKA VALLEY,,,,,,,dem,,T,T,metered,gallons,T,,,,,,306.47163096,
50915,37282,NUNAKA VALLEY #03,37271,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,99864000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,NUNAKA VALLEY #03,,,,,,,dem,,T,T,metered,gallons,T,,,,,,306.47163096,
50916,37284,PIERCE,37272,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,157680000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,PIERCE,,,,,,,dem,,T,T,metered,gallons,T,,,,,,483.9025752,
50917,37286,SCENIC PARK,37273,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,157680000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,SCENIC PARK,,,,,,,dem,,T,T,metered,gallons,T,,,,,,483.9025752,
50920,37288,CITY WELL NO. 22 - SHADY LANE,37274,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,210240000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,CITY WELL NO. 22 - SHADY LANE,,,,,,,dem,,T,T,metered,gallons,T,,,,,,645.2034336,
50920,37293,SHADY BIRCH TERRACE,37274,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,210240000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,SHADY BIRCH TERRACE,,,,,,,dem,,T,T,metered,gallons,T,,,,,,645.2034336,
50921,37290,SOUTHWOOD PARK,37275,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,52560000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,SOUTHWOOD PARK,,,,,,,dem,,T,T,metered,gallons,T,,,,,,161.3008584,
50923,37304,CITY WELL NO. 32 - STATE MANOR NO. 2,37296,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,252835500.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,CITY WELL NO. 32 - STATE MANOR NO. 2,,,,,,,dem,,T,T,metered,gallons,T,,,,,,775.924337595,
50924,37306,CITY WELL NO. 41 - TOWN AND COUNTRY,37297,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,105120000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,CITY WELL NO. 41 - TOWN AND COUNTRY,,,,,,,dem,,T,T,metered,gallons,T,,,,,,322.6017168,
50926,37308,CITY WELL NO. 26 - WICKERSHAM PARK,37298,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,315360000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,CITY WELL NO. 26 - WICKERSHAM PARK,,,,,,,dem,,T,T,metered,gallons,T,,,,,,967.8051504,
50927,37310,CITY WELL NO. 42 - WINDEMERE,37299,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,420480000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,CITY WELL NO. 42 - WINDEMERE,,,,,,,dem,,T,T,metered,gallons,T,,,,,,1290.4068672,
51543,12816,Blue Lake #1 UVD-221,12815,ADL,SITKA CITY AND BOR,11313996605.0,gallons,M,M,T,lake,surface,fresh,,,T,,,las,,,las,,,,T,Blue Lake #1 UVD-221,POINT (-135.200456094 57.063416644),,,,,,dem,,T,T,metered,gallons,T,,,,-135.200456094,57.063416644,34721.41104111845,WaDEAK_S236
51543,12817,Blue Lake #2 UVD-222,12815,ADL,SITKA CITY AND BOR,11313996605.0,gallons,M,M,T,lake,surface,fresh,,,T,,,las,,,las,,,,T,Blue Lake #2 UVD-222,POINT (-135.200456094 57.063416644),,,,,,dem,,T,T,metered,gallons,T,,,,-135.200456094,57.063416644,34721.41104111845,WaDEAK_S237
51543,12820,Blue Lake #3 UVD-223,12815,ADL,SITKA CITY AND BOR,11313996605.0,gallons,M,M,T,lake,surface,fresh,,,T,,,las,,,las,,,,T,Blue Lake #3 UVD-223,POINT (-135.200456094 57.063416644),,,,,,dem,,T,T,metered,gallons,T,,,,-135.200456094,57.063416644,34721.41104111845,WaDEAK_S238
51573,37312,ER #04 EAGLE RIVER HEIGHTS NORTH,37300,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,58400000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,ER #04 EAGLE RIVER HEIGHTS NORTH,,,,,,,dem,,T,T,metered,gallons,T,,,,,,179.223176,
52514,37314,ER #05 EAGLE RIVER HEIGHTS SOUTH,37301,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,5110000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,ER #05 EAGLE RIVER HEIGHTS SOUTH,,,,,,,dem,,T,T,metered,gallons,T,,,,,,15.682027900000001,
53258,25562,DRILLED WELL,25561,ADL,FORT YUKON CITY OF,1000000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,DRILLED WELL,POINT (-145.242637446 66.5626292317),,,,,,dem,,T,T,metered,gallons,T,,,,-145.242637446,66.5626292317,3.06889,WaDEAK_S241
53282,19424,Well # 1,19421,ADL,KENAI CITY OF,365000000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Well # 1,POINT (-151.156784159 60.5657078154999),,,,,,dem,,T,T,metered,gallons,T,,,,-151.156784159,60.5657078154999,1120.1448500000001,WaDEAK_S242
53282,19426,Well # 2A,19421,ADL,KENAI CITY OF,365000000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Well # 2A,POINT (-151.156784159 60.5657078154999),,,,,,dem,,T,T,metered,gallons,T,,,,-151.156784159,60.5657078154999,1120.1448500000001,WaDEAK_S243
53282,19427,Well # 2C,19421,ADL,KENAI CITY OF,365000000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Well # 2C,POINT (-151.156784159 60.5657078154999),,,,,,dem,,T,T,metered,gallons,T,,,,-151.156784159,60.5657078154999,1120.1448500000001,WaDEAK_S244
53285,28073,Crystal Creek Pond - Tailrace,28072,ADL,DFG SPORT FISH DIV REGION I,0.0,gallons,M,M,T,lake,surface,fresh,,,T,,,las,,,las,,,,T,Crystal Creek Pond - Tailrace,,,,,,,dem,,T,T,metered,gallons,T,,,,,,0.0,
53813,2081,Fire Well 3,1981,ADL,GOLDEN HEART UTILITIES,3495240000.0,gallons,M,M,T,well,ground,fresh,Tanana Basin Aquifer,,T,,19080306.0,las,Water Supply,Public (Municipal) Community,las,,,BFN,T,Fire Well 3,POINT (-147.74172234509 64.8467239864338),,0.0,0.0,,0.0,dem,,T,T,metered,gallons,T,,,,-147.74172234509,64.8467239864338,10726.5070836,WaDEAK_S246
53813,24942,Well #1,1981,ADL,GOLDEN HEART UTILITIES,3495240000.0,gallons,M,M,T,well,ground,fresh,,,T,"919800000 gpy
",,las,,,las,,,,T,Well #1,,,,,,,dem,,T,T,metered,gallons,T,,,,,,10726.5070836,
53813,24962,Well #2,1981,ADL,GOLDEN HEART UTILITIES,3495240000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Well #2,,,,,,,dem,,T,T,metered,gallons,T,,,,,,10726.5070836,
53813,24963,Well #3,1981,ADL,GOLDEN HEART UTILITIES,3495240000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Well #3,,,,,,,dem,,T,T,metered,gallons,T,,,,,,10726.5070836,
54850,37316,CITY WELL NO. 10 - NF CAMPBELL CREEK,37302,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,1576800000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,CITY WELL NO. 10 - NF CAMPBELL CREEK,,,,,,,dem,,T,T,metered,gallons,T,,,,,,4839.0257520000005,
54850,37318,CITY WELL NO. 11 - NF CAMPBELL CREEK,37302,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,1576800000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,CITY WELL NO. 11 - NF CAMPBELL CREEK,,,,,,,dem,,T,T,metered,gallons,T,,,,,,4839.0257520000005,
57174,10011,UAA Arts Bldg,9983,ADL,"UAA, FACILITIES & LAND MANAGEMENT",3001087.71,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,AS127,,,,,,,dem,,T,T,metered,gallons,T,,,,,,9.2100080623419,
59025,37320,WOODLAND LAKES,37303,ADL,KATHLEEN M KONICHEK,0.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,WOODLAND LAKES,,,,,,,dem,,T,T,metered,gallons,T,,,,,,0.0,
59925,37328,CITY WELL NO. 24 - CHUGACH FOOTHILLS,37322,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,157680000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,CITY WELL NO. 24 - CHUGACH FOOTHILLS,,,,,,,dem,,T,T,metered,gallons,T,,,,,,483.9025752,
61533,37330,GIRDWOOD #1,37323,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,43800000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,GIRDWOOD #1,,,,,,,dem,,T,T,metered,gallons,T,,,,,,134.417382,
62222,37332,CITY WELL NO. 25 - MILITARY NO. 1,37324,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,771245000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,CITY WELL NO. 25 - MILITARY NO. 1,,,,,,,dem,,T,T,metered,gallons,T,,,,,,2366.86606805,
63855,37334,CITY WELL NO. 28 - WINCHESTER,37325,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,14600000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,CITY WELL NO. 28 - WINCHESTER,,,,,,,dem,,T,T,metered,gallons,T,,,,,,44.805794,
64152,52105,Pump Station 3,52093,ADL,ALYESKA PIPELINE SERVICE COMPANY,2737500.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Pump Station 3,POINT (-149.375742557 68.4229494555),,,,,,dem,,T,T,metered,gallons,T,,,,-149.375742557,68.4229494555,8.401086375,WaDEAK_S258
64153,52107,Pump Station 3,52094,ADL,ALYESKA PIPELINE SERVICE COMPANY,2737500.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Pump Station 3,POINT (-148.813971622 68.8420778578),,,,,,dem,,T,T,metered,gallons,T,,,,-148.813971622,68.8420778578,8.401086375,WaDEAK_S259
65644,37336,ARCTIC IND. NO. 2,37326,ADL,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,262800000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,ARCTIC IND. NO. 2,,,,,,,dem,,T,T,metered,gallons,T,,,,,,806.5042920000001,
