FID,WRENAME,WRNAME,DWNAME,SYSTEMTYPE,WATERRESID,WRID,DWSYSNUM,WRLINK,WHOLESALER,LABEL,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,LANUM,LANAME,ENDYEAR,DATASOURCE,SOURCEDATE,EDITOR,EDITDATE,COLOR4,SHAPE_Length,SHAPE_Area
336,West Bountiful City Water System,West Bountiful Cul. Water System,West Bountiful Water Sys,C,274,1059,UTAH06014,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1059, , ,Utah,Davis,Weber River,02-01-09,East Shore,02-01-09a,East Shore,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.192354995788878,0.000866118373643956
337,Coalville City Water System,Coalville Culinary Water,Coalville City Water System,C,1071,1151,UTAH22002,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1151, , ,Utah,Summit,Weber River,02-01-03,Chalk Creek,02-01-03a,Chalk Creek,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.170958309733504,0.00103780807900011
338,Centerville City Water System,Centerville Culinary Water System,Centerville City Water System,C,261,1090,UTAH06001,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1090, , ,Utah,Davis,Weber River,02-01-09,East Shore,02-01-09a,East Shore,2018,DWRe/Supplier,2018/03/09 00:00:00,ADAMCLARK,2019/10/16 00:00:00,,0.192470676498254,0.00120919845367154
339,Dutch John Town Water System,Daggett County/Dutch John Town Water System,Dutch John Town Water System,C,229,11144,UTAH05001,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11144, , ,Utah,Daggett,Uintah,07-01-05,Flaming Gorge Reservoir,07-01-05a,Flaming Gorge Reservoir,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.303835276784863,0.00267113781918002
340,Echo Mutual Water System,Echo Mutual Water Company,Echo Mutual Water System,C,1072,1233,UTAH22003,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1233, , ,Utah,Summit,Weber River,02-01-04,Echo,02-01-04a,Echo,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.0747643039293041,0.000266682300285532
341,Manila Town Water System,Manila Town Water System,Manila Town Water System,C,231,1173,UTAH05003,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1173, , ,Utah,Daggett,Uintah,07-01-05,Flaming Gorge Reservoir,07-01-05a,Flaming Gorge Reservoir,2018,DWRe/Supplier,2018/12/05 00:00:00,ADAMCLARK,2019/10/16 00:00:00,,0.234431940992439,0.00203204140240176
342,Questar - Clay Basin Camp,Questar Pipeline Co. - (Clay Basin),Questar - Clay Basin Camp,C,253,1906,UTAH05036,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1906, , ,Utah,Daggett,Uintah,07-01-06,Crouse Creek,07-01-06a,Crouse Creek,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.171430262206555,0.000717956350108662
343,Richville,Richville Pipeline Company,Richville,C,720,1380,UTAH15012,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1380, , ,Utah,Morgan,Weber River,02-01-07,Morgan,02-01-07a,Morgan,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.0479064509239846,9.11554502156633e-05
344,Henefer Town Water System,Henefer Town,Henefer Town Water System,C,1074,1214,UTAH22005,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1214, , ,Utah,Summit,Weber River,02-01-04,Echo,02-01-04a,Echo,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.0906879926070838,0.000254937936645828
345,South Robinson Spring Water Users,South Robinson Spring Water Users,South Robinson Spring Water Users,C,726,1011,UTAH15018,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1011, , ,Utah,Morgan,Weber River,02-01-07,Morgan,02-01-07a,Morgan,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.0107872659887319,5.76397808470598e-06
346,Morgan City Water System,Morgan City Corporation,Morgan City Water System,C,716,1170,UTAH15008,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1170, , ,Utah,Morgan,Weber River,02-01-07,Morgan,02-01-07a,Morgan,2018,AGRC/DWRe,,ADAMCLARK,2019/10/16 00:00:00,,0.16788523109242,0.000818452691767153
347,Fruit Heights City Water System,Fruit Heights Culinary Water System,Fruit Heights City Water System,C,276,1032,UTAH06017,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1032, , ,Utah,Davis,Weber River,02-01-09,East Shore,02-01-09a,East Shore,2018,DWRe,2018/04/10 00:00:00,ADAMCLARK,2019/10/16 00:00:00,,0.145045447449788,0.000649698617977994
348,Croydon Pipeline Corp.,Croydon Pipeline Company,Croydon Pipeline Corporation,C,709,10931,UTAH15001,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10931, , ,Utah,Morgan,Weber River,02-01-05,Lost Creek,02-01-05a,Lost Creek,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.0222776357749008,2.26110214314045e-05
349,Central Enterprise Water Co.,Central Enterprise Water Association,Central Enterprise Water Co,C,712,1150,UTAH15004,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1150, , ,Utah,Morgan,Weber River,02-01-07,Morgan,02-01-07a,Morgan,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.0385597096106049,6.50394969103863e-05
350,Syracuse City Water System,Syracuse Municipal Water System,Syracuse City Water System,C,272,1082,UTAH06012,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1082, , ,Utah,Davis,Weber River,02-01-09,East Shore,02-01-09a,East Shore,2018,DWRe,,ADAMCLARK,2019/10/16 00:00:00,,0.323085604685232,0.00430946099940958
351,Peterson Pipeline Assoc.,Peterson Pipeline Association,Peterson Pipeline Association,C,718,1243,UTAH15010,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1243, , ,Utah,Morgan,Weber River,02-01-07,Morgan,02-01-07a,Morgan,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.10358603489455,0.000540817836236449
352,Clearfield City Water System,Clearfield City,Clearfield City Water System,C,262,1180,UTAH06002,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1180, , ,Utah,Davis,Weber River,02-01-09,East Shore,02-01-09a,East Shore,2018,AGRC/DWRe,,ADAMCLARK,2019/10/16 00:00:00,,0.25808735310143,0.00199709192627012
353,Layton City Water System,Layton City Engineering,Layton City Water System,C,277,1092,UTAH06018,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1092, , ,Utah,Davis,Weber River,02-01-09,East Shore,02-01-09a,East Shore,2018,DWRe/Supplier,2018/04/13 00:00:00,ADAMCLARK,2019/10/16 00:00:00,,0.662028403702644,0.00629465500442114
354,Uintah Town Water System,Uintah Municipal Water System,Uintah Town Water System,C,1654,1079,UTAH29020,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1079, , ,Utah,Weber,Weber River,02-01-09,East Shore,02-01-09a,East Shore,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.141041965908611,0.000405312357091938
355,South Weber Water System,South Weber City Culinary Water,South Weber Water System,C,270,1340,UTAH06010,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1340, , ,Utah,Davis,Weber River,02-01-09,East Shore,02-01-09a,East Shore,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.26941459095044,0.00130830971480158
356,Sunset City Water System,Sunset Municipal Water System,Sunset City Water System,C,271,1041,UTAH06011,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1041, , ,Utah,Davis,Weber River,02-01-09,East Shore,02-01-09a,East Shore,2018,DWRe/Supplier,2018/03/07 00:00:00,ADAMCLARK,2019/10/16 00:00:00,,0.0860228645012144,0.000409501480383278
357,Clinton City Water System,Clinton City Water,Clinton City Water System,C,263,1181,UTAH06003,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1181, , ,Utah,Davis,Weber River,02-01-09,East Shore,02-01-09a,East Shore,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.203089117091934,0.00163363602861401
358,Mountain Green Water Assoc.,Mt. Green Sub-Division Water Association,Mountain Green Water Association,C,723,1201,UTAH15015,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1201, , ,Utah,Morgan,Weber River,02-01-07,Morgan,02-01-07a,Morgan,2018, ,,ADAMCLARK,2020/04/30 00:00:00,,0.119724194281152,0.000476003454635485
359,Uintah Highlands Improvement District,Uintah Highlands Water Improvement District,Uintah Highlands Improvement District,C,1655,1336,UTAH29021,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1336, , ,Utah,Weber,Weber River,02-01-09,East Shore,02-01-09a,East Shore,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.142535009069866,0.00047414904723353
360,Hill Air Force Base,Hill Air Force Base,Hill Air Force Base,C,283,1122,UTAH06024,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1122, , ,Utah,Davis,Weber River,02-01-09,East Shore,02-01-09a,East Shore,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.240166677490565,0.00246943443365295
361,Highland Subdivision (Morgan),Highlands Water Company (Morgan),Highland Subdivision (Morgan),C,713,1118,UTAH15005,https://www.waterrights.utah.gov/asp_apps/viewEditPWS/pwsView.asp?SYSTEM_ID=1118, , ,Utah,Morgan,Weber River,02-01-07,Morgan,02-01-07a,Morgan,2018,DWRe/Supplier,2020/04/30 00:00:00,ADAMCLARK,2020/04/30 00:00:00,,0.231609847582316,0.00184374012033661
362,Washington Terrace City Water System,Washington Terrace Municipal Water,Washington Terrace City Water System,C,1656,1299,UTAH29022,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1299, , ,Utah,Weber,Weber River,02-01-09,East Shore,02-01-09a,East Shore,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.137342799445713,0.000554282856046441
363,South Ogden City Water System,South Ogden City,South Ogden City Water System,C,1652,1098,UTAH29017,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1098, , ,Utah,Weber,Weber River,02-01-09,East Shore,02-01-09a,East Shore,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.221677723907738,0.00108727775365115
364,Riverdale City Water System,Riverdale City,Riverdale,C,1650,1001,UTAH29015,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1001, , ,Utah,Weber,Weber River,02-01-09,East Shore,02-01-09a,East Shore,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.205239352542487,0.00127245857458044
365,Lakeview Water Co.,Lakeview Water Company,Lakeview Water Company,C,1658,1334,UTAH29024,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1334, , ,Utah,Weber,Weber River,02-01-08,Ogden Valley,02-01-08a,Ogden Valley,2018,AGRC/DWRe,,ADAMCLARK,2019/10/16 00:00:00,,0.0701001237335447,0.000169388687579517
366,Huntsville Town Water System,Huntsville Municipal Water System,Huntsville Town Water System,C,1642,1200,UTAH29007,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1200, , ,Utah,Weber,Weber River,02-01-08,Ogden Valley,02-01-08a,Ogden Valley,2018,AGRC/DWRe,,ADAMCLARK,2019/10/16 00:00:00,,0.224255752532933,0.000488777762755621
367,Pineview West Water Co.,Pineview West Water Company (Culinary),Pineview West Water Co.,C,1663,11285,UTAH29029,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11285, , ,Utah,Weber,Weber River,02-01-08,Ogden Valley,02-01-08a,Ogden Valley,2018, ,,ADAMCLARK,2019/11/13 00:00:00,,0.0837059339765202,0.000125573273167038
368,Casey Acres Water Co.,Casey Acres Water Company,Casey Acres Water Company,C,1709,11334,UTAH29093,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=11334, , ,Utah,Weber,Weber River,02-01-08,Ogden Valley,02-01-08a,Ogden Valley,2018,DWRe,2018/08/22 00:00:00,ADAMCLARK,2019/10/16 00:00:00,,0.0281138669061911,3.60381182959714e-05
369,Eden Waterworks System,Eden Water Works Company,Eden Waterworks System,C,1640,1276,UTAH29005,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1276, , ,Utah,Weber,Weber River,02-01-08,Ogden Valley,02-01-08a,Ogden Valley,2018,DWRe/Supplier,2018/08/22 00:00:00,ADAMCLARK,2019/10/16 00:00:00,,0.313785034249103,0.00218162972543513
370,Nordic Mountain Water Co.,Nordic Mountain Water Company,Nordic Mtn Water Company,C,1644,1318,UTAH29009,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1318, , ,Utah,Weber,Weber River,02-01-08,Ogden Valley,02-01-08a,Ogden Valley,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.274157825476703,0.00121662652724674
371,Wolf Creek Water and Sewer Improvement District,Wolf Creek Country Club,Wolf Creek Water and Sewer ID,C,1648,1365,UTAH29013,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1365, , ,Utah,Weber,Weber River,02-01-08,Ogden Valley,02-01-08a,Ogden Valley,2018,DWRe/Supplier,2019/02/15 00:00:00,ADAMCLARK,2019/10/16 00:00:00,,0.203693538812436,0.000842896157295522
372,North Ogden City,North Ogden Municipal Water,North Ogden City,C,1645,1143,UTAH29010,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1143, , ,Utah,Weber,Weber River,02-01-09,East Shore,02-01-09a,East Shore,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.248434088322604,0.00210750170283294
373,Liberty Pipeline Co.,Liberty Pipeline Company,Liberty Pipeline Company,C,1643,1078,UTAH29008,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1078, , ,Utah,Weber,Weber River,02-01-08,Ogden Valley,02-01-08a,Ogden Valley,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.347591590598979,0.000978863884535572
374,Pleasant View Culinary Water,Pleasant View City Culinary Water,Pleasant View Culinary Water,C,1649,1033,UTAH29014,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1033, , ,Utah,Weber,Weber River,02-01-09,East Shore,02-01-09a,East Shore,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.194079220478037,0.00148732907314676
375,Hot Springs Trailer Court,Hot Springs Trailer Court,Hot Springs Trailer Court,C,75,11343,UTAH02055,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11343, , ,Utah,Box Elder,Weber River,02-01-09,East Shore,02-01-09a,East Shore,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.00741073497247465,3.13443267392271e-06
376,Coleman Mobile Home Park,Coleman Mobile Home Court,Coleman Mobile Home Park,C,74,11335,UTAH02053,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11335, , ,Utah,Box Elder,Weber River,02-01-09,East Shore,02-01-09a,East Shore,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.0120440434868863,3.79940834589067e-06
377,Fox Hill Mobile Home Community,Fox Hill Mobile Home Community LLC,Fox Hill Mobile Home Community,C,73,11341,UTAH02052,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11341, , ,Utah,Box Elder,Weber River,02-01-09,East Shore,02-01-09a,East Shore,2018, ,,ADAMCLARK,2019/11/04 00:00:00,,0.0095703990088911,3.9054142159259e-06
378,Cole Canyon Water Co.,Cole Canyon Water Company,Cole Canyon Water Company,C,1708,11278,UTAH29092,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11278, , ,Utah,Weber,Weber River,02-01-08,Ogden Valley,02-01-08a,Ogden Valley,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.0466017038620441,9.73835804668817e-05
379,Willard City,Willard Municipal Water System,Willard City,C,57,1211,UTAH02024,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1211, , ,Utah,Box Elder,Weber River,02-01-09,East Shore,02-01-09a,East Shore,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.193545026808108,0.00191879377831067
380,Perry City,Perry City Water System,Perry City,C,52,1172,UTAH02019,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1172, , ,Utah,Box Elder,Bear River,01-01-07,Brigham City,01-01-07a,Brigham City,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.266379094514453,0.00222967676126868
381,Woodruff Town Water System,Woodruff Culinary,Woodruff Town Water System,C,762,1333,UTAH17008,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1333, , ,Utah,Rich,Bear River,01-03-02,Randolph,01-03-02a,Randolph,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.0661977355922082,0.000123203898932758
382,Corinne City Corp.,Corinne City Water System,Corinne City Corp.,C,39,1175,UTAH02005,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1175, , ,Utah,Box Elder,Bear River,01-01-07,Brigham City,01-01-07a,Brigham City,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.264580454684614,0.00103196029987838
383,Paradise Town Water System,Paradise,Paradise Town Water System,C,112,1148,UTAH03016,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1148, , ,Utah,Cache,Bear River,01-01-04,Cache Valley,01-01-04a,Cache Valley UT,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.0965252459081447,0.000368935278893167
384,Mountain Meadow ID,Mountain Meadow Improvement District,Mountain Meadow Improvement District,C,772,11470,UTAH17022,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11470, , ,Utah,Rich,Bear River,01-03-02,Randolph,01-03-02a,Randolph,2018,AGRC,,ADAMCLARK,2019/10/16 00:00:00,,0.0187638267960632,2.24961315266389e-05
385,BRWCD - Harper Ward,Bear River Water/Harper Ward,Bear River WCD - Harper Ward,C,87,11304,UTAH02068,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11304, , ,Utah,Box Elder,Bear River,01-01-07,Brigham City,01-01-07a,Brigham City,2018, ,,ADAMCLARK,2019/11/13 00:00:00,,0.203207429687829,0.000393324933257768
386,Acme Water Co.,ACME Water Company,Acme Water Company (Bear River City),C,35,1918,UTAH02001,https://www.waterrights.utah.gov/asp_apps/viewEditPWS/pwsView.asp?SYSTEM_ID=1918, , ,Utah,Box Elder,Bear River,01-01-06,Tremonton,01-01-06a,Tremonton,2018,DWRe/Supplier,2020/04/30 00:00:00,ADAMCLARK,2020/04/30 00:00:00,,0.215412899379753,0.000605094493842396
387,Hyrum City,Hyrum City Water System,Hyrum City,C,104,1051,UTAH03008,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1051, , ,Utah,Cache,Bear River,01-01-04,Cache Valley,01-01-04a,Cache Valley UT,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.30165636659058,0.00128160922079649
388,Wellsville City Corp.,Wellsville City,Wellsville City Corp.,C,118,1179,UTAH03022,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1179, , ,Utah,Cache,Bear River,01-01-04,Cache Valley,01-01-04a,Cache Valley UT,2018,DWRe/Supplier,2018/04/11 00:00:00,ADAMCLARK,2019/10/16 00:00:00,,0.515012239997391,0.00201667093325714
389,Randolph Town Water System,Randolph City,Randolph Town Water Co.,C,759,1108,UTAH17005,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1108, , ,Utah,Rich,Bear River,01-03-02,Randolph,01-03-02a,Randolph,2018,DWRe/Supplier,2018/07/16 00:00:00,ADAMCLARK,2019/10/16 00:00:00,,0.132302346621691,0.00043055135975151
390,Providence City Water System,Providence City Corp. Water,Providence City Water System,C,113,1213,UTAH03017,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1213, , ,Utah,Cache,Bear River,01-01-04,Cache Valley,01-01-04a,Cache Valley UT,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.180459408223547,0.00105237917629548
391,Deweyville Town,Deweyville Municipal Water System,Deweyville Town,C,40,1109,UTAH02006,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1109, , ,Utah,Box Elder,Bear River,01-01-06,Tremonton,01-01-06a,Tremonton,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.310084151871926,0.00176454154150654
392,River Heights City,River Heights City Water System,River Heights City,C,115,1037,UTAH03019,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1037, , ,Utah,Cache,Bear River,01-01-04,Cache Valley,01-01-04a,Cache Valley UT,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.113603476050309,0.000289041995746986
393,Mendon City,Mendon Culinary Water System,Mendon City,C,107,1145,UTAH03011,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1145, , ,Utah,Cache,Bear River,01-01-04,Cache Valley,01-01-04a,Cache Valley UT,2018,Supplier,2018/04/10 00:00:00,ADAMCLARK,2019/10/16 00:00:00,,0.233362824868537,0.000406000168930732
394,Tremonton City Corp.,Tremonton Culinary Water,Tremonton City Corp.,C,44,1168,UTAH02011,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1168, , ,Utah,Box Elder,Bear River,01-01-06,Tremonton,01-01-06a,Tremonton,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.500092418683362,0.0021211433716645
395,"Cedar Ridge Distribution, Inc.",Cedar Ridge Subdivision,"Cedar Ridge Distribution, Inc.",C,72,1426,UTAH02051,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1426, , ,Utah,Box Elder,Bear River,01-01-06,Tremonton,01-01-06a,Tremonton,2018,AGRC/DWRe,,ADAMCLARK,2019/10/16 00:00:00,,0.0274762868535014,3.82447891030039e-05
396,Ukon Water Co.,Ukon Water Company,Ukon Water Co.,C,47,1161,UTAH02014,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1161, , ,Utah,Box Elder,Bear River,01-01-06,Tremonton,01-01-06a,Tremonton,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.403558354532209,0.000716970583988065
397,Laketown,Laketown City Water System,Laketown,C,758,1230,UTAH17003,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1230, , ,Utah,Rich,Bear River,01-01-01,Bear Lake,01-01-01a,Bear Lake UT,2018,AGRC/DWRe,,ADAMCLARK,2019/10/16 00:00:00,,0.156760496707509,0.000728924778907375
398,Benson Water Culinary District,Benson Water Culinary District,Benson Water Culinary District,C,163,1427,UTAH03097,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1427, , ,Utah,Cache,Bear River,01-01-04,Cache Valley,01-01-04a,Cache Valley UT,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.357049431333484,0.0039661527555756
399,Smithfield City,Smithfield Municipal Water System,Smithfield City,C,116,1303,UTAH03020,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1303, , ,Utah,Cache,Bear River,01-01-04,Cache Valley,01-01-04a,Cache Valley UT,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.22726632014155,0.00136774647530637
400,Riverside - North Garland Water Co.,Riverside - North Garland Water Company,Riverside-North Garland Water Co.,C,48,1328,UTAH02015,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1328, , ,Utah,Box Elder,Bear River,01-01-06,Tremonton,01-01-06a,Tremonton,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.295230666695587,0.00217131639945841
401,Newton Town Water System,Newton Town Water,Newton Town Water System,C,109,1371,UTAH03013,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1371, , ,Utah,Cache,Bear River,01-01-04,Cache Valley,01-01-04a,Cache Valley UT,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.119880944611399,0.000279942039585232
402,Plymouth Town,Plymouth Town,Plymouth Town,C,46,1208,UTAH02013,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1208, , ,Utah,Box Elder,Bear River,01-01-06,Tremonton,01-01-06a,Tremonton,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.0701745912602606,0.000173420077577689
403,Amalga Town Culinary Water System,Amalga Municipal Water System,Amalga Town Culinary Water System,C,98,1069,UTAH03002,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1069, , ,Utah,Cache,Bear River,01-01-04,Cache Valley,01-01-04a,Cache Valley UT,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.261149440076148,0.0010008636112628
404,Bridgerland Village Water Co.,Bridgerland Village,Bridgerland Village Water Co.,C,756,1271,UTAH17001,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1271, , ,Utah,Rich,Bear River,01-01-01,Bear Lake,01-01-01a,Bear Lake UT,2018,AGRC,,ADAMCLARK,2019/10/16 00:00:00,,0.175579173546993,0.00077468488706309
405,Clarkston Town Culinary Water,Clarkston Municipal Water System,Clarkston Town Culinary Water,C,100,1269,UTAH03004,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1269, , ,Utah,Cache,Bear River,01-01-04,Cache Valley,01-01-04a,Cache Valley UT,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.123968297116613,0.000329461278191854
