OID_,LocationID,LocationCode,LocationName,LocationPath,LocationType,IsExternalLocation,Longitude,Latitude,UtcOffset,LastModified,ElevationUnits,Elevation,Description,Tags,ExtendedAttributeValues,StatusDesc,ActiveFlag
32,ff72830a9c624929907376f0a693801d,76HF 3503,Fred Burr Ck abv Res,All Locations.DNRC SWP,Hydrology Station,0,-114.327299999999994,46.356800000000000,-PT7H,2/4/2021 17:15:19,ft,5179.863000000000284,Fred Burr Creek abv Reservoir,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""8b339060c87942e4b52968fbf562f8b8"", ""Name"": ""Clark Fork"", ""Key"": ""Clark Fork"", ""Value"": null}, {""UniqueId"": ""830133f840e24a3aba36a4c6e64dd5f5"", ""Name"": ""Bitterroot"", ""Key"": ""Bitterroot"", ""Value"": null}, {""UniqueId"": ""f75b412b0bd041628030306f1ef41714"", ""Name"": ""Seasonal"", ""Key"": ""Seasonal"", ""Value"": null}]",[],Seasonal,1
33,3b55fc420230490ca2a4bc58ba6cd67f,76HF 3513,Fred Burr Ck blw Res,All Locations.DNRC SWP,Hydrology Station,0,-114.312700000000007,46.356699999999996,-PT7H,2/4/2021 17:15:37,ft,5048.838999999999942,Fred Burr Creek blw Reservoir-16' weir,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""8b339060c87942e4b52968fbf562f8b8"", ""Name"": ""Clark Fork"", ""Key"": ""Clark Fork"", ""Value"": null}, {""UniqueId"": ""830133f840e24a3aba36a4c6e64dd5f5"", ""Name"": ""Bitterroot"", ""Key"": ""Bitterroot"", ""Value"": null}, {""UniqueId"": ""f75b412b0bd041628030306f1ef41714"", ""Name"": ""Seasonal"", ""Key"": ""Seasonal"", ""Value"": null}]",[],Seasonal,1
34,e685163b03a44828ab0e30c9247e2bdd,76F 2000,Nevada Ck blw Res,All Locations.DNRC SWP,Hydrology Station,0,-112.816199999999995,46.803199999999997,-PT7H,2/4/2021 17:08:00,ft,4554.328000000000429,Nevada Creek blw Reservoir,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""8b339060c87942e4b52968fbf562f8b8"", ""Name"": ""Clark Fork"", ""Key"": ""Clark Fork"", ""Value"": null}, {""UniqueId"": ""55356f4ad4764f1ebf8fc8506638e32c"", ""Name"": ""Real-time"", ""Key"": ""Real-time"", ""Value"": null}, {""UniqueId"": ""994cb031aa3848ca9ecb21b274f63846"", ""Name"": ""Nevada"", ""Key"": ""Nevada"", ""Value"": null}]",[],Real-time,1
35,7ad342fa9e8d4e399fe9539e01164593,76GJ 2089,EF Rock Main Canal blw County Bridge,All Locations.DNRC SWP,Hydrology Station,0,-113.429500000000004,46.182400000000001,-PT7H,2/4/2021 17:07:19,ft,5909.064000000000306,East Fork Rock Creek Main Canal below County Bridge before siphon to Trout Creek,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""8b339060c87942e4b52968fbf562f8b8"", ""Name"": ""Clark Fork"", ""Key"": ""Clark Fork"", ""Value"": null}, {""UniqueId"": ""f75b412b0bd041628030306f1ef41714"", ""Name"": ""Seasonal"", ""Key"": ""Seasonal"", ""Value"": null}, {""UniqueId"": ""800140dac188414c852b8db7a4ab2e02"", ""Name"": ""East Fork Rock Creek"", ""Key"": ""East Fork Rock Creek"", ""Value"": null}]",[],Seasonal,1
36,66c6f6082d484735b36ce7638ffb8f01,40R 05000,Big Muddy Canal abv Medicine Lake,All Locations.DNRC WMB.Lower Missouri.Big Muddy Creek,Hydrology Station,0,-104.550559000000007,48.510176000000001,-PT7H,7/26/2021 14:35:40,ft,1951.000000000000000,Big Muddy Creek Diversion Canal abv Medicine Lake,"[{""UniqueId"": ""0050e89ff43c43ee8d161c6d06693223"", ""Name"": ""DNRC WMB"", ""Key"": ""DNRC WMB"", ""Value"": null}, {""UniqueId"": ""924fee8b5bf14156bc01180ce644d030"", ""Name"": ""Lower Missouri"", ""Key"": ""Lower Missouri"", ""Value"": null}, {""UniqueId"": ""5446de1d6fcb467fbac12ab853984531"", ""Name"": ""Big Muddy Creek"", ""Key"": ""Big Muddy Creek"", ""Value"": null}, {""UniqueId"": ""2ee02013db614ffa8c842e15879633be"", ""Name"": ""Discontinued"", ""Key"": ""Discontinued"", ""Value"": null}]",[],Discontinued,1
37,24c9bee7547b4aa990f8ec8f5d92211b,40L-10050013,Frenchman Creek @ Mouth,All Locations.DNRC WMB.Lower Missouri.Frenchman,Hydrology Station,0,-107.256000000000000,48.527900000000002,-PT7H,2/4/2021 18:04:55,ft,2168.000000000000000,,"[{""UniqueId"": ""0050e89ff43c43ee8d161c6d06693223"", ""Name"": ""DNRC WMB"", ""Key"": ""DNRC WMB"", ""Value"": null}, {""UniqueId"": ""924fee8b5bf14156bc01180ce644d030"", ""Name"": ""Lower Missouri"", ""Key"": ""Lower Missouri"", ""Value"": null}, {""UniqueId"": ""08d79a62d80249b2816b89fe5648f1ab"", ""Name"": ""Frenchman"", ""Key"": ""Frenchman"", ""Value"": null}, {""UniqueId"": ""55356f4ad4764f1ebf8fc8506638e32c"", ""Name"": ""Real-time"", ""Key"": ""Real-time"", ""Value"": null}]",[],Real-time,1
38,1abf0dd06a5740099b5b31e93c28be97,40B 06000,Flatwillow Creek abv Petrolia Reservoir,All Locations.DNRC WMB.Lower Missouri.Flatwillow Creek,Hydrology Station,0,-108.347622999999999,46.894401000000002,-PT7H,2/4/2021 18:01:53,ft,3063.000000000000000,,"[{""UniqueId"": ""0050e89ff43c43ee8d161c6d06693223"", ""Name"": ""DNRC WMB"", ""Key"": ""DNRC WMB"", ""Value"": null}, {""UniqueId"": ""924fee8b5bf14156bc01180ce644d030"", ""Name"": ""Lower Missouri"", ""Key"": ""Lower Missouri"", ""Value"": null}, {""UniqueId"": ""83d69471c154449db83a04db5a8c2c01"", ""Name"": ""Flatwillow Creek"", ""Key"": ""Flatwillow Creek"", ""Value"": null}, {""UniqueId"": ""55356f4ad4764f1ebf8fc8506638e32c"", ""Name"": ""Real-time"", ""Key"": ""Real-time"", ""Value"": null}]",[],Real-time,1
39,5c9cc94196cf45aba2bd3b5953fa66f3,41S 08900,Warm Springs Creek @ Sandrock Road,All Locations.DNRC WMB.Lower Missouri.Warm Springs Creek,Hydrology Station,0,-109.676427000000004,47.281441000000001,-PT7H,2/4/2021 18:05:11,ft,3303.000000000000000,,"[{""UniqueId"": ""0050e89ff43c43ee8d161c6d06693223"", ""Name"": ""DNRC WMB"", ""Key"": ""DNRC WMB"", ""Value"": null}, {""UniqueId"": ""924fee8b5bf14156bc01180ce644d030"", ""Name"": ""Lower Missouri"", ""Key"": ""Lower Missouri"", ""Value"": null}, {""UniqueId"": ""368352d17d184f899d891f58abf8b639"", ""Name"": ""Warm Springs Creek"", ""Key"": ""Warm Springs Creek"", ""Value"": null}, {""UniqueId"": ""55356f4ad4764f1ebf8fc8506638e32c"", ""Name"": ""Real-time"", ""Key"": ""Real-time"", ""Value"": null}]",[],Real-time,1
40,f8b2cd23592547b39ca55209fd18b6dd,40F 00900,Milk River near Del Bonita,All Locations.DNRC WMB.Lower Missouri.Upper Milk River,Hydrology Station,0,-112.752409999999998,48.955179999999999,-PT7H,2/4/2021 18:02:10,ft,4042.000000000000000,Milk River at Highway 213 Crossing near Del Bonia; at location of discontinued USGS gage 06132700,"[{""UniqueId"": ""0050e89ff43c43ee8d161c6d06693223"", ""Name"": ""DNRC WMB"", ""Key"": ""DNRC WMB"", ""Value"": null}, {""UniqueId"": ""924fee8b5bf14156bc01180ce644d030"", ""Name"": ""Lower Missouri"", ""Key"": ""Lower Missouri"", ""Value"": null}, {""UniqueId"": ""6f8951663d444c42a042af5a25a9f618"", ""Name"": ""Upper Milk River"", ""Key"": ""Upper Milk River"", ""Value"": null}, {""UniqueId"": ""2ee02013db614ffa8c842e15879633be"", ""Name"": ""Discontinued"", ""Key"": ""Discontinued"", ""Value"": null}]",[],Discontinued,1
41,df28970b1dc24e5884e841fedf59cabb,40F 01100,North Fork of Milk River at North Fork Ranch,All Locations.DNRC WMB.Lower Missouri.Upper Milk River,Hydrology Station,0,-113.200159999999997,48.916860000000000,-PT7H,2/4/2021 18:02:25,ft,4495.000000000000000,Upper North Fork of the Milk River,"[{""UniqueId"": ""0050e89ff43c43ee8d161c6d06693223"", ""Name"": ""DNRC WMB"", ""Key"": ""DNRC WMB"", ""Value"": null}, {""UniqueId"": ""924fee8b5bf14156bc01180ce644d030"", ""Name"": ""Lower Missouri"", ""Key"": ""Lower Missouri"", ""Value"": null}, {""UniqueId"": ""6f8951663d444c42a042af5a25a9f618"", ""Name"": ""Upper Milk River"", ""Key"": ""Upper Milk River"", ""Value"": null}, {""UniqueId"": ""2ee02013db614ffa8c842e15879633be"", ""Name"": ""Discontinued"", ""Key"": ""Discontinued"", ""Value"": null}]",[],Discontinued,1
42,b508b37d5abf4ad594df4fdda75dfc64,40F 01700,Middle Fork of Milk River above South Fork,All Locations.DNRC WMB.Lower Missouri.Upper Milk River,Hydrology Station,0,-113.020099999999999,48.858370000000001,-PT7H,2/4/2021 18:02:35,m,4409.000000000000000,Middle Fork of Milk River just upstream of confluence with South Fork,"[{""UniqueId"": ""0050e89ff43c43ee8d161c6d06693223"", ""Name"": ""DNRC WMB"", ""Key"": ""DNRC WMB"", ""Value"": null}, {""UniqueId"": ""924fee8b5bf14156bc01180ce644d030"", ""Name"": ""Lower Missouri"", ""Key"": ""Lower Missouri"", ""Value"": null}, {""UniqueId"": ""6f8951663d444c42a042af5a25a9f618"", ""Name"": ""Upper Milk River"", ""Key"": ""Upper Milk River"", ""Value"": null}, {""UniqueId"": ""2ee02013db614ffa8c842e15879633be"", ""Name"": ""Discontinued"", ""Key"": ""Discontinued"", ""Value"": null}]",[],Discontinued,1
43,93d5b4ad0fa14bef8ff0740e052e0f99,40F 01800,South Fork of Milk River at Johnston Ranch,All Locations.DNRC WMB.Lower Missouri.Upper Milk River,Hydrology Station,0,-113.026300000000006,48.841459999999998,-PT7H,2/4/2021 18:02:48,ft,4436.000000000000000,South Fork of Milk River just upstream of confluence with Middle Fork,"[{""UniqueId"": ""0050e89ff43c43ee8d161c6d06693223"", ""Name"": ""DNRC WMB"", ""Key"": ""DNRC WMB"", ""Value"": null}, {""UniqueId"": ""924fee8b5bf14156bc01180ce644d030"", ""Name"": ""Lower Missouri"", ""Key"": ""Lower Missouri"", ""Value"": null}, {""UniqueId"": ""6f8951663d444c42a042af5a25a9f618"", ""Name"": ""Upper Milk River"", ""Key"": ""Upper Milk River"", ""Value"": null}, {""UniqueId"": ""2ee02013db614ffa8c842e15879633be"", ""Name"": ""Discontinued"", ""Key"": ""Discontinued"", ""Value"": null}]",[],Discontinued,1
44,53ab051589154fb6ba6dd89934d9bcef,40F 01900,Livermore Creek,All Locations.DNRC WMB.Lower Missouri.Upper Milk River,Hydrology Station,0,-113.176980000000000,48.767220000000002,-PT7H,2/4/2021 18:03:02,ft,4728.000000000000000,Livermore Creek near Confluence with South Fork Milk River,"[{""UniqueId"": ""0050e89ff43c43ee8d161c6d06693223"", ""Name"": ""DNRC WMB"", ""Key"": ""DNRC WMB"", ""Value"": null}, {""UniqueId"": ""924fee8b5bf14156bc01180ce644d030"", ""Name"": ""Lower Missouri"", ""Key"": ""Lower Missouri"", ""Value"": null}, {""UniqueId"": ""6f8951663d444c42a042af5a25a9f618"", ""Name"": ""Upper Milk River"", ""Key"": ""Upper Milk River"", ""Value"": null}, {""UniqueId"": ""2ee02013db614ffa8c842e15879633be"", ""Name"": ""Discontinued"", ""Key"": ""Discontinued"", ""Value"": null}]",[],Discontinued,1
45,49d07e9d84d84001a09c68c6f653f26d,40I 10000,"Peoples Creek near Dodson, MT",All Locations.DNRC WMB.Lower Missouri.People's Creek,Hydrology Station,0,-108.357821999999999,48.363695000000000,-PT7H,2/4/2021 18:03:17,ft,2316.000000000000000,Peoples Creek upstream ,"[{""UniqueId"": ""0050e89ff43c43ee8d161c6d06693223"", ""Name"": ""DNRC WMB"", ""Key"": ""DNRC WMB"", ""Value"": null}, {""UniqueId"": ""924fee8b5bf14156bc01180ce644d030"", ""Name"": ""Lower Missouri"", ""Key"": ""Lower Missouri"", ""Value"": null}, {""UniqueId"": ""4529f1e690c943c6b661ca1b5c1ea82c"", ""Name"": ""People's Creek"", ""Key"": ""People's Creek"", ""Value"": null}, {""UniqueId"": ""55356f4ad4764f1ebf8fc8506638e32c"", ""Name"": ""Real-time"", ""Key"": ""Real-time"", ""Value"": null}]",[],Real-time,1
46,79e4a4d3ecbb46379e387af40b0c49f3,41D 03800,Governor Cr nr Miner Lakes Rd,All Locations.DNRC WMB.Upper Missouri.Big Hole,Hydrology Station,0,-113.423561000000007,45.360100000000003,-PT7H,3/11/2021 23:10:09,ft,6449.000000000000000,"5' upstream of bridge on Miner Lakes Rd nr jackson, MT","[{""UniqueId"": ""0050e89ff43c43ee8d161c6d06693223"", ""Name"": ""DNRC WMB"", ""Key"": ""DNRC WMB"", ""Value"": null}, {""UniqueId"": ""1b939a66263447099c7e3f5f46e00920"", ""Name"": ""Upper Missouri"", ""Key"": ""Upper Missouri"", ""Value"": null}, {""UniqueId"": ""9a17058410f54189915651b673c3f4c7"", ""Name"": ""Big Hole"", ""Key"": ""Big Hole"", ""Value"": null}, {""UniqueId"": ""f75b412b0bd041628030306f1ef41714"", ""Name"": ""Seasonal"", ""Key"": ""Seasonal"", ""Value"": null}]",[],Seasonal,1
47,b996b82ff83c4de68b6dd36340b9f9f2,41D 04800,Miner Cr at Mouth,All Locations.DNRC WMB.Upper Missouri.Big Hole,Hydrology Station,0,-113.450069999999997,45.422089999999997,-PT7H,2/4/2021 19:08:58,ft,6324.000000000000000,Located 200' upstream from mouth. River left.,"[{""UniqueId"": ""0050e89ff43c43ee8d161c6d06693223"", ""Name"": ""DNRC WMB"", ""Key"": ""DNRC WMB"", ""Value"": null}, {""UniqueId"": ""1b939a66263447099c7e3f5f46e00920"", ""Name"": ""Upper Missouri"", ""Key"": ""Upper Missouri"", ""Value"": null}, {""UniqueId"": ""9a17058410f54189915651b673c3f4c7"", ""Name"": ""Big Hole"", ""Key"": ""Big Hole"", ""Value"": null}, {""UniqueId"": ""f75b412b0bd041628030306f1ef41714"", ""Name"": ""Seasonal"", ""Key"": ""Seasonal"", ""Value"": null}]",[],Seasonal,1
48,40354ebaa6154579bbb542017189054d,41D 06550,Big Lake Creek at Twin Lakes,All Locations.DNRC WMB.Upper Missouri.Big Hole,Hydrology Station,0,-113.685490000000001,45.408490000000000,-PT7H,2/4/2021 19:09:19,ft,7243.000000000000000,,"[{""UniqueId"": ""0050e89ff43c43ee8d161c6d06693223"", ""Name"": ""DNRC WMB"", ""Key"": ""DNRC WMB"", ""Value"": null}, {""UniqueId"": ""1b939a66263447099c7e3f5f46e00920"", ""Name"": ""Upper Missouri"", ""Key"": ""Upper Missouri"", ""Value"": null}, {""UniqueId"": ""9a17058410f54189915651b673c3f4c7"", ""Name"": ""Big Hole"", ""Key"": ""Big Hole"", ""Value"": null}, {""UniqueId"": ""f75b412b0bd041628030306f1ef41714"", ""Name"": ""Seasonal"", ""Key"": ""Seasonal"", ""Value"": null}]",[],Seasonal,1
49,f5de83ca689a434e9de5443a5f3dd438,41D 06700,Rock Creek at Mouth,All Locations.DNRC WMB.Upper Missouri.Big Hole,Hydrology Station,0,-113.490210000000005,45.579290000000000,-PT7H,2/4/2021 19:09:45,ft,6115.000000000000000,500' upstream from mouth. Trutrack. River left 150' above water gap.,"[{""UniqueId"": ""0050e89ff43c43ee8d161c6d06693223"", ""Name"": ""DNRC WMB"", ""Key"": ""DNRC WMB"", ""Value"": null}, {""UniqueId"": ""1b939a66263447099c7e3f5f46e00920"", ""Name"": ""Upper Missouri"", ""Key"": ""Upper Missouri"", ""Value"": null}, {""UniqueId"": ""9a17058410f54189915651b673c3f4c7"", ""Name"": ""Big Hole"", ""Key"": ""Big Hole"", ""Value"": null}, {""UniqueId"": ""f75b412b0bd041628030306f1ef41714"", ""Name"": ""Seasonal"", ""Key"": ""Seasonal"", ""Value"": null}]",[],Seasonal,1
50,01a8310f47eb4c4aad43c4b442858329,41D 06850,Steel Cr nr Hwy 43,All Locations.DNRC WMB.Upper Missouri.Big Hole,Hydrology Station,0,-113.443479999999994,45.635249999999999,-PT7H,2/4/2021 19:10:17,ft,6024.000000000000000,,"[{""UniqueId"": ""0050e89ff43c43ee8d161c6d06693223"", ""Name"": ""DNRC WMB"", ""Key"": ""DNRC WMB"", ""Value"": null}, {""UniqueId"": ""1b939a66263447099c7e3f5f46e00920"", ""Name"": ""Upper Missouri"", ""Key"": ""Upper Missouri"", ""Value"": null}, {""UniqueId"": ""9a17058410f54189915651b673c3f4c7"", ""Name"": ""Big Hole"", ""Key"": ""Big Hole"", ""Value"": null}, {""UniqueId"": ""f75b412b0bd041628030306f1ef41714"", ""Name"": ""Seasonal"", ""Key"": ""Seasonal"", ""Value"": null}]",[],Seasonal,1
51,24bdabc32ee64f858ea5b1783502e8f0,41D 06870,Steel Creek at Forest Bndy,All Locations.DNRC WMB.Upper Missouri.Big Hole,Hydrology Station,0,-113.362669999999994,45.601450000000000,-PT7H,2/4/2021 19:10:36,ft,6199.000000000000000,,"[{""UniqueId"": ""0050e89ff43c43ee8d161c6d06693223"", ""Name"": ""DNRC WMB"", ""Key"": ""DNRC WMB"", ""Value"": null}, {""UniqueId"": ""1b939a66263447099c7e3f5f46e00920"", ""Name"": ""Upper Missouri"", ""Key"": ""Upper Missouri"", ""Value"": null}, {""UniqueId"": ""9a17058410f54189915651b673c3f4c7"", ""Name"": ""Big Hole"", ""Key"": ""Big Hole"", ""Value"": null}, {""UniqueId"": ""2ee02013db614ffa8c842e15879633be"", ""Name"": ""Discontinued"", ""Key"": ""Discontinued"", ""Value"": null}]",[],Discontinued,1
52,687ac94122b7485a8556a7e50edff8ad,41D 07200,Swamp Cr at NF Rd,All Locations.DNRC WMB.Upper Missouri.Big Hole,Hydrology Station,0,-113.469840000000005,45.659059999999997,-PT7H,2/4/2021 19:11:46,ft,6002.000000000000000,Attached to downstream abutment of NF Rd bridge. River right.,"[{""UniqueId"": ""0050e89ff43c43ee8d161c6d06693223"", ""Name"": ""DNRC WMB"", ""Key"": ""DNRC WMB"", ""Value"": null}, {""UniqueId"": ""1b939a66263447099c7e3f5f46e00920"", ""Name"": ""Upper Missouri"", ""Key"": ""Upper Missouri"", ""Value"": null}, {""UniqueId"": ""9a17058410f54189915651b673c3f4c7"", ""Name"": ""Big Hole"", ""Key"": ""Big Hole"", ""Value"": null}, {""UniqueId"": ""f75b412b0bd041628030306f1ef41714"", ""Name"": ""Seasonal"", ""Key"": ""Seasonal"", ""Value"": null}]",[],Seasonal,1
53,69432fb09c244fdfb4f573f0e7f411f1,41D 07600,LaMarche Creek at Hwy 43,All Locations.DNRC WMB.Upper Missouri.Big Hole,Hydrology Station,0,-113.199680000000001,45.878869999999999,-PT7H,2/4/2021 19:12:33,ft,5847.000000000000000,,"[{""UniqueId"": ""0050e89ff43c43ee8d161c6d06693223"", ""Name"": ""DNRC WMB"", ""Key"": ""DNRC WMB"", ""Value"": null}, {""UniqueId"": ""1b939a66263447099c7e3f5f46e00920"", ""Name"": ""Upper Missouri"", ""Key"": ""Upper Missouri"", ""Value"": null}, {""UniqueId"": ""9a17058410f54189915651b673c3f4c7"", ""Name"": ""Big Hole"", ""Key"": ""Big Hole"", ""Value"": null}, {""UniqueId"": ""f75b412b0bd041628030306f1ef41714"", ""Name"": ""Seasonal"", ""Key"": ""Seasonal"", ""Value"": null}]",[],Seasonal,1
54,6eb3fa70b7a145798cce2a87009d40eb,41D 07700,Deep Creek at Highway 43,All Locations.DNRC WMB.Upper Missouri.Big Hole,Hydrology Station,0,-113.117620000000002,45.883659999999999,-PT7H,2/4/2021 19:12:45,ft,5765.000000000000000,Trutrack. Pipe located 60 feet below Hwy 43 bridge. RB,"[{""UniqueId"": ""0050e89ff43c43ee8d161c6d06693223"", ""Name"": ""DNRC WMB"", ""Key"": ""DNRC WMB"", ""Value"": null}, {""UniqueId"": ""1b939a66263447099c7e3f5f46e00920"", ""Name"": ""Upper Missouri"", ""Key"": ""Upper Missouri"", ""Value"": null}, {""UniqueId"": ""9a17058410f54189915651b673c3f4c7"", ""Name"": ""Big Hole"", ""Key"": ""Big Hole"", ""Value"": null}, {""UniqueId"": ""f75b412b0bd041628030306f1ef41714"", ""Name"": ""Seasonal"", ""Key"": ""Seasonal"", ""Value"": null}]",[],Seasonal,1
55,d9722404bf4c441daeecc7917250957a,41D 08800,Halliday Spring Creek below pond,All Locations.DNRC WMB.Upper Missouri.Big Hole,Hydrology Station,0,-112.579849999999993,45.435470000000002,-PT7H,2/4/2021 19:13:41,ft,4864.000000000000000,,"[{""UniqueId"": ""0050e89ff43c43ee8d161c6d06693223"", ""Name"": ""DNRC WMB"", ""Key"": ""DNRC WMB"", ""Value"": null}, {""UniqueId"": ""1b939a66263447099c7e3f5f46e00920"", ""Name"": ""Upper Missouri"", ""Key"": ""Upper Missouri"", ""Value"": null}, {""UniqueId"": ""9a17058410f54189915651b673c3f4c7"", ""Name"": ""Big Hole"", ""Key"": ""Big Hole"", ""Value"": null}, {""UniqueId"": ""2ee02013db614ffa8c842e15879633be"", ""Name"": ""Discontinued"", ""Key"": ""Discontinued"", ""Value"": null}]",[],Discontinued,1
56,a6e15739303c4fa69efe45416d65ce1f,41U 01000,Upper Dearborn River,All Locations.DNRC WMB.Upper Missouri.Dearborn,Hydrology Station,0,-112.482609999999994,47.280760000000001,-PT7H,2/4/2021 19:28:53,ft,4663.399999999999636,Located below Falls Creek,"[{""UniqueId"": ""0050e89ff43c43ee8d161c6d06693223"", ""Name"": ""DNRC WMB"", ""Key"": ""DNRC WMB"", ""Value"": null}, {""UniqueId"": ""1b939a66263447099c7e3f5f46e00920"", ""Name"": ""Upper Missouri"", ""Key"": ""Upper Missouri"", ""Value"": null}, {""UniqueId"": ""9ebc5b994d7c47c8bac66b925b7f8679"", ""Name"": ""Dearborn"", ""Key"": ""Dearborn"", ""Value"": null}, {""UniqueId"": ""2ee02013db614ffa8c842e15879633be"", ""Name"": ""Discontinued"", ""Key"": ""Discontinued"", ""Value"": null}]",[],Discontinued,1
57,280734d8aaf348d8958232d87375339a,41U 03900,Middle Fork Dearborn,All Locations.DNRC WMB.Upper Missouri.Dearborn,Hydrology Station,0,-112.224100000000007,47.220379999999999,-PT7H,2/4/2021 19:30:11,ft,4059.000000000000000,Located near Highway 200 above confluence with Dearborn river,"[{""UniqueId"": ""0050e89ff43c43ee8d161c6d06693223"", ""Name"": ""DNRC WMB"", ""Key"": ""DNRC WMB"", ""Value"": null}, {""UniqueId"": ""1b939a66263447099c7e3f5f46e00920"", ""Name"": ""Upper Missouri"", ""Key"": ""Upper Missouri"", ""Value"": null}, {""UniqueId"": ""9ebc5b994d7c47c8bac66b925b7f8679"", ""Name"": ""Dearborn"", ""Key"": ""Dearborn"", ""Value"": null}, {""UniqueId"": ""2ee02013db614ffa8c842e15879633be"", ""Name"": ""Discontinued"", ""Key"": ""Discontinued"", ""Value"": null}]",[],Discontinued,1
58,2318247f661d458591b6b5d36dd36123,41U 04000,Dearborn River Highway 200,All Locations.DNRC WMB.Upper Missouri.Dearborn,Hydrology Station,0,-112.242320000000007,47.219430000000003,-PT7H,2/4/2021 19:31:37,ft,4051.400000000000091,Located below Middle Fork Confluence ,"[{""UniqueId"": ""0050e89ff43c43ee8d161c6d06693223"", ""Name"": ""DNRC WMB"", ""Key"": ""DNRC WMB"", ""Value"": null}, {""UniqueId"": ""1b939a66263447099c7e3f5f46e00920"", ""Name"": ""Upper Missouri"", ""Key"": ""Upper Missouri"", ""Value"": null}, {""UniqueId"": ""9ebc5b994d7c47c8bac66b925b7f8679"", ""Name"": ""Dearborn"", ""Key"": ""Dearborn"", ""Value"": null}, {""UniqueId"": ""2ee02013db614ffa8c842e15879633be"", ""Name"": ""Discontinued"", ""Key"": ""Discontinued"", ""Value"": null}]",[],Discontinued,1
59,d25dcc4171bd42bdb40ed3c8d324fb64,41U 05900,South Fork Dearborn,All Locations.DNRC WMB.Upper Missouri.Dearborn,Hydrology Station,0,-112.218829999999997,47.161189999999998,-PT7H,2/4/2021 19:32:48,m,4165.000000000000000,Located near Highway 434 crossing,"[{""UniqueId"": ""0050e89ff43c43ee8d161c6d06693223"", ""Name"": ""DNRC WMB"", ""Key"": ""DNRC WMB"", ""Value"": null}, {""UniqueId"": ""1b939a66263447099c7e3f5f46e00920"", ""Name"": ""Upper Missouri"", ""Key"": ""Upper Missouri"", ""Value"": null}, {""UniqueId"": ""9ebc5b994d7c47c8bac66b925b7f8679"", ""Name"": ""Dearborn"", ""Key"": ""Dearborn"", ""Value"": null}, {""UniqueId"": ""2ee02013db614ffa8c842e15879633be"", ""Name"": ""Discontinued"", ""Key"": ""Discontinued"", ""Value"": null}]",[],Discontinued,1
60,c92f2008f6de4f3ab0200f2176b12a5d,41U 08100,Flat Creek Highway 200,All Locations.DNRC WMB.Upper Missouri.Dearborn,Hydrology Station,0,-112.121589999999998,47.303379999999997,-PT7H,2/4/2021 19:35:23,ft,4043.000000000000000,Located below highway 200 crossing,"[{""UniqueId"": ""0050e89ff43c43ee8d161c6d06693223"", ""Name"": ""DNRC WMB"", ""Key"": ""DNRC WMB"", ""Value"": null}, {""UniqueId"": ""1b939a66263447099c7e3f5f46e00920"", ""Name"": ""Upper Missouri"", ""Key"": ""Upper Missouri"", ""Value"": null}, {""UniqueId"": ""9ebc5b994d7c47c8bac66b925b7f8679"", ""Name"": ""Dearborn"", ""Key"": ""Dearborn"", ""Value"": null}, {""UniqueId"": ""2ee02013db614ffa8c842e15879633be"", ""Name"": ""Discontinued"", ""Key"": ""Discontinued"", ""Value"": null}]",[],Discontinued,1
61,57a639e7156d4ae1a1e9ca0dec31649e,41U 08900,Lower Flat Creek,All Locations.DNRC WMB.Upper Missouri.Dearborn,Hydrology Station,0,-112.059169999999995,47.223500000000001,-PT7H,2/4/2021 18:00:04,ft,3838.000000000000000,Located below Birdtail road crossing,"[{""UniqueId"": ""0050e89ff43c43ee8d161c6d06693223"", ""Name"": ""DNRC WMB"", ""Key"": ""DNRC WMB"", ""Value"": null}, {""UniqueId"": ""1b939a66263447099c7e3f5f46e00920"", ""Name"": ""Upper Missouri"", ""Key"": ""Upper Missouri"", ""Value"": null}, {""UniqueId"": ""9ebc5b994d7c47c8bac66b925b7f8679"", ""Name"": ""Dearborn"", ""Key"": ""Dearborn"", ""Value"": null}, {""UniqueId"": ""2ee02013db614ffa8c842e15879633be"", ""Name"": ""Discontinued"", ""Key"": ""Discontinued"", ""Value"": null}]",[],Discontinued,1
