OID_,OBJECTID,RECORD_ID,PERMIT_NUMBER,RECORD_TYPE,WATER,STATUS,ENTITY_NAME,QUARTER3,QUARTER2,QUARTER1,SECTION,TOWNSHIP,RANGE,COUNTY,PERMIT_TYPE,TOTAL_PERMITTED_ACRE_FEET,PRIMARY_PURPOSE,DATE_FILED,DATE_ISSUED,HYDRO_UNIT,STREAM_SYSTEM,LATITUDE,LONGITUDE
640,10373,56141,19670009,Permit,Surface Water,Active,"Haley Estate, James K", , ,SE,20,05N,15WI,Washita,Regular,216,Irrigation,1/5/1967 0:00,10/13/1970 0:00,11130302,1083,34.88839759,-98.80061148
679,10377,56142,19670009,Permit,Surface Water,Active,"Haley Estate, James K", , ,SW,21,05N,15WI,Washita,Regular,216,Irrigation,1/5/1967 0:00,10/13/1970 0:00,11130302,1083,34.88844968,-98.79184353
719,10381,56143,19670009,Permit,Surface Water,Active,"Haley Estate, James K", , , ,27,05N,15WI,Washita,Regular,216,Irrigation,1/5/1967 0:00,10/13/1970 0:00,11130302,1083,34.87740237,-98.76984864
734,10382,56144,19670009,Permit,Surface Water,Active,"Haley Estate, James K", , , ,28,05N,15WI,Washita,Regular,216,Irrigation,1/5/1967 0:00,10/13/1970 0:00,11130302,1083,34.87748393,-98.78737417
579,10414,42586,20020046,Permit,Surface Water,Active,"Ichord, Mark", , ,SE,31,05N,16EI,Pittsburg,Regular,292,Irrigation,9/5/2002 0:00,2/11/2003 0:00,11090204,2030,34.85854627,-95.65277043
741,10417,16724,19670541,Permit,Surface Water,Active,"Farris, Kathryn", , ,SW,14,05N,16WI,Kiowa,Regular,50,Irrigation,6/5/1967 0:00,8/11/1970 0:00,11130302,1083,34.90283965,-98.86240735
721,10520,2049,19970010,Permit,Surface Water,Active,"Morris, Jeffrey R & Jana S", , ,NW,9,05N,18WI,Kiowa,Regular,297,Irrigation,4/16/1997 0:00,7/8/1997 0:00,11120303,1151,34.92504814,-99.10938518
911,10582,53541,20060013,Permit,Surface Water,Active,"McCabe, Johnny R & Sandra",SW,SE,NW,14,05N,19EI,Latimer,Regular,48,Irrigation,2/24/2006 0:00,5/9/2006 0:00,11110105,2010,34.90650367,-95.27356265
901,10583,53540,20060013,Permit,Surface Water,Active,"McCabe, Johnny R & Sandra",S2,SW,NW,14,05N,19EI,Latimer,Regular,48,Irrigation,2/24/2006 0:00,5/9/2006 0:00,11110105,2010,34.90650095,-95.27686705
820,10588,9136,19650245,Permit,Surface Water,Active,"Hicks, Margie Koester", , ,NE,19,05N,19WI,Kiowa,Regular,15,Irrigation,4/5/1965 0:00,5/11/1965 0:00,11120303,1151,34.89625986,-99.24174286
792,10617,38194,19800055,Permit,Surface Water,Active,"Penner, Herbert", , , ,22,05N,20EC,Beaver,Regular,150,Irrigation,4/9/1980 0:00,3/13/1984 0:00,11100104,2054,36.88513059,-100.8826221
789,10670,50286,19710102,Permit,Surface Water,Active,Fourche Maline Cons Dist 10, , , ,23,05N,20EI,Latimer,Regular,153,"Recreation, Fish, Wildlife",3/8/1971 0:00,5/11/1971 0:00,11110105,2010,34.89115051,-95.16474513
781,10673,50287,19710102,Permit,Surface Water,Active,Fourche Maline Cons Dist 10, , ,N2,26,05N,20EI,Latimer,Regular,153,"Recreation, Fish, Wildlife",3/8/1971 0:00,5/11/1971 0:00,11110105,2010,34.88027205,-95.16473435
527,10680,34385,19780028,Permit,Surface Water,Active,"Corrections, Dept of", , ,N2,6,05N,20WI,Greer,Regular,248,Irrigation,3/22/1978 0:00,7/11/1978 0:00,11120304,1180,34.93977637,-99.3516755
712,10704,40068,19390023,Permit,Surface Water,Active,Lugert - Altus Irrig District, , , ,22,05N,20WI,Jackson,Vested,85630,Irrigation,7/13/1939 0:00,4/14/1964 0:00,11120302,1152,34.89257488,-99.29884501
749,10705,10282,19900029,Permit,Surface Water,Active,"Tourism & Recreation, Dept of", ,S2,SW,22,05N,20WI,Kiowa,Regular,100,Irrigation,8/22/1990 0:00,11/13/1990 0:00,11120303,1152,34.88711414,-99.30328284
517,10708,10285,19900029,Permit,Surface Water,Active,"Tourism & Recreation, Dept of", , ,NW,27,05N,20WI,Kiowa,Regular,100,Irrigation,8/22/1990 0:00,11/13/1990 0:00,11120303,1152,34.88174489,-99.30329052
629,10758,34387,19780028,Permit,Surface Water,Active,"Corrections, Dept of", , ,N2,1,05N,21WI,Greer,Regular,248,Irrigation,3/22/1978 0:00,7/11/1978 0:00,11120304,1180,34.93982741,-99.36940036
521,10759,41923,19551387,Permit,Surface Water,Active,"Corrections, Dept of", , ,N2,1,05N,21WI,Greer,Vested,200,Irrigation,8/19/1955 0:00,8/11/1964 0:00,11120304,1180,34.93982741,-99.36940036
651,10855,43496,19640756,Permit,Surface Water,Active,"Taylor, Delbert", ,S2,NW,35,05N,22WI,Greer,Regular,36,Irrigation,8/31/1964 0:00,11/10/1964 0:00,11120202,1160,34.86576966,-99.49811018
856,10885,40781,19900012,Permit,Surface Water,Active,"Wildlife Conservation, Dept of", , ,N2,11,05N,23EI,Le Flore,Regular,600,"Recreation, Fish, Wildlife",3/28/1990 0:00,9/12/1990 0:00,11110105,2010,34.92391895,-94.84867434
628,10886,40791,19900012,Permit,Surface Water,Active,"Wildlife Conservation, Dept of",N2,N2,S2,11,05N,23EI,Le Flore,Regular,600,"Recreation, Fish, Wildlife",3/28/1990 0:00,9/12/1990 0:00,11110105,2010,34.91938046,-94.84866254
865,10922,59264,19850043,Permit,Surface Water,Active,OG&E Energy Corp, , , ,1,05N,24EI,Le Flore,Regular,11600,Power,8/8/1985 0:00,1/14/1986 0:00,11110105,2010,34.93477305,-94.72550365
738,10987,46445,19360074,Permit,Surface Water,Active,Heavener Utilities Authority, , , ,19,05N,26EI,Le Flore,Vested,350,Public Supply,7/18/1936 0:00,6/8/1965 0:00,11110105,2010,34.89138912,-94.60225952
840,10988,7728,19800105,Permit,Surface Water,Active,Heavener Utilities Authority, , , ,19,05N,26EI,Le Flore,Regular,284,Public Supply,8/20/1980 0:00,1/13/1981 0:00,11110105,2010,34.89138912,-94.60225952
878,10989,11419,19940038,Permit,Surface Water,Active,Heavener Utilities Authority, , , ,19,05N,26EI,Le Flore,Regular,3075,Public Supply,6/9/1994 0:00,1/10/1995 0:00,11110105,2010,34.89138912,-94.60225952
841,11002,33308,19990009,Permit,Surface Water,Active,"Rabourn, Jasper Miller",S2,S2,SE,21,05N,27EI,Le Flore,Regular,320,Irrigation,2/23/1999 0:00,5/11/1999 0:00,11110105,2010,34.88526581,-94.45650738
516,11003,32857,19990009,Permit,Surface Water,Active,"Rabourn, Jasper Miller", , ,N2,28,05N,27EI,Le Flore,Regular,320,Irrigation,2/23/1999 0:00,5/11/1999 0:00,11110105,2010,34.88061936,-94.46090555
737,11006,32858,19990009,Permit,Surface Water,Active,"Rabourn, Jasper Miller", , , ,29,05N,27EI,Le Flore,Regular,320,Irrigation,2/23/1999 0:00,5/11/1999 0:00,11110105,2010,34.87706628,-94.47856104
623,11016,44537,19400041,Permit,Surface Water,Active,"Kasper, Clayton", ,SE,SW,16,05N,28EC,Beaver,Vested,50,Irrigation,5/1/1940 0:00,12/12/1967 0:00,11040008,2093,36.89354722,-100.0507201
751,11017,44538,19400041,Permit,Surface Water,Active,"Kasper, Clayton", ,SW,SE,16,05N,28EC,Beaver,Vested,50,Irrigation,5/1/1940 0:00,12/12/1967 0:00,11040008,2093,36.89352866,-100.0462042
548,11018,44539,19400041,Permit,Surface Water,Active,"Kasper, Clayton", ,NE,NW,21,05N,28EC,Beaver,Vested,50,Irrigation,5/1/1940 0:00,12/12/1967 0:00,11040008,2093,36.88983494,-100.0508068
650,11059,53187,19870014,Permit,Surface Water,Active,Dolese Bros Co, ,W2,SE,27,05S,01EI,Carter,Regular,80,Industrial,4/8/1987 0:00,6/9/1987 0:00,11130210,1090,34.08911808,-97.18437743
886,11060,51552,19870014,Permit,Surface Water,Active,Dolese Bros Co, ,NE,SW,27,05S,01EI,Carter,Regular,80,Industrial,4/8/1987 0:00,6/9/1987 0:00,11130210,1090,34.0909299,-97.18874225
569,11061,51553,19870014,Permit,Surface Water,Active,Dolese Bros Co, , ,NW,27,05S,01EI,Carter,Regular,80,Industrial,4/8/1987 0:00,6/9/1987 0:00,11130210,1090,34.09640519,-97.19094925
696,11071,41824,19560081,Permit,Surface Water,Active,"Tourism & Recreation, Dept of", , ,S2,33,05S,02EI,Carter,Vested,240,"Recreation, Fish, Wildlife",1/31/1956 0:00,5/11/1965 0:00,11130210,1090,34.07457023,-97.0990738
746,11072,17938,19770165,Permit,Surface Water,Active,"Tourism & Recreation, Dept of", ,NE,SE,34,05S,02EI,Carter,Regular,12620,"Recreation, Fish, Wildlife",11/14/1977 0:00,3/14/1978 0:00,11130210,1090,34.07638697,-97.07503916
674,11073,4689,19800141,Permit,Surface Water,Active,"Scott, Lee", , ,NE,36,05S,02EI,Carter,Regular,300,Irrigation,9/17/1980 0:00,12/9/1980 0:00,11130210,1090,34.08188004,-97.0424248
1487,11074,8573,19800141,Permit,Surface Water,Active,"Scott, Lee", ,E2,NW,36,05S,02EI,Carter,Regular,300,Irrigation,9/17/1980 0:00,12/9/1980 0:00,11130210,1090,34.08185889,-97.04890061
1115,11102,53831,20050006,Permit,Surface Water,Active,"Hauani Creek Ranch LLC,", ,NE,SE,25,05S,03EI,Marshall,Regular,426.4,Irrigation,3/7/2005 0:00,6/14/2005 0:00,11130210,1090,34.09102735,-96.93548432
1071,11126,51688,19730156,Permit,Surface Water,Active,"Combs, Alden", , ,NW,29,05S,04EI,Marshall,Regular,60,Irrigation,5/3/1973 0:00,12/11/1973 0:00,11130210,1090,34.09642835,-96.91136323
1462,11127,51690,19730156,Permit,Surface Water,Active,"Combs, Alden", ,NW,SE,29,05S,04EI,Marshall,Regular,60,Irrigation,5/3/1973 0:00,12/11/1973 0:00,11130210,1090,34.09101585,-96.90480452
1421,11128,51689,19730156,Permit,Surface Water,Active,"Combs, Alden", ,NW,NE,29,05S,04EI,Marshall,Regular,60,Irrigation,5/3/1973 0:00,12/11/1973 0:00,11130210,1090,34.09821457,-96.90480174
1445,11129,53832,20050006,Permit,Surface Water,Active,"Hauani Creek Ranch LLC,", , ,SW,30,05S,04EI,Marshall,Regular,426.4,Irrigation,3/7/2005 0:00,6/14/2005 0:00,11130210,1090,34.08921483,-96.92888215
1002,11130,53833,20050006,Permit,Surface Water,Active,"Hauani Creek Ranch LLC,", , , ,31,05S,04EI,Marshall,Regular,426.4,Irrigation,3/7/2005 0:00,6/14/2005 0:00,11130210,1090,34.0783192,-96.92444045
1188,11131,51691,19730156,Permit,Surface Water,Active,"Combs, Alden", ,NW,NE,32,05S,04EI,Marshall,Regular,60,Irrigation,5/3/1973 0:00,12/11/1973 0:00,11130210,1090,34.08373203,-96.90484866
1366,11132,51693,19730156,Permit,Surface Water,Active,"Combs, Alden", ,NE,NW,32,05S,04EI,Marshall,Regular,60,Irrigation,5/3/1973 0:00,12/11/1973 0:00,11130210,1090,34.08373268,-96.90922795
1476,11133,51692,19730156,Permit,Surface Water,Active,"Combs, Alden", ,NE,NE,32,05S,04EI,Marshall,Regular,60,Irrigation,5/3/1973 0:00,12/11/1973 0:00,11130210,1090,34.08373367,-96.90045995
1258,11180,28960,19810185,Permit,Surface Water,Active,Woody Cattle & Land Co, ,W2,NE,29,05S,06EI,Marshall,Regular,160,Irrigation,10/26/1981 0:00,1/12/1982 0:00,11130304,1090,34.09624614,-96.69518774
1028,11181,29157,19810185,Permit,Surface Water,Active,Woody Cattle & Land Co,N2,SE,NE,29,05S,06EI,Marshall,Regular,160,Irrigation,10/26/1981 0:00,1/12/1982 0:00,11130304,1090,34.09530816,-96.69081234
1402,11182,29156,19810185,Permit,Surface Water,Active,Woody Cattle & Land Co, ,W2,E2,29,05S,06EI,Marshall,Regular,160,Irrigation,10/26/1981 0:00,1/12/1982 0:00,11130304,1090,34.09265245,-96.69519224
1148,11184,29166,19810185,Permit,Surface Water,Active,Woody Cattle & Land Co,E2,E2,NE,32,05S,06EI,Marshall,Regular,160,Irrigation,10/26/1981 0:00,1/12/1982 0:00,11130304,1090,34.08173211,-96.68974772
1110,11185,29167,19810185,Permit,Surface Water,Active,Woody Cattle & Land Co, ,W2,NW,33,05S,06EI,Marshall,Regular,160,Irrigation,10/26/1981 0:00,1/12/1982 0:00,11130304,1090,34.08173106,-96.68652169
1181,11205,28835,19860030,Permit,Surface Water,Active,"McClure, Robert A and Carrie K", , ,NE,34,05S,08EI,Bryan,Regular,30,Irrigation,7/11/1986 0:00,9/9/1986 0:00,11140102,1060,34.08115095,-96.44721659
1477,11297,12363,19540683,Permit,Surface Water,Active,"Parkey, David", , ,NW,5,05S,10WI,Cotton,Vested,172,Irrigation,9/23/1954 0:00,6/9/1964 0:00,11130202,1131,34.15529455,-98.27468049
1134,11298,10339,19830059,Permit,Surface Water,Active,"Parkey, Richard A", , ,SW,5,05S,10WI,Cotton,Regular,180,Irrigation,9/13/1983 0:00,12/13/1983 0:00,11130202,1131,34.14804381,-98.27456967
1368,11299,10553,19830059,Permit,Surface Water,Active,"Parkey, Richard A", , ,SE,5,05S,10WI,Cotton,Regular,180,Irrigation,9/13/1983 0:00,12/13/1983 0:00,11130202,1131,34.1480194,-98.26582596
1385,11300,16178,19540769,Permit,Surface Water,Active,"Dupler, Lester R", , ,S2,5,05S,10WI,Cotton,Vested,35,Irrigation,10/2/1954 0:00,6/9/1964 0:00,11130202,1131,34.14803172,-98.27023996
1345,11301,10338,19830059,Permit,Surface Water,Active,"Parkey, Richard A", , ,NE,5,05S,10WI,Cotton,Regular,180,Irrigation,9/13/1983 0:00,12/13/1983 0:00,11130202,1131,34.15528528,-98.26589831
1411,11338,39303,20060015,Permit,Surface Water,Active,"Wood, L Ray", ,SE,SE,14,05S,13EI,Choctaw,Regular,367,Irrigation,3/1/2006 0:00,7/11/2006 0:00,11140104,1042,34.11485278,-95.90564382
1039,11339,39304,20060015,Permit,Surface Water,Active,"Wood, L Ray", ,E2,NE,23,05S,13EI,Choctaw,Regular,367,Irrigation,3/1/2006 0:00,7/11/2006 0:00,11140104,1042,34.10951927,-95.9056353
1363,11340,39310,20060015,Permit,Surface Water,Active,"Wood, L Ray", ,E2,SE,23,05S,13EI,Choctaw,Regular,367,Irrigation,3/1/2006 0:00,7/11/2006 0:00,11140104,1042,34.10237166,-95.90561977
1273,11341,41047,20060015,Permit,Surface Water,Active,"Wood, L Ray", ,W2,W2,24,05S,13EI,Choctaw,Regular,367,Irrigation,3/1/2006 0:00,7/11/2006 0:00,11140104,1042,34.10588865,-95.90123999
1189,11343,22557,20030006,Permit,Surface Water,Active,Mallard Farms LLC, , , ,24,05S,13EI,Choctaw,Regular,300,"Recreation, Fish, Wildlife",3/3/2003 0:00,9/9/2003 0:00,11140104,1042,34.1058464,-95.89468797
1014,11353,42002,19990003,Permit,Surface Water,Active,"Webb, W S Jr & Mary Frances", , ,SE,6,05S,14EI,Choctaw,Regular,20,Commercial,1/6/1999 0:00,4/13/1999 0:00,11140103,1041,34.14582674,-95.87381926
1006,11367,41465,19980049,Permit,Surface Water,Active,BC Wetlands LTD, , , ,23,05S,14EI,Choctaw,Regular,1100,"Recreation, Fish, Wildlife",10/26/1998 0:00,9/12/1999 0:00,11140103,1041,34.10586747,-95.80829953
1253,11368,43267,19980049,Permit,Surface Water,Active,BC Wetlands LTD, , , ,24,05S,14EI,Choctaw,Regular,1100,"Recreation, Fish, Wildlife",10/26/1998 0:00,9/12/1999 0:00,11140103,1041,34.10583754,-95.79096232
1150,11375,44725,19980049,Permit,Surface Water,Active,BC Wetlands LTD, , , ,25,05S,14EI,Choctaw,Regular,1100,"Recreation, Fish, Wildlife",10/26/1998 0:00,9/12/1999 0:00,11140103,1041,34.09143563,-95.79091096
1212,11376,44988,19980049,Permit,Surface Water,Active,BC Wetlands LTD, , , ,26,05S,14EI,Choctaw,Regular,1100,"Recreation, Fish, Wildlife",10/26/1998 0:00,9/12/1999 0:00,11140103,1041,34.09143393,-95.80835892
1130,11409,39119,19660677,Permit,Surface Water,Active,"Wildlife Conservation, Dept of", , ,NW,19,05S,18EI,Choctaw,Regular,90,"Recreation, Fish, Wildlife",11/22/1966 0:00,2/6/1967 0:00,11140105,1030,34.10975172,-95.46518858
1329,11410,39120,19660677,Permit,Surface Water,Active,"Wildlife Conservation, Dept of", , ,E2,24,05S,18EI,Choctaw,Regular,90,"Recreation, Fish, Wildlife",11/22/1966 0:00,2/6/1967 0:00,11140105,1030,34.10631113,-95.36929309
1484,11416,13298,20020016,Permit,Surface Water,Active,"Smith, Bryant & Mavis", ,W2,E2,5,05S,23EI,McCurtain,Regular,1900,Public Supply,3/26/2002 0:00,6/11/2002 0:00,11140107,1020,34.14985636,-94.91968814
1018,11417,18165,20020016,Permit,Surface Water,Active,"Smith, Bryant & Mavis", ,N2,NE,8,05S,23EI,McCurtain,Regular,1900,Public Supply,3/26/2002 0:00,6/11/2002 0:00,11140107,1020,34.14070366,-94.91767174
1166,11425,19483,19480077,Permit,Surface Water,Active,"McKinney, Fred", , ,W2,33,05S,23EI,McCurtain,Vested,89,Irrigation,8/24/1948 0:00,2/9/1965 0:00,11140107,1020,34.07725698,-94.90896819
1108,11426,19485,19650005,Permit,Surface Water,Active,"Lycklama'a Nijeholt, Tsjerk and Tiete", , ,NW,33,05S,23EI,McCurtain,Regular,40,Irrigation,1/4/1965 0:00,3/9/1965 0:00,11140107,1020,34.08085957,-94.90896661
1177,11437,35501,19500175,Permit,Surface Water,Active,Roberts Ranch, ,SW,SE,33,06N,01EC,Cimarron,Vested,60,Irrigation,6/29/1950 0:00,12/12/1967 0:00,11040001,2094,36.93857032,-102.9550634
1464,11444,35731,19500175,Permit,Surface Water,Active,Roberts Ranch, ,SW,SE,34,06N,01EC,Cimarron,Vested,60,Irrigation,6/29/1950 0:00,12/12/1967 0:00,11040001,2094,36.93869183,-102.9369817
1170,11445,35732,19500175,Permit,Surface Water,Active,Roberts Ranch, ,SW,SW,34,06N,01EC,Cimarron,Vested,60,Irrigation,6/29/1950 0:00,12/12/1967 0:00,11040001,2094,36.93862973,-102.9460315
1252,11457,41958,19780178,Permit,Surface Water,Active,Siromi Raveen Farms LLC, ,NE,SW,24,06N,01EI,Cleveland,Regular,28,"Recreation, Fish, Wildlife",12/6/1978 0:00,3/13/1979 0:00,11090202,2061,34.9768288,-97.15302913
1255,11458,49804,20060001,Permit,Surface Water,Active,"Karges Revocable Trust, Brock Robert", , ,SE,34,06N,01EI,Cleveland,Regular,4626,Irrigation,1/5/2006 0:00,3/14/2006 0:00,11090202,2061,34.94598461,-97.18184825
1141,11459,49577,20060001,Permit,Surface Water,Active,"Karges Revocable Trust, Brock Robert", ,E2,SW,34,06N,01EI,Cleveland,Regular,4626,Irrigation,1/5/2006 0:00,3/14/2006 0:00,11090202,2061,34.94599201,-97.18845957
1146,11460,50842,20060001,Permit,Surface Water,Active,"Karges Revocable Trust, Brock Robert", ,SE,NW,34,06N,01EI,Cleveland,Regular,4626,Irrigation,1/5/2006 0:00,3/14/2006 0:00,11090202,2061,34.95140716,-97.18845569
1491,11461,49576,20060001,Permit,Surface Water,Active,"Karges Revocable Trust, Brock Robert", ,S2,NE,34,06N,01EI,Cleveland,Regular,4626,Irrigation,1/5/2006 0:00,3/14/2006 0:00,11090202,2061,34.95140859,-97.18185578
1111,11462,50859,20060001,Permit,Surface Water,Active,"Karges Revocable Trust, Brock Robert", , ,S2,35,06N,01EI,Cleveland,Regular,4626,Irrigation,1/5/2006 0:00,3/14/2006 0:00,11090202,2061,34.94600777,-97.16863871
1157,11463,50860,20060001,Permit,Surface Water,Active,"Karges Revocable Trust, Brock Robert", , ,SW,36,06N,01EI,Cleveland,Regular,4626,Irrigation,1/5/2006 0:00,3/14/2006 0:00,11090202,2061,34.9460159,-97.15532479
1025,11509,47674,20060001,Permit,Surface Water,Active,"Karges Revocable Trust, Brock Robert", ,E2,NE,34,06N,02EI,Pottawatomie,Regular,4626,Irrigation,1/5/2006 0:00,3/14/2006 0:00,11090202,2061,34.9531432,-97.07394672
1325,11510,47675,20060001,Permit,Surface Water,Active,"Karges Revocable Trust, Brock Robert", ,NE,SE,34,06N,02EI,Pottawatomie,Regular,4626,Irrigation,1/5/2006 0:00,3/14/2006 0:00,11090202,2061,34.94773074,-97.07391863
1116,11513,12724,19030001,Permit,Surface Water,Active,"See, Marilyn", ,S2,SE,34,06N,03EC,Cimarron,Vested,106,Irrigation,6/15/1903 0:00,12/12/1967 0:00,11040002,2094,36.93866572,-102.7181167
1448,11515,21378,19690004,Permit,Surface Water,Active,"Christian, Glen",W2,E2,SW,26,06N,03WI,McClain,Regular,14,Irrigation,1/3/1969 0:00,5/11/1971 0:00,11130303,1082,34.96066986,-97.48887554
1234,11516,22591,19690004,Permit,Surface Water,Active,"Christian, Glen", , ,W2,26,06N,03WI,McClain,Regular,14,Irrigation,1/3/1969 0:00,5/11/1971 0:00,11130303,1082,34.96429574,-97.49000489
1101,11517,22533,19710563,Permit,Surface Water,Active,"Christian, Glen",NE,NE,SW,26,06N,03WI,McClain,Regular,95,Irrigation,12/27/1971 0:00,5/9/1972 0:00,11130303,1082,34.96338336,-97.48666885
1388,11518,22532,19710563,Permit,Surface Water,Active,"Christian, Glen",NW,NW,SE,26,06N,03WI,McClain,Regular,95,Irrigation,12/27/1971 0:00,5/9/1972 0:00,11130303,1082,34.96338503,-97.48446685
1281,11519,22531,19710563,Permit,Surface Water,Active,"Christian, Glen",W2,W2,NE,26,06N,03WI,McClain,Regular,95,Irrigation,12/27/1971 0:00,5/9/1972 0:00,11130303,1082,34.96791922,-97.48447692
1230,11520,22530,19710563,Permit,Surface Water,Active,"Christian, Glen", ,E2,NW,26,06N,03WI,McClain,Regular,95,Irrigation,12/27/1971 0:00,5/9/1972 0:00,11130303,1082,34.9679179,-97.48777388
1347,11524,17337,19340058,Permit,Surface Water,Active,"Clark, Frank", ,S2,SE,32,06N,04EC,Cimarron,Vested,245,Irrigation,1/11/1934 0:00,12/12/1967 0:00,11040002,2094,36.93853465,-102.6456782
1288,11525,17338,19340058,Permit,Surface Water,Active,"Clark, Frank", , ,S2,33,06N,04EC,Cimarron,Vested,245,Irrigation,1/11/1934 0:00,12/12/1967 0:00,11040002,2094,36.94037899,-102.6322212
1013,11543,26091,19160052,Permit,Surface Water,Active,Kohler Ranch, , , ,31,06N,05EC,Cimarron,Vested,2480,Irrigation,12/14/1916 0:00,12/12/1967 0:00,11040002,2094,36.94360943,-102.5603778
1213,11544,32020,19160052,Permit,Surface Water,Active,Kohler Ranch, ,SW,SW,32,06N,05EC,Cimarron,Vested,2480,Irrigation,12/14/1916 0:00,12/12/1967 0:00,11040002,2094,36.93813771,-102.5493568
1285,11545,25240,19900035,Permit,Surface Water,Active,"Pierson, David and Rowena", ,SW,SE,11,06N,05EI,Seminole,Regular,15,"Recreation, Fish, Wildlife",11/1/1990 0:00,3/12/1991 0:00,11090203,2080,35.0014172,-96.74678452
1231,11546,33929,19900035,Permit,Surface Water,Active,"Pierson, David and Rowena",E2,NW,SE,11,06N,05EI,Seminole,Regular,15,"Recreation, Fish, Wildlife",11/1/1990 0:00,3/12/1991 0:00,11090203,2080,35.00504065,-96.74569166
1466,11547,40670,19690369,Permit,Surface Water,Active,Oklahoma Gas & Electric Company, ,SW,SW,18,06N,05EI,Pottawatomie,Regular,224,Power,8/21/1969 0:00,2/10/1970 0:00,11090202,1041,34.98748678,-96.82463029
1478,11549,33833,19690369,Permit,Surface Water,Active,Oklahoma Gas & Electric Company, , ,NW,25,06N,05EI,Seminole,Regular,224,Power,8/21/1969 0:00,2/10/1970 0:00,11090202,1041,34.96694621,-96.73568646
1160,11575,54844,19900027,Permit,Surface Water,Active,"Chitwood Living Trust, Elanna", ,E2,NE,18,06N,05WI,Grady,Regular,150,Irrigation,7/13/1990 0:00,11/13/1990 0:00,11130303,1082,34.99691241,-97.76110851
1080,11576,51920,19900027,Permit,Surface Water,Active,"Chitwood Living Trust, Elanna", , ,SE,18,06N,05WI,Grady,Regular,150,Irrigation,7/13/1990 0:00,11/13/1990 0:00,11130303,1082,34.98957519,-97.76331802
1075,11577,49914,19920002,Permit,Surface Water,Active,"Williams, Robert C & Marcia M", ,W2,NW,30,06N,05WI,Grady,Regular,188,Irrigation,1/21/1992 0:00,4/14/1992 0:00,11130303,1082,34.96772688,-97.77425475
1076,11583,1713,19690230,Permit,Surface Water,Active,"Standridge, Estel", ,W2,SW,4,06N,06WI,Grady,Regular,21,Irrigation,5/7/1969 0:00,6/8/1971 0:00,11130302,1082,35.01866311,-97.84469971
1312,11589,5598,19690228,Permit,Surface Water,Active,"Standridge, Estel", ,SW,NE,4,06N,06WI,Grady,Regular,63,Irrigation,5/7/1969 0:00,4/11/1972 0:00,11130302,1082,35.02411624,-97.83588969
1475,11590,5590,19690228,Permit,Surface Water,Active,"Standridge, Estel", ,W2,SE,4,06N,06WI,Grady,Regular,63,Irrigation,5/7/1969 0:00,4/11/1972 0:00,11130302,1082,35.0186864,-97.83589029
1073,11591,7672,19690228,Permit,Surface Water,Active,"Standridge, Estel", ,E2,SW,4,06N,06WI,Grady,Regular,63,Irrigation,5/7/1969 0:00,4/11/1972 0:00,11130302,1082,35.01867893,-97.84030285
1374,11592,1906,19690230,Permit,Surface Water,Active,"Standridge, Estel", ,NE,SE,5,06N,06WI,Grady,Regular,21,Irrigation,5/7/1969 0:00,6/8/1971 0:00,11130302,1082,35.02045629,-97.84909943
1215,11594,24226,19560668,Permit,Surface Water,Active,"Cunningham, Howard", ,N2,SW,5,06N,06WI,Grady,Vested,191.6,Irrigation,9/11/1956 0:00,8/12/1969 0:00,11130302,1082,35.02047247,-97.86014064
1137,11595,24225,19560668,Permit,Surface Water,Active,"Cunningham, Howard", ,W2,NW,5,06N,06WI,Grady,Vested,191.6,Irrigation,9/11/1956 0:00,8/12/1969 0:00,11130302,1082,35.02595302,-97.8623586
1067,11598,42064,19510056,Permit,Surface Water,Active,McNeff Dairy Farm, , , ,5,06N,06WI,Grady,Vested,165,Irrigation,5/18/1951 0:00,8/12/1969 0:00,11130302,1082,35.02235308,-97.85570746
1391,11599,38722,19960042,Permit,Surface Water,Active,"Cunningham, Ernest A & Mary A", , ,SE,5,06N,06WI,Grady,Regular,640,Irrigation,7/9/1996 0:00,9/10/1996 0:00,11130302,1082,35.01865932,-97.85130666
1287,11600,38723,19960042,Permit,Surface Water,Active,"Cunningham, Ernest A & Mary A", ,W2,NE,5,06N,06WI,Grady,Regular,640,Irrigation,7/9/1996 0:00,9/10/1996 0:00,11130302,1082,35.02594,-97.8535104
1219,11601,43494,19960042,Permit,Surface Water,Active,"Cunningham, Ernest A & Mary A", ,SE,SW,5,06N,06WI,Grady,Regular,640,Irrigation,7/9/1996 0:00,9/10/1996 0:00,11130302,1082,35.01687627,-97.85793181
1335,11602,43499,19680447A,Permit,Surface Water,Active,"Cunningham, Howard", ,SW,NW,5,06N,06WI,Grady,Regular,33,Irrigation,12/20/1968 0:00,4/13/1971 0:00,11130302,1082,35.02407636,-97.86235723
1449,11603,43493,19960042,Permit,Surface Water,Active,"Cunningham, Ernest A & Mary A", ,E2,NW,5,06N,06WI,Grady,Regular,640,Irrigation,7/9/1996 0:00,9/10/1996 0:00,11130302,1082,35.02593933,-97.85794055
1100,11605,42065,19510056,Permit,Surface Water,Active,McNeff Dairy Farm, , , ,6,06N,06WI,Grady,Vested,165,Irrigation,5/18/1951 0:00,8/12/1969 0:00,11130302,1082,35.02232766,-97.87321892
