inVariable,inReportingUnitTypeCV,inReportingUnitName,inReportingUnitNativeID,inYear,inBenUse,inAmount,inTimeframeStart,inTimeframeEnd
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14545,2015,Agriculture,5800.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14545,2015,Instream Flow Requirements,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14545,2015,Managed Wetlands,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14545,2015,Required Delta Outflow,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14545,2015,Urban,2600.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14545,2015,Wild and Scenic River,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2011,Agriculture,6300.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2011,Instream Flow Requirements,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2011,Managed Wetlands,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2011,Required Delta Outflow,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2011,Urban,100.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2011,Wild and Scenic River,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2012,Agriculture,7600.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2012,Instream Flow Requirements,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2012,Managed Wetlands,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2012,Required Delta Outflow,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2012,Urban,100.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2012,Wild and Scenic River,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2013,Agriculture,8100.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2013,Instream Flow Requirements,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2013,Managed Wetlands,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2013,Required Delta Outflow,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2013,Urban,100.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2013,Wild and Scenic River,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2014,Agriculture,8700.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2014,Instream Flow Requirements,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2014,Managed Wetlands,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2014,Required Delta Outflow,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2014,Urban,100.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2014,Wild and Scenic River,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2015,Agriculture,2300.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2015,Instream Flow Requirements,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2015,Managed Wetlands,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2015,Required Delta Outflow,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2015,Urban,100.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Cow-Battle Creek,DAU14552,2015,Wild and Scenic River,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2011,Agriculture,700.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2011,Instream Flow Requirements,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2011,Managed Wetlands,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2011,Required Delta Outflow,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2011,Urban,6800.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2011,Wild and Scenic River,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2012,Agriculture,1000.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2012,Instream Flow Requirements,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2012,Managed Wetlands,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2012,Required Delta Outflow,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2012,Urban,6900.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2012,Wild and Scenic River,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2013,Agriculture,700.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2013,Instream Flow Requirements,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2013,Managed Wetlands,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2013,Required Delta Outflow,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2013,Urban,7500.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2013,Wild and Scenic River,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2014,Agriculture,100.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2014,Instream Flow Requirements,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2014,Managed Wetlands,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2014,Required Delta Outflow,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2014,Urban,8200.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2014,Wild and Scenic River,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2015,Agriculture,800.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2015,Instream Flow Requirements,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2015,Managed Wetlands,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2015,Required Delta Outflow,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2015,Urban,7000.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14704,2015,Wild and Scenic River,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2011,Agriculture,5500.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2011,Instream Flow Requirements,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2011,Managed Wetlands,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2011,Required Delta Outflow,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2011,Urban,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2011,Wild and Scenic River,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2012,Agriculture,6500.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2012,Instream Flow Requirements,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2012,Managed Wetlands,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2012,Required Delta Outflow,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2012,Urban,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2012,Wild and Scenic River,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2013,Agriculture,6700.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2013,Instream Flow Requirements,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2013,Managed Wetlands,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2013,Required Delta Outflow,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2013,Urban,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2013,Wild and Scenic River,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2014,Agriculture,7000.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2014,Instream Flow Requirements,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2014,Managed Wetlands,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2014,Required Delta Outflow,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2014,Urban,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2014,Wild and Scenic River,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2015,Agriculture,7200.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2015,Instream Flow Requirements,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2015,Managed Wetlands,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2015,Required Delta Outflow,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2015,Urban,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Eastside Creek Group,DAU14752,2015,Wild and Scenic River,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2011,Agriculture,700.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2011,Instream Flow Requirements,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2011,Managed Wetlands,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2011,Required Delta Outflow,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2011,Urban,2400.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2011,Wild and Scenic River,1953200.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2012,Agriculture,900.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2012,Instream Flow Requirements,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2012,Managed Wetlands,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2012,Required Delta Outflow,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2012,Urban,2300.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2012,Wild and Scenic River,914500.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2013,Agriculture,800.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2013,Instream Flow Requirements,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2013,Managed Wetlands,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2013,Required Delta Outflow,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2013,Urban,2400.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2013,Wild and Scenic River,790300.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2014,Agriculture,200.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2014,Instream Flow Requirements,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2014,Managed Wetlands,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2014,Required Delta Outflow,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2014,Urban,2400.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2014,Wild and Scenic River,417700.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2015,Agriculture,800.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2015,Instream Flow Requirements,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2015,Managed Wetlands,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2015,Required Delta Outflow,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2015,Urban,2500.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15404,2015,Wild and Scenic River,485500.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2011,Agriculture,18300.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2011,Instream Flow Requirements,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2011,Managed Wetlands,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2011,Required Delta Outflow,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2011,Urban,700.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2011,Wild and Scenic River,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2012,Agriculture,22600.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2012,Instream Flow Requirements,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2012,Managed Wetlands,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2012,Required Delta Outflow,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2012,Urban,500.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2012,Wild and Scenic River,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2013,Agriculture,21800.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2013,Instream Flow Requirements,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2013,Managed Wetlands,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2013,Required Delta Outflow,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2013,Urban,600.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2013,Wild and Scenic River,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2014,Agriculture,24500.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2014,Instream Flow Requirements,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2014,Managed Wetlands,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2014,Required Delta Outflow,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2014,Urban,600.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2014,Wild and Scenic River,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2015,Agriculture,22000.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2015,Instream Flow Requirements,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2015,Managed Wetlands,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2015,Required Delta Outflow,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2015,Urban,500.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15418,2015,Wild and Scenic River,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2011,Agriculture,68700.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2011,Instream Flow Requirements,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2011,Managed Wetlands,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2011,Required Delta Outflow,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2011,Urban,6900.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2011,Wild and Scenic River,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2012,Agriculture,85500.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2012,Instream Flow Requirements,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2012,Managed Wetlands,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2012,Required Delta Outflow,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2012,Urban,7300.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2012,Wild and Scenic River,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2013,Agriculture,90300.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2013,Instream Flow Requirements,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2013,Managed Wetlands,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2013,Required Delta Outflow,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2013,Urban,9700.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2013,Wild and Scenic River,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2014,Agriculture,89000.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2014,Instream Flow Requirements,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2014,Managed Wetlands,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2014,Required Delta Outflow,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2014,Urban,9700.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2014,Wild and Scenic River,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2015,Agriculture,67200.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2015,Instream Flow Requirements,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2015,Managed Wetlands,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2015,Required Delta Outflow,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2015,Urban,9500.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15432,2015,Wild and Scenic River,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2011,Agriculture,37100.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2011,Instream Flow Requirements,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2011,Managed Wetlands,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2011,Required Delta Outflow,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2011,Urban,500.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2011,Wild and Scenic River,0.0,01/01/2011,12/31/2011
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2012,Agriculture,45400.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2012,Instream Flow Requirements,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2012,Managed Wetlands,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2012,Required Delta Outflow,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2012,Urban,900.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2012,Wild and Scenic River,0.0,01/01/2012,12/31/2012
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2013,Agriculture,45700.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2013,Instream Flow Requirements,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2013,Managed Wetlands,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2013,Required Delta Outflow,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2013,Urban,700.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2013,Wild and Scenic River,0.0,01/01/2013,12/31/2013
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2014,Agriculture,47400.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2014,Instream Flow Requirements,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2014,Managed Wetlands,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2014,Required Delta Outflow,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2014,Urban,800.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2014,Wild and Scenic River,0.0,01/01/2014,12/31/2014
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2015,Agriculture,34800.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2015,Instream Flow Requirements,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2015,Managed Wetlands,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2015,Required Delta Outflow,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2015,Urban,800.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15446,2015,Wild and Scenic River,0.0,01/01/2015,12/31/2015
Applied Water Use,Detailed Analysis Units by County,Feather River,DAU15458,2011,Agriculture,0.0,01/01/2011,12/31/2011
