Water Use by Basin,UseType,Source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
WindBighorn River Planning Basin,Industrial Use,Total,93617,91568.85635,88094.31001,88452.81466,91596.34264,89414.63548,90679.66812,92085.95139,88095.22117,92240,96953.83541,97566.3215,100200.9735,95484.63825,94323.4192,89597.71076,82209.43334,81195.60258,79775.78101,0,0,0,0,0,0,0,0,0,0,0,0
WindBighorn River Planning Basin,Industrial Use,Surface Water,82225,80426.08942,77374.35124,77689.23043,80450.23098,78534.00988,79645.1041,80880.26056,77375.15153,982,1032.184154,1038.704767,1066.753643,1016.542875,1004.180373,953.8698175,875.213178,864.4197932,849.3041733,0,0,0,0,0,0,0,0,0,0,0,0
WindBighorn River Planning Basin,Industrial Use,Ground Water,11392,11142.76693,10719.95876,10763.58423,11146.11166,10880.62561,11034.56401,11205.69083,10720.06964,91258,95921.65126,96527.61673,99134.21987,94468.09538,93319.23882,88643.84094,81334.22016,80331.18278,78926.47683,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Water Use Index,Agricultural Consumptive Use,Total,1905795.278,1978900.047,1659789.205,2282008.562,2266452.121,2483117.794,1942043.136,2105139.528,2373347.964,2606243.84,2458625.851,2564954.753,1770882.986,2181372.859,2824937.125,2597623.849,2838977.949,3048950.301,3156588.26,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Statewide Water Use Index,Agricultural Consumptive Use,Surface Water,1846024.857,1910801.949,1609854.965,2207947.778,2200618.22,2406168.913,1884436.448,2037892.71,2295549.912,2519295.434,2369587.754,2477248.632,1719838.883,2108343.326,2723906.34,2503536.322,2750081.262,2952806.317,3048553.929,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Statewide Water Use Index,Agricultural Consumptive Use,Ground Water,59770.42057,68098.09785,49934.24009,74060.78428,65833.90061,76948.88124,57606.68782,67246.81747,77798.0515,86948.40572,89038.09689,87706.12102,51044.10311,73029.53294,101030.7853,94087.52781,88896.68701,96143.98377,108034.3303,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Statewide Water Use Index,Municipal  Use,Total,34888.93893,34982.18684,79686.43412,80177.01304,81098.8348,81847.49682,82877.21611,84380.13119,85895.76019,88658.88424,89662.91096,90250.78678,81401.45344,84616.84444,75434.05694,72632.80632,73275.0808,72325.58257,61775.81403,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
Statewide Water Use Index,Municipal  Use,Surface Water,18492.11879,18609.3707,33841.46771,34089.44959,34461.33601,34976.1616,35363.40774,35789.41708,36393.61535,41362.11872,41985.45176,42248.33947,32503.02005,46061.69579,36714.95214,33742.21881,34494.43583,33944.36997,19896.17466,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
Statewide Water Use Index,Municipal  Use,Ground Water,15585.82014,15570.39576,45016.35562,45239.98717,45760.57118,45987.33522,46593.04797,47597.30817,48455.3488,46192.64077,46560.64336,46890.44533,47749.23339,37417.32686,37558.08896,37743.13801,37642.82319,37269.64824,40769.8255,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Water Use Index,Domestic Use,Total,20899.91219,21002.95427,30684.83245,30867.70656,31151.47971,31505.00402,31954.25629,32601.26794,33239.56462,31787.37353,32221.04823,32442.57395,31059.44922,29235.19329,29287.2193,29405.28471,29342.96687,29045.53084,29061.60629,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Water Use Index,Domestic Use,Surface Water,2904.421039,2857.43465,5348.409647,5354.3197,5408.763686,5523.645662,5623.598329,5796.722347,5911.175461,5508.265673,5512.264439,5546.427875,5637.695132,5651.833582,5631.033534,5608.825438,5583.396216,5521.294958,5469.826641,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Water Use Index,Domestic Use,Ground Water,20088.91219,20200.53389,27403.4275,27566.63896,27810.50362,28138.38094,28527.16903,29062.5434,29612.89026,28635.26734,29019.80889,29235.85301,27795.36669,25973.28134,26016.41039,26154.95758,26097.68307,25835.8675,25874.36208,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Water Use Index,Industrial Use,Total,233418.5512,254979.3606,258009.7356,247518.9353,251041.4081,253285.547,271040.7979,274694.5068,274533.0337,258375.5989,277312.2774,279066.963,272743.6712,273499.1122,288146.3897,291009.283,267200.2829,291913.7847,307824.2644,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Water Use Index,Industrial Use,Surface Water,171318.384,170439.6874,164330.0585,164133.0187,169060.7358,159416.4135,160290.4192,162340.7797,159505.3138,79352.82575,82789.53122,80199.6843,81710.25444,87208.75296,91203.78335,92158.84525,85159.80151,88584.37768,85319.66926,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Water Use Index,Industrial Use,Ground Water,193720.7462,216268.3735,219266.7328,207388.5237,210720.4845,206512.1109,223133.4349,225283.8316,228875.0188,287183.2249,305326.6102,302694.8043,297235.9883,299635.8955,303641.955,302500.4569,274421.7668,297028.0411,307232.9,0,0,0,0,0,0,0,0,0,0,0,0
