Basin_Subbasin_Number,Basin_Subbasin_Name,Hydrologic_Region,Region_Office,Basin_Area_Acres,Basin_Area_SqMi,Project_Phase,C1_Population_Census,C1_Population_SqMi,C1_Priority_Points,C2_Population_Projection,C2_Population_Growth,C2_Zero_2010_Population,C2_Negative_or_No_Growth,C2_Postive_Growth_and_2010_Pop_1000,C2_Density_50_and_2010_Population_25000,C2_Priority_Points,C3_Public_Supply_Groundwater_Wells,C3_Public_Supply_Wells_SqMi,C3_Priority_Points,C4_Total_Groundwater_Wells,C4_Production_Wells_SqMi,C4_Priority_Points,C5_Irrigated_Acres,C5_Irrigated_Acres_SqMi,C5_Priority_Points,C6_Agricultural_Groundwater_AF,C6_Agricultural_ Surface_ Water_AF,C6_Agricultural_Total_Applied_Water_AF,C6_Agricultural_Groundwater_Percent_Supply,C6_Agricultural_Surface_Water_Percent_Supply,C6_Urban_Groundwater_AF,C6_Urban_Surface_Water_AF,C6_Urban_Purchased_Surface_Water_AF,C6_Urban_Total_Water_Use_AF,C6_Urban_Groundwater_Percent_Supply,C6_Urban_Surface&Purchased_Water_Percent_Supply,C6_Other_Groundwater,C6_Other_Surface_Water,C6_Groundwater_Use_AF,C6_Surface_Water_Use_AF,C6_Total_Water_Use_AF,C6a_Groundwater_Use_AF_BasinAcre,C6a_Points,C6b_Groundwater_Percent_Supply,C6b_Surface_Water_Percent_Supply,C6b_Points,C6_Priority_Points,C7_Impacts_Declining_Groundwater_Levels_Points,C7_Impacts_Declining_Groundwater_Levels_Comment,C7_Impacts_Subsidence_Points,C7_Impacts_Subsidence_Comment,C7_Impacts_Salt_Intrusion_Points,C7_Impacts_Salt_Intrusion_Comment,C7_Impacts_WQ_Detects,C7_WQ_MCL_Exceed,C7_WQ_Average_MCL_Exceedance,C7_WQ_Average_MCL_Exceed_Points,C7_WQ_Unique_Wells_Excd,C7_WQ_Wells_Excd_Per_PSW,C7_WQ_Wells_Excd_Per_PSW_Points,C7_WQ_Calculated_Points,C7_WQ_Other,C7_Impacts_Water_Quality_Points,C7_Impacts_Water_Quality_Comment,C7_Impacts_Total_Points,C7_Priority_Points,C8a_Streamflow_Points,C8a_Habitat_Points,C8a_Monitoring,C8a_Monitoring_and_GroundwaterThreshold_Adverse,C8a_Adverse_Adjustment,C8a_AdverseComment,C8a_HabitatSF_Priority_Points,C8b_BasinOtherInfo_Priority_Points,C8b_BasinOtherInfoComment,C8a_and_C8b_Priority_Points,C8c_2kGroundwater,C8c_9.5kGW_NoDocImpacts,C8c_Adjudication,C8c_Groundwater_NonAdj_AF,C8c_9.5kGW_NonAdj,C8c_CriticalOverdraft,C8c_OutOfBasinGWExports_SubstitutionTransfers,Substitution_Year,Substitution_Amt,Substitution_PriorityPoints,Total_Priority_Points,Priority,Priority_Change_2014_to_2018
2-006,Ygnacio Valley,San Francisco Bay,NCRO,15468.97444,24.17027256,1,"107,864","4,463",5,"117,643",9.06,FALSE,FALSE,FALSE,FALSE,2,1,0.04,1,180,7.44,3,0,0,0,0,0,0,0,0,778,10601,8158,19537,4,96,0,0,778,18759,19537,0.05,1,3,96,1,1, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,5,"East Bay Municipal Utility District service area: San Ramon, Richmond (between San Pablo Bay and Berkeley), Ygnacio and Clayton Valley, Castro Valley, and South East Bay Plain (Niles Cone borders East Bay Plain basin on south) basins. The basins have similar morphology and a Mediterranean climate. All are structural depressions formed by folding and faulting, all are filled with marine and alluvial sediments, and all are drained by streams that contain water at least part of the year. Seawater intrusion is common. Groundwater use in the East Bay Municipal Utility District service area is limited by several factors, including the effects of saltwater intrusion and contamination in shallow aquifers on groundwater quality and the availability of higher quality imported surface water. Groundwater is currently not used by East Bay Municipal Utility District for municipal supplies.
Source: Various_7c_Central_Valley_Project_Long_term_Service.pdf pg. 4-15",49,5,4.63,4,2,2,5,9,0,3,0,8,2,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
2-007,San Ramon Valley,San Francisco Bay,NCRO,7057.422985,11.02722342,1,"30,491","2,765",4,"38,259",25.47,FALSE,FALSE,FALSE,FALSE,4,0,0,0,79,7.16,3,0,0,0,0,0,0,0,0,0,7119,0,7119,0,100,0,0,0,7119,7119,0,0,0,100,0,0, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,5,"East Bay Municipal Utility District service area: San Ramon, Richmond (between San Pablo Bay and Berkeley), Ygnacio and Clayton Valley, Castro Valley, and South East Bay Plain (Niles Cone borders East Bay Plain basin on south) basins. The basins have similar morphology and a Mediterranean climate. Seawater intrusion is common. Groundwater use in the East Bay Municipal Utility District service area is limited by several factors, including the effects of saltwater intrusion and contamination in shallow aquifers on groundwater quality and the availability of higher quality imported surface water. Groundwater is currently not used by East Bay Municipal Utility District for municipal supplies.
Source: Various_7c_Central_Valley_Project_Long_term_Service.pdf pg. 4-15",0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
2-008,Castro Valley,San Francisco Bay,NCRO,1821.683747,2.846380855,1,"24,489","8,604",5,"25,587",4.48,FALSE,FALSE,FALSE,FALSE,1,0,0,0,16,5.62,3,0,0,0,0,0,0,0,0,437,2212,744,3393,12.9,87.1,0,0,437,2956,3393,0.23,2,12,87,1,1.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,Not Monitored with > 0.16 ft GW Use,0,,2,0,,2,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
2-009.01,Santa Clara Valley - Niles Cone,San Francisco Bay,NCRO,65214.49112,101.8976424,1,"323,119","3,171",4,"357,865",10.75,FALSE,FALSE,FALSE,FALSE,2,28,0.27,3,260,2.55,2,87,0.85,0,245,0,245,100,0,14864,16742,13378,44984,33,67,0,0,15109,30120,45229,0.23,2,33,66,2,2,7.5,"1) Source:  2-009.01_7a_Hydrographs_NilesCone.pdf

",0,No documented groundwater extraction induced inelastic Subsidence,5,"1) East Bay Municipal Utility District service area: San Ramon, Richmond (between San Pablo Bay and Berkeley), Ygnacio and Clayton Valley, Castro Valley, and South East Bay Plain (Niles Cone borders East Bay Plain basin on south) basins. The basins have similar morphology and a Mediterranean climate. All are structural depressions formed by folding and faulting, all are filled with marine and alluvial sediments, and all are drained by streams that contain water at least part of the year. Seawater intrusion is common. Groundwater use in the East Bay Municipal Utility District service area is limited by several factors, including the effects of saltwater intrusion and contamination in shallow aquifers on groundwater quality and the availability of higher quality imported surface water. Groundwater is currently not used by East Bay Municipal Utility District for municipal supplies.
Source: Various_7c_Central_Valley_Project_Long_term_Service.pdf pg. 4-15

2) Alameda County Water District provides retail water supplies to the cities of Fremont, Newark, and Union City. The district has implemented treatment of brackish groundwater to allow previously unused groundwater to be used as a potable water source (ACWD 2011, 2012). In 2003, the Alameda County Water District Newark Desalination Facility began to remove salts and other constituents from the Niles Cone subbasin groundwater that is subject to seawater intrusion using a reverse-osmosis process.
Source: Various_7c_LTO-EIS_USBR_2015-Chapter7-GWResources.pdf pg. 7-56","3,537",182,4.3,4,13,0.46,1,5,0,1,0,13.5,3,1,1,TRUE,Monitored with Declining GW Levels and > 0.16 ft GW Use,0,,2,0,,2,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,18,Medium,No Change
2-009.02,Santa Clara Valley - Santa Clara,San Francisco Bay,NCRO,189581.034,296.2203657,1,"1,629,025","5,499",5,"1,871,490",14.88,FALSE,FALSE,FALSE,FALSE,2,233,0.78,4,"1,797",6.06,3,"3,830",12.92,1,7252,385,7637,95,5,118848,1893,133884,254625,46.7,53.3,0,0,126100,136162,262262,0.66,4,48,51,3,3.5,7.5,"1) Long term hydrographs show groundwater level decline.
Source: 2-009.02_7a_Hydrographs_SantaClara.pdf  ",3,"1) Throughout the late 1800s and into the 1920s when two thirds of the Santa Clara Valley had been irrigated, water flowed freely from wells. Water-level declines of more than 200 ft occurred in the Santa Clara Valley from the early 1900's to the mid 1960's (Fowler, 1981). Land subsidence was first detected in 1933 (Poland and Ireland, 1988). As the decades passed, groundwater levels continued to decline and spirit-level surveys in 1967 identified subsidence of substantial magnitude as much as 8 feet. 

Source: 2-9.02_7b_LandSubsidenceintheSantaClaraValley (web site)",5,"1) The groundwater quality in the Santa Clara subbasin is of good to excellent mineral composition and suitable for most beneficial uses. The groundwater meets all drinking water standards and can be used without additional treatment (SCVWD 2001, 2010). Some areas affected by historical saltwater intrusion exist in the northern portion of the Santa Clara subbasin in the Shallow Aquifer especially near areas of historical subsidence. Recent groundwater monitoring has indicated that seawater intrusion appears to be stabilizing (SCVWD 2012a).
Source: Various_7c_LTO-EIS_USBR_2015-Chapter7-GWResources.pdf pg. 7-54

2) The Santa Clara Valley is located at the southern end of San Francisco Bay (fig. 111). Once devoted largely to agriculture, most of the land in the valley is now dedicated to industrial and urban uses. Population growth has resulted in a large water demand, which has exceeded the valley's natural supply since the early 1940's. Withdrawals of ground water in excess of recharge caused large water-level declines, which were followed by seawater intrusion and land subsidence surpassed in California only by that in the San Joaquin Valley. Since the 1940's, importation of surface water has been essential to the control of these problems.
Source: Various_7c_CoastalBasins-USGS_GW_Atlas1995(HA730-B_CoastalBasinsAquifers).pdf pg. 7","17,058",709,3.73,3,101,0.43,1,4,0,1,0,16.5,4,1,1,TRUE,Monitored with Declining GW Levels and > 0.16 ft GW Use,0,,2,0,,2,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,24.5,High,No Change
2-009.03,Santa Clara Valley - San Mateo Plain,San Francisco Bay,NCRO,37865.00961,59.16407752,1,"292,819","4,949",5,"331,823",13.32,FALSE,FALSE,FALSE,FALSE,2,7,0.11,2,472,7.97,3,37,0.62,0,84,0,84,100,0,2608,0,35229,37837,6.9,93.1,0,0,2692,35229,37921,0.07,1,7,92,1,1, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,779,175,2.51,2,9,1.29,5,7,0,2,0,2,0,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
2-009.04,Santa Clara Valley - East Bay Plain,San Francisco Bay,NCRO,71315.11291,111.4298639,1,"884,922","7,942",5,"906,449",2.43,FALSE,FALSE,FALSE,FALSE,1,5,0.04,1,"6,964",62.49,5,0,0,0,0,0,0,0,0,3154,117673,11455,132282,2.4,97.6,0,0,3154,129128,132282,0.04,1,2,97,1,1, -   ,"No documented Groundwater Level Declines
Source: 2-009.04_7a_Hydrographs_EastBayPlain.pdf",10,"In March 2018, scientists from Arizona State University and University of Berkeley completed a joint study on subsidence in the San Francisco Bay Area and published a paper titled ""Global climate change and local land subsidence exacerbate inundation risk to the San Francisco Bay Area"". The study documented the ongoing subsidence in the Subbasin area especially on the Island of Alameda and Bay Farm Island.

Source: 2-009.04_7b_Global_climate_change_and_local_land_subsidence_exacerbate_inundation_23Mar18.pdf",5,"1) East Bay Municipal Utility District service area: San Ramon, Richmond (between San Pablo Bay and Berkeley), Ygnacio and Clayton Valley, Castro Valley, and South East Bay Plain (Niles Cone borders East Bay Plain basin on south) basins. The basins have similar morphology and a Mediterranean climate. All are structural depressions formed by folding and faulting, all are filled with marine and alluvial sediments, and all are drained by streams that contain water at least part of the year. Seawater intrusion is common. Groundwater use in the East Bay Municipal Utility District service area is limited by several factors, including the effects of saltwater intrusion and contamination in shallow aquifers on groundwater quality and the availability of higher quality imported surface water. Groundwater is currently not used by East Bay Municipal Utility District for municipal supplies.
Source: 2-005_2-006_2-007_2-009_7c_Central_Valley_Project_Long_term_Service.pdf pg. 4-15

2) The groundwater quality is characterized as calcium and sodium bicarbonate with moderate to high TDS. Higher TDS concentrations occur near San Francisco Bay where localized sea water intrusion has occurred.
Source: Various_7c_LTO-EIS_USBR_2015-Chapter7-GWResources.pdf pg. 7-52",109,11,3.03,3,5,1,4,7,0,2,0,17,4,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,17,Medium,No Change
2-010,Livermore Valley,San Francisco Bay,NCRO,69567.13154,108.698643,1,"196,838","1,811",3,"245,035",24.48,FALSE,FALSE,FALSE,FALSE,3,29,0.26,3,755,6.94,3,"3,000",27.59,2,3418,3418,6836,50,50,9935,3825,28561,42321,23.5,76.5,0,0,13353,35804,49157,0.19,2,27,72,2,2, -   ,"1 of 12, 03S01E12K002M  is showing decline and might warrant additional groundwater level investigations. The remaining 11 graphs appear to not show any declines.
Source: 2-010_7a_Hydrographs.pdf",0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,"5,795",588,1.42,1,13,0.45,1,2,0,0,0,0,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,16,Medium,No Change
2-011,Sunol Valley,San Francisco Bay,NCRO,16631.95931,25.98743642,1,800,31,1,891,11.37,FALSE,FALSE,TRUE,TRUE,0,0,0,0,85,3.27,2,74,2.84,1,109,109,218,50,50,260,0,123,383,67.9,32.1,0,0,369,232,601,0.02,0,61,38,4,2,7.5,"1) Groundwater withdrawal in these areas has lowered water tables and resulted in Groundwater quality degradation. 
Source:  2-011_7a_5.6 Westside Groundwater.pdf  pg. 5.7-63",0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,7.5,2,0,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
2-019,Kenwood Valley,San Francisco Bay,NCRO,5139.027322,8.029730192,1,"5,993",746,2,"6,206",3.55,FALSE,FALSE,FALSE,FALSE,1,13,1.61,5,234,29.14,5,805,100.25,3,680,84,764,89,11,230,0,946,1176,19.6,80.4,0,0,910,1030,1940,0.17,2,46,53,3,2.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,357,24,4.74,4,8,0.62,2,6,0,2,0,2,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
2-022,Half Moon Bay Terrace,San Francisco Bay,NCRO,9155.87916,14.30606119,1,"19,729","1,379",3,"24,884",26.12,FALSE,FALSE,FALSE,FALSE,4,12,0.83,4,752,52.56,5,"1,281",89.54,2,569,1629,2198,25.9,74.1,1021,3518,2,4541,22.5,77.5,0,120,1590,5268.57,6858.57,0.17,2,23,76,2,2, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,"Based on water balance results, the Phase II study concludes the following: a) the Midcoastal aquifers have a considerable groundwater surplus in above average rainfall years but can have a deficit in dry and very dry years; b) the marine terrace subareas appear to be in long-term hydrologic balance and should remain in long-term balance with a moderate increase in water extractions; c) current pumping rates have lowered the water table to near sea level during dry years, and potentially below sea level during very dry years, posing risks of saltwater intrusion; and, d) increased pumping over long periods of time, especially during drier years, will increase the amount of time that the water table falls near or below sea level; and this increases the risk of saltwater intrusion.
Source: 2-022_7c_MidCoastGWPhIII6-9-10.pdf pg. 2","1,632",584,9.19,5,12,1,4,9,0,3,0,3,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
2-024,San Gregorio Valley,San Francisco Bay,NCRO,1074.908469,1.679544484,1,66,39,1,66,0,FALSE,TRUE,FALSE,TRUE,0,0,0,0,12,7.14,3,148,88.11,2,164,81,245,66.9,33.1,6,0,0,6,100,0,0,0,170,81,251,0.15,2,67,32,4,3, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,"Information on groundwater quality is also relatively sparse compared with other coastal watersheds. However, mineral concentrations and related salinity levels in the groundwater basin are thought to be high as compared to other basins in San Mateo County. Overall, water quality in the watershed can be affected by geologic unit properties, resident time in storage, land use practices, and saltwater intrusion from ocean waters (Fetter 2001). The county is presently compiling water quality data, including concentrations of chloride, nitrate, bacteria, and salinity, which will be useful for watershed management in the future.
Source:  2-024_7c_SanGregorioWMP_final.pdf pg. 25

Not enough information at this time to consider this basin as having saline intrusion issues. Additional research is needed.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
2-026,Pescadero Valley,San Francisco Bay,NCRO,2912.401359,4.550627123,1,498,109,1,400,-19.67,FALSE,TRUE,FALSE,FALSE,0,3,0.65,4,44,9.66,3,368,80.86,2,477,238,715,66.7,33.3,30,0,0,30,100,0,0,0,507,238,745,0.17,2,68,31,4,3, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,"The saturated Pigeon Point Formation above sea level is unlikely to experience salt water intrusion In the project area, water quality data from neighboring deep wells suggest that significant quantities of fresh water occur below sea level. This would be expected since the hydrostatic balance or equilibrium between fresh (1.000 grams/cubic centimeter [g/cm3]) and salt water (1.025 g/cm3) is one to forty (1:40) [1.000 / (1.025 - 1.000). Fresh water is lighter and tends to float on salt water. This means that if sufficient groundwater storage is available, then one-foot of fresh water above sea level at a well will have 40 feet of fresh water below sea level. This relationship is experienced on ocean islands and is referred to as the Ghyben-Herzberg lens (Todd, 1980).
Source:  2-026_7c_Pescadero-2011_07_lafco_pescadero_comm_sourcewaterassessment.pdf  pg. 19",65,13,8.68,5,2,0.67,2,7,0,2,0,2,0,1,1,FALSE,Not Monitored with > 0.16 ft GW Use,0,,2,0,,2,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
2-027,Sand Point Area,San Francisco Bay,NCRO,22342.21431,34.90970986,2,376,11,1,376,0,FALSE,TRUE,FALSE,TRUE,0,23,0.65,4,130,3.72,2,110,3.14,1,224.1154016,96.04945784,320.1648595,70,30,23,15,84,122,18.6,81.4,0,0,246.8004936,195.0376968,441.8381905,0.01,0,55.9,44.1,3,1.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,849,183,7.74,5,12,0.52,2,7,0,2,0,2,0,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
2-028,Ross Valley,San Francisco Bay,NCRO,1764.709815,2.757359086,1,"7,194","2,609",4,"7,262",0.94,FALSE,FALSE,FALSE,FALSE,1,0,0,0,27,9.79,3,0,0,0,0,0,0,0,0,0,716,358,1074,0,100,0,0,0,1074,1074,0,0,0,100,0,0, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,5,"1) Information on the Ross Valley groundwater basin is limited, but given its proximity to the Bay, seawater intrusion may influence groundwater quality (DWR 2004).
Source: 2-028_7c_RossValleyCorteMaderaCreekFinalBaselineReport-2010-12-08.pdf pg. 4.2-2

2) Groundwater use is limited in the Marin Municipal Water District (MMWD) and North Marin Water District (NMWD) service areas due to a lack of substantial underlying groundwater aquifers and poor groundwater quality. Neither NMWD nor MMWD use groundwater for community drinking water supplies.
Source: Various_7c_NorthSanPabloBayAffectedEnvironment-3.3-Groundwater.pdf  pg. 3.3-1, 3.3-1

3)  In 1990, the district prepared a preliminary design report for a second recycling plant to be located at the CMSA wastewater treatment plant. The study identified approximately 900 AF of potential use in east San Rafael, on the San Quentin Peninsula, and the lower Ross Valley. The sewage collection system for CMSA has extensive and widespread saltwater intrusion that has increased dramatically since the initial planning for this project. 
Source: Various_7c_SanRafaelRossNovato-MMWD 2015 UWMP Final_Report Only.pdf  pg. 6-21",0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
2-029,San Rafael Valley,San Francisco Bay,NCRO,874.8173039,1.366902038,1,"10,602","7,756",5,"11,003",3.78,FALSE,FALSE,FALSE,FALSE,1,0,0,0,4,2.92,2,0,0,0,0,0,0,0,0,596,553,277,1426,41.8,58.2,0,0,596,830,1426,0.68,4,41,58,3,3.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,5,"1) Groundwater use is limited in the Marin Municipal Water District (MMWD) and North Marin Water District (NMWD) service areas due to a lack of substantial underlying groundwater aquifers and poor groundwater quality. Neither NMWD nor MMWD use groundwater for community drinking water supplies.
Source: Various_7c_NorthSanPabloBayAffectedEnvironment-3.3-Groundwater.pdf  pg. 3.3-1, 3.3-1  

2)  In 1990, the district prepared a preliminary design report for a second recycling plant to be located at the CMSA wastewater treatment plant. The study identified approximately 900 AF of potential use in east San Rafael, on the San Quentin Peninsula, and the lower Ross Valley. The sewage collection system for CMSA has extensive and widespread saltwater intrusion that has increased dramatically since the initial planning for this project. ...The district has thoroughly explored ways to expand water recycling. ...Another obstacle to increased water recycling in the district’s service area is severe saltwater intrusion into the sewer collection systems of most of the local sanitation agencies, including that of the community’s largest wastewater agency, CMSA. Rehabilitation of the sewer collection system was explored, but intrusion is so widespread that the cost to repair the sewers is much more than the cost of the water recycling project. Reducing salt in wastewater using membrane processes has also been explored, but the high cost and increased concentration of contaminants remaining in the wastewater discharge render that alternative infeasible from both a cost and regulatory perspective.
Source: Various_7c_SanRafaelRossNovato-MMWD 2015 UWMP Final_Report Only.pdf pg. 6-21",0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,FALSE,Not Monitored with > 0.16 ft GW Use,0,,2,0,,2,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
2-030,Novato Valley,San Francisco Bay,NCRO,20535.09914,32.08609242,1,"42,609","1,328",3,"45,182",6.03,FALSE,FALSE,FALSE,FALSE,2,0,0,0,112,3.49,2,"2,456",76.54,2,4162,4162,8324,50,50,0,1768,4563,6331,0,100,0,0,4162,10493,14655,0.2,2,28,71,2,2, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,5,"Groundwater in the Novato Valley Groundwater Basin is high in calcium bicarbonate. Groundwater in the tidal areas of the basin has higher levels of sodium chloride and total minerals than groundwater farther away from San Pablo Bay (Cardwell, 1958; DWR, 1975 in DWR, 2004). Brackish water intrusions into the groundwater from tidal fluctuations are a main concern in the area around San Pablo Bay and can degrade groundwater quality (Cardwell, 1958 in DWR, 2004). In general, groundwater production for domestic uses within the basin is limited. (3.3-5)... Increased groundwater pumping, low rainfall, saline intrusion from San Pablo Bay, low soil permeability, and geothermal upwelling are believed to contribute to declining groundwater levels and poor groundwater quality in portions of the action area.  (3.3-1)  The Novato area is served by surface water supplies from NMWD. Therefore, there would be no impact on groundwater levels in this area. (pg. 3.3-21)
Source: 2-030_7c_NorthSanPabloBayAffectedEnvironment-3.3-Groundwater.pdf  pg. 3.3-5, 3.3-1, 3.3-21        ",0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,FALSE,Not Monitored with > 0.16 ft GW Use,0,,2,0,,2,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,14,Low,No Change
2-031,Arroyo Del Hambre Valley,San Francisco Bay,NCRO,786.3029851,1.228598414,1,"3,045","2,478",3,"3,177",4.33,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,208,876,0,100,0,0,0,876,876,0,0,0,100,0,0, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
2-032,Visitacion Valley,San Francisco Bay,NCRO,5831.117325,9.111120822,1,"31,853","3,496",4,"35,841",12.52,FALSE,FALSE,FALSE,FALSE,2,0,0,0,2,0.21,1,0,0,0,0,0,0,0,0,328,0,3053,3381,9.7,90.3,0,0,328,3053,3381,0.05,1,9,90,1,1, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
2-033,Islais Valley,San Francisco Bay,NCRO,5941.319196,9.283311245,1,"131,671","14,184",5,"134,373",2.05,FALSE,FALSE,FALSE,FALSE,1,0,0,0,16,1.72,1,0,0,0,0,0,0,0,0,488,0,13640,14128,3.5,96.5,0,0,488,13640,14128,0.08,1,3,96,1,1, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
2-035,Westside,San Francisco Bay,NCRO,25392.41506,39.67564854,1,"350,624","8,837",5,"375,626",7.13,FALSE,FALSE,FALSE,FALSE,2,17,0.42,3,93,2.34,2,0,0,0,0,0,0,0,0,3447,0,32624,36071,9.6,90.4,0,0,3447,32624,36071,0.13,2,9,90,1,1.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,"2,663",501,3.78,3,13,0.76,3,6,0,2,0,2,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
2-036,San Pedro Valley,San Francisco Bay,NCRO,710.3902771,1.109984808,1,"5,974","5,382",5,"5,840",-2.24,FALSE,TRUE,FALSE,FALSE,0,0,0,0,2,1.8,1,0,0,0,0,0,0,0,0,0,0,545,545,0,100,0,0,0,545,545,0,0,0,100,0,0, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
