OBJECTID,polygon id,app,cert,app_status,mou,site_name,permit_info,basin,county,source,duty_balance,div_balance,prior_dt,pou_acre_total,Shape__Area,Shape__Length
4783,5399,25792,10860   ,CER,REC,110B N11 E29 16DDAB1,http://water.nv.gov/permitinformation.aspx?app=25792,110B,MI,STR,575870,795.2,9/17/1970 12:00:00 AM,0,254611420.903442,90473.1637332484
4784,5400,81404,,PER,QM ,110B N09 E29 09CCCD1,http://water.nv.gov/permitinformation.aspx?app=81404,110B,MI,UG ,150,1.33,11/12/1985 12:00:00 AM,0,1664853.92321777,9082.52927156002
4785,5401,3979,751     ,CER,IRR,110B N09 E28 35BBCB1,http://water.nv.gov/permitinformation.aspx?app=3979,110B,MI,STR,47.73,0.159,5/15/1916 12:00:00 AM,15.91,65195.7183837891,2255.61182161226
4786,5402,50152,13454   ,CER,REC,110B N10 E28 25DABC1,http://water.nv.gov/permitinformation.aspx?app=50152,110B,MI,SPR,2.669943,0.004,9/10/1986 12:00:00 AM,0,504256.129394531,2935.57008450783
4787,5403,53024,,PER,QM ,110B N09 E29 16BA  1,http://water.nv.gov/permitinformation.aspx?app=53024,110B,MI,UG ,3.498546,0.007,1/11/1993 12:00:00 AM,0,2953661.49780273,10669.2842496405
4788,5405,29762,9752    ,CER,MUN,110C N07 E29 10AAAD1,http://water.nv.gov/permitinformation.aspx?app=29762,110C,MI,UG ,882.94,1.22000003,11/13/1975 12:00:00 AM,0,2648596.56750488,6500.52783942971
4789,5407,2676,336     ,CER,IRR,141  N09 E45 26DBDB1,http://water.nv.gov/permitinformation.aspx?app=2676,141 ,NY,SPR,19.96,0.055,4/4/1913 12:00:00 AM,5.5,21383.4018554688,736.25787709173
4790,5408,52264,13115   ,CER,MM ,141  N09 E45 26DABB1,http://water.nv.gov/permitinformation.aspx?app=52264,141 ,NY,SPR,3.38,0.015,6/27/1988 12:00:00 AM,0,158120.322143555,1590.9547787536
4791,5409,85017,,PER,IRR,141  N09 E45 26DCBA1,http://water.nv.gov/permitinformation.aspx?app=85017,141 ,NY,UG ,18,0.223,3/30/2015 12:00:00 AM,0,27175.2098388672,722.502031181505
4792,5410,69158,,ABR,QM ,141  N03 E44 31DDCB1,http://water.nv.gov/permitinformation.aspx?app=69158,141 ,NY,UG ,0,0,9/9/2002 12:00:00 AM,0,16074436.708374,19671.614047668
4793,5411,V02559,,VST,IRR,149  N04 E48 08CBDB1,http://water.nv.gov/permitinformation.aspx?app=V02559,149 ,NY,SPR,234.52,2,1/1/1883 12:00:00 AM,37.21,648263.565185547,4033.7386968523
4794,5412,4536,1067    ,CER,IRR,149  N02 E49 35CCDA1,http://water.nv.gov/permitinformation.aspx?app=4536,149 ,NY,STR,264.9,0.552,8/1/1917 12:00:00 AM,55.19,234414.447265625,5193.7956893018
4795,5413,10688,2801    ,CER,IRR,140A N15 E48 26ACCC1,http://water.nv.gov/permitinformation.aspx?app=10688,140A,NY,SPR,11,0.044,7/3/1941 12:00:00 AM,3.02,14107.5178222656,854.251054752027
4796,5414,18461,6611    ,CER,IRR,140A N15 E48 30CACC1,http://water.nv.gov/permitinformation.aspx?app=18461,140A,NY,UG ,175.12,2,12/4/1959 12:00:00 AM,43.78,148361.595947266,2605.5696758309
4797,5416,40578,11118   ,CER,IRR,138  N23 E48 21ACBC1,http://water.nv.gov/permitinformation.aspx?app=40578,138 ,EU,STR,320,1,2/20/1980 12:00:00 AM,0,1245672.07202148,12187.6851818399
4798,5417,V01198,,VST,IRR,138  N24 E48 02CCBD1,http://water.nv.gov/permitinformation.aspx?app=V01198,138 ,EU,SPR,0,0,1/1/1897 12:00:00 AM,6,87480.6711425781,1254.16607483591
4799,5418,V01551,,VST,IRR,138  N24 E48 33CDBA1,http://water.nv.gov/permitinformation.aspx?app=V01551,138 ,LA,SPR,,0,4/1/1897 12:00:00 AM,0.3,1179.35302734375,144.33087704244
4800,5419,69481,,ABR,IRR,138  N21 E46 16DACB1,http://water.nv.gov/permitinformation.aspx?app=69481,138 ,LA,UG ,0,0,1/17/2003 12:00:00 AM,0,6705209.47875977,10390.4687000756
4801,5420,7110,1476    ,CER,IRR,138  N23 E46 30CAAA1,http://water.nv.gov/permitinformation.aspx?app=7110,138 ,LA,STR,144,0.34,5/8/1924 12:00:00 AM,33.99,138586.365722656,5628.26863153108
4802,5421,7852,1461    ,CER,IRR,138  N23 E46 32ABBB1,http://water.nv.gov/permitinformation.aspx?app=7852,138 ,LA,STR,66.72,0.158,8/20/1926 12:00:00 AM,15.82,80227.2609863281,2364.81911430908
4803,5422,87180,,RFP,QM ,141  N09 E45 26ADAC1,http://water.nv.gov/permitinformation.aspx?app=87180,141 ,NY,UG ,0,0.045,6/20/2017 12:00:00 AM,0,1650.14440917969,164.306590980351
4804,5423,V02777,,DEC,IRR,141  N07 E46 15CBDA1,http://water.nv.gov/permitinformation.aspx?app=V02777,141 ,NY,STR,799.8,4.585,4/1/1867 12:00:00 AM,183.4,743342.188964844,11523.5005196025
4805,5424,21657,5761    ,CER,DOM,149  N03 E46 10CADC1,http://water.nv.gov/permitinformation.aspx?app=21657,149 ,NY,UG ,2.424431,0.1,11/22/1963 12:00:00 AM,0,23520.6898193359,895.713936614381
4806,5425,50738,14211   ,CER,IRR,149  N04 E48 08CBDC1,http://water.nv.gov/permitinformation.aspx?app=50738,149 ,NY,UG ,110.68,0.49,2/14/1983 12:00:00 AM,78.801,312115.524658203,4201.08083509757
4807,5426,57306,14639   ,ABR,IRR,149  N04 E48 05BABB1,http://water.nv.gov/permitinformation.aspx?app=57306,149 ,NY,UG ,0,0,2/14/1983 12:00:00 AM,102.06,424978.571533203,2930.3670333852
4808,5427,65019,,DEN,IRR,149  N01 E46 12CCCC1,http://water.nv.gov/permitinformation.aspx?app=65019,149 ,NY,UG ,0,2.7,5/9/1977 12:00:00 AM,0,647581.626708984,3218.9227575235
4809,5428,65022,,DEN,IRR,149  N01 E46 23CAAA1,http://water.nv.gov/permitinformation.aspx?app=65022,149 ,NY,UG ,0,2.7,5/9/1977 12:00:00 AM,0,649014.663452148,3222.4596935905
4810,5429,65023,,DEN,IRR,149  N01 E46 22ADDD1,http://water.nv.gov/permitinformation.aspx?app=65023,149 ,NY,UG ,0,2.7,5/9/1977 12:00:00 AM,0,649182.100708008,3222.89328492137
4811,5430,V02327,,VST,IRR,140B N11 E45 02AA  1,http://water.nv.gov/permitinformation.aspx?app=V02327,140B,NY,STR,0,0.22,1/1/1885 12:00:00 AM,22.18,94588.7373046875,2783.93854156134
4812,5431,17860,5350    ,CER,MM ,131  N31 E43 21ABDD2,http://water.nv.gov/permitinformation.aspx?app=17860,131 ,LA,UG ,64.4469,0.089,2/25/1959 12:00:00 AM,0,559130.035888672,4323.89742107515
4813,5432,22421,8104    ,CER,IRD,131  N31 E41 36ABBB1,http://water.nv.gov/permitinformation.aspx?app=22421,131 ,PE,UG ,1218,5.4,2/2/1965 12:00:00 AM,304.5,1229765.70068359,4755.84246568862
4814,5433,24298,7590    ,CER,IRD,131  N31 E41 36BBBB1,http://water.nv.gov/permitinformation.aspx?app=24298,131 ,PE,UG ,1248.52,5.4,12/26/1967 12:00:00 AM,312.13,1307054.67370605,4856.20727476109
4815,5434,24353,8355    ,CER,IRD,131  N30 E41 01BBBB1,http://water.nv.gov/permitinformation.aspx?app=24353,131 ,PE,UG ,1280,5.4,2/5/1968 12:00:00 AM,320,1313167.31347656,4855.68719458541
4816,5435,24883,7591    ,CER,IRD,131  N31 E41 35AABB1,http://water.nv.gov/permitinformation.aspx?app=24883,131 ,PE,UG ,1201.36,5.4,8/16/1968 12:00:00 AM,300.34,1267891.05871582,4820.02333522366
4817,5436,10742,2916    ,CER,MM ,131  N30 E43 09ADAB1,http://water.nv.gov/permitinformation.aspx?app=10742,131 ,LA,UG ,86.941937,0.12,10/14/1941 12:00:00 AM,0,650963.145141602,3227.44395163766
4818,5437,2621,2260    ,CER,MM ,131  N32 E42 26BCCC1,http://water.nv.gov/permitinformation.aspx?app=2621,131 ,LA,STR,0,0.16,1/27/1913 12:00:00 AM,0,185092.288085938,1728.09659315123
4819,5438,2920,241     ,CER,MM ,131  N31 E43 21ABDB1,http://water.nv.gov/permitinformation.aspx?app=2920,131 ,LA,SPR,0.80650692,0.0011,3/21/1914 12:00:00 AM,0,564.317993164063,138.549801237494
4820,5439,16956,4939    ,CER,MUN,110B N09 E29 33BDBD1,http://water.nv.gov/permitinformation.aspx?app=16956,110B,MI,STR,361.99,0.5,6/7/1956 12:00:00 AM,0,198041086.55481,78911.4576515512
4821,5440,20824,5725    ,CER,IRR,110B N09 E29 20AADC1,http://water.nv.gov/permitinformation.aspx?app=20824,110B,MI,STR,54.68,0.2,11/1/1962 12:00:00 AM,13.67,55191.6439208984,1369.52486963973
4822,5441,V02864,,VST,IRR,137B N11 E42 36DBAA1,http://water.nv.gov/permitinformation.aspx?app=V02864,137B,NY,STR,0,0,3/15/1863 12:00:00 AM,353.91,1254578.10412598,6603.62015643746
4823,5442,V02874,,VST,IRR,137B N11 E42 36DBAA1,http://water.nv.gov/permitinformation.aspx?app=V02874,137B,NY,SPR,0,0,1/1/1863 12:00:00 AM,591.59,2384378.09289551,8343.80236043359
4824,5443,54911,14950   ,CER,IRR,137B N10 E43 28C   1,http://water.nv.gov/permitinformation.aspx?app=54911,137B,NY,UG ,131.16,0.53,2/13/1963 12:00:00 AM,32.79,133806.758300781,1760.41744345103
4825,5444,54912,14951   ,CER,IRR,137B N10 E43 28C   1,http://water.nv.gov/permitinformation.aspx?app=54912,137B,NY,UG ,292.08,1.06,8/14/1972 12:00:00 AM,73.02,296862.837890625,3180.00865369898
4826,5446,63100,16127   ,CER,IRR,149  N01 E46 23ADDD1,http://water.nv.gov/permitinformation.aspx?app=63100,149 ,NY,UG ,495.32,2.45,5/9/1977 12:00:00 AM,0,506607.017456055,2523.40910880775
4827,5447,63102,16128   ,CER,IRR,149  N01 E46 24BDDD1,http://water.nv.gov/permitinformation.aspx?app=63102,149 ,NY,UG ,496.12,2.45,5/9/1977 12:00:00 AM,320,505874.245239258,2521.69954277897
4828,5448,63103,16129   ,CER,IRR,149  N01 E46 24BCCC1,http://water.nv.gov/permitinformation.aspx?app=63103,149 ,NY,UG ,498.96,2.45,5/9/1977 12:00:00 AM,320,507697.950195313,2526.10219233483
4829,5449,64415,16130   ,CER,IRR,149  N01 E46 23ADDD1,http://water.nv.gov/permitinformation.aspx?app=64415,149 ,NY,UG ,496.2,2.45,5/9/1977 12:00:00 AM,0,506671.000976563,2523.59279349339
4830,5450,76852,19799   ,CER,IRR,149  N01 E46 14ADDC1,http://water.nv.gov/permitinformation.aspx?app=76852,149 ,NY,UG ,497.6,2.1,5/9/1977 12:00:00 AM,126.72,493641.201049805,2490.89622262576
4831,5452,76758,19812   ,CER,IRR,149  N01 E46 02CDAD1,http://water.nv.gov/permitinformation.aspx?app=76758,149 ,NY,UG ,495.56,2.07,5/9/1977 12:00:00 AM,640,495588.043945313,2496.53062421924
4832,5453,76759,19813   ,CER,IRR,149  N01 E46 02CDAD1,http://water.nv.gov/permitinformation.aspx?app=76759,149 ,NY,UG ,508.04,2.07,5/9/1977 12:00:00 AM,0,503287.221557617,2515.45881247354
4833,5454,84428,,PER,IRR,149  N03 E48 16CAAA1,http://water.nv.gov/permitinformation.aspx?app=84428,149 ,NY,UG ,500,1.5,10/8/2014 12:00:00 AM,0,3878695.10375977,11268.6010970988
4834,5455,82615,,PER,IRR,149  N03 E48 29CAAA1,http://water.nv.gov/permitinformation.aspx?app=82615,149 ,NY,UG ,142.4,0.6,5/9/1977 12:00:00 AM,0,1293754.26733398,4837.85357863369
4835,5457,6835,1395    ,CER,MM ,149  N02 E49 13AACD1,http://water.nv.gov/permitinformation.aspx?app=6835,149 ,NY,SPR,16.142414,0.022,12/18/1922 12:00:00 AM,0,165099.372314453,1625.44054766543
4836,5458,5845,2155    ,CER,IRR,149  N02 E49 11DBDD1,http://water.nv.gov/permitinformation.aspx?app=5845,149 ,NY,STR,26,0.07,11/7/1919 12:00:00 AM,6.98,30306.6455078125,1819.87438578732
4837,5459,V02408,,DEC,IRR,137B N12 E42 15AC  1,http://water.nv.gov/permitinformation.aspx?app=V02408,137B,NY,STR,14650.4,91.73,1/1/1904 12:00:00 AM,3626.6,15025803.9542236,38112.4537521185
4838,5460,55783,14139   ,ABR,IRR,149  N04 E48 05BABB1,http://water.nv.gov/permitinformation.aspx?app=55783,149 ,NY,UG ,0,0,2/14/1983 12:00:00 AM,51.25,207440.469726563,2660.48919939134
4839,5461,5343,1393    ,CER,IRR,149  N02 E49 12DCAA1,http://water.nv.gov/permitinformation.aspx?app=5343,149 ,NY,STR,77.04,0.254,12/20/1918 12:00:00 AM,25.43,101283.49609375,1777.44363689526
4840,5462,,,,,,,,,,,,,,2463538.53381348,6285.69229118502
4841,5463,58150,14286   ,CER,QM ,149  S01 E46 13DDAB1,http://water.nv.gov/permitinformation.aspx?app=58150,149 ,NY,UG ,460.335,1,9/19/1986 12:00:00 AM,0,15093688.78479,15922.3903480776
4842,5464,56916,14097   ,CER,QM ,149  N01 E46 25CABA1,http://water.nv.gov/permitinformation.aspx?app=56916,149 ,NY,UG ,22.924683,0.42,11/13/1991 12:00:00 AM,0,369713155.541992,76698.3476148613
4843,5465,48897,,PER,OTH,110C N08 E30 33CBDC1,http://water.nv.gov/permitinformation.aspx?app=48897,110C,MI,GEO,152,2.1,10/5/2005 12:00:00 AM,0,10486359.7557373,13008.8681836576
4844,5466,41867,12981   ,CER,QM ,110C N07 E30 08ACDA1,http://water.nv.gov/permitinformation.aspx?app=41867,110C,MI,UG ,2.240297,0.043,7/23/1980 12:00:00 AM,0,614287.143432617,3141.74210247374
4845,5467,69098,,CAN,QM ,110C N07 E29 24BCCD1,http://water.nv.gov/permitinformation.aspx?app=69098,110C,MI,UG ,512,2,6/23/1991 12:00:00 AM,0,669895.560302734,3275.72066268397
4846,5468,31538,,DEN,IRC,149  N01 E46 28ABCC1,http://water.nv.gov/permitinformation.aspx?app=31538,149 ,NY,UG ,1280,5.4,5/9/1977 12:00:00 AM,320,1295495.31848145,4829.72594246332
4847,5469,31539,,DEN,IRC,149  N01 E46 28DBCC1,http://water.nv.gov/permitinformation.aspx?app=31539,149 ,NY,UG ,1280,5.4,5/9/1977 12:00:00 AM,320,1295037.31164551,4828.3905113287
4848,5470,31542,,DEN,IRC,149  N01 E46 27DBCC1,http://water.nv.gov/permitinformation.aspx?app=31542,149 ,NY,UG ,1280,5.4,5/9/1977 12:00:00 AM,320,1294279.41064453,4825.1608419
4849,5471,31545,,DEN,IRC,149  N01 E46 26DBCC1,http://water.nv.gov/permitinformation.aspx?app=31545,149 ,NY,UG ,1280,5.4,5/9/1977 12:00:00 AM,320,1296392.80187988,4830.59272880342
4850,5472,48406,19667   ,CER,IRR,149  N03 E48 03CCBB1,http://water.nv.gov/permitinformation.aspx?app=48406,149 ,NY,UG ,726.83,2.98,9/17/1984 12:00:00 AM,186.33,754659.157958984,5043.73374750106
4851,5473,14424,4475    ,CER,IRR,138  N24 E48 08CDDB1,http://water.nv.gov/permitinformation.aspx?app=14424,138 ,LA,UG ,80,1,7/14/1952 12:00:00 AM,19.9,77655.8703613281,1453.64408168804
4852,5474,19320,7691    ,CER,IRR,138  N24 E48 15ACBB1,http://water.nv.gov/permitinformation.aspx?app=19320,138 ,EU,UG ,478.4,2.23,11/7/1960 12:00:00 AM,119.6,480304.945068359,3162.89377839192
4853,5475,25073,9212    ,CER,IRR,138  N21 E45 26BABA1,http://water.nv.gov/permitinformation.aspx?app=25073,138 ,LA,SPR,1814.4,3.34,5/21/1969 12:00:00 AM,453.6,1789653.01220703,12390.2136632331
4854,5476,26898,8238    ,CER,IRR,138  N23 E48 20ABAD1,http://water.nv.gov/permitinformation.aspx?app=26898,138 ,LA,UG ,895.08,4.88,8/21/1972 12:00:00 AM,223.77,983120.954589844,8790.05589791382
4855,5477,26899,8239    ,CER,IRR,138  N24 E48 08CDDD1,http://water.nv.gov/permitinformation.aspx?app=26899,138 ,LA,UG ,822.6,4.57,8/21/1972 12:00:00 AM,205.65,837814.845458984,6208.74656326979
4856,5478,27941,9481    ,ABR,IRR,138  N21 E46 16BDBC1,http://water.nv.gov/permitinformation.aspx?app=27941,138 ,LA,UG ,0,0,9/20/1966 12:00:00 AM,632.6,2591292.24438477,8899.21556611594
4857,5479,40579,11119   ,CER,IRR,138  N23 E48 09ABBC1,http://water.nv.gov/permitinformation.aspx?app=40579,138 ,EU,STR,158.8,1.5,2/20/1980 12:00:00 AM,39.7,172445.560302734,2197.06468963498
4858,5480,4758,1657    ,CER,IRR,138  N22 E47 23ABCD1,http://water.nv.gov/permitinformation.aspx?app=4758,138 ,LA,STR,52.9,0.159,12/5/1917 12:00:00 AM,15.87,50110.9697265625,1192.02532429733
4859,5481,7893,1655    ,CER,IRR,138  N22 E47 12DBCA1,http://water.nv.gov/permitinformation.aspx?app=7893,138 ,LA,SPR,8.5,0.02,6/16/1926 12:00:00 AM,2,7137.75854492188,446.236356566056
4860,5482,4794,781     ,CER,IRR,138  N24 E48 15ADBA1,http://water.nv.gov/permitinformation.aspx?app=4794,138 ,EU,STR,57.9,0.193,12/19/1917 12:00:00 AM,19.3,77706.939453125,3920.95324937834
4861,5483,40575,11116   ,CER,IRR,138  N23 E48 16DBAD1,http://water.nv.gov/permitinformation.aspx?app=40575,138 ,EU,STR,780,1.1,2/20/1980 12:00:00 AM,195.2,782704.386962891,7457.67447739515
4862,5484,10606,2914    ,CER,DOM,140B N10 E45 21CAAA1,http://water.nv.gov/permitinformation.aspx?app=10606,140B,NY,SPR,0,0.001,12/26/1940 12:00:00 AM,0,161343.829833984,1606.70570167717
4863,5485,2213,414     ,CER,IRR,140B N11 E46 06BCDA1,http://water.nv.gov/permitinformation.aspx?app=2213,140B,NY,STR,127.24,0.318,9/19/1911 12:00:00 AM,31.81,125495.3359375,1639.19871729128
4864,5486,2244,436     ,CER,IRR,140B N09 E46 07ABBC1,http://water.nv.gov/permitinformation.aspx?app=2244,140B,NY,STR,140,0.35,10/16/1911 12:00:00 AM,35,936220.145141602,4761.98609523261
4865,5487,26756,10862   ,CER,IRD,140B N11 E46 18BCCB1,http://water.nv.gov/permitinformation.aspx?app=26756,140B,NY,STR,497.26,5.4,6/2/1972 12:00:00 AM,278.17,1126726.93115234,5615.41782984764
4866,5488,26757,10863   ,CER,IRD,140B N11 E46 18BCCB1,http://water.nv.gov/permitinformation.aspx?app=26757,140B,NY,STR,776.53,5.4,6/2/1972 12:00:00 AM,258.75,1129069.14672852,4816.77162332487
4867,5489,27973,11170   ,CER,MM ,140B N13 E46 19BBDC1,http://water.nv.gov/permitinformation.aspx?app=27973,140B,NY,SPR,23.93742,1,12/26/1973 12:00:00 AM,0,768655.633300781,3922.39714015276
4868,5490,3361,2606    ,CER,IRR,140B N10 E46 01DCDC1,http://water.nv.gov/permitinformation.aspx?app=3361,140B,NY,STR,294,1.205,4/23/1915 12:00:00 AM,120.5,473980.694580078,3638.75856624504
4869,5491,3362,2556    ,CER,IRR,140B N10 E47 06BBDC1,http://water.nv.gov/permitinformation.aspx?app=3362,140B,NY,STR,478,2.651,4/23/1915 12:00:00 AM,265.1,1067752.36010742,4774.73156224026
4870,5492,3406,742     ,CER,IRR,140B N11 E46 21CDAD1,http://water.nv.gov/permitinformation.aspx?app=3406,140B,NY,STR,360.15,1.201,5/27/1915 12:00:00 AM,120.05,484890.955810547,3854.75520947455
4871,5493,47602,12624   ,CER,MM ,140B N13 E45 24AAAB1,http://water.nv.gov/permitinformation.aspx?app=47602,140B,NY,UG ,160.779671,0.426,1/25/1984 12:00:00 AM,0,3436380.97583008,8342.56239407108
4872,5494,4784,1212    ,CER,IRR,140B N12 E47 32ACAB1,http://water.nv.gov/permitinformation.aspx?app=4784,140B,NY,STR,1134.05,2.363,12/17/1917 12:00:00 AM,236.26,955712.38671875,4264.39207119244
4873,5495,4785,1213    ,CER,IRR,140B N12 E47 31ABDB1,http://water.nv.gov/permitinformation.aspx?app=4785,140B,NY,STR,1536,3.2,12/17/1917 12:00:00 AM,320,1261446.99047852,6389.14542885765
4874,5496,50244,14276   ,CER,QM ,141  N09 E45 25BCCB1,http://water.nv.gov/permitinformation.aspx?app=50244,141 ,NY,UG ,5.554709,0.056,10/2/1986 12:00:00 AM,0,634564.035888672,4782.32912645295
4875,5497,V01091,,VST,IRR,140B N10 E45 21ABCA1,http://water.nv.gov/permitinformation.aspx?app=V01091,140B,NY,SPR,0,0,1/1/1874 12:00:00 AM,150.22,341244.934692383,7675.25088334063
4876,5498,V01456,,VST,IRR,138  N21 E45 28BACC1,http://water.nv.gov/permitinformation.aspx?app=V01456,138 ,LA,SPR,3,1,1/1/1864 12:00:00 AM,115,536511.436035156,7494.15162191406
4877,5499,10657,3050    ,CER,MM ,131  N31 E43 17CCDB1,http://water.nv.gov/permitinformation.aspx?app=10657,131 ,LA,STR,0,1,5/3/1941 12:00:00 AM,0,13637653.1173096,26752.6469687408
4878,5500,12170,3974    ,CER,IRR,155A N16 E53 10DCBB1,http://water.nv.gov/permitinformation.aspx?app=12170,155A,EU,UG ,50.96,0.668,1/16/1948 12:00:00 AM,12.74,48981.5754394531,997.858154039412
4879,5501,10972,3107    ,CER,IRR,131  N32 E41 16CCBB1,http://water.nv.gov/permitinformation.aspx?app=10972,131 ,PE,STR,59.71,0.163,7/28/1943 12:00:00 AM,16.3,64900.0313720703,1099.46728044879
4880,5502,13723,3987    ,CER,IRR,155A N16 E53 08BDAC1,http://water.nv.gov/permitinformation.aspx?app=13723,155A,EU,SPR,5174.4,13,5/16/1951 12:00:00 AM,1471.415,5969263.37768555,18898.2885167685
4881,5503,21458,7048    ,CER,IRR,155A N14 E51 34BCAA1,http://water.nv.gov/permitinformation.aspx?app=21458,155A,NY,SPR,56.21,0.078,8/14/1963 12:00:00 AM,42.4,185668.611328125,3234.36908095879
4882,5504,21459,7049    ,CER,IRR,155A N14 E51 35DBAC1,http://water.nv.gov/permitinformation.aspx?app=21459,155A,NY,SPR,32.52,0.045,8/14/1963 12:00:00 AM,31.5,144413.786132813,2062.58388092905
4883,5505,21460,7050    ,CER,IRR,155A N14 E51 35DADD1,http://water.nv.gov/permitinformation.aspx?app=21460,155A,NY,SPR,26.1,0.036,8/14/1963 12:00:00 AM,14.4,53284.4169921875,1177.9598577076
4884,5506,2465,396     ,CER,IRR,155A N16 E53 08BDAC1,http://water.nv.gov/permitinformation.aspx?app=2465,155A,EU,SPR,356.57,0.985,7/16/1912 12:00:00 AM,98.5,408339.629394531,3697.63804086646
4885,5507,4889,973     ,CER,IRR,155A N16 E53 08BDAC1,http://water.nv.gov/permitinformation.aspx?app=4889,155A,EU,STR,199.5,0.665,2/4/1918 12:00:00 AM,66.5999999,273378.160400391,2347.98585233746
4886,5508,30402,10117   ,CER,IRD,154  N17 E54 21C   1,http://water.nv.gov/permitinformation.aspx?app=30402,155A,WP,UG ,625.84,2,,156.46,631930.605712891,3180.73215442518
4887,5509,45073,15646   ,CER,IRD,154  N17 E54 16B   1,http://water.nv.gov/permitinformation.aspx?app=45073,155A,WP,UG ,533.6,2.23,11/23/1981 12:00:00 AM,133.4,499289.060791016,2506.94843868738
4888,5510,36872,13748   ,CER,MM ,131  N30 E43 09DDAC1,http://water.nv.gov/permitinformation.aspx?app=36872,131 ,LA,UG ,5.554709,0.082,3/2/1979 12:00:00 AM,0,5357845.36584473,9736.55646012525
4889,5511,6456,901     ,CER,IRR,059  N30 E43 25BCAB1,http://water.nv.gov/permitinformation.aspx?app=6456,059 ,LA,STR,82.47,0.275,5/7/1921 12:00:00 AM,27.49,114905.436279297,1350.6042785732
4890,5512,4441,667     ,CER,DOM,131  N31 E43 21ABDD1,http://water.nv.gov/permitinformation.aspx?app=4441,131 ,LA,SPR,0.54,0.001,5/17/1917 12:00:00 AM,0,85895.4868164063,1291.40700816293
4891,5513,11114,2905    ,CER,OTH,121A N08 E34 33AACA1,http://water.nv.gov/permitinformation.aspx?app=11114,121A,MI,UG ,361.976755,0.5,5/2/1944 12:00:00 AM,0,166294.72265625,1631.20168829496
4892,5514,V01495,,VST,MM ,121A N06 E35 23ABCC1,http://water.nv.gov/permitinformation.aspx?app=V01495,121A,MI,STR,0,0,1/1/1898 12:00:00 AM,0,4209101.42687988,9672.67362624733
4893,5515,25143,9210    ,CER,MM ,121A N06 E35 05CACD1,http://water.nv.gov/permitinformation.aspx?app=25143,121A,MI,UG ,403.25346,0.67,7/7/1969 12:00:00 AM,0,20408.8737792969,582.024449399011
4894,5516,1336,380     ,CER,IRR,141  N03 E45 22ADBA1,http://water.nv.gov/permitinformation.aspx?app=1336,141 ,NY,SPR,4,0.01,4/16/1909 12:00:00 AM,1,3654.7744140625,248.896825122452
4895,5517,25630,8095    ,CER,IND,141  N03 E43 36CADD1,http://water.nv.gov/permitinformation.aspx?app=25630,141 ,NY,UG ,7.856384,0.05,5/25/1970 12:00:00 AM,0,2580761.4152832,6427.37407490294
4896,5518,26282,8812    ,CER,MM ,141  N09 E45 07BADB1,http://water.nv.gov/permitinformation.aspx?app=26282,141 ,NY,STR,5.99,0.75,8/31/1971 12:00:00 AM,0,1090843.1385498,4515.41098119777
4897,5519,76997,,RFA,QM ,141  N04 E44 18DDDC1,http://water.nv.gov/permitinformation.aspx?app=76997,141 ,NY,UG ,1500,2.07,4/28/2008 12:00:00 AM,0,48869153.6077881,55128.8032321631
4898,5520,4908,518     ,CER,IRR,141  N09 E45 26ADAB1,http://water.nv.gov/permitinformation.aspx?app=4908,141 ,NY,SPR,21.16,0.058,2/15/1918 12:00:00 AM,5.8,23783.3446044922,732.642912132437
4899,5521,5131,519     ,CER,IRR,141  N09 E45 26CDAA1,http://water.nv.gov/permitinformation.aspx?app=5131,141 ,NY,SPR,2.41,0.008,6/29/1918 12:00:00 AM,0.8,3207.11999511719,283.527262525223
4900,5522,7230,1432    ,CER,IRR,138  N23 E48 09ABBC1,http://water.nv.gov/permitinformation.aspx?app=7230,138 ,EU,OSW,18.63,0.056,10/18/1924 12:00:00 AM,5.6,18510.9626464844,943.568458665048
4901,5523,53764,,PER,MM ,131  N31 E43 17BCAA1,http://water.nv.gov/permitinformation.aspx?app=53764,131 ,LA,STR,1447.94,2,10/17/1910 12:00:00 AM,0,20925869.4627686,25835.7758710885
4902,5524,88417T,,EXP,MM ,131  N30 E43 09CBCC1,http://water.nv.gov/permitinformation.aspx?app=88417T,131 ,LA,UG ,1200,0,9/8/1981 12:00:00 AM,0,26359412.3947754,23724.2236049446
4903,5525,71715,,PER,IRR,131  N32 E42 03BBBD1,http://water.nv.gov/permitinformation.aspx?app=71715,131 ,HU,UG ,1280,5.4,6/25/2001 12:00:00 AM,0,2560507.78857422,6398.42303799487
4904,5526,71716,,PER,IRR,131  N32 E42 09AABD1,http://water.nv.gov/permitinformation.aspx?app=71716,131 ,HU,UG ,1280,5.4,10/31/2001 12:00:00 AM,0,2591260.00195313,6438.95454045354
4905,5527,77922,,CAN,MM ,131  N31 E43 28CCDB1,http://water.nv.gov/permitinformation.aspx?app=77922,131 ,LA,UG ,970.12,1.34,11/1/2013 12:00:00 AM,0,1021427.3828125,4983.14344417522
4906,5528,78211,,WDR,IRR,131  N32 E42 21BBBB1,http://water.nv.gov/permitinformation.aspx?app=78211,131 ,HU,UG ,1280,5.4,6/25/2001 12:00:00 AM,0,2589781.77380371,6437.12129571159
4907,5529,78212,,WDR,IRR,131  N32 E42 29BBBB1,http://water.nv.gov/permitinformation.aspx?app=78212,131 ,HU,UG ,1280,5.4,10/31/2001 12:00:00 AM,0,2590377.05957031,6437.85135576763
