RightID,RightStatus,RightUse,ApplicationNumber,Location,PointOfDiversionID,PrimaryIndicator,PointofDiversionStatus,WaterDivision,FieldOffice,CarrierA,CarrierB,SourceName,ProGrant,Units,GPM,Rate,CurrentTotalAcres,CountyName,NRDName,HUC12,PriorityDate,BeneficialDate,ApprovalDate,IrrigationProject,Notice_Status,Notice_EffectiveDate,Notice_Type,Reason_AdminAction,BeneficialUseCategory,ReasonRemoved,index
10940,Active    ,SO,A-18752, S30-T5-R7E,11131,7,1,1D,,Pump,,Bear Creek Reservoir 3-A,63.1,AF,,,80.0,Gage,Lower Big Blue,102702020406,2011-03-03,2013-09-01T00:00:00,2011-06-16T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
11189,Active    ,ST,A-18956, S34-T2-R8E,13927,1,1,1D,,Thomas West Reservoir,,Wolf Creek,35.0,AF,,,,Gage,Lower Big Blue,102702020604,2012-08-08,,2013-05-08T00:00:00,,,,,,Storage,Null GPM,0.0
11190,Active    ,SO,A-18957, S34-T2-R8E,13926,1,1,1D,,Pump,,Thomas West Reservoir,35.0,AF,,,38.4,Gage,Lower Big Blue,102702020604,2012-08-09,2015-09-01T00:00:00,2013-05-08T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
12688,Active    ,IR,A-19017,SWNE S26-T32-R4E,13210,1,1,2F,,Pump,,Missouri River,0.91,CFS,,70,63.9,Dixon,Lewis & Clark,101701011504,2013-01-25,2015-09-01T00:00:00,2013-05-29T00:00:00,,Open,2018-05-02T00:00:00,Open,Natural Flow (Reminder),Irrigation from Natural Stream,Null GPM,0.0
10636,Active    ,SO,A-18611,SENE S31-T5-R12E,8566,1,1,1F,,Pump,,Spring Creek Reservoir 9-3,46.7,AF,,,78.0,Johnson,Nemaha,102400060401,2008-09-02,2011-09-01T00:00:00,2008-10-17T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
10920,Active    ,SO,A-18737, S33-T3-R8E,11081,1,1,1D,,Pump,,Hofeling Pond No. 2,4.36,AF,,,137.3,Gage,Lower Big Blue,102702020605,2011-01-20,2013-09-01T00:00:00,2011-06-08T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
10921,Active    ,SO,A-18738, S33-T3-R8E,11080,1,1,1D,,Pump,,Hofeling Pond No. 3,6.52,AF,,,137.3,Gage,Lower Big Blue,102702020605,2011-01-20,2013-09-01T00:00:00,2011-06-08T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
11105,Active    ,SO,A-18610,NENW S31-T33-R1E,12048,1,1,2F,,Pump,,Schmidt Reservoir,38.0,AF,,,67.8,Cedar,Lewis & Clark,101701011205,2008-09-02,2011-09-01T00:00:00,2009-08-06T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
10635,Active    ,SI,A-18610,NENW S31-T33-R1E,8570,1,1,2F,,Pump,,Schmidt Reservoir,38.36,AF,,,33.2,Cedar,Lewis & Clark,101701011205,2008-09-02,2011-09-01T00:00:00,2009-02-06T00:00:00,,,,,,Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.),Null GPM,0.0
11185,Active    ,SO,A-18952,NWNE S17-T3-R7W,12461,1,1,1C,,portable pump,,Dan Shaw Pond,34.0,AF,,,140.6,Nuckolls,Little Blue,102702060507,2012-08-06,2015-09-01T00:00:00,2013-03-15T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
11082,Active    ,ST,A-18868,NW S11-T32-R2W,13484,1,1,2F,,Wortmann Reservoir,,Beaver Creek,13.0,AF,,,,Knox,Lewis & Clark,101701011201,2012-01-27,,2012-08-07T00:00:00,,Open,2016-04-29T00:00:00,Open,Natural Flow (Reminder),Storage,Null GPM,0.0
10901,Active    ,ST,A-18720,SENE S27-T10-R8E,10714,1,1,2B,,Marvin Mueller Reservoir,,"Stevens Creek, Trib. To",26.0,AF,,,,Lancaster,Lower Platte South,102002030902,2010-09-20,,2012-02-23T00:00:00,,Open,2020-09-11T00:00:00,Open,Instream Flow (NGPC and CPNRD),Storage,Null GPM,0.0
12742,Active    ,SS,A-19060, S2-T4-R3W,13430,1,1,1C,,Father Hupp WMA,,"Sandy Creek, Big, Trib. To",19.0,AF,,,,Thayer,Little Blue,102702060806,2013-04-02,,2013-06-20T00:00:00,,Open,2018-08-20T00:00:00,Open,Blue River Compact,Supplemental Storage (an appropriation that has a prior appropriation for storage),Null GPM,0.0
10372,Active    ,ST,A-18520,SWNE S11-T10-R6E,9665,1,1,2B,,I-180 & Adams St. Retention Pond,,"Oak Creek, Trib. To",28.4,AF,,,,Lancaster,Lower Platte South,102002030406,2007-07-03,,2007-11-30T00:00:00,,Open,2020-09-11T00:00:00,Open,Instream Flow (NGPC and CPNRD),Storage,Null GPM,0.0
10040,Active    ,ST,A-18397, S2-T4-R1W,9364,1,1,1C,,Little Sandy Creek Reservoir No 40,,"Sandy Creek, Little",1214.12,AF,,,,Thayer,Little Blue,102702070102,2006-05-11,,2006-10-11T00:00:00,,Open,2018-08-20T00:00:00,Open,Blue River Compact,Storage,Null GPM,0.0
10059,Active    ,ST,A-18414,SWNW S12-T2-R2E,10358,1,1,1C,,Wildridge Subdivision Reservoir,,Brawner Creek,62.0,AF,,,,Jefferson,Little Blue,102702070105,2006-08-01,2008-10-01T00:00:00,2006-09-21T00:00:00,,Open,2018-08-20T00:00:00,Open,Blue River Compact,Storage,Null GPM,0.0
9884,Active    ,SS,A-18274,NENE S30-T16-R12E,10116,1,1,2F,,"Deer Creek Golf Course Ponds A, B, C, D",,"Papillion Creek, Big",112.2,AF,,,,Douglas,Papio-Missouri River,102300060205,2004-11-12,2005-05-23T00:00:00,2005-05-23T00:00:00,,Open,2016-04-29T00:00:00,Open,Natural Flow (Reminder),Supplemental Storage (an appropriation that has a prior appropriation for storage),Null GPM,0.0
10908,Active    ,WT,A-18725, S1-T12-R13E,10921,1,1,1F,,NDOR Oreapolis Wetland Mitigation Site,,"Missouri River, Trib. To",17.6,AF,,,,Cass,Lower Platte South,102400010106,2010-11-08,,2011-05-09T00:00:00,,Open,2019-04-23T00:00:00,Open,Natural Flow (Reminder),Wetlands,Null GPM,0.0
10908,Active    ,WT,A-18725, S1-T12-R13E,10922,7,1,1F,,NDOR Oreapolis Wetland Mitigation Site,,"Missouri River, Trib. To",17.6,AF,,,,Cass,Lower Platte South,102400010106,2010-11-08,,2011-05-09T00:00:00,,Open,2019-04-23T00:00:00,Open,Natural Flow (Reminder),Wetlands,Null GPM,0.0
10224,Active    ,ST,A-18455, S19-T14-R18W,12653,1,1,2A,,Big Valley Clean Water Basin,,"Elk Creek, Trib. To",5.0,AF,,,,Custer,Lower Loup,102100040405,2007-02-20,,2007-09-12T00:00:00,,Open,2020-09-11T00:00:00,Open,Instream Flow (NGPC and CPNRD),Storage,Null GPM,0.0
10738,Active    ,ST,A-18655, S6-T5-R1E,13685,1,1,1C,,Reservoir Site 73,,"Walnut Creek, Trib. To",345.0,AF,,,,Saline,Lower Big Blue,102702070101,2009-04-03,,2009-12-31T00:00:00,,Open,2018-08-20T00:00:00,Open,Blue River Compact,Storage,Null GPM,0.0
12684,Active    ,SO,A-19013,SENW S28-T3-R16E,13212,1,1,1F,,Pump,,LAH Eickhoff EQIP Reservoir,23.0,AF,,,283.9,Richardson,Nemaha,102400080307,2013-01-24,2016-09-01T00:00:00,2013-08-07T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
11114,Active    ,ST,A-18894,SWNW S32-T32-R12W,12081,1,1,2C,,Crooked Elm Reservoir,,"Eagle Creek, Trib. To",11.8,AF,,,,Holt,Lower Niobrara,101500070304,2012-03-20,,2012-06-13T00:00:00,,Open,2018-04-17T00:00:00,Open,Natural Flow (Reminder),Storage,Null GPM,0.0
10252,Active    ,ST,A-18483, S8-T33-R13W,13314,1,1,2C,,Reiser Reservoir No 2,,"Niobrara River, Trib. To",150.0,AF,,,,Boyd,Lower Niobrara,101500070502,2007-03-05,,2013-08-23T00:00:00,,Open,2018-09-26T00:00:00,Open,Spencer Hydropower,Storage,Null GPM,0.0
10210,Active    ,ST,A-18443,SWNE S22-T2-R16E,9478,1,1,1F,,Taft Flood Control Structure,,"Muddy Creek, Trib. To",41.8,AF,,,0.0,Richardson,Nemaha,102400080307,2007-02-07,,2007-11-28T00:00:00,,,,,,Storage,Null GPM,0.0
11224,Active    ,ST,A-18986, S12-T7-R1E,12768,1,1,1D,,Turkey Creek Site 9 Reservoir,,"Turkey Creek, Trib. To",526.7,AF,,,,Saline,Lower Big Blue,102702040304,2012-11-15,,2013-10-01T00:00:00,,,,,,Storage,Null GPM,0.0
10851,Active    ,SO,A-18687,SWNW S11-T5-R7E,10277,1,1,1D,,Pump,,Bear-Pierce-Cedar Creek Reservoir 5-B,28.4,AF,,,68.5,Gage,Lower Big Blue,102702020406,2010-02-02,2013-09-01T00:00:00,2011-02-03T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
12805,Active    ,ST,A-19120,SENW S20-T3-R6E,13695,1,1,1D,,Lineweber South 2 Reservoir,,"Blue River, Big, Trib. To",16.0,AF,,,,Gage,Lower Big Blue,102702020409,2013-07-31,,2013-08-07T00:00:00,,,,,,Storage,Null GPM,0.0
11143,Active    ,ST,A-18918, S8-T1-R3W,12292,1,1,1C,,Heitmann Irr Res No 2,,"Spring Creek, Trib. To",9.6,AF,,,,Thayer,Little Blue,102702060905,2012-05-31,,2012-08-06T00:00:00,,Open,2018-08-20T00:00:00,Open,Blue River Compact,Storage,Null GPM,0.0
12341,Active    ,ST,A-19128, S24-T3-R12W,13045,1,1,1B,,Hansen Homestead Pond,,"Indian Creek, Trib. To",42.3,AF,,,,Webster,Lower Republican,102500160505,2013-08-14,,2013-10-22T00:00:00,,Open,2020-09-15T00:00:00,Open,Localized Administration,Storage,Null GPM,0.0
11184,Active    ,SS,A-18951,NENE S17-T3-R7W,12462,1,1,1C,,portable pump,,"Elk Creek, Trib. To",68.0,AF,,,,Nuckolls,Little Blue,102702060507,2012-08-06,2015-09-01T00:00:00,2013-03-14T00:00:00,,Open,2018-08-20T00:00:00,Open,Blue River Compact,Supplemental Storage (an appropriation that has a prior appropriation for storage),Null GPM,0.0
12743,Active    ,ST,A-19061, S19-T1-R6E,13424,1,1,1D,,Spitsnogle Irrigation Res,,"Indian Creek, Big, Trib. To",38.1,AF,,,,Gage,Lower Big Blue,102702020505,2013-04-08,,2013-07-26T00:00:00,,,,,,Storage,Null GPM,0.0
10016,Active    ,SO,A-1159,NWNW S6-T24-R51W,14247,1,1,2C,,Kilpatrick Canals No. 1&2,,Kilpatrick Reservoir,2300.0,AF,,,434.5,Box Butte,Upper Niobrara-White,101500030305,1911-06-07,,,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
11034,Active    ,ST,A-18821, S35-T33-R9W,11518,1,1,2F,,Mahon Reservoir No 2,,"Ponca Creek, Trib. To",10.0,AF,,,,Boyd,Lower Niobrara,101500010304,2011-10-17,,2012-06-14T00:00:00,,,,,,Storage,Null GPM,0.0
12474,Active    ,ST,A-19119, S27-T7-R25W,12914,1,1,1B,,Schurr Dam No. 2,,"Muddy Creek, West Branch, Trib. to",21.0,AF,,,,Frontier,Middle Republican,102500090201,2013-07-29,,2013-11-07T00:00:00,,Open,2020-09-15T00:00:00,Open,Localized Administration,Storage,Null GPM,0.0
12724,Active    ,ST,A-19042, S3-T10-R3E,13597,1,1,1D,,Oxbow Reservoir,,Shadley Vale Creek,16.3,AF,,,,Seward,Upper Big Blue,102702020104,2013-03-20,,2013-11-08T00:00:00,,,,,,Storage,Null GPM,0.0
12765,Active    ,SO,A-19081, S8-T1-R3W,13466,2,1,1C,,Pump,,Heitmann Reservoir No 2,9.6,AF,,,70.6,Thayer,Little Blue,102702060905,2013-05-13,2015-09-01T00:00:00,2013-11-08T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
12765,Active    ,SO,A-19081, S8-T1-R3W,13467,1,1,1C,,Pump,,Heitmann Reservoir No 2,9.6,AF,,,70.6,Thayer,Little Blue,102702060905,2013-05-13,2015-09-01T00:00:00,2013-11-08T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
7143,Active    ,SI,A-16081, S6-T19-R9E,7977,1,1,2B,,Pump,,Kriete Reservoir,3.0,AF,,,210.0,Dodge,Lower Elkhorn,102200031001,1982-03-18,1984-10-01T00:00:00,1982-05-28T00:00:00,,,,,,Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.),Null GPM,0.0
12757,Active    ,SO,A-19073,SWNE S13-T2-R4E,13441,1,1,1D,,Pump,,"Indian Creek, Big, Reservoir 17-A",71.8,AF,,,71.8,Jefferson,Lower Big Blue,102702020502,2013-04-23,2016-09-01T00:00:00,2013-12-06T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
12801,Active    ,SO,A-19112,NENW S20-T3-R6E,13670,1,1,1D,,Pump,,Lineweber South Reservoir,63.7,AF,,,197.1,Gage,Lower Big Blue,102702020409,2013-07-19,2016-09-01T00:00:00,2013-12-17T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
11064,Active    ,SI,A-18851,SWNW S12-T31-R8W,12348,2,1,2C,,Pump,,Lightner Reservoir No. 3,24.6,AF,,,209.8,Knox,Lower Niobrara,101500071004,2011-12-14,2014-09-01T00:00:00,2012-05-22T00:00:00,,,,,,Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.),Null GPM,0.0
11064,Active    ,SI,A-18851, S12-T31-R8W,12349,1,1,2C,,Pump,,Lightner Reservoir No. 3,24.6,AF,,,209.8,Knox,Lower Niobrara,101500071004,2011-12-14,2014-09-01T00:00:00,2012-05-22T00:00:00,,,,,,Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.),Null GPM,0.0
11065,Active    ,SI,A-18852, S1-T31-R8W,11756,1,1,2C,,Pump,,Big L Reservoir,125.0,AF,,,409.1,Knox,Lower Niobrara,101500071004,2011-12-14,2014-09-01T00:00:00,2012-05-22T00:00:00,,,,,,Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.),Null GPM,0.0
11065,Active    ,SI,A-18852, S1-T31-R8W,12639,7,1,2C,,Pump,,Big L Reservoir,125.0,AF,,,409.1,Knox,Lower Niobrara,101500071004,2011-12-14,2014-09-01T00:00:00,2012-05-22T00:00:00,,,,,,Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.),Null GPM,0.0
11061,Active    ,SI,A-18848, S11-T31-R8W,12791,1,1,2C,,Pump,,Crappie Lake,9.0,AF,,,126.2,Knox,Lower Niobrara,101500071004,2011-12-14,2014-09-01T00:00:00,2012-05-22T00:00:00,,,,,,Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.),Null GPM,0.0
11062,Active    ,SI,A-18849, S11-T31-R8W,12350,1,1,2C,,Pump,,Vonasek Reservoir,28.0,AF,,,209.8,Knox,Lower Niobrara,101500071004,2011-12-14,2014-09-01T00:00:00,2012-05-22T00:00:00,,,,,,Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.),Null GPM,0.0
11062,Active    ,SI,A-18849,SWNW S12-T31-R8W,12640,2,1,2C,,Pump,,Vonasek Reservoir,28.0,AF,,,209.8,Knox,Lower Niobrara,101500071004,2011-12-14,2014-09-01T00:00:00,2012-05-22T00:00:00,,,,,,Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.),Null GPM,0.0
11062,Active    ,SI,A-18849, S11-T31-R8W,12792,2,1,2C,,Pump,,Vonasek Reservoir,28.0,AF,,,209.8,Knox,Lower Niobrara,101500071004,2011-12-14,2014-09-01T00:00:00,2012-05-22T00:00:00,,,,,,Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.),Null GPM,0.0
11063,Active    ,SI,A-18850,SWNW S12-T31-R8W,11755,1,1,2C,,Pump,,Lightner Reservoir No. 2,39.0,AF,,,209.8,Knox,Lower Niobrara,101500071004,2011-12-14,2014-09-01T00:00:00,2012-05-22T00:00:00,,,,,,Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.),Null GPM,0.0
10225,Active    ,SO,A-18456, S19-T14-R18W,12268,1,1,2A,,Pump,,Big Valley Clean Water Basin,5.0,AF,,,,Custer,Lower Loup,102100040405,2007-02-20,2010-10-01T00:00:00,2007-09-12T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
12491,Active    ,ST,A-19158, S19-T5-R33W,12841,1,1,1B,,Smith Dam 313,,"Frenchman River, Trib. To",22.0,AF,,,,Hayes,Middle Republican,102500050504,2013-11-08,,2013-12-20T00:00:00,,Open,2020-09-15T00:00:00,Open,Localized Administration,Storage,Null GPM,0.0
12827,Active    ,SO,A-19145,NENE S14-T6-R5E,13791,1,1,1D,,Pump,,Clatonia Creek Reservoir 4-A,74.54,AF,,,115.7,Gage,Lower Big Blue,102702020204,2013-09-26,2016-09-01T00:00:00,2013-12-23T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
12552,Active    ,ST,A-19152, S6-T2-R27W,12927,1,1,1B,,Schaffert Pond No. 1,,"Berger Creek, Trib. to",88.0,AF,,,,Red Willow,Middle Republican,102500040804,2013-10-23,,2013-12-23T00:00:00,,Open,2020-09-15T00:00:00,Open,Localized Administration,Storage,Null GPM,0.0
10905,Active    ,SO,A-18724,SWNW S20-T6-R7W,10820,1,1,1C,,Pump,,Big Sandy Res. 20-6-7,522.0,AF,,,494.2,Clay,Little Blue,102702060604,2010-10-14,2013-09-01T00:00:00,2011-06-29T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
10905,Active    ,SO,A-18724, S20-T6-R7W,10821,7,1,1C,,Pump,,Big Sandy Res. 20-6-7,522.0,AF,,,494.2,Clay,Little Blue,102702060604,2010-10-14,2013-09-01T00:00:00,2011-06-29T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
12826,Active    ,ST,A-19144, S34-T34-R12W,13806,1,1,2F,,Klasna Reservoir,,Crooked Creek,65.4,AF,,,,Boyd,Lower Niobrara,101500010301,2013-09-20,,2014-01-14T00:00:00,,,,,,Storage,Null GPM,0.0
12789,Active    ,SO,A-19101,SWNW S22-T2-R1E,13610,1,1,1C,,Portable Pump,,Buckley Creek Watershed Dam 4-A,237.1,AF,,70,96.3,Jefferson,Little Blue,102702070205,2013-06-26,2016-09-01T00:00:00,2014-01-24T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
11112,Active    ,SO,A-18892,SWNE S5-T33-R13W,12076,1,1,2C,,Pump,,Reiser Reservoir No 2,93.7,AF,,,102.1,Boyd,Lower Niobrara,101500070502,2012-03-19,2016-09-01T00:00:00,2014-02-04T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
11112,Active    ,SO,A-18892,SWNE S5-T33-R13W,12077,7,1,2C,,Pump,,Reiser Reservoir No 2,93.7,AF,,,102.1,Boyd,Lower Niobrara,101500070502,2012-03-19,2016-09-01T00:00:00,2014-02-04T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
11123,Active    ,ST,A-18903, S16-T6-R4E,12121,1,1,1D,,Wilber Watershed Res,,"Blue River, Big, Trib. To",38.1,AF,,,,Saline,Lower Big Blue,102702020205,2012-03-23,,2012-06-14T00:00:00,,,,,,Storage,Null GPM,0.0
11036,Active    ,ST,A-18823,NWNE S17-T33-R8W,11520,1,1,2F,,Mahon Reservoir No 1,,"Ponca Creek, Trib. To",15.0,AF,,,,Knox,Lower Niobrara,101500010305,2011-10-17,,2011-12-07T00:00:00,,,,,,Storage,Null GPM,0.0
12630,Active    ,ST,A-19164, S19-T1-R11W,13114,1,1,1B,,Groenewold Reservoir,,State Creek,40.0,AF,,,,Webster,Lower Republican,102500160504,2013-11-27,,2014-03-31T00:00:00,,Open,2020-09-15T00:00:00,Open,Localized Administration,Storage,Null GPM,0.0
12604,Active    ,ST,A-19149, S29-T4-R19W,13860,1,1,1B,,Melvin Anderson Pond,,School Creek,41.7,AF,,,,Harlan,Lower Republican,102500090901,2013-10-08,,2014-04-14T00:00:00,,Open,2020-09-15T00:00:00,Open,Localized Administration,Storage,Null GPM,0.0
10958,Active    ,ST,A-18768,NWNW S21-T31-R11W,11206,1,1,2C,,Blackbird Reservoir,,Blackbird Creek,14.0,AF,,,,Holt,Lower Niobrara,101500070402,2011-04-11,,2011-12-02T00:00:00,,Open,2018-04-17T00:00:00,Open,Natural Flow (Reminder),Storage,Null GPM,0.0
10959,Active    ,SI,A-18769,NWNW S21-T31-R11W,11205,1,1,2C,,Pump,,Blackbird Reservoir,14.0,AF,,,135.0,Holt,Lower Niobrara,101500070402,2011-04-11,2014-09-01T00:00:00,2011-12-02T00:00:00,,,,,,Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.),Null GPM,0.0
12728,Active    ,ST,A-19046,NW S35-T6-R4E,13410,1,1,1D,,Wollenburg Pond,,"Turkey Creek, Trib. To",55.3,AF,,,,Saline,Lower Big Blue,102702040309,2013-03-22,,2014-04-22T00:00:00,,,,,,Storage,Null GPM,0.0
12448,Active    ,ST,A-19140, S21-T4-R14W,12842,1,1,1B,,Bertrand Dam,,"Thompson Creek, West Branch, Trib. To",43.0,AF,,,,Franklin,Lower Republican,102500160307,2013-09-06,,2013-11-07T00:00:00,,Open,2020-09-15T00:00:00,Open,Localized Administration,Storage,Null GPM,0.0
12913,Active    ,SO,A-19221, S36-T2-R4E,14250,1,1,1D,,Pump,,Lottman-Carpenter Reservoir,21.9,AF,,,119.7,Jefferson,Lower Big Blue,102702020502,2014-04-07,2016-09-01T00:00:00,2014-06-20T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
11186,Active    ,SO,A-18953,NWNE S17-T3-R7W,12460,1,1,1C,,portable pump,,Dan Shaw Pond,68.0,AF,,,140.6,Nuckolls,Little Blue,102702060507,2012-08-06,2015-09-01T00:00:00,2013-03-15T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
11068,Active    ,ST,A-18855, S28-T17-R25W,11779,1,1,2A,,Arnold Lake,,"Loup River, South",59.0,AF,,,,Custer,Lower Loup,102100040205,2011-12-23,,2012-04-25T00:00:00,,Open,2020-09-11T00:00:00,Open,Instream Flow (NGPC and CPNRD),Storage,Null GPM,0.0
11025,Active    ,ST,A-18814, S25-T14-R11E,11426,1,1,2F,,W-P 5 South Water Quality Basin,,"Papillion Creek, South, Trib. To",93.0,AF,,,,Sarpy,Papio-Missouri River,102300060102,2011-09-22,,2012-10-05T00:00:00,,Open,2016-04-29T00:00:00,Open,Natural Flow (Reminder),Storage,Null GPM,0.0
11024,Active    ,ST,A-18813,NWNE S19-T14-R12E,11424,1,1,2F,,WP-5 Regional Detention Structure,,"Papillion Creek, South, Trib. To",1700.0,AF,,,,Sarpy,Papio-Missouri River,102300060102,2011-09-22,,2012-08-07T00:00:00,,Open,2016-04-29T00:00:00,Open,Natural Flow (Reminder),Storage,Null GPM,0.0
11023,Active    ,ST,A-18812, S24-T14-R11E,11425,1,1,2F,,WP-5North Water Quality Basin,,"Papillion Creek, South, Trib. To",70.0,AF,,,,Sarpy,Papio-Missouri River,102300060102,2011-09-22,,2012-10-05T00:00:00,,Open,2016-04-29T00:00:00,Open,Natural Flow (Reminder),Storage,Null GPM,0.0
12787,Active    ,SO,A-19047C,SWNW S34-T6-R4E,13620,1,1,1D,,Pump,,Wollenburg Pond,158.0,AF,,,33.1,Saline,Lower Big Blue,102702040309,2013-03-22,2016-09-01T00:00:00,2014-04-22T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
12787,Active    ,SO,A-19047C,NW S34-T6-R4E,13621,7,1,1D,,Pump,,Wollenburg Pond,158.0,AF,,,33.1,Saline,Lower Big Blue,102702040309,2013-03-22,2016-09-01T00:00:00,2014-04-22T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
12787,Active    ,SO,A-19047C,NWNE S34-T6-R4E,13678,7,1,1D,,Pump,,Wollenburg Pond,158.0,AF,,,33.1,Saline,Lower Big Blue,102702040309,2013-03-22,2016-09-01T00:00:00,2014-04-22T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
11167,Active    ,SO,A-18934,SENE S19-T1-R7E,12318,1,1,1D,,Pump,,Parde West Irrigation Pond,5.7,AF,,,40.0,Gage,Lower Big Blue,102702020506,2012-06-20,2015-09-01T00:00:00,2012-12-14T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
12784,Active    ,SI,A-19098,NW S11-T32-R2W,13599,1,1,2F,,Pump,,Wortmann Reservoir,13.0,AF,,,214.0,Knox,Lewis & Clark,101701011201,2013-06-20,2016-09-01T00:00:00,2013-11-08T00:00:00,,,,,,Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.),Null GPM,0.0
12839,Active    ,ST,A-19160, S23-T2-R4E,14071,1,1,1D,,Weers Reservoir,,"Indian Creek, Big, Trib. To",19.84,AF,,,,Jefferson,Lower Big Blue,102702020502,2013-11-08,,2014-01-29T00:00:00,,,,,,Storage,Null GPM,0.0
12891,Active    ,SO,A-19203,SWNW S23-T5-R1E,14190,1,1,1D,,Pump,,Swan Creek Reservoir 20,177.0,AF,,,220.2,Saline,Lower Big Blue,102702040202,2014-03-07,2017-09-01T00:00:00,2014-09-04T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
12891,Active    ,SO,A-19203, S22-T5-R1E,14243,7,1,1D,,Pump,,Swan Creek Reservoir 20,177.0,AF,,,220.2,Saline,Lower Big Blue,102702040202,2014-03-07,2017-09-01T00:00:00,2014-09-04T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
12920,Active    ,ST,A-19228,NWNE S20-T7-R3E,14285,1,1,1D,,Ourecky Reservoir,,"Spring Creek, Trib. To",90.3,AF,,,,Saline,Lower Big Blue,102702040306,2014-04-08,,2014-09-05T00:00:00,,,,,,Storage,Null GPM,0.0
8324,Active    ,SI,A-14663, S19-T34-R17W,14667,1,1,2C,,Pump,,Peterson Reservoir,133.1,AF,,,46.5,Keya Paha,Lower Niobrara,101500061104,1977-01-27,,1977-11-23T00:00:00,,,,,,Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.),Null GPM,0.0
