OID_,ProjectID,RightID,ApplicationNumber,LegalDescription,SubSectionID,Section_,Township,Range,RangeDirectionID,HUC_12,Status,Use,Canal_System,Irrigation_District,County,NRD_1,Water_Division,Source,Current_Acres,Grant_,Units,PriorityDate,Longitude,Latitude
217,1,5115,A-15550,NW SW S02 T01N-R17E,9,2,1,17,1,102400080409.000000000000000,Active,ST - Storage,,,Richardson,Nemaha,1F - Nemaha River and Lower Missouri River,"Canada Creek, Trib. To",,39.399999999999999,AF,8/14/1979 0:00:00,-95.478704012879092,40.076509120597201
218,1,4139,A-11614,SW NE S30 T02N-R09E,7,30,2,9,1,102702050101.000000000000000,Active,ST - Storage,,,Pawnee,Lower Big Blue,1D - Big Blue River,"Plum Creek, Trib. To",,16.100000000000001,AF,1/15/1969 0:00:00,-96.451731794807202,40.111662043495294
219,1,4096,A-16544,SW NE S26 T02N-R08E,7,26,2,8,1,102702020604.000000000000000,Active,IR - Irrigation from Natural Stream,,,Gage,Lower Big Blue,1D - Big Blue River,Wolf Creek,109.000000000000000,1.560000000000000,CFS,2/27/1987 0:00:00,-96.487906981399135,40.112985161790732
220,1,4132,A-13171,SE NW S27 T02N-R09E,4,27,2,9,1,102702050101.000000000000000,Active,ST - Storage,,,Pawnee,Lower Big Blue,1D - Big Blue River,"Plum Creek, Trib. To",,189.900000000000006,AF,8/26/1974 0:00:00,-96.399072653235621,40.110299095387361
221,1,4141,A-10649,SW NW S30 T02N-R09E,3,30,2,9,1,102702050102.000000000000000,Active,ST - Storage,,,Pawnee,Lower Big Blue,1D - Big Blue River,"Plum Creek, Trib. To",,30.320000000000000,AF,6/30/1965 0:00:00,-96.461719138535742,40.112519038834883
222,1,2207,A-17996,NE NW S13 T02N-R04W,2,13,2,4,2,102702060906.000000000000000,Active,DO - Domestic,,,Thayer,Little Blue,1C - Little Blue River,"Spring Creek, Trib. To",1.990000000000000,0.460000000000000,CFS,7/5/2001 0:00:00,-97.721969611413087,40.145214795196608
223,1,4134,A-10614,SE NW S28 T02N-R09E,4,28,2,9,1,102702050101.000000000000000,Active,ST - Storage,,,Pawnee,Lower Big Blue,1D - Big Blue River,"Plum Creek, Trib. To",,165.750000000000000,AF,4/14/1965 0:00:00,-96.417296665772540,40.111340689443495
224,1,2459,A-1963,SE SE S15 T02N-R02E,16,15,2,2,1,102702070104.000000000000000,Active,CO - Cooling,,,Jefferson,Little Blue,1C - Little Blue River,"Blue River, Little",,16.699999999999999,CFS,10/22/1927 0:00:00,-97.185071163235861,40.133230005494248
225,1,5046,A-14896,SE NW S34 T02N-R13E,4,34,2,13,1,102400070303.000000000000000,Active,IR - Irrigation from Natural Stream,,,Richardson,Nemaha,1F - Nemaha River and Lower Missouri River,"Nemaha River, Big, South Fork",68.099999999999994,0.970000000000000,CFS,4/12/1977 0:00:00,-95.946498239214819,40.095826575811572
226,1,4777,A-16144,NW SE S01 T01N-R17E,13,1,1,17,1,102400050800.000000000000000,Active,ST - Storage,,,Richardson,Nemaha,1F - Nemaha River and Lower Missouri River,"Bean Creek, Trib. To",,42.899999999999999,AF,8/26/1982 0:00:00,-95.450241854021527,40.077277234576670
227,1,2210,A-12193,NE NE S14 T02N-R03W,6,14,2,3,2,102702060906.000000000000000,Active,IR - Irrigation from Natural Stream,,,Thayer,Little Blue,1C - Little Blue River,Spring Creek,45.000000000000000,0.640000000000000,CFS,3/25/1971 0:00:00,-97.614190352777115,40.145255586470114
228,1,2206,A-4130,SE SW S08 T02N-R03W,12,8,2,3,2,102702060906.000000000000000,Active,IR - Irrigation from Natural Stream,,,Thayer,Little Blue,1C - Little Blue River,Spring Creek,16.500000000000000,0.120000000000000,CFS,10/20/1947 0:00:00,-97.683957026877749,40.147008484156650
229,1,5048,A-14940,SE NE S34 T02N-R13E,8,34,2,13,1,102400070303.000000000000000,Active,IR - Irrigation from Natural Stream,,,Richardson,Nemaha,1F - Nemaha River and Lower Missouri River,"Nemaha River, Big, South Fork",40.000000000000000,0.570000000000000,CFS,5/11/1977 0:00:00,-95.939810380704998,40.098504496196135
230,1,4958,A-14026,NW NE S31 T02N-R13E,5,31,2,13,1,102400080206.000000000000000,Active,IR - Irrigation from Natural Stream,,,Richardson,Nemaha,1F - Nemaha River and Lower Missouri River,Dry Branch,15.699999999999999,0.220000000000000,CFS,2/13/1976 0:00:00,-96.000352767684802,40.100728028503532
231,1,987,A-4659,SE SW S05 T02N-R35W,12,5,2,35,2,102500040304.000000000000000,Active,IR - Irrigation from Natural Stream,,,Hitchcock,Middle Republican,1B - Republican River,Muddy Creek,43.899999999999999,0.590000000000000,CFS,4/29/1950 0:00:00,-101.298407808293334,40.164758216722696
232,1,986,A-13349,SE SW S06 T02N-R35W,12,6,2,35,2,102500040304.000000000000000,Active,IR - Irrigation from Natural Stream,,,Hitchcock,Middle Republican,1B - Republican River,Muddy Creek,34.299999999999997,0.490000000000000,CFS,1/8/1975 0:00:00,-101.316035932258558,40.165511221324046
233,1,2486,A-18102,SE SE S33 T02N-R16E,16,33,2,16,1,102400080307.000000000000000,Active,ST - Storage,,,Richardson,Nemaha,1F - Nemaha River and Lower Missouri River,"Muddy Creek, Trib. To",,6.800000000000000,AF,8/26/2002 0:00:00,-95.617635418944047,40.088237769370913
234,1,2198,A-13300,NW SE S08 T02N-R04W,13,8,2,4,2,102702060903.000000000000000,Active,IR - Irrigation from Natural Stream,,,Thayer,Little Blue,1C - Little Blue River,"Spring Creek, Trib. To",25.000000000000000,0.360000000000000,CFS,12/4/1974 0:00:00,-97.791758865949646,40.152422864797927
235,1,5047,A-15755,NW NE S34 T02N-R13E,5,34,2,13,1,102400070303.000000000000000,Active,ST - Storage,,,Richardson,Nemaha,1F - Nemaha River and Lower Missouri River,"Nemaha River, Big, South Fork, Trib. To",,4.600000000000000,AF,1/27/1981 0:00:00,-95.940076571259766,40.101015771364523
236,1,4776,A-15644,SE NW S01 T01N-R17E,4,1,1,17,1,102400050800.000000000000000,Active,ST - Storage,,,Richardson,Nemaha,1F - Nemaha River and Lower Missouri River,"Bean Creek, Trib. To",,30.899999999999999,AF,4/29/1980 0:00:00,-95.456624231464133,40.082999866085011
237,1,988,A-5514,NW SW S04 T02N-R35W,9,4,2,35,2,102500040304.000000000000000,Active,IR - Irrigation from Natural Stream,,,Hitchcock,Middle Republican,1B - Republican River,Muddy Creek,159.900000000000006,2.130000000000000,CFS,8/28/1953 0:00:00,-101.279319171780614,40.167449542893266
238,1,5013,A-17674,SE NW S31 T02N-R15E,4,31,2,15,1,102400080401.000000000000000,Active,ST - Storage,,,Richardson,Nemaha,1F - Nemaha River and Lower Missouri River,"Nemaha River, Big, Trib. To",,2.730000000000000,AF,5/12/1998 0:00:00,-95.778539352869231,40.095752659333840
239,1,4138,A-11970,SE SE S19 T02N-R09E,16,19,2,9,1,102702050101.000000000000000,Active,ST - Storage,,,Pawnee,Lower Big Blue,1D - Big Blue River,"Plum Creek, Trib. To",,90.599999999999994,AF,6/12/1970 0:00:00,-96.445953399696350,40.119568261080381
240,1,4135,A-10672,SE SE S20 T02N-R09E,16,20,2,9,1,102702050101.000000000000000,Active,ST - Storage,,,Pawnee,Lower Big Blue,1D - Big Blue River,"Plum Creek, Trib. To",,37.299999999999997,AF,8/16/1965 0:00:00,-96.428967176032415,40.119276837657630
241,1,4960,A-17001,SE NE S09 T02N-R13E,8,9,2,13,1,102400080206.000000000000000,Active,IR - Irrigation from Natural Stream,,,Richardson,Nemaha,1F - Nemaha River and Lower Missouri River,"Nemaha River, Big, North Fork",83.000000000000000,1.230000000000000,CFS,7/23/1990 0:00:00,-95.955697806370793,40.155923035716420
242,1,1672,A-14469,NE SW S13 T03N-R15W,10,13,3,15,2,102500160306.000000000000000,Active,IR - Irrigation from Natural Stream,,,Franklin,Lower Republican,1B - Republican River,"Thompson Creek, West Branch, Trib. To",59.000000000000000,0.840000000000000,CFS,9/16/1976 0:00:00,-98.965552286581286,40.223823069641483
243,1,9662,D-10BR,NW SW S17 T03N-R31W,9,17,3,31,2,102500050506.000000000000000,Active,IR - Irrigation from Natural Stream,,,Hitchcock,Middle Republican,1B - Republican River,Frenchman River,81.500000000000000,1.170000000000000,CFS,12/19/1893 0:00:00,-100.853608353599725,40.226380314878298
244,1,5122,A-17637,SE SW S10 T02N-R15E,12,10,2,15,1,102400080305.000000000000000,Active,ST - Storage,,,Richardson,Nemaha,1F - Nemaha River and Lower Missouri River,Muddy Creek,,235.500000000000000,AF,2/5/1998 0:00:00,-95.722867926558905,40.148975799124692
245,1,4098,A-17297,SW SW S32 T03N-R09E,11,32,3,9,1,102702020604.000000000000000,Active,ST - Storage,,,Pawnee,Lower Big Blue,1D - Big Blue River,"Wolf Creek, Trib. To",,163.099999999999994,AF,7/9/1993 0:00:00,-96.441639296524215,40.175339901773377
246,1,4768,A-13600,NW NE S15 T02N-R17E,5,15,2,17,1,102400050800.000000000000000,Active,ST - Storage,,,Richardson,Nemaha,1F - Nemaha River and Lower Missouri River,"Winnebago Creek, Trib. To",,126.000000000000000,AF,5/27/1975 0:00:00,-95.491199359142556,40.141666209952021
247,1,4102,A-17788,SE SW S32 T03N-R09E,12,32,3,9,1,102702020604.000000000000000,Active,SO - Stor-only (irrigation from a reservoir on lands not covered by a natural flow appropriation),,,Pawnee,Lower Big Blue,1D - Big Blue River,Wolf-Wildcat Reservoir 52,20.000000000000000,20.000000000000000,AF,8/31/1999 0:00:00,-96.439703599232274,40.176360324064667
248,1,4770,A-13633,NE NE S14 T02N-R17E,6,14,2,17,1,102400050800.000000000000000,Active,ST - Storage,,,Richardson,Nemaha,1F - Nemaha River and Lower Missouri River,"Winnebago Creek, Trib. To",,49.200000000000003,AF,6/23/1975 0:00:00,-95.468249026495855,40.142475379056371
249,1,2448,A-6083,SW NE S30 T03N-R02E,7,30,3,2,1,102702070104.000000000000000,Active,IR - Irrigation from Natural Stream,,,Jefferson,Little Blue,1C - Little Blue River,"Blue River, Little",64.700000000000003,0.460000000000000,CFS,3/20/1954 0:00:00,-97.244020572756085,40.200677270270631
250,1,3980,A-10606,SW NW S35 T03N-R07E,3,35,3,7,1,102702020602.000000000000000,Active,ST - Storage,,,Gage,Lower Big Blue,1D - Big Blue River,"Mud Creek, Trib. To",,161.060000000000002,AF,4/6/1965 0:00:00,-96.611167801998093,40.183987565069700
251,1,4762,A-16160,SE SW S10 T02N-R17E,12,10,2,17,1,102400050800.000000000000000,Active,ST - Storage,,,Richardson,Nemaha,1F - Nemaha River and Lower Missouri River,"Winnebago Creek, Trib. To",,19.000000000000000,AF,10/28/1982 0:00:00,-95.495544342089545,40.145178963807027
252,1,2242,A-10401,NE NE S26 T03N-R01W,6,26,3,1,2,102702061005.000000000000000,Active,IR - Irrigation from Natural Stream,,,Thayer,Little Blue,1C - Little Blue River,"Blue River, Little",100.599999999999994,1.440000000000000,CFS,7/27/1964 0:00:00,-97.392654584172234,40.205237121764831
253,1,1559,A-13169,NE NW S17 T03N-R17W,2,17,3,17,2,102500160103.000000000000000,Active,IR - Irrigation from Natural Stream,,,Harlan,Lower Republican,1B - Republican River,"Turkey Creek, Trib. To",98.000000000000000,0.790000000000000,CFS,8/26/1974 0:00:00,-99.266511462678807,40.233068400688140
254,1,2162,A-10274,SE NW S19 T03N-R04W,4,19,3,4,2,102702061002.000000000000000,Active,IR - Irrigation from Natural Stream,,,Thayer,Little Blue,1C - Little Blue River,"Blue River, Little",22.000000000000000,0.310000000000000,CFS,1/10/1964 0:00:00,-97.811850551029721,40.214700560495110
255,1,2243,A-10832,SW SE S23 T03N-R01W,15,23,3,1,2,102702061005.000000000000000,Active,IR - Irrigation from Natural Stream,,,Thayer,Little Blue,1C - Little Blue River,"Blue River, Little",23.000000000000000,0.330000000000000,CFS,4/15/1966 0:00:00,-97.393085354939998,40.206087499718961
256,1,4761,A-14690,SE SE S09 T02N-R17E,16,9,2,17,1,102400050800.000000000000000,Active,ST - Storage,,,Richardson,Nemaha,1F - Nemaha River and Lower Missouri River,Winnebago Creek,,175.500000000000000,AF,2/7/1977 0:00:00,-95.501417727338321,40.147909519644507
257,1,3979,A-15205,NE NW S34 T03N-R07E,2,34,3,7,1,102702020602.000000000000000,Active,ST - Storage,,,Gage,Lower Big Blue,1D - Big Blue River,Mud Creek,,0.530000000000000,AF,3/16/1978 0:00:00,-96.626410684487666,40.187685715975988
258,1,3974,A-18200,SW SW S29 T03N-R07E,11,29,3,7,1,102702020603.000000000000000,Active,IR - Irrigation from Natural Stream,,,Gage,Lower Big Blue,1D - Big Blue River,"Blue River, Big",94.099999999999994,1.340000000000000,CFS,11/3/2003 0:00:00,-96.670693741010837,40.190334710198329
259,1,4769,A-14786,NW SE S10 T02N-R17E,13,10,2,17,1,102400050800.000000000000000,Active,ST - Storage,,,Richardson,Nemaha,1F - Nemaha River and Lower Missouri River,"Winnebago Creek, Trib. To",,71.500000000000000,AF,3/10/1977 0:00:00,-95.489304790831952,40.149552542195700
260,1,3950,A-15772,SW SW S29 T03N-R07E,11,29,3,7,1,102702020603.000000000000000,Active,IR - Irrigation from Natural Stream,,,Gage,Lower Big Blue,1D - Big Blue River,"Blue River, Big",12.000000000000000,0.170000000000000,CFS,2/23/1981 0:00:00,-96.670161842938555,40.191403043534422
261,1,2246,A-9912R,NW SE S20 T03N-R01E,13,20,3,1,1,102702061005.000000000000000,Active,IR - Irrigation from Natural Stream,,,Jefferson,Little Blue,1C - Little Blue River,"Blue River, Little",82.000000000000000,1.170000000000000,CFS,3/20/1961 0:00:00,-97.337363063671205,40.209219080366303
262,1,2158,A-15896,SE SW S13 T03N-R05W,12,13,3,5,2,102702061002.000000000000000,Active,IR - Irrigation from Natural Stream,,,Nuckolls,Little Blue,1C - Little Blue River,"Blue River, Little",46.000000000000000,0.660000000000000,CFS,6/19/1981 0:00:00,-97.834056615113099,40.220160804120233
263,1,2438,A-16750,SE SE S24 T03N-R01E,16,24,3,1,1,102702070104.000000000000000,Active,IR - Irrigation from Natural Stream,,,Jefferson,Little Blue,1C - Little Blue River,"Blue River, Little",18.500000000000000,0.260000000000000,CFS,3/1/1989 0:00:00,-97.255707461464311,40.207680549507792
264,1,4146,A-17564,SE NW S34 T03N-R09E,4,34,3,9,1,102702020604.000000000000000,Active,ST - Storage,,,Pawnee,Lower Big Blue,1D - Big Blue River,"Wolf Creek, Trib. To",,196.699999999999989,AF,2/20/1997 0:00:00,-96.402354046317612,40.184158669913323
265,1,4760,A-14787,NE SE S09 T02N-R17E,14,9,2,17,1,102400050800.000000000000000,Active,ST - Storage,,,Richardson,Nemaha,1F - Nemaha River and Lower Missouri River,"Winnebago Creek, Trib. To",,38.899999999999999,AF,3/10/1977 0:00:00,-95.503578495597992,40.152034419404515
266,1,2435,A-7975,NW SE S23 T03N-R01E,13,23,3,1,1,102702070104.000000000000000,Active,IR - Irrigation from Natural Stream,,,Jefferson,Little Blue,1C - Little Blue River,"Blue River, Little",40.000000000000000,0.290000000000000,CFS,8/23/1955 0:00:00,-97.281448615143802,40.209163191123316
267,1,2245,A-7435,SW NE S19 T03N-R01E,7,19,3,1,1,102702061005.000000000000000,Active,IR - Irrigation from Natural Stream,,,Jefferson,Little Blue,1C - Little Blue River,"Blue River, Little",50.000000000000000,0.360000000000000,CFS,5/2/1955 0:00:00,-97.357346494388381,40.212538148435009
268,1,9797,A-18211,SW NW S19 T03N-R01E,3,19,3,1,1,102702061005.000000000000000,Active,IR - Irrigation from Natural Stream,,,Jefferson,Little Blue,1C - Little Blue River,"Blue River, Little",93.400000000000006,1.330000000000000,CFS,2/17/2004 0:00:00,-97.368027521788648,40.212793934144358
269,1,2251,A-17554,NW SW S21 T03N-R01E,9,21,3,1,1,102702061005.000000000000000,Active,IR - Irrigation from Natural Stream,,,Jefferson,Little Blue,1C - Little Blue River,"Blue River, Little",126.000000000000000,1.800000000000000,CFS,1/14/1997 0:00:00,-97.327186331410388,40.212122303820692
270,1,5113,A-16741C,SE SW S04 T02N-R15E,12,4,2,15,1,102400080305.000000000000000,Active,IR - Irrigation from Natural Stream,,,Richardson,Nemaha,1F - Nemaha River and Lower Missouri River,Wolf Creek,13.500000000000000,0.190000000000000,CFS,1/16/1989 0:00:00,-95.738073714519743,40.163466358947701
271,1,2433,A-10536,NW SE S22 T03N-R01E,13,22,3,1,1,102702060807.000000000000000,Active,IR - Irrigation from Natural Stream,,,Jefferson,Little Blue,1C - Little Blue River,"Sandy Creek, Big",70.000000000000000,1.000000000000000,CFS,2/18/1965 0:00:00,-97.297991046760302,40.212057650584583
272,1,3949,A-12219,NE SW S29 T03N-R07E,10,29,3,7,1,102702020603.000000000000000,Active,IR - Irrigation from Natural Stream,,,Gage,Lower Big Blue,1D - Big Blue River,"Blue River, Big",19.600000000000001,0.280000000000000,CFS,4/9/1971 0:00:00,-96.665429579680563,40.195433489390979
273,1,3948,A-4416,NE SW S29 T03N-R07E,10,29,3,7,1,102702020603.000000000000000,Active,IR - Irrigation from Natural Stream,,,Gage,Lower Big Blue,1D - Big Blue River,"Blue River, Big",26.760000000000002,0.190000000000000,CFS,1/4/1949 0:00:00,-96.665744367779865,40.195698575426611
274,1,2437,A-13286,NE SW S24 T03N-R01E,10,24,3,1,1,102702070104.000000000000000,Active,IR - Irrigation from Natural Stream,,,Jefferson,Little Blue,1C - Little Blue River,"Blue River, Little",165.000000000000000,2.360000000000000,CFS,11/22/1974 0:00:00,-97.268340963993097,40.212079885177893
275,1,754,A-18093,SW NW S35 T03N-R10E,3,35,3,10,1,102400070102.000000000000000,Active,ST - Storage,,,Pawnee,Nemaha,1F - Nemaha River and Lower Missouri River,"Balls Branch, Trib. To",,30.899999999999999,AF,7/26/2002 0:00:00,-96.273060820949368,40.183615889279757
276,1,2436,A-2517,SW NW S24 T03N-R01E,3,24,3,1,1,102702070104.000000000000000,Active,IR - Irrigation from Natural Stream,,,Jefferson,Little Blue,1C - Little Blue River,"Blue River, Little",30.000000000000000,0.220000000000000,CFS,2/20/1935 0:00:00,-97.271453276977482,40.212373589962013
277,1,5111,A-16741A,NW SE S05 T02N-R15E,13,5,2,15,1,102400080305.000000000000000,Active,IR - Irrigation from Natural Stream,,,Richardson,Nemaha,1F - Nemaha River and Lower Missouri River,Wolf Creek,56.000000000000000,0.800000000000000,CFS,1/30/1989 0:00:00,-95.752548959548463,40.166071366629353
278,1,4179,A-17952,SE SW S29 T03N-R09E,12,29,3,9,1,102702020604.000000000000000,Active,FC - Fish Culture,,,Pawnee,Lower Big Blue,1D - Big Blue River,Adamson Creek,,26.770000000000000,AF,2/12/2001 0:00:00,-96.437409548157447,40.189918658034117
279,1,4117,A-17489,SE SW S29 T03N-R09E,12,29,3,9,1,102702020604.000000000000000,Active,FC - Fish Culture,,,Pawnee,Lower Big Blue,1D - Big Blue River,Adamson Creek,,2.670000000000000,CFS,10/3/1995 0:00:00,-96.437415551333217,40.189919109263684
280,1,2429,A-8722,SE NW S22 T03N-R01E,4,22,3,1,1,102702060807.000000000000000,Active,IR - Irrigation from Natural Stream,,,Jefferson,Little Blue,1C - Little Blue River,"Sandy Creek, Big",56.000000000000000,0.800000000000000,CFS,8/6/1956 0:00:00,-97.305421626818031,40.215287125337944
281,1,2428,A-11976,SW NW S22 T03N-R01E,3,22,3,1,1,102702060807.000000000000000,Active,IR - Irrigation from Natural Stream,,,Jefferson,Little Blue,1C - Little Blue River,"Sandy Creek, Big",29.000000000000000,0.410000000000000,CFS,6/19/1970 0:00:00,-97.309853283640663,40.215649020011391
282,1,2430,A-7639,SW NE S22 T03N-R01E,7,22,3,1,1,102702060807.000000000000000,Active,IR - Irrigation from Natural Stream,,,Jefferson,Little Blue,1C - Little Blue River,"Sandy Creek, Big",71.000000000000000,0.510000000000000,CFS,6/9/1955 0:00:00,-97.300016104446257,40.215737220081209
283,1,2431,A-16695,NW NE S22 T03N-R01E,5,22,3,1,1,102702060807.000000000000000,Active,IR - Irrigation from Natural Stream,,,Jefferson,Little Blue,1C - Little Blue River,"Sandy Creek, Big",44.000000000000000,0.630000000000000,CFS,8/9/1988 0:00:00,-97.301248890323691,40.216078234720115
284,1,1183,A-1042R,NW NW S08 T03N-R28W,1,8,3,28,2,102500070309.000000000000000,Active,IR - Irrigation from Natural Stream,,,Red Willow,Middle Republican,1B - Republican River,Red Willow Creek,48.299999999999997,0.690000000000000,CFS,12/5/1910 0:00:00,-100.513042695427146,40.249029584215990
285,1,1182,A-3623,NW NW S08 T03N-R28W,1,8,3,28,2,102500070309.000000000000000,Active,IR - Irrigation from Natural Stream,,,Red Willow,Middle Republican,1B - Republican River,Red Willow Creek,42.899999999999999,0.480000000000000,CFS,7/12/1943 0:00:00,-100.512673103828774,40.249143054151830
286,1,2379,A-10887,NW SE S18 T03N-R02W,13,18,3,2,2,102702060802.000000000000000,Active,IR - Irrigation from Natural Stream,,,Thayer,Little Blue,1C - Little Blue River,"Sandy Creek, Big, South Fork",24.000000000000000,0.340000000000000,CFS,7/14/1966 0:00:00,-97.582739453247939,40.225497068837932
287,1,2380,A-10749,NW SW S17 T03N-R02W,9,17,3,2,2,102702060802.000000000000000,Active,IR - Irrigation from Natural Stream,,,Thayer,Little Blue,1C - Little Blue River,"Sandy Creek, Big, South Fork",29.000000000000000,0.410000000000000,CFS,1/13/1966 0:00:00,-97.575528770817201,40.225704589687723
288,1,5010,A-15134,SW NW S21 T03N-R10E,3,21,3,10,1,102400070101.000000000000000,Active,ST - Storage,,,Pawnee,Nemaha,1F - Nemaha River and Lower Missouri River,"Rock Creek, Trib. To",,28.500000000000000,AF,11/2/1977 0:00:00,-96.307984179463688,40.214495328045111
289,1,3777,A-12848,NE SW S12 T03N-R02E,10,12,3,2,1,102702020301.000000000000000,Active,SO - Stor-only (irrigation from a reservoir on lands not covered by a natural flow appropriation),,,Jefferson,Lower Big Blue,1D - Big Blue River,Cub Creek Reservoir 16-B,261.000000000000000,0.000000000000000,AF,3/30/1973 0:00:00,-97.154314293792410,40.239444141126235
290,1,2166,A-13623,NE SE S02 T03N-R05W,14,2,3,5,2,102702061002.000000000000000,Active,SO - Stor-only (irrigation from a reservoir on lands not covered by a natural flow appropriation),,,Nuckolls,Little Blue,1C - Little Blue River,Schroeder Reservoir,67.000000000000000,22.719999999999999,AF,6/13/1975 0:00:00,-97.841604288615841,40.254699385304640
291,1,4983,A-15663,SW SW S21 T03N-R13E,11,21,3,13,1,102400080205.000000000000000,Active,ST - Storage,,,Richardson,Nemaha,1F - Nemaha River and Lower Missouri River,Crooked Branch,,146.500000000000000,AF,6/26/1980 0:00:00,-95.969681736774973,40.203507332359827
292,1,2165,A-13622,NE SE S02 T03N-R05W,14,2,3,5,2,102702061002.000000000000000,Active,ST - Storage,,,Nuckolls,Little Blue,1C - Little Blue River,"Blue River, Little, Trib. To",,26.300000000000001,AF,6/13/1975 0:00:00,-97.841414653067076,40.255246936011318
293,1,3790,A-12370,NE SE S11 T03N-R03E,14,11,3,3,1,102702020302.000000000000000,Active,SO - Stor-only (irrigation from a reservoir on lands not covered by a natural flow appropriation),,,Jefferson,Lower Big Blue,1D - Big Blue River,Cub Creek Reservoir 12-A,124.000000000000000,0.000000000000000,AF,9/1/1971 0:00:00,-97.051323117522159,40.237835618228154
294,1,3975,A-11177,NE SW S13 T03N-R07E,10,13,3,7,1,102702020602.000000000000000,Active,ST - Storage,,,Gage,Lower Big Blue,1D - Big Blue River,Bloody Run,,1824.950000000000045,AF,6/19/1967 0:00:00,-96.587155883018553,40.224852433274293
295,1,3781,A-12987,NE SE S07 T03N-R03E,14,7,3,3,1,102702020301.000000000000000,Active,ST - Storage,,,Jefferson,Lower Big Blue,1D - Big Blue River,"Cub Creek, Trib. To",,636.799999999999955,AF,2/22/1974 0:00:00,-97.123836892558657,40.240241253150856
296,1,5009,A-10953,NE NE S20 T03N-R10E,6,20,3,10,1,102400070101.000000000000000,Active,ST - Storage,,,Pawnee,Nemaha,1F - Nemaha River and Lower Missouri River,"Rock Creek, Trib. To",,67.799999999999997,AF,9/19/1966 0:00:00,-96.314946793682807,40.216951388919092
297,1,3971,A-10602,NE SW S16 T03N-R08E,10,16,3,8,1,102702020602.000000000000000,Active,ST - Storage,,,Gage,Lower Big Blue,1D - Big Blue River,"Bloody Run, Trib. To",,57.229999999999997,AF,4/6/1965 0:00:00,-96.532117435300449,40.224163326785984
298,1,3782,A-13518,SE NE S07 T03N-R03E,8,7,3,3,1,102702020301.000000000000000,Active,SO - Stor-only (irrigation from a reservoir on lands not covered by a natural flow appropriation),,,Jefferson,Lower Big Blue,1D - Big Blue River,Cub Creek Reservoir 14-A,313.000000000000000,0.000000000000000,AF,4/1/1975 0:00:00,-97.125586234061160,40.240946322446682
299,1,2163,A-12311,SW NW S02 T03N-R05W,3,2,3,5,2,102702061002.000000000000000,Active,IR - Irrigation from Natural Stream,,,Nuckolls,Little Blue,1C - Little Blue River,"Blue River, Little, Trib. To",14.000000000000000,0.200000000000000,CFS,7/2/1971 0:00:00,-97.857760054907359,40.257279177814382
300,1,2337,A-17104,SW SW S05 T03N-R02W,11,5,3,2,2,102702060805.000000000000000,Active,IR - Irrigation from Natural Stream,,,Thayer,Little Blue,1C - Little Blue River,"Sandy Creek, Big",68.500000000000000,0.980000000000000,CFS,8/26/1991 0:00:00,-97.573842458666945,40.251626810161355
301,1,2336,A-9785,SW SW S05 T03N-R02W,11,5,3,2,2,102702060805.000000000000000,Active,IR - Irrigation from Natural Stream,,,Thayer,Little Blue,1C - Little Blue River,"Sandy Creek, Big",33.000000000000000,0.470000000000000,CFS,12/30/1959 0:00:00,-97.574469402589969,40.251937538764480
302,1,3876,A-17842,NW NW S15 T03N-R06E,1,15,3,6,1,102702020409.000000000000000,Active,IR - Irrigation from Natural Stream,,,Gage,Lower Big Blue,1D - Big Blue River,"Blue River, Big, Trib. To",17.399999999999999,0.250000000000000,CFS,4/6/2000 0:00:00,-96.741568970587238,40.232866097667859
303,1,2446,A-11977,NW NE S10 T03N-R01E,5,10,3,1,1,102702070103.000000000000000,Active,IR - Irrigation from Natural Stream,,,Jefferson,Little Blue,1C - Little Blue River,"Sandy Creek, Little",43.000000000000000,0.610000000000000,CFS,6/19/1970 0:00:00,-97.301093946079618,40.248201190732637
304,1,5005,A-17120,SE SW S17 T03N-R10E,12,17,3,10,1,102400070101.000000000000000,Active,SS - Supplemental Storage (an appropriation that has a prior appropriation for storage),,,Pawnee,Nemaha,1F - Nemaha River and Lower Missouri River,Rock Creek,,54.500000000000000,AF,10/11/1991 0:00:00,-96.324376579943049,40.220919729301066
305,1,5004,A-15218,SE SW S17 T03N-R10E,12,17,3,10,1,102400070101.000000000000000,Active,ST - Storage,,,Pawnee,Nemaha,1F - Nemaha River and Lower Missouri River,Rock Creek,,84.599999999999994,AF,3/29/1978 0:00:00,-96.324370999022690,40.220962974479576
306,1,3776,A-12587,NE NW S12 T03N-R02E,2,12,3,2,1,102702020301.000000000000000,Active,ST - Storage,,,Jefferson,Lower Big Blue,1D - Big Blue River,"Cub Creek, Trib. To",,181.300000000000011,AF,4/12/1972 0:00:00,-97.153163477774925,40.245016984317111
307,1,5018,A-15787,NE NE S24 T03N-R10E,6,24,3,10,1,102400070101.000000000000000,Active,MF - Manufacturing,,,Pawnee,Nemaha,1F - Nemaha River and Lower Missouri River,Turkey Creek,,6.140000000000000,AF,3/12/1981 0:00:00,-96.239636581599328,40.218338525347917
308,1,4990,A-16122,SE NE S23 T03N-R12E,8,23,3,12,1,102400080205.000000000000000,Active,ST - Storage,,,Pawnee,Nemaha,1F - Nemaha River and Lower Missouri River,"Kirkham Creek, Trib. To",,25.600000000000001,AF,6/14/1982 0:00:00,-96.032548407711715,40.211259030328890
