AllocationNativeID,MethodUUID,OrganizationUUID,SiteUUID,VariableSpecificUUID,AllocationApplicationDate,AllocationAssociatedConsumptiveUseSiteIDs,AllocationAssociatedWithdrawalSiteIDs,AllocationBasisCV,AllocationChangeApplicationIndicator,AllocationCommunityWaterSupplySystem,AllocationCropDutyAmount,AllocationExpirationDate,AllocationFlow_CFS,AllocationLegalStatusCV,AllocationOwner,AllocationPriorityDate,AllocationSDWISIdentifierCV,AllocationTimeframeEnd,AllocationTimeframeStart,AllocationTypeCV,AllocationVolume_AF,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,ExemptOfVolumeFlowPriority,GeneratedPowerCapacityMW,IrrigatedAcreage,IrrigationMethodCV,LegacyAllocationIDs,OwnerClassificationCVPopulationServed,PowerType,PrimaryUseCategory,WaterAllocationNativeURL,OwnerClassificationCV,PopulationServed
A-13760,NEDNR_Water Rights,NEDNR,NEwr_S2702,NEDNR_Allocation,,,,,,,,,,Active,,1975-08-25,,09/30,04/01,,45.5,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13767,NEDNR_Water Rights,NEDNR,NEwr_S11960,NEDNR_Allocation,,,,,,,,,,Active,,1975-08-27,,09/30,04/01,,47.87,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13768,NEDNR_Water Rights,NEDNR,NEwr_S10739,NEDNR_Allocation,,,,,,,,,,Active,,1975-08-27,,09/30,04/01,,0.0,Storage Use-only,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13769,NEDNR_Water Rights,NEDNR,"NEwr_S2720,NEwr_S2719",NEDNR_Allocation,,,,,,,,,,Active,,1975-08-27,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13770,NEDNR_Water Rights,NEDNR,NEwr_S8948,NEDNR_Allocation,,,,,,,,,,Active,,1975-08-27,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13771,NEDNR_Water Rights,NEDNR,NEwr_S2750,NEDNR_Allocation,,,,,,,,,,Active,,1975-08-27,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13772,NEDNR_Water Rights,NEDNR,NEwr_S5414,NEDNR_Allocation,,,,,,,,,,Active,,1975-08-27,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13773,NEDNR_Water Rights,NEDNR,NEwr_S4748,NEDNR_Allocation,,,,,,,,,,Active,,1975-08-28,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13775,NEDNR_Water Rights,NEDNR,NEwr_S5953,NEDNR_Allocation,,,,,,,,,,Active,,1975-08-28,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13778,NEDNR_Water Rights,NEDNR,"NEwr_S2715,NEwr_S2714",NEDNR_Allocation,,,,,,,,,,Active,,1975-08-28,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13780,NEDNR_Water Rights,NEDNR,"NEwr_S8424,NEwr_S8425,NEwr_S8426,NEwr_S8423,NEwr_S8422,NEwr_S8421,NEwr_S8419,NEwr_S8420",NEDNR_Allocation,,,,,,,,,,Active,,1975-08-29,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13782,NEDNR_Water Rights,NEDNR,NEwr_S9811,NEDNR_Allocation,,,,,,,,,,Active,,1975-09-02,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13788,NEDNR_Water Rights,NEDNR,NEwr_S2748,NEDNR_Allocation,,,,,,,,,,Active,,1975-09-03,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13789,NEDNR_Water Rights,NEDNR,NEwr_S2749,NEDNR_Allocation,,,,,,,,,,Active,,1975-09-03,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13791,NEDNR_Water Rights,NEDNR,NEwr_S8114,NEDNR_Allocation,,,,,,,,,,Active,,1975-09-04,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13794,NEDNR_Water Rights,NEDNR,"NEwr_S2811,NEwr_S2810,NEwr_S2809",NEDNR_Allocation,,,,,,,,,,Active,,1975-09-05,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13794R,NEDNR_Water Rights,NEDNR,NEwr_S3857,NEDNR_Allocation,,,,,,,,,,Active,,1975-09-05,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13795,NEDNR_Water Rights,NEDNR,"NEwr_S272,NEwr_S273",NEDNR_Allocation,,,,,,,,,,Active,,1975-09-05,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13798,NEDNR_Water Rights,NEDNR,NEwr_S8946,NEDNR_Allocation,,,,,,,,,,Active,,1975-09-08,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13803,NEDNR_Water Rights,NEDNR,NEwr_S9157,NEDNR_Allocation,,,,,,,,,,Active,,1975-09-12,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13805,NEDNR_Water Rights,NEDNR,"NEwr_S10284,NEwr_S10282,NEwr_S10281,NEwr_S10283",NEDNR_Allocation,,,,,,,,,,Active,,1975-09-15,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13806,NEDNR_Water Rights,NEDNR,NEwr_S2884,NEDNR_Allocation,,,,,,,,,,Active,,1975-09-15,,09/30,04/01,,927.5,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13807,NEDNR_Water Rights,NEDNR,NEwr_S2880,NEDNR_Allocation,,,,,,,,,,Active,,1975-09-16,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-1380R,NEDNR_Water Rights,NEDNR,NEwr_S5977,NEDNR_Allocation,,,,,,,,,,Active,,1914-09-04,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13811R,NEDNR_Water Rights,NEDNR,"NEwr_S3969,NEwr_S3970,NEwr_S3968,NEwr_S3971",NEDNR_Allocation,,,,,,,,,,Active,,1975-09-16,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13812,NEDNR_Water Rights,NEDNR,"NEwr_S2891,NEwr_S2892",NEDNR_Allocation,,,,,,,,,,Active,,1975-09-16,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13814,NEDNR_Water Rights,NEDNR,NEwr_S5758,NEDNR_Allocation,,,,,,,,,,Active,,1975-09-18,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13815,NEDNR_Water Rights,NEDNR,NEwr_S2893,NEDNR_Allocation,,,,,,,,,,Active,,1975-09-18,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13820,NEDNR_Water Rights,NEDNR,NEwr_S2877,NEDNR_Allocation,,,,,,,,,,Active,,1975-09-23,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13821,NEDNR_Water Rights,NEDNR,NEwr_S2856,NEDNR_Allocation,,,,,,,,,,Active,,1975-09-30,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13822,NEDNR_Water Rights,NEDNR,"NEwr_S5211,NEwr_S5210",NEDNR_Allocation,,,,,,,,,,Active,,1975-10-02,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13823,NEDNR_Water Rights,NEDNR,"NEwr_S2862,NEwr_S2860,NEwr_S2861",NEDNR_Allocation,,,,,,,,,,Active,,1975-10-02,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13824A,NEDNR_Water Rights,NEDNR,"NEwr_S260,NEwr_S259",NEDNR_Allocation,,,,,,,,,,Active,,1975-10-03,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13824B,NEDNR_Water Rights,NEDNR,"NEwr_S270,NEwr_S269",NEDNR_Allocation,,,,,,,,,,Active,,1978-10-03,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13827,NEDNR_Water Rights,NEDNR,"NEwr_S11562,NEwr_S11561",NEDNR_Allocation,,,,,,,,,,Active,,1975-10-07,,09/30,04/01,,5.17,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13828,NEDNR_Water Rights,NEDNR,NEwr_S136,NEDNR_Allocation,,,,,,,,,,Active,,1975-10-10,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13829,NEDNR_Water Rights,NEDNR,NEwr_S9788,NEDNR_Allocation,,,,,,,,,,Active,,1975-10-10,,09/30,04/01,,18.6,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13830A,NEDNR_Water Rights,NEDNR,NEwr_S1024,NEDNR_Allocation,,,,,,,,,,Active,,1975-10-14,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13830B,NEDNR_Water Rights,NEDNR,NEwr_S1026,NEDNR_Allocation,,,,,,,,,,Active,,1975-10-14,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13831,NEDNR_Water Rights,NEDNR,NEwr_S8706,NEDNR_Allocation,,,,,,,,,,Active,,1975-10-15,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13832,NEDNR_Water Rights,NEDNR,NEwr_S337,NEDNR_Allocation,,,,,,,,,,Active,,1975-10-17,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13835,NEDNR_Water Rights,NEDNR,NEwr_S2968,NEDNR_Allocation,,,,,,,,,,Active,,1975-10-23,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13836R,NEDNR_Water Rights,NEDNR,NEwr_S6854,NEDNR_Allocation,,,,,,,,,,Active,,1975-10-21,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13838,NEDNR_Water Rights,NEDNR,NEwr_S2933,NEDNR_Allocation,,,,,,,,,,Active,,1975-10-28,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13839,NEDNR_Water Rights,NEDNR,NEwr_S2932,NEDNR_Allocation,,,,,,,,,,Active,,1975-10-28,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13840,NEDNR_Water Rights,NEDNR,"NEwr_S2930,NEwr_S2931",NEDNR_Allocation,,,,,,,,,,Active,,1975-10-28,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13842,NEDNR_Water Rights,NEDNR,NEwr_S6867,NEDNR_Allocation,,,,,,,,,,Active,,1975-10-30,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13848,NEDNR_Water Rights,NEDNR,"NEwr_S8685,NEwr_S8689,NEwr_S8686,NEwr_S8687,NEwr_S8688",NEDNR_Allocation,,,,,,,,,,Active,,1975-11-03,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13853,NEDNR_Water Rights,NEDNR,NEwr_S4155,NEDNR_Allocation,,,,,,,,,,Active,,1975-11-04,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13856,NEDNR_Water Rights,NEDNR,NEwr_S9370,NEDNR_Allocation,,,,,,,,,,Active,,1975-11-06,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13857A,NEDNR_Water Rights,NEDNR,NEwr_S3864,NEDNR_Allocation,,,,,,,,,,Active,,1975-11-06,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13857B,NEDNR_Water Rights,NEDNR,NEwr_S1101,NEDNR_Allocation,,,,,,,,,,Active,,1975-11-06,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13858,NEDNR_Water Rights,NEDNR,NEwr_S4814,NEDNR_Allocation,,,,,,,,,,Active,,1975-11-06,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13859,NEDNR_Water Rights,NEDNR,NEwr_S9144,NEDNR_Allocation,,,,,,,,,,Active,,1975-11-10,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13860,NEDNR_Water Rights,NEDNR,NEwr_S2925,NEDNR_Allocation,,,,,,,,,,Active,,1975-11-10,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13861,NEDNR_Water Rights,NEDNR,"NEwr_S2963,NEwr_S2964,NEwr_S2965,NEwr_S2960,NEwr_S2962,NEwr_S2961",NEDNR_Allocation,,,,,,,,,,Active,,1975-11-10,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13867,NEDNR_Water Rights,NEDNR,"NEwr_S2955,NEwr_S2954",NEDNR_Allocation,,,,,,,,,,Active,,1975-11-17,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13868,NEDNR_Water Rights,NEDNR,NEwr_S2920,NEDNR_Allocation,,,,,,,,,,Active,,1975-11-18,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13869,NEDNR_Water Rights,NEDNR,NEwr_S6160,NEDNR_Allocation,,,,,,,,,,Active,,1975-11-18,,09/30,04/01,,6.64,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13870,NEDNR_Water Rights,NEDNR,NEwr_S7697,NEDNR_Allocation,,,,,,,,,,Active,,1975-11-18,,09/30,04/01,,17.1,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13873,NEDNR_Water Rights,NEDNR,"NEwr_S3843,NEwr_S3842,NEwr_S3841,NEwr_S3844",NEDNR_Allocation,,,,,,,,,,Active,,1975-11-21,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13877,NEDNR_Water Rights,NEDNR,NEwr_S4247,NEDNR_Allocation,,,,,,,,,,Active,,1975-11-24,,09/30,04/01,,115.7,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13878,NEDNR_Water Rights,NEDNR,NEwr_S4295,NEDNR_Allocation,,,,,,,,,,Active,,1975-11-24,,09/30,04/01,,120.7,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13879,NEDNR_Water Rights,NEDNR,NEwr_S4289,NEDNR_Allocation,,,,,,,,,,Active,,1975-11-24,,09/30,04/01,,293.8,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13880,NEDNR_Water Rights,NEDNR,NEwr_S4263,NEDNR_Allocation,,,,,,,,,,Active,,1975-11-24,,09/30,04/01,,100.3,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13881,NEDNR_Water Rights,NEDNR,NEwr_S3848,NEDNR_Allocation,,,,,,,,,,Active,,1975-11-24,,09/30,04/01,,42.0,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13882,NEDNR_Water Rights,NEDNR,NEwr_S3847,NEDNR_Allocation,,,,,,,,,,Active,,1975-11-24,,09/30,04/01,,184.3,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13885,NEDNR_Water Rights,NEDNR,NEwr_S9796,NEDNR_Allocation,,,,,,,,,,Active,,1975-12-02,,09/30,04/01,,37.27,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13886,NEDNR_Water Rights,NEDNR,NEwr_S9795,NEDNR_Allocation,,,,,,,,,,Active,,1975-12-02,,09/30,04/01,,17.86,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13887,NEDNR_Water Rights,NEDNR,NEwr_S10641,NEDNR_Allocation,,,,,,,,,,Active,,1975-12-02,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13889,NEDNR_Water Rights,NEDNR,NEwr_S7750,NEDNR_Allocation,,,,,,,,,,Active,,1975-12-03,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13891,NEDNR_Water Rights,NEDNR,NEwr_S10472,NEDNR_Allocation,,,,,,,,,,Active,,1975-12-04,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13892,NEDNR_Water Rights,NEDNR,"NEwr_S10471,NEwr_S10470",NEDNR_Allocation,,,,,,,,,,Active,,1975-12-04,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13893,NEDNR_Water Rights,NEDNR,"NEwr_S8637,NEwr_S8638",NEDNR_Allocation,,,,,,,,,,Active,,1975-12-04,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13895,NEDNR_Water Rights,NEDNR,"NEwr_S2940,NEwr_S2941,NEwr_S2939",NEDNR_Allocation,,,,,,,,,,Active,,1975-12-05,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13897,NEDNR_Water Rights,NEDNR,NEwr_S2958,NEDNR_Allocation,,,,,,,,,,Active,,1975-12-08,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13898,NEDNR_Water Rights,NEDNR,"NEwr_S2956,NEwr_S2957",NEDNR_Allocation,,,,,,,,,,Active,,1975-12-08,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13901,NEDNR_Water Rights,NEDNR,NEwr_S2918,NEDNR_Allocation,,,,,,,,,,Active,,1975-12-09,,09/30,04/01,,1.42,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13902,NEDNR_Water Rights,NEDNR,NEwr_S6641,NEDNR_Allocation,,,,,,,,,,Active,,1975-12-09,,09/30,04/01,,4.44,Supplemental Irrigation,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13903,NEDNR_Water Rights,NEDNR,"NEwr_S2942,NEwr_S2943",NEDNR_Allocation,,,,,,,,,,Active,,1975-12-10,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13905,NEDNR_Water Rights,NEDNR,NEwr_S2912,NEDNR_Allocation,,,,,,,,,,Active,,1975-12-15,,09/30,04/01,,77.1,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13906A,NEDNR_Water Rights,NEDNR,"NEwr_S5585,NEwr_S5584",NEDNR_Allocation,,,,,,,,,,Active,,1975-12-15,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13906B,NEDNR_Water Rights,NEDNR,"NEwr_S5521,NEwr_S5520",NEDNR_Allocation,,,,,,,,,,Active,,1975-12-15,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13906C,NEDNR_Water Rights,NEDNR,"NEwr_S5586,NEwr_S5587",NEDNR_Allocation,,,,,,,,,,Active,,1975-12-15,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13906D,NEDNR_Water Rights,NEDNR,"NEwr_S5591,NEwr_S5590",NEDNR_Allocation,,,,,,,,,,Active,,1975-12-15,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13906E,NEDNR_Water Rights,NEDNR,"NEwr_S5588,NEwr_S5589",NEDNR_Allocation,,,,,,,,,,Active,,1975-12-15,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13907,NEDNR_Water Rights,NEDNR,NEwr_S8727,NEDNR_Allocation,,,,,,,,,,Active,,1975-12-15,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13908,NEDNR_Water Rights,NEDNR,NEwr_S6784,NEDNR_Allocation,,,,,,,,,,Active,,1975-12-16,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13911,NEDNR_Water Rights,NEDNR,"NEwr_S6935,NEwr_S6937,NEwr_S6936",NEDNR_Allocation,,,,,,,,,,Active,,1975-12-17,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13914,NEDNR_Water Rights,NEDNR,"NEwr_S7741,NEwr_S7740,NEwr_S7742",NEDNR_Allocation,,,,,,,,,,Active,,1975-12-22,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13915,NEDNR_Water Rights,NEDNR,NEwr_S2926,NEDNR_Allocation,,,,,,,,,,Active,,1975-12-22,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13920,NEDNR_Water Rights,NEDNR,"NEwr_S927,NEwr_S926",NEDNR_Allocation,,,,,,,,,,Active,,1975-12-24,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13921,NEDNR_Water Rights,NEDNR,"NEwr_S2950,NEwr_S2953,NEwr_S2951,NEwr_S2952",NEDNR_Allocation,,,,,,,,,,Active,,1975-12-30,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13926,NEDNR_Water Rights,NEDNR,NEwr_S4762,NEDNR_Allocation,,,,,,,,,,Active,,1976-01-06,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13927,NEDNR_Water Rights,NEDNR,NEwr_S8677,NEDNR_Allocation,,,,,,,,,,Active,,1976-01-06,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13929,NEDNR_Water Rights,NEDNR,NEwr_S7774,NEDNR_Allocation,,,,,,,,,,Active,,1976-01-09,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13930,NEDNR_Water Rights,NEDNR,NEwr_S3852,NEDNR_Allocation,,,,,,,,,,Active,,1976-01-12,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13932,NEDNR_Water Rights,NEDNR,"NEwr_S1091,NEwr_S1092",NEDNR_Allocation,,,,,,,,,,Active,,1976-01-12,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13933,NEDNR_Water Rights,NEDNR,"NEwr_S9550,NEwr_S9549,NEwr_S9548,NEwr_S9547",NEDNR_Allocation,,,,,,,,,,Active,,1976-01-13,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13935,NEDNR_Water Rights,NEDNR,NEwr_S2966,NEDNR_Allocation,,,,,,,,,,Active,,1976-01-13,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13936,NEDNR_Water Rights,NEDNR,"NEwr_S9565,NEwr_S9567,NEwr_S9566",NEDNR_Allocation,,,,,,,,,,Active,,1976-01-13,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13937,NEDNR_Water Rights,NEDNR,NEwr_S2944,NEDNR_Allocation,,,,,,,,,,Active,,1976-01-14,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13938,NEDNR_Water Rights,NEDNR,NEwr_S2919,NEDNR_Allocation,,,,,,,,,,Active,,1976-01-14,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13939,NEDNR_Water Rights,NEDNR,NEwr_S4728,NEDNR_Allocation,,,,,,,,,,Active,,1976-01-14,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13940,NEDNR_Water Rights,NEDNR,NEwr_S2915,NEDNR_Allocation,,,,,,,,,,Active,,1976-01-15,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13941,NEDNR_Water Rights,NEDNR,NEwr_S2913,NEDNR_Allocation,,,,,,,,,,Active,,1976-01-15,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-13943A,NEDNR_Water Rights,NEDNR,NEwr_S2937,NEDNR_Allocation,,,,,,,,,,Active,,1976-01-15,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
