FID_1,WRENAME,WRNAME,DWNAME,SYSTEMTYPE,WATERRESID,WRID,DWSYSNUM,WRLINK,WHOLESALER,LABEL,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,LANUM,LANAME,ENDYEAR,DATASOURCE,SOURCEDATE,EDITOR,EDITDATE,SHAPE_Leng,Shape__Are,Shape__Len,Shape_Length,Shape_Area,Longitude,Latitude
280,Lindon City,Lindon City Culinary Water,Lindon City,C,1307,1054,UTAH25016,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1054, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,2019,DWRe/Supplier,3/25/2020 0:00,ADAMCLARK,10/19/2020 0:00,30393.50974,22055743.84,30393.50974,30393.50974,22055743.84,-111.7183732,40.34148381
281,Canyon Meadows Mutual Water Co.,Canyon Meadows Mutual Water Company,Canyon Meadows Mutual Water Company,C,1496,11276,UTAH26069,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11276, , ,Utah,Wasatch,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,2019,DWRe,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,2509.490053,453654.1394,2509.490053,2509.490053,453654.1393,-111.5474401,40.3980056
282,Tabiona Town Water System,Tabiona Water System,Tabiona Town Water System,C,298,1189,UTAH07003,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1189, , ,Utah,Duchesne,Uintah,7/3/2007,Tabiona,07-03-07a,Tabiona,2019,AGRC,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,2869.761108,270844.4985,2869.761108,2869.761108,270844.4983,-110.7094806,40.35426113
283,Pleasant Grove City,Pleasant Grove City,Pleasant Grove City,C,1313,1298,UTAH25022,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1298, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,2019,DWRe/Supplier,5/31/2017 0:00,ADAMCLARK,10/19/2020 0:00,34363.29144,23546289.51,34363.29144,34363.29144,23546289.51,-111.7408964,40.37177417
284,Wallsburg Town Water System,Wallsburg,Wallsburg Town Water Sys,C,1447,1061,UTAH26009,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1061, , ,Utah,Wasatch,Utah Lake,4/1/2008,Wallsburg,04-01-08a,Wallsburg,2019, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,6559.832374,1318733.375,6559.832374,6559.832374,1318733.375,-111.42072,40.3874549
285,Eagle Mountain City,"Eagle Mountain, City",Eagle Mountain City,C,1416,1431,UTAH25142,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1431, , ,Utah,Utah,Utah Lake,4/1/2011,Cedar Valley,04-01-11a,Cedar Valley A,2019,DWRe,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,66736.58292,117926753.4,66736.58292,66736.58292,117926753.4,-112.0026176,40.31591431
286,North Fork SSD,North Fork Special Service District,North Fork SSD,C,1388,11250,UTAH25109,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11250, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,2019,DWRe/Supplier,4/23/2020 0:00,ADAMCLARK,10/19/2020 0:00,13435.98752,3592825.687,13435.98752,13435.98752,3592825.687,-111.5875679,40.39197494
287,American Fork City,American Fork Municipal Water System,American Fork City,C,1299,1135,UTAH25008,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1135, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,2019,DWRe/Supplier,3/4/2020 0:00,ADAMCLARK,10/19/2020 0:00,48589.46469,25041219.81,48589.46469,48589.46469,25041219.81,-111.7940162,40.38183022
288,Manila Culinary Water Co.,Manila Culinary Water Company,Manila Culinary Water Company,C,1308,1227,UTAH25017,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1227, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,2011, ,1/1/1970 0:00,ADAMCLARK,9/20/2017 0:00,20891.63122,5871941.456,20891.63122,20891.63122,5871941.455,-111.7532073,40.39168229
289,Saratoga Springs City,Saratoga Springs Municipal,Saratoga Springs City,C,1413,1444,UTAH25138,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1444, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10b,Saratoga Springs,2019,DWRe/Supplier,3/4/2020 0:00,ADAMCLARK,10/19/2020 0:00,75290.55639,57538618.33,75290.55639,75290.55639,57538618.33,-111.9137505,40.3440721
290,Cedar Hills Town Water System,Town of Cedar Hills,Cedar Hills Town Water System,C,1412,1404,UTAH25137,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1404, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,2019,DWRe,5/31/2017 0:00,ADAMCLARK,10/19/2020 0:00,23137.24262,7054569.496,23137.24262,23137.24262,7054569.496,-111.7638196,40.41656857
291,Duchesne County Upper Country WID,Duchesne County Upper Country WID,Duchesne County Upper Country WID,C,341,1418,UTAH07059,https://www.waterrights.utah.gov/asp_apps/viewEditPWS/pwsView.asp?SYSTEM_ID=1418, , ,Utah,Duchesne,Uintah,7/3/2013,Roosevelt Duchesne,07-03-13a,Roosevelt Duchesne,2019,DWRe/Supplier,5/1/2020 0:00,ADAMCLARK,10/19/2020 0:00,100926.7482,304979987.9,100926.7482,100926.7482,304979987.9,-110.3197681,40.36555248
292,Neola Water and Sewer District,Neola Water District,Neola Water and Sewer District,C,300,1274,UTAH07005,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1274,Roosevelt City, ,Utah,Duchesne,Uintah,7/3/2013,Roosevelt Duchesne,07-03-13a,Roosevelt Duchesne,2019,AGRC/DWRe,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,34336.85492,16588959.58,34336.85492,34336.85492,16588959.58,-110.0046214,40.43280433
293,Highland City,Highland City (Culinary),Highland City,C,1305,10888,UTAH25014,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10888, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,2019,DWRe/Supplier,4/23/2020 0:00,ADAMCLARK,10/19/2020 0:00,40511.5242,22463409.18,40511.5242,40511.5242,22463409.17,-111.7955865,40.4275732
294,Storm Haven Residents,Storm Haven,Storm Haven Residents,C,1458,1420,UTAH26023,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1420, , ,Utah,Wasatch,Utah Lake,4/1/2007,Provo River Reservoirs,04-01-07a,Provo River Reservoirs,2019,AGRC,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,5834.201685,626464.066,5834.201685,5834.201685,626464.0664,-111.377561,40.45542568
295,Lehi City,Lehi City Public Works Dept.,Lehi City,C,1306,1265,UTAH25015,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1265, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,2019,DWRe/Supplier,4/23/2020 0:00,ADAMCLARK,10/19/2020 0:00,50641.89505,61735161.25,50641.89505,50641.89505,61735161.25,-111.8710327,40.40733185
296,Vernal City Water System,Vernal Municipal Water System,Vernal City Water System,C,1262,1040,UTAH24012,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1040,Central Utah WCD - Ashley Valley,CUWCD - AV,Utah,Uintah,Uintah,7/2/2003,Vernal,07-02-03a,Vernal,2019,AGRC,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,34645.79784,11998650.86,34645.79784,34645.79784,11998650.87,-109.5380111,40.45169075
297,Uriah Heeps Springs Water System (Ute Tribe),Ute Indian Tribe Water System,Uriah Heeps Springs Water System,C,1259,1131,84990002,https://www.waterrights.utah.gov/asp_apps/viewEditPWS/pwsView.asp?SYSTEM_ID=1131, , ,Utah,Uintah,Uintah,7/3/2013,Roosevelt Duchesne,07-03-13a,Roosevelt Duchesne,2016, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,178110.5081,367752311.1,178110.5081,178110.5081,367752311.1,-109.8615184,40.2939845
298,Alpine Cove Water SSD,Alpine Cove SSD,Alpine Cove Water SSD,C,1400,1448,UTAH25124,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1448, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,2019, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,2630.068947,345998.7803,2630.068947,2630.068947,345998.78,-111.7603231,40.47724435
299,Center Creek Water System,Center Creek Culinary Water Company,Center Creek Water System,C,1440,1188,UTAH26002,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1188, , ,Utah,Wasatch,Utah Lake,4/1/2007,Provo River Reservoirs,04-01-07a,Provo River Reservoirs,2019, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,6927.021977,1474609.94,6927.021977,6927.021977,1474609.94,-111.3547728,40.47820075
300,Charleston WCD,Charleston Water Conservancy District,Charleston Wcd,C,1441,1263,UTAH26003,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1263, , ,Utah,Wasatch,Utah Lake,4/1/2007,Provo River Reservoirs,04-01-07a,Provo River Reservoirs,2019,AGRC/DWRe,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,17452.34302,7844835.746,17452.34302,17452.34302,7844835.746,-111.4600244,40.46606977
301,Webb Well Water Users,Webb Well Water,Webb Well Water Users,C,827,1152,UTAH18051,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1152,Jordan Valley Water Conservancy District,JVWCD,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,2019, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,3404.955373,581403.6748,3404.955373,3404.955373,581403.675,-111.942091,40.47662311
302,Daniel Municipal Water,Town of Daniel,Daniel Municipal Water,C,1443,1142,UTAH26005,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1142, , ,Utah,Wasatch,Utah Lake,4/1/2007,Provo River Reservoirs,04-01-07a,Provo River Reservoirs,2019,AGRC/DWRe,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,23508.58977,7258949.738,23508.58977,23508.58977,7258949.738,-111.4122947,40.46897678
303,Alpine City,Alpine City Water,Alpine,C,1298,1141,UTAH25007,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1141, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,2019,DWRe/Supplier,3/6/2019 0:00,ADAMCLARK,10/19/2020 0:00,27563.27975,20296152.92,27563.27975,27563.27975,20296152.92,-111.7725699,40.46271382
304,Tridell-Lapoint WID,Tridell-LaPoint Water Improvement District,Tridell Lapoint Wid,C,1260,1129,UTAH24009,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1129, , ,Utah,Uintah,Uintah,7/3/2013,Roosevelt Duchesne,07-03-13a,Roosevelt Duchesne,2019, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,65876.01526,127089445.1,65876.01526,65876.01526,127089445,-109.8257687,40.40140933
305,Hi-Country Number 2,Hi-Country Estates II Homeowners Association,Hi-Country Number 2,C,882,1316,UTAH18131,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1316,Jordan Valley Water Conservancy District,JVWCD,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,2019, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,15673.60772,9395311.609,15673.60772,15673.60772,9395311.609,-112.075611,40.47442057
306,Bluffdale Water System,Bluffdale Water System,Bluffdale Water System,C,786,1264,UTAH18004,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1264,Jordan Valley Water Conservancy District,JVWCD,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,2019,DWRe/Supplier,5/9/2019 0:00,ADAMCLARK,10/19/2020 0:00,36510.64331,26184355.86,36510.64331,36510.64331,26184355.86,-111.9387211,40.47711113
307,Woodland South Hills Irrigation,Woodland South Hills Irrigation Co. Inc.,Woodland South Hills Irr.,C,1480,1399,UTAH26052,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1399, , ,Utah,Wasatch,Utah Lake,4/1/2006,Woodland,04-01-06a,Woodland,2019, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,5713.752071,1295515.575,5713.752071,5713.752071,1295515.575,-111.2574839,40.57875513
308,Francis Town Water System,Francis Culinary Water,Francis Town Water System,C,1073,1191,UTAH22004,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1191, , ,Utah,Summit,Utah Lake,4/1/2007,Provo River Reservoirs,04-01-07a,Provo River Reservoirs,2019,DWRe/Supplier,11/7/2017 0:00,ADAMCLARK,10/19/2020 0:00,28107.23936,6726886.389,28107.23936,28107.23936,6726886.389,-111.273607,40.61035681
309,Ashley Valley Water & Sewer,Ashley Valley Water & Sewer Improvement District,Ashley Valley W&sid,C,1263,1349,UTAH24013,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1349, , ,Utah,Uintah,Uintah,7/2/2003,Vernal,07-02-03a,Vernal,2019,AGRC,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,128792.9522,188717771.4,128792.9522,128792.9522,188717771.4,-109.5220797,40.41310199
310,Salt Lake County Service Area No 3 - Snowbird,SL County Service Area No. 3 - Snowbird,SL County Service Area No 3 - Snowbird,C,810,11244,UTAH18031,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11244, , ,Utah,Salt Lake,Jordan River,3/1/2007,Little Cottonwood Creek,03-01-07a,Little Cottonwood Creek,2019,AGRC/DWRe,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,13966.33822,8693233.313,13966.33822,13966.33822,8693233.313,-111.6570036,40.56927823
311,West Jordan City Water System,West Jordan Culinary Water,West Jordan City Water System,C,801,1177,UTAH18020,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1177,Jordan Valley Water Conservancy District,JVWCD,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,2019,DWRe/Supplier,4/24/2018 0:00,ADAMCLARK,10/19/2020 0:00,47753.29867,79370391.37,47753.29867,47753.29867,79370391.37,-112.0000593,40.60084883
312,Kamas City Water System,Kamas Culinary Water System,Kamas City Water System,C,1076,1101,UTAH22007,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1101, , ,Utah,Summit,Weber River,2/1/2002,Kamas Valley,02-01-02a,Kamas Valley,2019,AGRC/DWRe,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,20426.89288,9499872.83,20426.85609,20426.85609,9499872.83,-111.2721975,40.64992789
313,Kearns Improvement District,Kearns Improvement District,Kearns Improvement District,C,793,1017,UTAH18011,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1017,Jordan Valley Water Conservancy District,JVWCD,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,2019, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,24376.5173,26389086.75,24376.5173,24376.5173,26389086.75,-112.027804,40.64629561
314,Park City Water System,Park City Culinary Water,Park City Water System,C,1080,1260,UTAH22011,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1260, , ,Utah,Summit,Weber River,2/1/2006,East Canyon,02-01-06a,East Canyon,2019,AGRC,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,50561.58728,45809262.98,50561.58728,50561.58728,45809262.98,-111.5040799,40.64555476
315,Murray City Water System,Murray City Water,Murray City Water System,C,804,1009,UTAH18024,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1009, , ,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,2019,DWRe/Supplier,2/15/2019 0:00,ADAMCLARK,10/19/2020 0:00,27865.97632,24733290.14,27865.97632,27865.97632,24733290.14,-111.8956691,40.65040951
316,Wooden Shoe Water Co.,"Woodenshoe Water Company , Inc.",Wooden Shoe Water Company,C,1116,11202,UTAH22058,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=11202, , ,Utah,Summit,Weber River,2/1/2002,Kamas Valley,02-01-02a,Kamas Valley,2019, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,4902.715274,958955.5449,4902.715274,4902.715274,958955.545,-111.3359752,40.70965181
317,South Salt Lake City Water System,South Salt Lake Culinary Water,South Salt Lake City Water System,C,811,1339,UTAH18032,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1339,Jordan Valley Water Conservancy District,JVWCD,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,2019, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,17609.00879,9502516.718,17609.00879,17609.00879,9502516.718,-111.8971204,40.71161499
318,Peoa Pipeline Co.,Peoa Town,Peoa Pipeline Company,C,1082,1156,UTAH22013,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1156, , ,Utah,Summit,Weber River,2/1/2002,Kamas Valley,02-01-02a,Kamas Valley,2019, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,7425.800008,3149218.08,7425.800008,7425.800008,3149218.08,-111.3338906,40.72663474
319,Oakley Town Water System,Oakley City,Oakley Town Water System,C,1079,1329,UTAH22010,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1329, , ,Utah,Summit,Weber River,2/1/2002,Kamas Valley,02-01-02a,Kamas Valley,2019,AGRC,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,26223.97867,18315781.46,26223.97867,26223.97867,18315781.46,-111.2789183,40.72563976
320,Mountain Regional Water SSD,Mountain Regional Water SSD,Mtn Regional Water Ssd,C,1186,1391,UTAH22137,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1391, , ,Utah,Summit,Weber River,2/1/2002,Kamas Valley,02-01-02a,Kamas Valley,2019,DWRe,1/5/2018 0:00,ADAMCLARK,10/19/2020 0:00,121787.8968,78871379.13,121787.8968,121787.8968,78871379.13,-111.4558123,40.73186857
321,Magna Water District,Magna Water Improvement District,Magna Water District,C,795,1294,UTAH18014,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1294,Jordan Valley Water Conservancy District,JVWCD,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,2019, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,28955.0821,26036558.39,28955.0821,28955.0821,26036558.39,-112.0757141,40.70770622
322,Spring Glen Water Co.,Spring Glen Water Company,Spring Glen Water Company,C,819,1916,UTAH18043,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1916, , ,Utah,Salt Lake,Jordan River,3/1/2003,Emigration Creek,03-01-03a,Emigration Creek,2019, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,874.1104644,41943.52979,874.1104644,874.1104644,41943.53,-111.7645217,40.76742453
323,Summit County Service Area #3,Summit County Service Area #3,Summit Co Service #3,C,1157,1397,UTAH22105,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1397, , ,Utah,Summit,Weber River,2/1/2006,East Canyon,02-01-06a,East Canyon,2019, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,40934.91399,18562179.57,40934.91399,40934.91399,18562179.57,-111.4935045,40.75377526
324,Bridge Hollow Water Association,Bridge Hollow Water Association,Bridge Hollow Water Association,C,1167,11274,UTAH22117,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11274, , ,Utah,Summit,Weber River,2/1/2002,Kamas Valley,02-01-02a,Kamas Valley,2019,AGRC/DWRe,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,9111.211396,5068680.8,9111.211396,9111.211396,5068680.8,-111.4220897,40.79465426
325,Emigration Improvement District,Emigration Improvement District,Emigration Imp District,C,894,10999,UTAH18143,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10999, , ,Utah,Salt Lake,Jordan River,3/1/2003,Emigration Creek,03-01-03a,Emigration Creek,2019, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,17583.72559,6807814.599,17583.72559,17583.72559,6807814.599,-111.7385418,40.78283735
326,Wanship Mutual Water Co.,Wanship Mutual Water Company,Wanship Mutual Water Co.,C,1086,1057,UTAH22017,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1057, , ,Utah,Summit,Weber River,2/1/2002,Kamas Valley,02-01-02a,Kamas Valley,2019, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,4116.66789,787228.8853,4116.66789,4116.66789,787228.885,-111.4075138,40.80947761
327,South Davis Water District,South Davis County W.I.D.,South Davis Water District,C,269,1005,UTAH06009,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1005, , ,Utah,Davis,Weber River,2/1/2009,East Shore,02-01-09a,East Shore,2019,AGRC/DWRe/Supplier,2/21/2019 0:00,ADAMCLARK,10/19/2020 0:00,13170.25579,4523829.809,13170.25579,13170.25579,4523829.809,-111.8910453,40.85535543
328,North Salt Lake Water System,North Salt Lake Municipal System,North Salt Lake,C,278,1338,UTAH06019,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1338, , ,Utah,Davis,Weber River,2/1/2009,East Shore,02-01-09a,East Shore,2019,DWRe/Supplier,2/21/2019 0:00,ADAMCLARK,10/19/2020 0:00,32580.65328,21379072.62,32580.65328,32580.65328,21379072.62,-111.9193547,40.84380827
329,Hoytsville Pipe Water Co.,Hoytsville Culinary Water System,Hoytsville Pipe Water Co.,C,1075,1126,UTAH22006,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1126, , ,Utah,Summit,Weber River,2/1/2002,Kamas Valley,02-01-02a,Kamas Valley,2019, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,9281.854132,1908512.459,9281.854132,9281.854132,1908512.459,-111.3831124,40.88086665
330,Cluff Ward Pipeline Co.,Cluff Ward Pipeline Co.,Cluff Ward Pipeline Co,C,1070,1355,UTAH22001,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1355, , ,Utah,Summit,Weber River,2/1/2002,Kamas Valley,02-01-02a,Kamas Valley,2019, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,14388.64022,4180562.83,14388.64022,14388.64022,4180562.829,-111.3660339,40.92187612
331,Bountiful City Water System,Bountiful City Water,Bountiful City Water System,C,275,1060,UTAH06015,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1060, , ,Utah,Davis,Weber River,2/1/2009,East Shore,02-01-09a,East Shore,2019,DWRe/Supplier,3/7/2018 0:00,ADAMCLARK,10/19/2020 0:00,38191.20985,30364605.78,38191.20985,38191.20985,30364605.78,-111.8629835,40.87353329
332,Greendale Water Co.,Greendale Water Company,Greendale Water Company,C,232,1344,UTAH05004,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1344, , ,Utah,Daggett,Uintah,7/1/2005,Flaming Gorge Reservoir,07-01-05a,Flaming Gorge Reservoir,2019, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,12790.54615,8746664.546,12790.54615,12790.54615,8746664.546,-109.4735185,40.88891035
333,Woods Cross City Water System,Woods Cross Municipal Water System,Woods Cross Water System,C,280,1364,UTAH06021,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1364, , ,Utah,Davis,Weber River,2/1/2009,East Shore,02-01-09a,East Shore,2019,DWRe/Supplier,3/7/2018 0:00,ADAMCLARK,10/19/2020 0:00,17429.68267,9319982.77,17429.68267,17429.68267,9319982.77,-111.9156707,40.87346334
334,West Bountiful City Water System,West Bountiful Cul. Water System,West Bountiful Water Sys,C,274,1059,UTAH06014,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1059, , ,Utah,Davis,Weber River,2/1/2009,East Shore,02-01-09a,East Shore,2019, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,18219.57462,8099545.088,18219.57462,18219.57462,8099545.089,-111.9074795,40.89842054
335,Coalville City Water System,Coalville Culinary Water,Coalville City Water System,C,1071,1151,UTAH22002,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1151, , ,Utah,Summit,Weber River,2/1/2003,Chalk Creek,02-01-03a,Chalk Creek,2019, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,17027.64302,9701561.712,17027.64302,17027.64302,9701561.712,-111.3942086,40.91526556
336,Centerville City Water System,Centerville Culinary Water System,Centerville City Water System,C,261,1090,UTAH06001,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1090, , ,Utah,Davis,Weber River,2/1/2009,East Shore,02-01-09a,East Shore,2019,DWRe/Supplier,3/9/2018 0:00,ADAMCLARK,10/19/2020 0:00,19010.7076,11303081.53,19010.7076,19010.7076,11303081.53,-111.8813991,40.9264937
337,Dutch John Town Water System,Daggett County/Dutch John Town Water System,Dutch John Town Water System,C,229,11144,UTAH05001,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11144, , ,Utah,Daggett,Uintah,7/1/2005,Flaming Gorge Reservoir,07-01-05a,Flaming Gorge Reservoir,2019, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,28025.26032,24977615.44,28025.26032,28025.26032,24977615.45,-109.4018384,40.92489187
