Water System No,Water System Name,Principal County Served,Federal Water System Type CODE,Federal Water System Type,State Water System Type CODE,State Water System Type,Water System Status CODE,System Status,Owner Type CODE,Owner Type,Primary Water Source Type CODE,Primary Water Source Type,Residential Population,Non-Transient Population,Transient Population,Total Population,Number of Agricultural Service Connections (AG),Number of Combined Service Connections (CB),Number of Commercial Service Connections (CM),Number of Institutional Service Connections (IN),Number of Residential Service Connections (RS),Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class CODE,Treatment Plant Class,Distribution System Class CODE,Distribution System Class
CA1900707,ILEAD AGUA DULCE CHARTER SCHOOL,LOS ANGELES,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,450,NULL,450,NULL,6,NULL,NULL,NULL,6,SP,Non-Transient Non-Community Water System,12/18/2019,AGUA DULCE,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA1900715,HALFWAY HOUSE CAFE,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,12/18/2019,SANTA CLARITA,NULL,,D1,Distribution Operator Level 1
CA1900717,CASA DULCE ESTATES,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,28,NULL,NULL,28,NULL,16,NULL,NULL,NULL,16,SC,Small Community,5/7/2020,AGUA DULCE,NULL,,D1,Distribution Operator Level 1
CA1900721,TERRA NOVA MOBILE HOME PARK,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,140,NULL,NULL,140,NULL,75,NULL,NULL,NULL,75,SC,Small Community,11/28/2018,LANCASTER,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA1900741,YOUNG-NAK PRESBYTERIAN CHURCH,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,29,NULL,NULL,NULL,29,SC,Small Community,5/1/2019,LAKE HUGHES,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA1900750,DEL SUR SCHOOL/WESTSIDE UNION DISTRICT,LOS ANGELES,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,825,NULL,825,NULL,1,NULL,NULL,NULL,1,SP,Non-Transient Non-Community Water System,3/4/2019,LANCASTER,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA1900751,EASTSIDE UNION SCHOOL DISTRICT,LOS ANGELES,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,650,NULL,650,NULL,18,NULL,NULL,NULL,18,SP,Non-Transient Non-Community Water System,11/15/2018,LANCASTER,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA1900752,TEXAS CANYON RANGER STATION,LOS ANGELES,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,30,NULL,30,NULL,4,NULL,NULL,NULL,4,SP,Non-Transient Non-Community Water System,6/5/2019,SAUGUS,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA1900761,ANGELES SHOOTING RANGES,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,267,267,NULL,5,NULL,NULL,NULL,5,N1,Transient Non-Community Water System,1/8/2019,SAN FERNANDO,NULL,,D1,Distribution Operator Level 1
CA1900764,HENNINGER FLATS,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,SW,Surface Water,NULL,3,25,28,NULL,NULL,NULL,NULL,1,1,N1,Transient Non-Community Water System,10/23/2019,ALTADENA,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA1900767,GOLDEN VALLEY MUNICIPAL WATER DISTRICT,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,70,NULL,NULL,70,NULL,17,NULL,NULL,NULL,17,SC,Small Community,5/1/2019,GORMAN,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA1900768,AGUA DULCE WATER SYSTEM,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,493,493,NULL,3,NULL,NULL,NULL,3,N1,Transient Non-Community Water System,11/27/2018,AGUA DULCE,NULL,,D1,Distribution Operator Level 1
CA1900785,MITCHELL'S AVENUE E MOBILE HOME PARK,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,24,NULL,NULL,24,NULL,24,NULL,NULL,NULL,24,SC,Small Community,2/7/2020,LANCASTER,NULL,,D1,Distribution Operator Level 1
CA1900791,USFS-SYCAMORE FLATS V-5,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,250,250,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,5/9/2019,PALMDALE,NULL,,D1,Distribution Operator Level 1
CA1900794,ANTELOPE PARK MUTUAL WATER COMPANY,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,445,NULL,NULL,445,NULL,152,NULL,NULL,NULL,152,SC,Small Community,2/10/2020,LANCASTER,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA1900801,COLORADO MUTUAL WATER COMPANY,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,30,NULL,NULL,30,NULL,13,NULL,NULL,NULL,13,SC,Small Community,1/29/2019,LANCASTER,NULL,,D1,Distribution Operator Level 1
CA1900803,EL DORADO MUTUAL WATER CO.,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,660,NULL,NULL,660,NULL,NULL,NULL,NULL,237,237,SC,Small Community,9/15/2020,PALMDALE,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA1900804,EVERGREEN MUTUAL WATER COMPANY,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,95,NULL,NULL,95,NULL,46,NULL,NULL,NULL,46,SC,Small Community,5/1/2020,LANCASTER,NULL,,D1,Distribution Operator Level 1
CA1900808,LANCASTER WATER COMPANY,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,80,NULL,NULL,80,NULL,24,NULL,NULL,NULL,24,SC,Small Community,2/7/2020,LANCASTER,NULL,,D1,Distribution Operator Level 1
CA1900809,LANDALE MUTUAL WATER COMPANY,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,752,NULL,NULL,752,NULL,166,NULL,NULL,NULL,166,SC,Small Community,1/29/2019,LANCASTER,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA1900817,CLEAR SKIES MOBILE HOME PARK,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,131,NULL,NULL,131,NULL,47,NULL,NULL,NULL,47,SC,Small Community,10/17/2019,LANCASTER,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA1900820,LANG RANCH SHOPPING CENTER,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,28,28,NULL,4,NULL,NULL,NULL,4,N1,Transient Non-Community Water System,12/18/2018,AGUA DULCE,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA1900843,CALIFORNIAN MOBILE HOME PARK,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,372,NULL,NULL,372,NULL,133,NULL,NULL,NULL,133,SC,Small Community,1/9/2019,LANCASTER,NULL,,D1,Distribution Operator Level 1
CA1900849,LLANO DEL RIO WATER COMPANY,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,510,NULL,NULL,510,NULL,179,NULL,NULL,NULL,179,SC,Small Community,3/21/2019,LLANO,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA1900864,NEWCOMB'S RANCH INN,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,27,27,NULL,2,NULL,NULL,NULL,2,N1,Transient Non-Community Water System,4/11/2019,LA CANADA FINTRIDGE,NULL,,D1,Distribution Operator Level 1
CA1900868,RIVERS END TRAILER PARK,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,35,NULL,NULL,35,NULL,45,NULL,NULL,NULL,45,SC,Small Community,1/30/2019,SANTA CLARITA,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA1900886,HUGHES-ELIZABETH LAKE UNIFIED SCHOOL DIS,LOS ANGELES,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,550,NULL,550,NULL,2,NULL,NULL,NULL,2,SP,Non-Transient Non-Community Water System,4/1/2019,LAKE HUGHES,NULL,,D1,Distribution Operator Level 1
CA1900894,ACTON FOUR SQUARE CHURCH,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,50,50,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,2/5/2019,ACTON,NULL,,D1,Distribution Operator Level 1
CA1900901,FIRE SUPPRESSION CAMP #19,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,GU,Groundwater UDI Surface Water,125,NULL,NULL,125,NULL,NULL,9,NULL,NULL,9,SC,Small Community,6/6/2019,AZUSA,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA1900903,SLEEPY VALLEY WATER COMPANY,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,130,NULL,NULL,130,NULL,62,NULL,NULL,NULL,62,SC,Small Community,4/29/2020,SANTA CLARITA,NULL,,D1,Distribution Operator Level 1
CA1900904,ACTON CONSERVATION CAMP #11,LOS ANGELES,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GU,Groundwater UDI Surface Water,NULL,90,NULL,90,NULL,NULL,1,NULL,NULL,1,SP,Non-Transient Non-Community Water System,12/19/2018,ACTON,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA1900907,SHERWOOD MOBILE HOME PARK,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,540,NULL,NULL,540,NULL,185,NULL,NULL,NULL,185,SC,Small Community,1/23/2020,LANCASTER,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA1900912,GORMAN ELEMENTARY SCHOOL,LOS ANGELES,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,98,NULL,98,NULL,4,NULL,NULL,NULL,4,SP,Non-Transient Non-Community Water System,5/1/2019,GORMAN,NULL,,D1,Distribution Operator Level 1
CA1900913,LILY OF THE VALLEY MOBILE VILLAGE,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,495,NULL,NULL,495,NULL,182,NULL,NULL,NULL,182,SC,Small Community,5/5/2020,SAUGUS,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA1900914,USFS-SKYLINE PARK / MOUNT WILSON A-4,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,25,25,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,5/14/2019,ANGELES NATIONAL FOREST,NULL,,D1,Distribution Operator Level 1
CA1900922,USFS-RED BOX STATION A-3,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,70,70,NULL,3,NULL,NULL,NULL,3,N1,Transient Non-Community Water System,4/22/2019,ANGELES NATIONAL FOREST,NULL,,D1,Distribution Operator Level 1
CA1900929,MIRA LOMA HIGH DESERT HOSPITAL,LOS ANGELES,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,500,NULL,500,NULL,57,NULL,NULL,NULL,57,SP,Non-Transient Non-Community Water System,2/26/2019,LANCASTER,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA1900936,AQUA J. MUTUAL WATER COMPANY,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,165,NULL,NULL,165,NULL,51,NULL,NULL,NULL,51,SC,Small Community,2/4/2019,LANCASTER,NULL,,D1,Distribution Operator Level 1
CA1900937,USFS-PYRAMID LAKE S-14,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,SW,Surface Water,NULL,5,25,30,NULL,NULL,6,NULL,NULL,6,N1,Transient Non-Community Water System,8/29/2013,GORMAN,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA1900942,ALPINE SPRINGS MOBILE HOME PARK,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,175,NULL,NULL,175,NULL,52,NULL,NULL,NULL,52,SC,Small Community,1/30/2019,PALMDALE,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA1900952,COLDBROOK CAMPGROUND,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,38,38,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,4/22/2019,ANGELES NATIONAL FOREST,NULL,,D1,Distribution Operator Level 1
CA1900961,WINTERHAVEN MOBILE ESTATES,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,56,NULL,NULL,56,NULL,20,NULL,NULL,NULL,20,SC,Small Community,2/6/2020,LANCASTER,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA1900974,USFS-APPLETREE FLATS V-3,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,25,25,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,5/9/2019,WRIGHTWOOD,NULL,,D1,Distribution Operator Level 1
CA1900975,CALI LAKE RV RESORT,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,30,NULL,NULL,30,NULL,47,NULL,NULL,NULL,47,SC,Small Community,10/24/2018,SAUGUS,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA1900976,THE OAKS,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,67,NULL,NULL,67,NULL,25,NULL,NULL,NULL,25,SC,Small Community,5/1/2019,LAKE HUGHES,NULL,,D1,Distribution Operator Level 1
CA1901000,GENERAL ATOMICS AERONAUTICAL - GRAY BUTT,LOS ANGELES,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,530,NULL,530,NULL,24,NULL,NULL,NULL,24,NULL,,3/4/2019,PALMDALE,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA1901002,MOUNT KARE CAMP/KARE YOUTH LEAGUE,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,55,55,NULL,6,NULL,NULL,NULL,6,NULL,,2/12/2019,WRIGHTWOOD,NULL,,D1,Distribution Operator Level 1
CA1907004,ACTON-AGUA DULCE LDS CHURCH,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,150,150,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,2/12/2019,AGUA DULCE,NULL,,D1,Distribution Operator Level 1
CA1907011,FLYING J TRAVEL CENTER,LOS ANGELES,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,2565,NULL,2565,NULL,2,NULL,NULL,NULL,2,SP,Non-Transient Non-Community Water System,5/1/2019,LEBEC,NULL,,D1,Distribution Operator Level 1
CA1907013,WAGON WHEEL PLAZA,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,55,55,NULL,8,NULL,NULL,NULL,8,N1,Transient Non-Community Water System,11/20/2018,AGUA DULCE,NULL,,D1,Distribution Operator Level 1
CA1907014,NORTH TRAILS MUTUAL WATER COMPANY,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,100,NULL,NULL,100,NULL,49,NULL,NULL,NULL,49,SC,Small Community,6/8/2020,AGUA DULCE,NULL,,D1,Distribution Operator Level 1
CA1907015,KIRK BUSINESS CENTER,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,11/13/2018,AGUA DULCE,NULL,,D1,Distribution Operator Level 1
CA1907016,SHEPHERD OF THE HILLS,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,80,80,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,11/20/2018,AGUA DULCE,NULL,,D1,Distribution Operator Level 1
CA1907018,SUMMERHILL EQUESTRIAN CENTER,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,1/15/2019,SAUGUS,NULL,,D1,Distribution Operator Level 1
CA1907019,USFS-LOS ALAMOS S-15,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,25,25,NULL,7,NULL,NULL,NULL,7,N1,Transient Non-Community Water System,4/18/2019,GORMAN,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA1907024,LIVING SPRINGS CHURCH,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,50,50,NULL,1,NULL,NULL,NULL,1,NULL,,1/15/2019,AGUA DULCE,NULL,,D1,Distribution Operator Level 1
CA1907028,SPV WATER COMPANY,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,211,NULL,NULL,211,NULL,71,NULL,NULL,NULL,71,SC,Small Community,2/5/2019,AGUA DULCE,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA1907029,RANCHO SIERRA ACRES,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,28,28,NULL,3,NULL,NULL,NULL,3,N1,Transient Non-Community Water System,2/19/2019,LANCASTER,NULL,,D1,Distribution Operator Level 1
CA1907031,RANCHO YBARRA CHRISTIAN CAMP,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,73,73,NULL,4,NULL,NULL,NULL,4,N1,Transient Non-Community Water System,4/18/2019,TUJUNGA,NULL,,D1,Distribution Operator Level 1
CA1907032,WASTE MANAGEMENT OF LANCASTER,LOS ANGELES,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,27,NULL,27,NULL,2,NULL,NULL,NULL,2,SP,Non-Transient Non-Community Water System,2/26/2019,LANCASTER,NULL,,D1,Distribution Operator Level 1
CA1909006,WEST VALLEY COUNTY WATER DISTRICT,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,726,NULL,NULL,726,NULL,NULL,NULL,NULL,220,220,SC,Small Community,3/16/2015,LANCASTER,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA1909627,USFS-VALYERMO RANGER STATION,LOS ANGELES,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,25,NULL,25,NULL,1,NULL,NULL,NULL,1,SP,Non-Transient Non-Community Water System,5/9/2019,ANGELES NATIONAL FOREST,NULL,,D1,Distribution Operator Level 1
CA1909644,AZUSA SPRINGS WATER SYSTEM,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,SW,Surface Water,NULL,NULL,25,25,NULL,NULL,1,NULL,3,4,N1,Transient Non-Community Water System,10/25/2018,AZUSA,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA1909645,LANCASTER NATIONAL SOCCER CENTER,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,NULL,500,500,NULL,4,NULL,NULL,NULL,4,N1,Transient Non-Community Water System,2/19/2019,LANCASTER,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA1909646,AGUA DULCE WINERY,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,113,113,NULL,4,NULL,NULL,NULL,4,SP,Non-Transient Non-Community Water System,10/24/2018,AGUA DULCE,NULL,,D1,Distribution Operator Level 1
CA1909647,ANTELOPE VALLEY AIRPORT EXPRESS,LOS ANGELES,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,50,50,NULL,2,NULL,NULL,NULL,2,NULL,,11/27/2018,PALMDALE,NULL,,D1,Distribution Operator Level 1
CA1910001,CITY OF ALHAMBRA,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,85396,NULL,NULL,85396,150,NULL,1603,148,15597,17498,C1,Large Water System,12/18/2018,ALHAMBRA,T3,Treatment Operator Level 3,D4,Distribution Operator Level 4
CA1910002,AMARILLO MUTUAL WATER COMPANY,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,3134,NULL,NULL,3134,NULL,NULL,NULL,NULL,627,627,SC,Small Community,4/18/2018,ROSEMEAD,TD,Treatment or distribution operator of any grade,D2,Distribution Operator Level 2
CA1910003,CITY OF ARCADIA,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,44705,NULL,NULL,44705,255,NULL,749,NULL,12541,13545,C1,Large Water System,6/6/2017,ARCADIA,T3,Treatment Operator Level 3,D4,Distribution Operator Level 4
CA1910004,GSWC - ARTESIA,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,48255,NULL,NULL,48255,75,NULL,559,3,10091,10728,C1,Large Water System,6/28/2018,SANTA FE SPRINGS,T2,Treatment Operator Level 2,D4,Distribution Operator Level 4
CA1910005,"LOS ANGELES CWWD 40, REG. 38-LAKE LA",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,13796,NULL,NULL,13796,NULL,NULL,47,NULL,3537,3584,C1,Large Water System,10/1/2018,ALHAMBRA,TD,Treatment or distribution operator of any grade,D4,Distribution Operator Level 4
CA1910006,SO. CAL. EDISON CO.-SANTA CATALINA,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,SW,Surface Water,4096,NULL,NULL,4096,61,NULL,370,NULL,1512,1943,C1,Large Water System,12/5/2019,AVALON,T3,Treatment Operator Level 3,D3,Distribution Operator Level 3
CA1910007,AZUSA LIGHT AND WATER,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SW,Surface Water,106400,NULL,NULL,106400,295,NULL,2092,327,20876,23590,C1,Large Water System,11/15/2018,AZUSA,T4,Treatment Operator Level 4,D5,Distribution Operator Level 5
CA1910009,VALLEY COUNTY WATER DIST.,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,56556,NULL,NULL,56556,55,NULL,1488,114,10805,12462,DAVCL,Disadvantaged Large Community Water System,6/8/2010,BALDWIN PARK,T5,Treatment Operator Level 5,D4,Distribution Operator Level 4
CA1910010,CALIFORNIA WATER SERVICE CO.-LANCASTER,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,4806,NULL,NULL,4806,NULL,NULL,18,NULL,652,670,SC,Small Community,6/7/2018,QUARTZ  HILL,TD,Treatment or distribution operator of any grade,D2,Distribution Operator Level 2
CA1910011,"GSWC - BELL, BELL GARDENS",LOS ANGELES,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,58039,NULL,NULL,58039,25,NULL,724,6,6577,7332,C1,Large Water System,11/15/2018,SANTA FE SPRINGS,T2,Treatment Operator Level 2,D4,Distribution Operator Level 4
CA1910012,BELLFLOWER HOME GARDEN WATER COMPANY,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,1129,NULL,NULL,1129,NULL,NULL,1,6,335,342,SC,Small Community,9/27/2018,BELLFLOWER,NULL,,D1,Distribution Operator Level 1
CA1910013,BELLFLOWER - SOMERSET MWC,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,46300,NULL,NULL,46300,47,NULL,1067,NULL,5944,7058,DAVCL,Disadvantaged Large Community Water System,12/5/2019,BELLFLOWER,T1,Treatment Operator Level 1,D3,Distribution Operator Level 3
CA1910017,SANTA CLARITA VALLEY W.A.-SANTA CLARITA,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,129744,NULL,NULL,129744,1071,NULL,903,21,29759,31754,C1,Large Water System,7/15/2016,SANTA CLARITA,T2,Treatment Operator Level 2,D5,Distribution Operator Level 5
CA1910018,BELLFLOWER MUNICIPAL WATER SYSTEM,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,5967,NULL,NULL,5967,NULL,NULL,3,3,1820,1826,DAVCL,Disadvantaged Large Community Water System,10/25/2018,BELLFLOWER,NULL,,D2,Distribution Operator Level 2
CA1910019,"CERRITOS - CITY, WATER DEPT.",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,49041,NULL,NULL,49041,606,NULL,793,NULL,14357,15756,C1,Large Water System,12/11/2018,CERRITOS,T2,Treatment Operator Level 2,D5,Distribution Operator Level 5
CA1910020,EAST PASADENA WATER CO.,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,9860,NULL,NULL,9860,NULL,NULL,233,NULL,2755,2988,C1,Large Water System,10/25/2017,PASADENA,TD,Treatment or distribution operator of any grade,D2,Distribution Operator Level 2
CA1910021,LIBERTY UTILITIES - COMPTON,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,23802,NULL,NULL,23802,78,NULL,160,2,6738,6978,C1,Large Water System,12/12/2017,DOWNEY,T1,Treatment Operator Level 1,D3,Distribution Operator Level 3
CA1910022,CALIF STATE POLYTECHNICAL UNIV - POMONA,LOS ANGELES,C,Community,C,Community,A,Active,S,State Government,SW,Surface Water,2412,24345,2440,29197,NULL,731,NULL,NULL,NULL,731,SC,Small Community,8/10/2016,POMONA,T3,Treatment Operator Level 3,D4,Distribution Operator Level 4
CA1910023,AVERYDALE MWC,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,964,NULL,NULL,964,NULL,NULL,13,NULL,279,292,SC,Small Community,12/5/2019,LANCASTER,T1,Treatment Operator Level 1,D2,Distribution Operator Level 2
CA1910024,GSWC - CLAREMONT,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,37317,NULL,NULL,37317,271,NULL,583,9,10213,11076,C1,Large Water System,11/2/2016,SAN DIMAS,T2,Treatment Operator Level 2,D4,Distribution Operator Level 4
