OID_,SABL_PWSID,BOUNDARY_T,WATER_SYST,WATER_SY_1,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,OBJECTID,ACTIVITY_S,ACTIVITY_D,OWNER_TYPE,COUNTY,POPULATION,REGULATING,FEDERAL_CL,STATE_CLAS,ADDR_LINE_,ADDR_LINE1,ADDRESS_CI,ADDRESS_ST,ADDRESS_ZI,SERVICE_CO,GLOBALID,AC_PHONE_N,AC_EMAIL,BOUNDARY_F,DT_VERIFIE,VERIFIED_S,VERIFIED_N,VERIFIED_T,Shape__Are,Shape__Len,Lat,Long
303,CA3610016,Water Service Area,CA3610016,GLEN MARTIN MWC,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,338,A,3/22/1979 0:00:00,P,SAN BERNARDINO,450,DISTRICT 13 - SAN BERNARDINO,COMMUNITY,COMMUNITY,6255 Mountain Home Creek Road, ,ANGELES OAKS,CA,92305,338,{7397FF81-6E14-4678-9635-C211D158EEB2},951-442-0716,gmmwc610@verizon.net,WBT Tool,,Not Verified, , ,1860461.772820000071079,5793.507837590000236,34.141844038199999,-116.984823616000000
304,CA4900603,Water Service Area,CA4900603,RIEBLI MUTUAL WATER COMPANY,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,339,A,3/22/1979 0:00:00,P,SONOMA,150,DISTRICT 18 - SONOMA,COMMUNITY,COMMUNITY,4159 Bayberry Drive, ,SANTA ROSA,CA,95404,47,{5D5706B9-940A-463A-8A03-FA4EF5134E64},707-953-8292,kbaughman@sonic.net,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,379848.358317999984138,3239.365743129999828,38.500890894199998,-122.702241020000002
305,CA1600007,Water Service Area,CA1600007,COUTURE FARMS,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,340,A,8/8/2016 0:00:00,P,KINGS,17,LPA46 - KINGS COUNTY,NON-PUBLIC,STATE SMALL WATER SYSTEM, , ,KETTLEMAN CITY,CA,93239,14,{F84C8553-5592-4879-842B-D6DEE75439DC},559-386-9865,Qdee@yahoo.com,WBT Tool,,Not Verified, , ,1164022.284299999941140,4321.852572040000268,36.046804826799999,-120.017081864000005
306,CA2810004,Water Service Area,CA2810004,"ST. HELENA, CITY OF",SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,341,A,1/1/1976 0:00:00,L,NAPA,6152,DISTRICT 03 - MENDOCINO,COMMUNITY,COMMUNITY,410 Crystal Springs Road, ,ST. HELENA,CA,94574,2681,{0E61BD77-7A07-4238-AF72-234DF321BB51}, ,cchurch@cityofsthelena.org,WBT Tool,,Not Verified, , ,21419913.760099999606609,28830.842938699999650,38.504297064500001,-122.468070302000001
307,CA3510001,Water Service Area,CA3510001,"HOLLISTER, CITY OF",SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,343,A,1/1/1976 0:00:00,L,SAN BENITO,23358,DISTRICT 05 - MONTEREY,COMMUNITY,COMMUNITY,1291 South Street, ,HOLLISTER,CA,95023,7561,{24607AB4-C8D8-4944-9403-5BFA7BE07A9E},831-636-4377,michael.grzan@hollister.ca.gov,WBT Tool,,Not Verified, , ,27591805.375500001013279,33012.756190799998876,36.860707999799999,-121.404767828999994
308,CA1910018,Water Service Area,CA1910018,BELLFLOWER MUNICIPAL WATER SYSTEM,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,345,A,1/1/1976 0:00:00,L,LOS ANGELES,5967,DISTRICT 16 - CENTRAL,COMMUNITY,COMMUNITY,16913 LAKEWOOD BLVD., ,BELLFLOWER,CA,90706,1826,{9423FF36-4638-4B43-BE5C-CC21E6354974},562-804-1424,lgorecki@bellflower.org,WBT Tool,,Pending, , ,2286528.683389999903738,19644.503520599999320,33.892900947599998,-118.123753358000002
309,CA0800627,Water Service Area,CA0800627,GOLDEN BEAR RV PARK,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,346,A,1/1/1976 0:00:00,P,DEL NORTE,153,DISTRICT 01 - KLAMATH,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,P.O. BOX 388, ,KLAMATH,CA,95562,78,{6EFD7A35-3085-47A9-BED5-DB7851E1C50D},408-891-3116,willie@thenicholsonco.com,WBT Tool,,Not Verified, , ,33824.649345999998332,841.484171274999994,41.539915408500001,-124.050184182999999
310,CA5410010,Water Service Area,CA5410010,"PORTERVILLE, CITY OF",SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,348,A,1/1/1976 0:00:00,L,TULARE,65702,DISTRICT 24 - TULARE,COMMUNITY,COMMUNITY,555 NORTH PROSPECT STREET, ,PORTERVILLE,CA,93257,17063,{5D6BB95F-60C6-4AF1-B939-46B802C4AB86},559-782-7580,mknight@ci.porterville.ca.us,WBT Tool,,Not Verified, , ,56528518.407200001180172,178114.606617000012193,36.066142448199997,-119.031596785999994
311,CA0400003,Water Service Area,CA0400003,HARTLEY MUTUAL WATER SYSTEM,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,349,A,7/28/2016 0:00:00,L,BUTTE,31,LPA34 - BUTTE COUNTY,COMMUNITY,COMMUNITY,Nopel and Hwy 32, ,FOREST RANCH,CA,95942,15,{A231909C-3FE7-4D77-8F53-E63504A14EB2},530-893-1869,jgraham@calwater.com,WBT Tool,,Not Verified, , ,92615.246622199992999,1497.746205429999918,39.872155826799997,-121.682114373999994
312,CA1400026,Water Service Area,CA1400026,RAWSON CREEK MUTUAL WATER COMPANY,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,350,A,4/30/2015 0:00:00,P,INYO,90,DISTRICT 13 - SAN BERNARDINO,COMMUNITY,COMMUNITY, ,P.O. BOX 416,BISHOP,CA,93514,40,{4B56EA80-F025-49AD-9C78-A9EF73C12C5A},760-873-6371,jrpahlow@gmail.com,WBT Tool,,Not Verified, , ,58422.269383099999686,966.186700868000003,37.284447150100000,-118.387016720999995
313,CA3301115,Water Service Area,CA3301115,CHIRIACO SUMMIT WATER DIST.,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,351,A,7/27/2016 0:00:00,P,RIVERSIDE,534,LPA63 - RIVERSIDE COUNTY,COMMUNITY,COMMUNITY,62-450 CHIRIACO ROAD, ,CHIRIACO SUMMIT,CA,92201,37,{209F0187-A83A-4428-8DBA-9D3C07291730},760-227-3227,mchiriacor@aol.com,WBT Tool,,Not Verified, , ,2790676.602990000043064,7714.863678509999772,33.662710779699999,-115.720171547000007
314,CA5400935,Water Service Area,CA5400935,CWS - MULLEN WATER COMPANY,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,352,A,3/22/1979 0:00:00,P,TULARE,138,DISTRICT 12 - VISALIA,COMMUNITY,COMMUNITY,1393  STATE STREET, ,PORTERVILLE,CA,93258,42,{1759D417-FCE2-4CF7-AD8F-0A230E672710},408-367-8593,sjames@calwater.com,WBT Tool,,Not Verified, , ,218954.285396999999648,2018.072295749999967,36.040700803900002,-118.993456398000006
315,CA3610117,Water Service Area,CA3610117,DEVORE WC,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,353,A,1/1/1976 0:00:00,P,SAN BERNARDINO,1633,DISTRICT 13 - SAN BERNARDINO,COMMUNITY,COMMUNITY,18185 KENWOOD AVE, ,SAN BERNARDINO,CA,92407,467,{3C896547-A3D1-4AD2-882C-1935D85FB8E8},909-887-3310,mark.dwc@charter.net,WBT Tool,,Not Verified, , ,6046400.550230000168085,11369.350188399999752,34.234256165600002,-117.408970784999994
316,CA1900542,Water Service Area,CA1900542,"LOS ANGELES, CITY OF - POWER PLANT #2",SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,354,A,12/21/1992 0:00:00,L,LOS ANGELES,41,DISTRICT 15 - METROPOLITAN,COMMUNITY,COMMUNITY,36900 PELTON, ,SAUGUS,CA,91350,16,{E87A1A90-5974-48FD-92C8-45B7008E1FF5},800-342-5397,Razmik.manoukian@ladwp.com,WBT Tool,,Not Verified, , ,560383.876516000018455,3204.752148680000118,34.592318136700001,-118.449098308000003
317,CA2701951,Water Service Area,CA2701951,MASSA ESTATE VINYEARDS WS (PREV HELLER),SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,355,A,8/1/2016 0:00:00,P,MONTEREY,30,LPA57 - MONTEREY COUNTY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY, , ,CARMEL VALLEY,CA,93924,4,{4074C711-41A9-46D9-BD1A-F24ABA3297B2},831-594-8358,LAURIEMASSA@AOL.COM,WBT Tool,,Not Verified, , ,2936056.991229999810457,8554.349689619999481,36.387000638799996,-121.652137515000007
318,CA0310021,Water Service Area,CA0310021,AWA - CAMANCHE VILLAGE,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,356,A,1/1/1976 0:00:00,L,AMADOR,2384,DISTRICT 10 - STOCKTON,COMMUNITY,COMMUNITY,2901 CAMANCHE ROAD, , IONE,CA,95640,732,{E022C45A-F6F1-489B-94BE-ADDA7BC00A68},209-257-5284,rferriera@amadorwater.org,WBT Tool,,Not Verified, , ,17282756.330800000578165,32813.479969300002267,38.260701662499997,-120.977320636000002
319,CA1510701,Water Service Area,CA1510701,EDWARDS AFB - MAIN BASE,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,357,A,1/1/1976 0:00:00,F,KERN,12403,DISTRICT 19 - TEHACHAPI,COMMUNITY,COMMUNITY,70 N. WOLF AVE, ,EDWARDS AFB,CA,93524,1058,{83D7D643-2A2C-4F24-852E-BCA1F47EC5CA},661-277-9517,mark.edwards@us.af.mil,WBT Tool,,Not Verified, , ,67040377.388700000941753,43515.034894999997050,34.904535754699999,-117.929281387000003
320,CA3400107,Water Service Area,CA3400107,RIVER'S EDGE MARINA & RESORT,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,358,A,8/8/2016 0:00:00,P,SACRAMENTO,150,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,1100 W BRANNAN ISLAND RD, ,ISLETON,CA,95641,83,{9B7E43F2-A2AA-4448-90C3-13F9991F87E9},925-935-3200,jcampers@aol.com,WBT Tool,,Not Verified, , ,40808.182831899997836,857.747727069000007,38.111548557799999,-121.612558182000001
321,CA4900934,Water Service Area,CA4900934,SONOMA WINE SHOP,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,359,A,2/17/1996 0:00:00,P,SONOMA,25,DISTRICT 18 - SONOMA,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,2295 Gravenstein Highway, ,SEBASTOPOL,CA,95472,1,{AD45CEA9-DCFA-4BB8-B489-DC2C0A9E05C2},707-827-1832,meekk@sonomawineshop.com,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,5348.742972680000094,320.335329472000012,38.378920007100000,-122.797325534999999
322,CA3400397,Water Service Area,CA3400397,LAGUNA VILLAGE RV PARK,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,360,A,8/8/2016 0:00:00,P,SACRAMENTO,32,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,8686 W STOCKTON BLVD, ,ELK GROVE,CA,95758,28,{2D056746-B7DC-496F-B7BF-0232A788FE92},916-206-6662,charly@montechristomh.com,WBT Tool,,Not Verified, , ,8356.446176639999976,396.284076473000027,38.440961431399998,-121.404236784000005
323,CA2702198,Water Service Area,CA2702198,FOOTHILL ESTATES WS,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,363,A,8/1/2016 0:00:00,P,MONTEREY,183,LPA57 - MONTEREY COUNTY,COMMUNITY,COMMUNITY, , ,SALINAS,CA,93907,41,{C96C269D-6395-44B4-90B3-F0B9585F0FF6},831-757-3763,BGranillo@calwater.com,WBT Tool,,Not Verified, , ,6191.714690810000320,331.725831195000012,36.669549592300001,-121.550122868000003
324,CA4901275,Water Service Area,CA4901275,CORNERSTONE SONOMA,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,364,A,1/1/1976 0:00:00,P,SONOMA,175,DISTRICT 18 - SONOMA,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,23570 Arnold Drive, ,SONOMA,CA,95476,6,{B7BADFB1-6592-4714-8AD6-786137621AFB},707-931-9855,tbickford@sonomasbesthg.com,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,56971.377527700002247,949.149047296000049,38.227295895700003,-122.456948018000006
325,CA1300579,Water Service Area,CA1300579,MCCABE UNION SCHOOL,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,365,A,8/4/2015 0:00:00,L,IMPERIAL,1350,LPA43 - IMPERIAL COUNTY,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY, , ,EL CENTRO,CA,92243,1,{0DA4408A-B755-41ED-89AC-0B8DF2737FD0},760-356-3186,FCORNEJO@HOLTVILLE.CA.GOV,WBT Tool,,Not Verified, , ,228145.416250999987824,2067.584963310000148,32.750844726899999,-115.597440125999995
326,CA1503093,Water Service Area,CA1503093,GRIMMWAY ENTERPRISES-MALAGA WATER SYSTEM,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,366,A,1/1/1976 0:00:00,P,KERN,1200,DISTRICT 19 - TEHACHAPI,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,11412 Malaga Road, ,ARVIN,CA,93203,39,{B4C86256-6D1B-4DA5-B143-CFC48C4B943A},661-854-6260,mriccomini@grimmway.com,WBT Tool,,Not Verified, , ,997011.796069000032730,3994.172055819999969,35.248945155000001,-118.864976138000003
327,CA4510007,Water Service Area,CA4510007,COTTONWOOD COUNTY WATER DIST.,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,444,A,1/1/1976 0:00:00,L,SHASTA,3316,DISTRICT 02 - LASSEN,COMMUNITY,COMMUNITY,P.O. BOX 2130,HIGH & CHESTNUT STREETS,COTTONWOOD,CA,96022,1226,{40BA212B-BA3A-4F45-8756-C2B60B12810D},530-347-3472,cottonwoodwaterdistrict@gmail.com,WBT Tool,9/2/2019 0:00:00,Verified,K. Connaughton,District / LPA staff member,71444740.447899997234344,39950.374154700002691,40.397260856099997,-122.300211951999998
328,CA4910009,Water Service Area,CA4910009,"SANTA ROSA, CITY OF",SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,445,A,1/1/1976 0:00:00,L,SONOMA,173648,DISTRICT 18 - SONOMA,COMMUNITY,COMMUNITY,35 Stony Circle, ,SANTA ROSA,CA,95401,53106,{2AF60EF9-9BF5-46BF-8ADE-B05A07791A8F},707-543-3975,tllamas@srcity.org,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,189298667.699999988079071,97471.727570799994282,38.447970375899999,-122.700274464000003
329,CA4900653,Water Service Area,CA4900653,LONE PINE MUTUAL WATER COMPANY,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,446,A,3/22/1979 0:00:00,P,SONOMA,65,DISTRICT 18 - SONOMA,COMMUNITY,COMMUNITY,1365 Big Plum Drive, ,SEBASTOPOL,CA,95472,28,{89A40634-1974-4AD4-9715-5C60501F2999},707-829-0785,rayrob@comcast.net,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,127710.784960000004503,1495.903618210000104,38.364227383500001,-122.802054218999999
330,CA2110305,Water Service Area,CA2110305,CSP - MT TAM EAST PEAK SYSTEM,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,447,A,1/1/1976 0:00:00,S,MARIN,75,DISTRICT 18 - SONOMA,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,END OF EAST RIDGECREST RD, ,MILL VALLEY,CA,94941,3,{135C784C-0320-4225-BD8A-0ADCFB212C87},707-769-5652,jason.hart@parks.ca.gov,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,172652.612285999988671,2858.826263999999810,37.927351980399997,-122.581104427000000
331,CA4910013,Water Service Area,CA4910013,VALLEY OF THE MOON WATER DISTRICT,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,448,A,1/1/1976 0:00:00,L,SONOMA,23077,DISTRICT 18 - SONOMA,COMMUNITY,COMMUNITY,19039 Bay Street, ,EL VERANO,CA,95433,6993,{F2D45287-D599-4510-9345-9AB225376122},707-996-1037,mfullner@vomwd.com,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,50475812.094499997794628,74156.034402399993269,38.320310887799998,-122.500481651000001
332,CA4901170,Water Service Area,CA4901170,MICHAEL ELLIS SCHOOL FOR DOG TRAINERS,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,449,A,1/5/2015 0:00:00,P,SONOMA,31,DISTRICT 18 - SONOMA,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,3641 Stony Point Road, ,SANTA ROSA,CA,95407,3,{DF104EC8-C2BB-466B-A98D-21561EE3F5AC},707-843-3971,michaelellisschool@gmail.com,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,20829.515448199999810,571.573011474000054,38.387732967900000,-122.742246543999997
333,CA2100531,Water Service Area,CA2100531,NICK'S COVE,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,450,A,1/5/1981 0:00:00,P,MARIN,90,DISTRICT 18 - SONOMA,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,23240 Highway One, ,MARSHALL,CA,94940,17,{6F665ADC-2644-479C-A478-9B29605AEA58},415-723-1070,dena@nickscove.com,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,20488.771729700001742,880.099892413000020,38.198269650500002,-122.920503592000003
334,CA4901231,Water Service Area,CA4901231,ARROWOOD VINEYARDS & WINERY,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,451,A,6/5/1996 0:00:00,P,SONOMA,40,DISTRICT 18 - SONOMA,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,14347 Sonoma Highway, ,GLEN ELLEN,CA,95442,3,{CA369075-0698-4124-AD82-651C9CCE727F},707-251-5083,sam.jamison@jfwmail.com,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,96674.328399899997748,1328.200905590000048,38.359314759900002,-122.500533563000005
335,CA4901203,Water Service Area,CA4901203,ASTI WINERY,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,452,A,12/8/1993 0:00:00,P,SONOMA,75,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,26150 Asti Road, ,CLOVERDALE,CA,95425,4,{B9478E38-C931-4142-80AB-8D86BB37447F},707-473-2011,dorothy.miller@ejgallo.com,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,2174016.691490000113845,7694.167349700000159,38.764057890899998,-122.976848056999998
336,CA4900793,Water Service Area,CA4900793,VINEHILL VISTAS MUTUAL WATER COMPANY,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,453,A,3/22/1979 0:00:00,P,SONOMA,42,DISTRICT 18 - SONOMA,COMMUNITY,COMMUNITY,Vine Hill Road and Lewis Road, ,SEBASTOPOL,CA,95472,29,{DD3652C6-67E7-4E41-AB57-D1DE29449C3D},707-829-2270,timdp@sonic.net,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,346065.842400000023190,2512.813330049999877,38.478545865699999,-122.856220192999999
337,CA4901448,Water Service Area,CA4901448,BELLA VINEYARDS AND WINE CAVES,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,454,A,9/26/2018 0:00:00,P,SONOMA,40,DISTRICT 18 - SONOMA,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,9711 West Dry Creek Road, ,HEALDSBURG,CA,94558,1,{ED047870-74B8-4A1C-8A63-F78321999C2C},707-473-9171,Lynn@bellawinery.com,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,65542.641467900000862,989.570792488000052,38.705444139400001,-122.981023530000002
338,CA4901046,Water Service Area,CA4901046,TIMBER COVE INN,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,455,A,3/7/2014 0:00:00,P,SONOMA,38,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,21780 North Coast Highway 1, ,JENNER,CA,95450,3,{F0574068-E6E1-4B6E-A78F-75C86044BF7A},707-847-3164,wateroneservices@outlook.com,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,59169.420716699998593,1306.393376490000037,38.533304399599999,-123.276038908000004
339,CA4901073,Water Service Area,CA4901073,GRAY WATER SYSTEM,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,456,A,12/26/1986 0:00:00,P,SONOMA,50,DISTRICT 18 - SONOMA,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,3535 Guerneville Road, ,SANTA ROSA,CA,95401,2,{58FE6149-7D93-4D90-9772-B057B6B95F61},707-523-3869,justinegray@att.net,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,20371.291540700000041,657.565239604999988,38.453194956799997,-122.805927007999998
340,CA4900968,Water Service Area,CA4900968,FIELD STONE WINERY,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,457,A,12/8/1992 0:00:00,P,SONOMA,57,DISTRICT 18 - SONOMA,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,10075 Highway 128, ,HEALDSBURG,CA,95448,3,{B597CC21-94FF-4A13-A02B-09C42C10FAB9},707-547-5623,robert.carroll@jfwmail.com,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,276437.606743999989703,2072.393903950000094,38.638918912199998,-122.774304372000003
341,CA3110009,Water Service Area,CA3110009,MEADOW VISTA CWD,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,458,A,1/1/1976 0:00:00,L,PLACER,4001,DISTRICT 02 - LASSEN,COMMUNITY,COMMUNITY,17000 Placer Hills Rd, ,MEADOW VISTA,CA,95722,1496,{0FCE7C4E-7D95-426A-B26E-47348183924B},530-878-0828,c.pipkins@mvcwd.com,WBT Tool,9/2/2019 0:00:00,Verified,K. Connaughton,District / LPA staff member,26495568.470199998468161,32488.553708300001745,38.996408179800000,-121.034643165999995
342,CA4900847,Water Service Area,CA4900847,DUNCANS MILLS TRADING COMPANY,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,459,A,3/22/1979 0:00:00,P,SONOMA,227,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,25385 Steelhead Boulevard, ,DUNCANS MILLS,CA,95430,20,{02BEFF6B-5E30-470A-8726-CEBEB39BD2A5},707-865-3181,duncansmilldepot@sonic.net,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,77911.843919299994013,2239.887049110000135,38.453014354799997,-123.055079896999999
343,CA5200559,Water Service Area,CA5200559,ABBEY OF NEW CLAIRVAUX,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,460,A,8/3/2016 0:00:00,P,TEHAMA,25,LPA82 - TEHAMA COUNTY,COMMUNITY,COMMUNITY,26240 7TH STREET, ,VINA,CA,96092,22,{83E13E97-7B69-478C-B350-08E90D1C4A1C},530-839-2161,chgalvis@newclairvaux.org,WBT Tool,4/30/2020 0:00:00,Verified,C. Galvis,Water System representative,730196.247174000018276,3428.535408480000115,39.937312581900002,-122.060818965999999
344,CA1502569,Water Service Area,CA1502569,FIRST MUTUAL WATER SYSTEM,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,462,A,12/4/1992 0:00:00,P,KERN,35,DISTRICT 19 - TEHACHAPI,COMMUNITY,COMMUNITY,5948 Gobi Ave, ,ROSAMOND,CA,93560,13,{BD8017B2-5634-4B8F-945F-D20B10CA9E84},661-256-4565,PAPA@RGLOBAL.NET,WBT Tool,5/19/2020 0:00:00,Verified,B. Cox,Water System representative,55983.534189799996966,1209.962734169999976,34.859652430600001,-118.235675454000003
345,CA1900563,Water Service Area,CA1900563,"SUNDALE MUTUAL WATER COMPANY A, B",SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,463,A,1/1/1976 0:00:00,P,LOS ANGELES,1100,DISTRICT 07 - HOLLYWOOD,COMMUNITY,COMMUNITY,SUNDALE MUTUAL WATER COMPANY,P.O. BOX 6708,LANCASTER,CA,93539,330,{E832508C-AC52-41AD-92AF-31E14CFDD3A8},661-256-3100,SUNDALEMUTUAL@GMAIL.COM,WBT Tool,,Pending, , ,9621446.107319999486208,17644.931605300000228,34.801228485999999,-118.268357639000001
346,CA3610060,Water Service Area,CA3610060,BDVWA - GOAT MOUNTAIN ID,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,464,A,1/1/1976 0:00:00,L,SAN BERNARDINO,1300,DISTRICT 13 - SAN BERNARDINO,COMMUNITY,COMMUNITY,Low Desert N34.3 W116.4, ,VICTORVILLE,CA,92393,602,{8A7AEC5C-4FE6-4C42-82CD-9EB6C562E021},760-364-2315,mwest@bdvwa.org,WBT Tool,5/26/2020 0:00:00,Pending,M. West,Water System representative,34831755.837899997830391,38144.075971999998728,34.268500592099997,-116.351199928000000
347,CA3310048,Water Service Area,CA3310048,COACHELLA VWD: I.D. NO. 8,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,466,A,1/1/1976 0:00:00,L,RIVERSIDE,4300,DISTRICT 20 - RIVERSIDE,COMMUNITY,COMMUNITY,75-515 Hovley Lane East, ,PALM DESERT,CA,92211,1603,{C294F429-B638-400F-AFBB-5E4683EF08B6},760-398-2651,JBarrett@cvwd.org,WBT Tool,5/29/2020 0:00:00,Pending,S. Bigley,Water System representative,418306151.720000028610229,154272.672996999986935,33.869088171999998,-116.314305899999994
348,CA5410009,Water Service Area,CA5410009,PIXLEY PUBLIC UTIL DIST,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,467,A,1/1/1976 0:00:00,L,TULARE,2772,DISTRICT 12 - VISALIA,COMMUNITY,COMMUNITY,232 E. DAVIS AVE., ,PIXLEY,CA,93256,840,{845B2FD1-FC0B-46E8-B892-940275A8F77D},559-757-3878,pixleyppud@gmail.com,WBT Tool,4/30/2020 0:00:00,Verified,J. BLEVINS,Water System representative,5637078.309439999982715,14604.574915999999575,35.967036442800001,-119.294724876000004
