OID_,BasinID,BasinName,SubAreaNam,Designated,DesigStatu,DesigOrder,PreferUse,HydRegID,HydRegName,Shape_STAr,Shape_STLe
257,106,Antelope Valley, ,Yes,PU,714,1178,9,Walker River Basin,301331566.964999973773956,88953.475387900005444
258,049,Elko Segment, ,Yes,PUID,864,1295,4,Humboldt River Basin,823154189.144999980926514,179570.058484000008320
259,100A,Long Valley,Long Valley,Yes,ID,826,826,7,Western Region,36214253.134800001978874,47620.681650300000911
260,100A,Long Valley,Long Valley,Yes,ID,787,787,7,Western Region,19335308.415699999779463,30857.303511999998591
261,205,Lower Meadow Valley Wash, ,Yes,D,803, ,13,Colorado River Basin,2237547498.570000171661377,297106.370016000000760
262,205,Lower Meadow Valley Wash, ,Yes,ID,803,803,13,Colorado River Basin,206488557.509999990463257,83181.403971199993975
263,222,Virgin River Valley, ,Yes,D,753, ,13,Colorado River Basin,2345342514.519999980926514,360611.919550999999046
264,220,Lower Moapa Valley, ,Yes,D,798, ,13,Colorado River Basin,704947538.463999986648560,166802.473013999988325
265,218,California Wash, ,Yes,PUID,1026,1026,13,Colorado River Basin,832033194.735000014305115,177234.473578000004636
266,223,Gold Butte Area, ,No, , , ,13,Colorado River Basin,1368174480.589999914169312,195559.883857000007993
267,215,Black Mountains Area, ,Yes,PUID,1018,1018,13,Colorado River Basin,1650755947.750000000000000,253297.125461999996332
268,043,Starr Valley Area, ,Yes,D,867, ,4,Humboldt River Basin,847031293.378999948501587,152840.651182000001427
269,177,Clover Valley, ,Yes,D,850, ,10,Central Region,1170586237.230000019073486,169600.179321000003256
270,045,Lamoille Valley, ,Yes,D,869, ,4,Humboldt River Basin,651355654.238999962806702,123359.965469999995548
271,176,Ruby Valley, ,Yes,D,871, ,10,Central Region,2614741603.929999828338623,307992.006034000020009
272,046,South Fork Area, ,Yes,D,870, ,4,Humboldt River Basin,262009317.375000000000000,86386.499120299995411
273,047,Huntington Valley, ,Yes,D,865, ,4,Humboldt River Basin,2049252654.160000085830688,234285.980592999985674
274,178A,Butte Valley,Northern Part,No, , , ,10,Central Region,703577782.047999978065491,130784.107946000003722
275,178B,Butte Valley,Southern Part,No, , , ,10,Central Region,1922693403.039999961853027,254411.983473000000231
276,175,Long Valley, ,No, , , ,10,Central Region,1677170323.410000085830688,255041.812489000003552
277,154,Newark Valley, ,No, , , ,10,Central Region,2086733139.960000038146973,259377.128540000005160
278,073A,Lovelock Valley,Oreana Subarea,Yes,PUID,369,1079,4,Humboldt River Basin,153410259.407000005245209,54744.885858599998755
279,073A,Lovelock Valley,Oreana Subarea,Yes,D,369, ,4,Humboldt River Basin,107518062.912000000476837,82993.351443399995333
280,082,Dodge Flat, ,No, , , ,6,Truckee River Basin,234551887.629999995231628,71958.340125300004729
281,083,Tracy Segment, ,Yes,D,705, ,6,Truckee River Basin,762788558.432999968528748,158740.587333000003127
