OID_,BasinID,BasinName,SubAreaNam,Designated,DesigStatu,DesigOrder,PreferUse,HydRegID,HydRegName,Shape_STAr,Shape_STLe,in_BasinName,in_RegulatoryStatusCV,in_RegulatoryDescription
155,121B,Soda Spring Valley,Western Part,Yes,ID,824,824,10,Central Region,333091417.399,74478.40975399998,Soda Spring Valley Designated,Designated,State Engineer's order(s) state that irrigation is not a preferred use in these basins and applications for new irrigation appropriations will be denied.
156,136,Monte Cristo Valley, ,No, , , ,10,Central Region,716020848.616,124273.593475,Monte Cristo Valley,Not Designated,"No description, not designated."
157,181,Dry Lake Valley, ,No, , , ,10,Central Region,2278781523.87,271000.566289,Dry Lake Valley,Not Designated,"No description, not designated."
158,120,Garfield Flat, ,No, , , ,10,Central Region,242791801.887,76071.81151349998,Garfield Flat,Not Designated,"No description, not designated."
159,201,Spring Valley, ,No, , , ,13,Colorado River Basin,749707527.015,125279.167591,Spring Valley,Not Designated,"No description, not designated."
160,119,Rhodes Salt Marsh Valley, ,No, , , ,10,Central Region,482357383.981,99508.5248308,Rhodes Salt Marsh Valley,Not Designated,"No description, not designated."
161,172,Garden Valley, ,No, , , ,10,Central Region,1295503100.33,193688.815347,Garden Valley,Not Designated,"No description, not designated."
162,111A,Alkali Valley,Northern Part,No, , , ,10,Central Region,47206201.4951,31090.5469819,Alkali Valley,Not Designated,"No description, not designated."
163,118,Columbus Salt Marsh Valley, ,No, , , ,10,Central Region,986066570.4080001,179188.445159,Columbus Salt Marsh Valley,Not Designated,"No description, not designated."
164,208,Pahroc Valley, ,No, , , ,13,Colorado River Basin,1331402207.88,219265.98147,Pahroc Valley,Not Designated,"No description, not designated."
165,202,Patterson Valley, ,No, , , ,13,Colorado River Basin,1068306991.76,163187.138625,Patterson Valley,Not Designated,"No description, not designated."
166,111B,Alkali Valley,Southern Part,No, , , ,10,Central Region,165580780.348,70141.7083618,Alkali Valley,Not Designated,"No description, not designated."
167,114,Teels Marsh Valley, ,No, , , ,10,Central Region,829656445.044,132506.589144,Teels Marsh Valley,Not Designated,"No description, not designated."
168,113,Huntoon Valley, ,No, , , ,10,Central Region,260452154.234,79112.14354099998,Huntoon Valley,Not Designated,"No description, not designated."
169,141,Ralston Valley, ,Yes,PU,742,752,10,Central Region,55389526.1652,38603.0242089,Ralston Valley Designated,Designated,"State Engineer's order(s) list certain types of uses as preferred in these basins, and quantity restrictions may be placed on these preferred uses."
170,171,Coal Valley, ,No, , , ,10,Central Region,1169839757.11,180751.723085,Coal Valley,Not Designated,"No description, not designated."
171,112,Mono Valley, ,No, , , ,10,Central Region,75479940.9792,44082.828014,Mono Valley,Not Designated,"No description, not designated."
172,173A,Railroad Valley,Southern Part,No, , , ,10,Central Region,1559830586.51,190560.934272,Railroad Valley,Not Designated,"No description, not designated."
173,196,Hamlin Valley, ,No, , , ,11,Great Salt Lake Basin,1341456.55273,7306.00711107,Hamlin Valley,Not Designated,"No description, not designated."
174,200,Eagle Valley, ,No, , , ,13,Colorado River Basin,132749233.613,53785.3408166,Eagle Valley,Not Designated,"No description, not designated."
175,170,Penoyer Valley, ,Yes,D,712, ,10,Central Region,1798354067.13,218323.364267,Penoyer Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
176,115,Adobe Valley, ,No, , , ,10,Central Region,37598965.2106,33335.3888437,Adobe Valley,Not Designated,"No description, not designated."
177,196,Hamlin Valley, ,No, , , ,11,Great Salt Lake Basin,2340247.1123,9613.75683218,Hamlin Valley,Not Designated,"No description, not designated."
178,142,Alkali Spring Valley, ,Yes,D,1274, ,10,Central Region,793377611.865,127693.581054,Alkali Spring Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
179,199,Rose Valley, ,No, , , ,13,Colorado River Basin,28973817.8423,29135.797272,Rose Valley,Not Designated,"No description, not designated."
180,198,Dry Valley, ,No, , , ,13,Colorado River Basin,309726943.093,94321.6002821,Dry Valley,Not Designated,"No description, not designated."
181,143,Clayton Valley, ,Yes,D,1275, ,10,Central Region,1442342372.31,198317.368841,Clayton Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
182,116,Queen Valley, ,No, , , ,10,Central Region,170229531.752,59228.6554105,Queen Valley,Not Designated,"No description, not designated."
183,117,Fish Lake Valley, ,Yes,PUID,704,1221,10,Central Region,1837710616.13,256804.446032,Fish Lake Valley Designated,Designated,State Engineer's order(s) list certain types of uses as preferred in these basins.  Quantity restrictions may be placed on these preferred uses.  State Engineer's order(s) also state that irrigation is not a preferred use in these basins and applications for new irrigation appropriations will be denied.  Other uses may also be listed as denied.
184,197,Escalante Desert, ,No, , , ,12,Escalante Desert,272910063.611,85224.298504,Escalante Desert,Not Designated,"No description, not designated."
185,148,Cactus Flat, ,No, , , ,10,Central Region,1023206659.29,152554.406213,Cactus Flat,Not Designated,"No description, not designated."
186,147,Gold Flat, ,No, , , ,10,Central Region,1766173371.1,245166.649587,Gold Flat,Not Designated,"No description, not designated."
187,145,Stonewall Flat, ,No, , , ,10,Central Region,968526373.869,148326.760519,Stonewall Flat,Not Designated,"No description, not designated."
188,209,Pahranagat Valley, ,Yes,PUID,1199,1199,13,Colorado River Basin,1988910197.76,260073.996748,Pahranagat Valley Designated,Designated,State Engineer's order(s) list certain types of uses as preferred in these basins.  Quantity restrictions may be placed on these preferred uses.  State Engineer's order(s) also state that irrigation is not a preferred use in these basins and applications for new irrigation appropriations will be denied.  Other uses may also be listed as denied.
189,144,Lida Valley, ,No, , , ,10,Central Region,1378190556.89,166627.100196,Lida Valley,Not Designated,"No description, not designated."
190,182,Delamar Valley, ,No, , , ,10,Central Region,992824568.315,151419.177095,Delamar Valley,Not Designated,"No description, not designated."
191,157,Kawich Valley, ,No, , , ,10,Central Region,906927463.298,157020.360615,Kawich Valley,Not Designated,"No description, not designated."
192,169A,Tikapoo Valley,Northern Part,No, , , ,10,Central Region,1608866200.76,223089.669018,Tikapoo Valley,Not Designated,"No description, not designated."
193,158A,Emigrant Valley,Groom Lake Valley,No, , , ,10,Central Region,1698520361.62,222029.236916,Emigrant Valley,Not Designated,"No description, not designated."
194,146,Sarcobatus Flat, ,Yes,D,999, ,10,Central Region,2075804450.19,235338.066628,Sarcobatus Flat Designated,Designated,State Engineer's order(s) do not define any administrative controls.
195,206,Kane Springs Valley, ,No, , , ,13,Colorado River Basin,610198981.396,133590.461598,Kane Springs Valley,Not Designated,"No description, not designated."
196,232,Oriental Wash, ,No, , , ,14,Death Valley Basin,466392949.828,128794.53889,Oriental Wash,Not Designated,"No description, not designated."
197,228,Oasis Valley, ,No, , , ,14,Death Valley Basin,787503765.939,153390.938907,Oasis Valley,Not Designated,"No description, not designated."
198,169B,Tikapoo Valley,Southern Part,No, , , ,10,Central Region,956856083.203,178587.932792,Tikapoo Valley,Not Designated,"No description, not designated."
199,227B,Fortymile Canyon,Buckboard Mesa,No, , , ,14,Death Valley Basin,613255452.465,123044.93368,Fortymile Canyon,Not Designated,"No description, not designated."
200,159,Yucca Flat, ,No, , , ,10,Central Region,786373808.255,130363.459719,Yucca Flat,Not Designated,"No description, not designated."
201,231,Grapevine Canyon, ,No, , , ,14,Death Valley Basin,449688806.095,122197.835919,Grapevine Canyon,Not Designated,"No description, not designated."
202,158B,Emigrant Valley,Papoose Lake Valley,No, , , ,10,Central Region,264426625.4,85736.78567949998,Emigrant Valley,Not Designated,"No description, not designated."
203,168,Three Lakes Valley, ,No, , , ,10,Central Region,747924010.3639998,151836.93009,Three Lakes Valley,Not Designated,"No description, not designated."
204,160,Frenchman Flat, ,No, , , ,10,Central Region,1183844809.22,199297.203292,Frenchman Flat,Not Designated,"No description, not designated."
205,228,Oasis Valley, ,Yes,D,741, ,14,Death Valley Basin,405385090.764,99987.8749962,Oasis Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
206,161,Indian Springs Valley, ,No, , , ,10,Central Region,1124326449.34,193247.121294,Indian Springs Valley,Not Designated,"No description, not designated."
207,227A,Fortymile Canyon,Jackass Flats,No, , , ,14,Death Valley Basin,691307952.589,121066.513827,Fortymile Canyon,Not Designated,"No description, not designated."
208,229,Crater Flat, ,No, , , ,14,Death Valley Basin,470008416.788,99424.7124771,Crater Flat,Not Designated,"No description, not designated."
209,230,Amargosa Desert, ,No, , , ,14,Death Valley Basin,201261075.235,63245.6397744,Amargosa Desert,Not Designated,"No description, not designated."
210,230,Amargosa Desert, ,Yes,D,724, ,14,Death Valley Basin,2330644697.88,281444.231144,Amargosa Desert Designated,Designated,State Engineer's order(s) do not define any administrative controls.
211,226,Rock Valley, ,No, , , ,14,Death Valley Basin,155727815.845,64920.9796877,Rock Valley,Not Designated,"No description, not designated."
212,211,Three Lakes Valley, ,No, , , ,13,Colorado River Basin,571016616.709,130691.372541,Three Lakes Valley,Not Designated,"No description, not designated."
213,225,Mercury Valley, ,No, , , ,14,Death Valley Basin,164550896.146,62035.2855598,Mercury Valley,Not Designated,"No description, not designated."
214,224,Greasewood Basin, ,No, , , ,13,Colorado River Basin,291287337.508,120161.358528,Greasewood Basin,Not Designated,"No description, not designated."
215,161,Indian Springs Valley, ,Yes,D,728, ,10,Central Region,613962898.798,126990.011502,Indian Springs Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
216,211,Three Lakes Valley, ,Yes,PU,745,1036,13,Colorado River Basin,257646192.232,86705.3155043,Three Lakes Valley Designated,Designated,"State Engineer's order(s) list certain types of uses as preferred in these basins, and quantity restrictions may be placed on these preferred uses."
217,213,Colorado Valley, ,Yes,ID,790,790,13,Colorado River Basin,1446957616.27,307727.73957,Colorado Valley Designated,Designated,State Engineer's order(s) state that irrigation is not a preferred use in these basins and applications for new irrigation appropriations will be denied.
218,164A,Ivanpah Valley,Northern Part,Yes,ID,792,792,10,Central Region,663020407.894,149183.509509,Ivanpah Valley Designated,Designated,State Engineer's order(s) state that irrigation is not a preferred use in these basins and applications for new irrigation appropriations will be denied.
219,165,Jean Lake Valley, ,Yes,D,966, ,10,Central Region,234698971.992,88947.3884545,Jean Lake Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
220,166,Hidden Valley, ,Yes,D,967, ,10,Central Region,83982576.1604,43767.4631064,Hidden Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
221,164B,Ivanpah Valley,Southern Part,Yes,ID,792,792,10,Central Region,199000808.792,95273.3019922,Ivanpah Valley Designated,Designated,State Engineer's order(s) state that irrigation is not a preferred use in these basins and applications for new irrigation appropriations will be denied.
222,214,Piute Valley, ,Yes,D,964, ,13,Colorado River Basin,873457337.6619998,156739.263576,Piute Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
223,091,Truckee Canyon Segment, ,Yes,PU,706,1213,6,Truckee River Basin,203344234.827,85079.73702529998,Truckee Canyon Segment Designated,Designated,"State Engineer's order(s) list certain types of uses as preferred in these basins, and quantity restrictions may be placed on these preferred uses."
224,090,Lake Tahoe Basin, ,Yes,D,956, ,6,Truckee River Basin,353463715.489,103781.123989,Lake Tahoe Basin Designated,Designated,State Engineer's order(s) do not define any administrative controls.
225,102,Churchill Valley, ,Yes,PUID,689,1287,8,Carson River Basin,1283765895.81,223993.288065,Churchill Valley Designated,Designated,State Engineer's order(s) list certain types of uses as preferred in these basins.  Quantity restrictions may be placed on these preferred uses.  State Engineer's order(s) also state that irrigation is not a preferred use in these basins and applications for new irrigation appropriations will be denied.  Other uses may also be listed as denied.
226,089,Washoe Valley, ,Yes,D,707, ,6,Truckee River Basin,216826917.954,79562.0878407,Washoe Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
227,105,Carson Valley, ,Yes,PU,684,904,8,Carson River Basin,33515137.8619,27171.4507275,Carson Valley Designated,Designated,"State Engineer's order(s) list certain types of uses as preferred in these basins, and quantity restrictions may be placed on these preferred uses."
228,086,Sun Valley, ,Yes,D,708, ,6,Truckee River Basin,23931606.0653,22311.2059811,Sun Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
229,088,Pleasant Valley, ,Yes,D,709, ,6,Truckee River Basin,101216010.007,57793.0402345,Pleasant Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
230,109,East Walker Area, ,No, , , ,9,Walker River Basin,1534920903.95,232988.929383,East Walker Area,Not Designated,"No description, not designated."
231,221,Tule Desert, ,No, , , ,13,Colorado River Basin,500283678.177,130980.878644,Tule Desert,Not Designated,"No description, not designated."
232,162,Pahrump Valley, ,Yes,PU,1252,1252,10,Central Region,2027994393.72,230972.130979,Pahrump Valley Designated,Designated,"State Engineer's order(s) list certain types of uses as preferred in these basins, and quantity restrictions may be placed on these preferred uses."
233,105,Carson Valley, ,Yes,D,684, ,8,Carson River Basin,1041739142.16,203552.696283,Carson Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
234,104,Eagle Valley, ,Yes,PUID,874,1119,8,Carson River Basin,163524916.883,62665.4211024,Eagle Valley Designated,Designated,State Engineer's order(s) list certain types of uses as preferred in these basins.  Quantity restrictions may be placed on these preferred uses.  State Engineer's order(s) also state that irrigation is not a preferred use in these basins and applications for new irrigation appropriations will be denied.  Other uses may also be listed as denied.
235,104,Eagle Valley, ,Yes,D,874, ,8,Carson River Basin,21283505.4537,32365.6247858,Eagle Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
236,103,Dayton Valley, ,Yes,D,688, ,8,Carson River Basin,944502730.06,174406.26817,Dayton Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
237,087,Truckee Meadows, ,Yes,D,708, ,6,Truckee River Basin,528108768.921,144043.794148,Truckee Meadows Designated,Designated,State Engineer's order(s) do not define any administrative controls.
238,085,Spanish Springs Valley, ,Yes,D,533, ,6,Truckee River Basin,189355973.897,86209.1277673,Spanish Springs Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
239,092A,Lemmon Valley,Western Part,Yes,D,391, ,7,Western Region,147913374.136,69246.8290683,Lemmon Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
240,092B,Lemmon Valley,Eastern Part,Yes,D,391, ,7,Western Region,105667118.452,57798.4939293,Lemmon Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
241,100,Cold Spring Valley, ,Yes,D,606, ,7,Western Region,76410900.619,53550.6040731,Cold Spring Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
242,084,Warm Springs Valley, ,Yes,PU,607,1205,6,Truckee River Basin,648396966.547,166117.744174,Warm Springs Valley Designated,Designated,"State Engineer's order(s) list certain types of uses as preferred in these basins, and quantity restrictions may be placed on these preferred uses."
243,076,Fernley Area, ,Yes,PUID,699,1081,5,West Central Region,253849879.157,79655.5872513,Fernley Area Designated,Designated,State Engineer's order(s) list certain types of uses as preferred in these basins.  Quantity restrictions may be placed on these preferred uses.  State Engineer's order(s) also state that irrigation is not a preferred use in these basins and applications for new irrigation appropriations will be denied.  Other uses may also be listed as denied.
244,024,Hualapai Flat, ,Yes,PUID,1172,1298,2,Black Rock Desert Region,814986078.612,139664.328953,Hualapai Flat Designated,Designated,State Engineer's order(s) list certain types of uses as preferred in these basins.  Quantity restrictions may be placed on these preferred uses.  State Engineer's order(s) also state that irrigation is not a preferred use in these basins and applications for new irrigation appropriations will be denied.  Other uses may also be listed as denied.
245,210,Coyote spring Valley, ,Yes,PU,905,905,13,Colorado River Basin,1594675923.84,245521.667301,Coyote spring Valley Designated,Designated,"State Engineer's order(s) list certain types of uses as preferred in these basins, and quantity restrictions may be placed on these preferred uses."
246,167,Eldorado Valley, ,Yes,D,965, ,10,Central Region,1376857168.6,208836.070882,Eldorado Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
247,163,Mesquite Valley, ,Yes,PU,701,1310,10,Central Region,609259098.616,153527.874064,Mesquite Valley Designated,Designated,"State Engineer's order(s) list certain types of uses as preferred in these basins, and quantity restrictions may be placed on these preferred uses."
248,108,Mason Valley, ,Yes,PUID,691,1270,9,Walker River Basin,1311032260.03,221908.771215,Mason Valley Designated,Designated,State Engineer's order(s) list certain types of uses as preferred in these basins.  Quantity restrictions may be placed on these preferred uses.  State Engineer's order(s) also state that irrigation is not a preferred use in these basins and applications for new irrigation appropriations will be denied.  Other uses may also be listed as denied.
249,107,Smith Valley, ,Yes,PUID,1177,1271,9,Walker River Basin,1202013606.6,215542.420182,Smith Valley Designated,Designated,State Engineer's order(s) list certain types of uses as preferred in these basins.  Quantity restrictions may be placed on these preferred uses.  State Engineer's order(s) also state that irrigation is not a preferred use in these basins and applications for new irrigation appropriations will be denied.  Other uses may also be listed as denied.
250,071,Grass Valley, ,Yes,PU,1247,1247,4,Humboldt River Basin,1352707614.14,199863.915893,Grass Valley Designated,Designated,"State Engineer's order(s) list certain types of uses as preferred in these basins, and quantity restrictions may be placed on these preferred uses."
251,203,Panaca Valley, ,Yes,D,734, ,13,Colorado River Basin,891356417.5319998,183170.522341,Panaca Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
252,204,Clover Valley, ,No, , , ,13,Colorado River Basin,943496715.529,165618.346394,Clover Valley,Not Designated,"No description, not designated."
253,216,Garnet Valley, ,Yes,PUID,1025,1025,13,Colorado River Basin,411329029.1,138076.951896,Garnet Valley Designated,Designated,State Engineer's order(s) list certain types of uses as preferred in these basins.  Quantity restrictions may be placed on these preferred uses.  State Engineer's order(s) also state that irrigation is not a preferred use in these basins and applications for new irrigation appropriations will be denied.  Other uses may also be listed as denied.
254,217,Hidden Valley, ,Yes,PUID,1024,1024,13,Colorado River Basin,212128813.976,74743.6095166,Hidden Valley Designated,Designated,State Engineer's order(s) list certain types of uses as preferred in these basins.  Quantity restrictions may be placed on these preferred uses.  State Engineer's order(s) also state that irrigation is not a preferred use in these basins and applications for new irrigation appropriations will be denied.  Other uses may also be listed as denied.
255,219,Muddy River Springs Area, ,Yes,PUID,1023,1023,13,Colorado River Basin,375592162.336,128976.792902,Muddy River Springs Area Designated,Designated,State Engineer's order(s) list certain types of uses as preferred in these basins.  Quantity restrictions may be placed on these preferred uses.  State Engineer's order(s) also state that irrigation is not a preferred use in these basins and applications for new irrigation appropriations will be denied.  Other uses may also be listed as denied.
256,212,Las Vegas Valley, ,Yes,PUID,833,1054,13,Colorado River Basin,3998415642.42,369028.089314,Las Vegas Valley Designated,Designated,State Engineer's order(s) list certain types of uses as preferred in these basins.  Quantity restrictions may be placed on these preferred uses.  State Engineer's order(s) also state that irrigation is not a preferred use in these basins and applications for new irrigation appropriations will be denied.  Other uses may also be listed as denied.
257,106,Antelope Valley, ,Yes,PU,714,1178,9,Walker River Basin,301331566.965,88953.4753879,Antelope Valley Designated,Designated,"State Engineer's order(s) list certain types of uses as preferred in these basins, and quantity restrictions may be placed on these preferred uses."
258,049,Elko Segment, ,Yes,PUID,864,1295,4,Humboldt River Basin,823154189.145,179570.058484,Elko Segment Designated,Designated,State Engineer's order(s) list certain types of uses as preferred in these basins.  Quantity restrictions may be placed on these preferred uses.  State Engineer's order(s) also state that irrigation is not a preferred use in these basins and applications for new irrigation appropriations will be denied.  Other uses may also be listed as denied.
259,100A,Long Valley,Long Valley,Yes,ID,826,826,7,Western Region,36214253.1348,47620.6816503,Long Valley Designated,Designated,State Engineer's order(s) state that irrigation is not a preferred use in these basins and applications for new irrigation appropriations will be denied.
260,100A,Long Valley,Long Valley,Yes,ID,787,787,7,Western Region,19335308.4157,30857.303512,Long Valley Designated,Designated,State Engineer's order(s) state that irrigation is not a preferred use in these basins and applications for new irrigation appropriations will be denied.
261,205,Lower Meadow Valley Wash, ,Yes,D,803, ,13,Colorado River Basin,2237547498.57,297106.370016,Lower Meadow Valley Wash Designated,Designated,State Engineer's order(s) do not define any administrative controls.
262,205,Lower Meadow Valley Wash, ,Yes,ID,803,803,13,Colorado River Basin,206488557.51,83181.40397119998,Lower Meadow Valley Wash Designated,Designated,State Engineer's order(s) state that irrigation is not a preferred use in these basins and applications for new irrigation appropriations will be denied.
263,222,Virgin River Valley, ,Yes,D,753, ,13,Colorado River Basin,2345342514.52,360611.919551,Virgin River Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
264,220,Lower Moapa Valley, ,Yes,D,798, ,13,Colorado River Basin,704947538.464,166802.473014,Lower Moapa Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
265,218,California Wash, ,Yes,PUID,1026,1026,13,Colorado River Basin,832033194.735,177234.473578,California Wash Designated,Designated,State Engineer's order(s) list certain types of uses as preferred in these basins.  Quantity restrictions may be placed on these preferred uses.  State Engineer's order(s) also state that irrigation is not a preferred use in these basins and applications for new irrigation appropriations will be denied.  Other uses may also be listed as denied.
266,223,Gold Butte Area, ,No, , , ,13,Colorado River Basin,1368174480.59,195559.883857,Gold Butte Area,Not Designated,"No description, not designated."
267,215,Black Mountains Area, ,Yes,PUID,1018,1018,13,Colorado River Basin,1650755947.75,253297.125462,Black Mountains Area Designated,Designated,State Engineer's order(s) list certain types of uses as preferred in these basins.  Quantity restrictions may be placed on these preferred uses.  State Engineer's order(s) also state that irrigation is not a preferred use in these basins and applications for new irrigation appropriations will be denied.  Other uses may also be listed as denied.
268,043,Starr Valley Area, ,Yes,D,867, ,4,Humboldt River Basin,847031293.3789998,152840.651182,Starr Valley Area Designated,Designated,State Engineer's order(s) do not define any administrative controls.
269,177,Clover Valley, ,Yes,D,850, ,10,Central Region,1170586237.23,169600.179321,Clover Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
270,045,Lamoille Valley, ,Yes,D,869, ,4,Humboldt River Basin,651355654.239,123359.96547,Lamoille Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
271,176,Ruby Valley, ,Yes,D,871, ,10,Central Region,2614741603.93,307992.006034,Ruby Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
272,046,South Fork Area, ,Yes,D,870, ,4,Humboldt River Basin,262009317.375,86386.49912029998,South Fork Area Designated,Designated,State Engineer's order(s) do not define any administrative controls.
273,047,Huntington Valley, ,Yes,D,865, ,4,Humboldt River Basin,2049252654.16,234285.980593,Huntington Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
274,178A,Butte Valley,Northern Part,No, , , ,10,Central Region,703577782.048,130784.107946,Butte Valley,Not Designated,"No description, not designated."
275,178B,Butte Valley,Southern Part,No, , , ,10,Central Region,1922693403.04,254411.983473,Butte Valley,Not Designated,"No description, not designated."
276,175,Long Valley, ,No, , , ,10,Central Region,1677170323.41,255041.812489,Long Valley,Not Designated,"No description, not designated."
277,154,Newark Valley, ,No, , , ,10,Central Region,2086733139.96,259377.12854,Newark Valley,Not Designated,"No description, not designated."
278,073A,Lovelock Valley,Oreana Subarea,Yes,PUID,369,1079,4,Humboldt River Basin,153410259.407,54744.8858586,Lovelock Valley Designated,Designated,State Engineer's order(s) list certain types of uses as preferred in these basins.  Quantity restrictions may be placed on these preferred uses.  State Engineer's order(s) also state that irrigation is not a preferred use in these basins and applications for new irrigation appropriations will be denied.  Other uses may also be listed as denied.
279,073A,Lovelock Valley,Oreana Subarea,Yes,D,369, ,4,Humboldt River Basin,107518062.912,82993.35144339998,Lovelock Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
280,082,Dodge Flat, ,No, , , ,6,Truckee River Basin,234551887.63,71958.3401253,Dodge Flat,Not Designated,"No description, not designated."
281,083,Tracy Segment, ,Yes,D,705, ,6,Truckee River Basin,762788558.4329998,158740.587333,Tracy Segment Designated,Designated,State Engineer's order(s) do not define any administrative controls.
