Year,Basin,BasinID,GWDP_Annual,SWDTotal_Annual,GWCTotal_Annual,SWDemandTotal_Annual,TotalNonConsumptiveUse_Annual,NetSurfaceWaterLoss_Annual,,PrecipitationRate_NonPeak,PrecipitationRate_Peak,PrecipitationRate_Annual,PrecipitationVolume_NonPeak,PrecipitationVolume_Peak,PrecipitationVolume_Annual,TotalRecharge,TotalRunoff,TotalET,SuppyTotal_NonPeak,SupplyTotal_Peak,SupplyTotal_Annual,StreamflowAF_NonPeak,StreamflowAF_Peak,StreamflowAF_Annual,StreamflowAFUncapped_NonPeak,StreamflowAFUncapped_Peak,StreamflowAFUncapped_Annual,SWDTotal_NonPeak,SWDTotal_Peak,GWDP_NonPeak,GWDP_Peak,BasinInflows_NonPeak,BasinInflows_Peak,BasinInflows_Annual,LongTermDemandTotal_NonPeak,LongTermDemandTotal_Peak,LongTermDemandTotal_Annual,NearTermDemandTotal_NonPeak,NearTermDemandTotal_Peak,NearTermDemandTotal_Annual,ProjectedLongTermDemandTotal_NonPeak,ProjectedLongTermDemandTotal_Peak,ProjectedLongTermDemandTotal_Annual,SWDemandTotal_NonPeak,SWDemandTotal_Peak,SWDemandTotal_Annual,SWDemand_NonPeak,SWDemand_Peak,SWDemand_Annual,SWDEvaporation_NonPeak,SWDEvaporation_Peak,SWDEvaporation_Annual,GWCIrrigation_NonPeak,GWCIrrigation_Peak,GWCIrrigation_Annual,GWCMunicipal_NonPeak,GWCMunicipal_Peak,GWCMunicipal_Annual,GWCIndustrial_NonPeak,GWCIndustrial_Peak,GWCIndustrial_Annual,GWCTotal_NonPeak,GWCTotal_Peak,GWCTotal_Annual,NetSurfaceWaterLoss_NonPeak,NetSurfaceWaterLoss_Peak,NetSurfaceWaterLoss_Annual,TotalNonConsumptiveUse_NonPeak,TotalNonConsumptiveUse_Peak,TotalNonConsumptiveUse_Annual,InducedGWRecharge_NonPeak,InducedGWRecharge_Peak,InducedGWRecharge_Annual,InstreamFlow_NonPeak,InstreamFlow_Peak,InstreamFlow_Annual,Hydropower_NonPeak,Hydropower_Peak,Hydropower_Annual,BasinOutflows_NonPeak,BasinOutflows_Peak,BasinOutflows_Annual,GWIAcres,SWIAcres,COIAcres,NearTermBalanceNonPeak,NearTermBalance_Peak,NearTermBalance_Annual,LongTermBalance_NonPeak,LongTermBalance_Peak,LongTermBalance_Annual,ProjectedLongTermBalance_NonPeak,ProjectedLongTermBalance_Peak,ProjectedLongTermBalance_Annual
2006,ELKHORN,2,189458,22093,445173,23108,201812,0,,13,9,22,5100766,3483129,8583895,539359,308513,7736023,652599,195274,847873,535462,100860,636322,551618,100860,652478,1434,20659,115703,73755,0,0,0,488337,181756,670093,289463,124916,414378,512754,190844,703598,1433,21675,23108,1433,21675,23108,0,0,0,300128,128626,428755,9742,1455,11197,4707,514,5220,314577,130595,445173,0,0,0,172326,29486,201812,0,0,0,0,0,0,0,0,0,172326,29486,201812,804710,25875,12532,363137,70358,433495,164262,13518,177780,139845,4430,144275
2007,ELKHORN,2,172038,17923,328810,17860,388065,0,,23,12,35,9026474,4705819,13732293,962683,557332,12212278,1054377,465639,1520016,943822,386233,1330055,1070541,451795,1522336,375,17548,110180,61858,0,0,0,532941,201794,734735,409973,167990,577963,559588,211884,771472,374,17486,17860,374,17486,17860,0,0,0,218591,93682,312274,9747,1457,11204,4810,523,5333,233148,95662,328810,0,0,0,299419,88646,388065,0,0,0,0,0,0,0,0,0,299419,88646,388065,825074,25636,12473,644404,297649,942053,521435,263845,785280,494788,253755,748544
2008,ELKHORN,2,203342,22777,354876,22684,401864,0,,21,8,29,8390314,3068590,11458904,1226291,722376,9510238,1409062,539606,1948668,1291129,431420,1722549,1444358,543809,1988167,0,22777,117933,85409,0,0,0,581718,197706,779424,448243,179647,627890,610803,207592,818395,0,22684,22684,0,22684,22684,0,0,0,236803,101487,338289,9759,1459,11218,4846,523,5369,251407,103469,354876,0,0,0,330310,71554,401864,0,0,0,0,0,0,0,0,0,330310,71554,401864,838760,24902,12413,960819,359959,1320778,827345,341899,1169244,798259,332014,1130273
2009,ELKHORN,2,179271,12606,298249,12552,403000,0,,16,11,27,6198189,4571607,10769796,1052138,614218,9103439,1235892,430465,1666357,1113009,361471,1474480,1136334,374406,1510740,2043,10563,120840,58431,0,0,0,525598,188204,713802,434661,160163,594824,551878,197614,749492,2035,10517,12552,2035,10517,12552,0,0,0,197116,84478,281594,9816,1471,11286,4846,523,5369,211777,86472,298249,0,0,0,311785,91215,403000,0,0,0,0,0,0,0,0,0,311785,91215,403000,845586,24089,12624,801231,270302,1071533,710294,242261,952555,684014,232851,916865
2010,ELKHORN,2,125385,10768,310189,10736,401117,0,,16,18,34,6180493,7082568,13263061,1231625,716728,11314708,1179486,768869,1948355,1081940,730262,1812202,1254417,1660171,2914588,4340,6428,93206,32179,0,0,0,521384,200658,722042,394442,142796,537238,547453,210691,758144,4318,6418,10736,4318,6418,10736,0,0,0,205431,88042,293472,9850,1472,11322,4867,527,5395,220148,90041,310189,0,0,0,296918,104199,401117,0,0,0,0,0,0,0,0,0,296918,104199,401117,851606,23428,12908,785044,626073,1411117,658102,568211,1226313,632033,558178,1190211
2011,ELKHORN,2,119934,10195,225188,10170,395046,0,,17,11,28,6641406,4423641,11065047,1210904,704948,9149193,1251861,663990,1915851,1170691,615031,1785722,1206612,702524,1909136,1195,9000,79975,39959,0,0,0,460398,170006,630404,379719,145431,525150,483418,178506,661924,1195,8975,10170,1195,8975,10170,0,0,0,145909,62533,208442,9862,1474,11336,4883,527,5410,160654,64534,225188,0,0,0,298549,96497,395046,0,0,0,0,0,0,0,0,0,298549,96497,395046,860137,23359,12980,872143,518559,1390702,791463,493984,1285447,768443,485484,1253927
2012,ELKHORN,2,249421,38490,785370,41646,115553,0,,13,3,16,4992537,1242618,6235155,758237,441200,5035718,916466,282972,1199438,790331,121196,911527,796057,121196,917253,1089,37401,125046,124375,0,0,0,634209,308359,942568,206468,200152,406620,665920,323777,989697,1087,40558,41646,1087,40558,41646,0,0,0,538008,230575,768583,9875,1476,11351,4904,531,5436,552787,232582,785370,0,0,0,80334,35219,115553,0,0,0,0,0,0,0,0,0,80334,35219,115553,868179,23137,13209,709998,82820,792818,282256,-25387,256869,250546,-40805,209741
1988,LITTLE BLUE,3,96925,24984,330205,30656,0,0,,11,8,19,1574036,1244833,2818869,131445,145865,2541560,196070,81239,277309,125694,29706,155400,125694,30241,155935,52,24932,70324,26601,0,0,0,231688,129173,360861,70379,57202,127581,243272,135632,378904,55,30601,30656,55,30601,30656,0,0,0,229133,98200,327333,2428,364,2792,72,8,80,231633,98572,330205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511728,11243,15454,125691,24037,149728,-35618,-47934,-83552,-47202,-54393,-101595
1989,LITTLE BLUE,3,104776,11767,149406,14134,0,0,,10,15,24,1398699,2128629,3527328,140390,155792,3231146,157680,138503,296183,79143,100497,179640,79143,138018,217161,25,11742,78512,26264,0,0,0,105099,58442,163540,78539,40372,118910,110354,61364,171718,27,14108,14134,27,14108,14134,0,0,0,102593,43969,146562,2407,357,2764,72,8,80,105072,44334,149406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523889,11251,15884,79141,98131,177272,52581,80061,132642,47326,77139,124465
1990,LITTLE BLUE,3,101652,11760,157575,13779,0,0,,15,13,28,2263541,1911450,4174991,162552,180385,3832053,200807,142130,342937,124211,105314,229525,134983,161190,296173,279,11481,76317,25335,0,0,0,111074,60281,171354,76609,38822,115431,116627,63295,179922,292,13487,13779,292,13487,13779,0,0,0,108348,46435,154783,2362,351,2712,72,8,80,110782,46794,157575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542142,11379,16517,124198,103308,227506,89734,81849,171583,84180,78835,163015
1991,LITTLE BLUE,3,105423,33524,414705,40022,0,0,,13,7,20,1970196,1003329,2973525,130622,144951,2697953,171483,104090,275573,91106,45520,136626,91145,54549,145694,3543,29981,76834,28589,0,0,0,294795,159933,454728,80864,64582,145445,309535,167929,477464,4030,35993,40022,4030,35993,40022,0,0,0,288368,123586,411954,2326,346,2672,72,8,80,290765,123940,414705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555957,11693,17090,90619,39509,130128,-123312,-55842,-179155,-138052,-63839,-201891
1992,LITTLE BLUE,3,112611,2255,38535,2450,0,0,,13,18,31,1904807,2628469,4533276,143632,159389,4230254,142741,160279,303021,56897,131258,188155,56897,378521,435418,27,2227,85817,26794,0,0,0,27470,13514,40985,85845,29216,115061,28844,14190,43034,28,2422,2450,28,2422,2450,0,0,0,25058,10739,35797,2313,345,2658,72,8,80,27442,11093,38535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562513,11678,17390,56896,131064,187960,115271,146765,262036,113897,146089,259987
1993,LITTLE BLUE,3,107458,5816,82657,6423,0,0,,20,24,44,2939938,3588017,6527955,331166,367497,5829291,445705,252959,698663,359057,226332,585389,556483,784989,1341472,5745,72,80903,26555,0,0,0,64669,24411,89080,87248,26633,113881,67902,25631,93534,6345,78,6423,6345,78,6423,0,0,0,55965,23985,79949,2287,340,2627,72,8,80,58324,24333,82657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565932,11766,17392,358456,226326,584782,381036,228548,609583,377802,227327,605129
1994,LITTLE BLUE,3,101117,13256,179200,15541,0,0,,13,11,24,1850340,1679670,3530010,215117,238716,3076177,333540,120293,453834,257950,81511,339461,278384,83174,361558,411,12844,75179,25938,0,0,0,126341,68400,194740,75620,41038,116658,132658,71820,204477,441,15100,15541,441,15100,15541,0,0,0,123556,52952,176508,2272,339,2612,72,8,80,125900,53300,179200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568656,11811,17424,257920,79255,337176,207200,51894,259093,200883,48474,249356
1995,LITTLE BLUE,3,106842,18385,240486,21380,0,0,,21,8,29,3135441,1174726,4310167,180897,200742,3928528,252538,129101,381639,171523,84889,256412,231339,90928,322267,1535,16850,79480,27362,0,0,0,170479,91387,261866,81159,47063,128222,179003,95957,274959,1679,19701,21380,1679,19701,21380,0,0,0,166460,71340,237800,2268,339,2606,72,8,80,168799,71687,240486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573860,11645,17639,171378,82038,253417,82059,37714,119773,73535,33144,106680
1996,LITTLE BLUE,3,112610,12759,169856,14737,0,0,,15,11,26,2136031,1633444,3769475,155477,172534,3441464,206727,121283,328010,116588,86053,202641,171276,88587,259863,4931,7828,85208,27402,0,0,0,124846,59747,184593,90699,36648,127347,131088,62734,193822,5491,9246,14737,5491,9246,14737,0,0,0,117034,50158,167192,2249,335,2584,72,8,80,119355,50500,169856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586155,11739,17759,116028,84635,200663,81881,61536,143418,75639,58549,134188
1997,LITTLE BLUE,3,110902,18279,260631,20553,0,0,,16,11,27,2351473,1593281,3944754,160195,177769,3606790,224266,113699,337965,136965,71819,208784,173634,114666,288300,4298,13981,83003,27899,0,0,0,187667,93517,281184,87771,43684,131455,197051,98193,295244,4768,15785,20553,4768,15785,20553,0,0,0,180561,77383,257944,2267,341,2607,72,8,80,182899,77732,260631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594302,11622,18168,136495,70015,206510,36599,20182,56781,27216,15506,42721
1998,LITTLE BLUE,3,114454,11880,180961,14142,0,0,,20,13,34,3002618,1955649,4958267,207259,229996,4521012,291037,146218,437255,203411,107510,310921,221746,111648,333394,2062,9818,85564,28890,0,0,0,129496,65607,195103,87928,40669,128596,135971,68888,204858,2364,11779,14142,2364,11779,14142,0,0,0,124791,53482,178272,2270,339,2609,72,8,80,127132,53828,180961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603344,11719,18250,203109,105549,308658,161541,80611,242151,155066,77330,232396
1999,LITTLE BLUE,3,114811,11866,177707,14020,0,0,,18,11,30,2695934,1632643,4328577,195338,216768,3916471,284083,128022,412106,197784,87645,285429,220257,91862,312119,451,11414,85848,28963,0,0,0,125323,66404,191727,86321,42510,128831,131590,69724,201313,473,13547,14020,473,13547,14020,0,0,0,122533,52514,175047,2246,334,2580,72,8,80,124851,52856,177707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610322,11650,18389,197762,85512,283274,158760,61619,220379,152494,58299,210792
2000,LITTLE BLUE,3,117070,31934,373011,36653,0,0,,9,10,19,1361659,1430588,2792247,153823,170698,2467725,179902,144619,324521,89377,86140,175517,89377,130789,220166,3106,28828,87419,29651,0,0,0,264935,144730,409665,90795,62928,153723,278182,151966,430148,3376,33277,36653,3376,33277,36653,0,0,0,259262,111112,370375,2225,332,2557,72,8,80,261559,111452,373011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616280,11459,18821,89107,81691,170798,-85033,-110,-85144,-98280,-7347,-105627
2001,LITTLE BLUE,3,115501,18429,257644,20784,0,0,,20,10,30,2984114,1410324,4394438,187831,208437,3998169,248334,147935,396268,161776,100562,262338,258776,146023,404799,100,18330,86458,29043,0,0,0,180900,97529,278429,86558,49727,136285,189945,102405,292350,100,20684,20784,100,20684,20784,0,0,0,178515,76506,255021,2213,330,2543,72,8,80,180800,76845,257644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624062,11442,18962,161776,98207,259983,67434,50406,117840,58389,45529,103918
2002,LITTLE BLUE,3,117262,27776,397954,32427,0,0,,16,6,22,2383925,829173,3213098,142801,158467,2911830,211757,89511,301268,125736,30494,156230,142111,30494,172605,214,27562,85807,31455,0,0,0,279233,151148,430381,86021,63667,149689,293194,158705,451900,214,32212,32427,214,32212,32427,0,0,0,276718,118593,395311,2219,332,2551,82,10,92,279018,118936,397954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629295,11404,19654,125736,25844,151580,-67476,-61637,-129112,-81437,-69194,-150631
2003,LITTLE BLUE,3,122240,26165,373873,29108,0,0,,18,9,27,2639227,1249854,3889081,148671,164981,3575429,193041,120612,313652,100923,64324,165247,119653,149464,269117,49,26117,92069,30171,0,0,0,262213,140768,402981,92118,59230,151348,275324,147807,423130,49,29059,29108,49,29059,29108,0,0,0,259860,111369,371229,2216,330,2546,89,10,99,262164,111709,373873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638896,11195,19872,100923,61382,162304,-69173,-20156,-89329,-82283,-27195,-109478
2004,LITTLE BLUE,3,117413,17868,255500,19773,0,0,,19,9,28,2850682,1326836,4177518,166942,185256,3825319,239035,113163,352198,147651,69266,216917,203130,86057,289187,3165,14703,88219,29194,0,0,0,182902,92371,275273,91820,45366,137186,192047,96990,289036,3601,16172,19773,3601,16172,19773,0,0,0,177009,75861,252869,2203,329,2532,89,10,99,179301,76199,255500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650314,10944,20293,147215,67798,215013,56133,20792,76925,46988,16174,63162
2005,LITTLE BLUE,3,118056,26735,390256,30474,0,0,,16,11,27,2283728,1653010,3936738,139175,154443,3643119,187269,106349,293618,94165,54662,148827,94759,57137,151896,6577,20158,86527,31529,0,0,0,280698,140032,420730,93598,54932,148530,294733,147033,441767,7071,23403,30474,7071,23403,30474,0,0,0,271348,116292,387641,2190,327,2516,89,10,99,273627,116629,390256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659285,10747,20659,93671,51417,145087,-93430,-33683,-127112,-107464,-40684,-148149
2006,LITTLE BLUE,3,123919,20061,271329,22786,0,0,,13,12,25,1888423,1724764,3613187,122008,135393,3355786,167535,89865,257400,72773,40647,113420,72773,42212,114985,693,19368,94069,29850,0,0,0,191076,103039,294115,94770,51935,146705,200630,108191,308821,701,22085,22786,701,22085,22786,0,0,0,188082,80606,268688,2177,325,2502,116,23,139,190375,80954,271329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661917,10588,20629,72765,37930,110695,-23541,-13174,-36715,-33095,-18326,-51421
2007,LITTLE BLUE,3,117384,14614,206267,16111,0,0,,22,13,36,3289064,1947313,5236377,191778,212817,4831782,261966,142628,404594,172945,99651,272596,223910,150201,374111,297,14317,88724,28660,0,0,0,145159,77219,222378,89048,44447,133495,152417,81080,233497,324,15787,16111,324,15787,16111,0,0,0,142543,61090,203633,2150,320,2470,142,23,165,144835,61432,206267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662966,10448,20613,172919,98181,271099,116807,65409,182216,109549,61548,171097
2008,LITTLE BLUE,3,112153,11203,170416,12267,0,0,,22,13,35,3162713,1930246,5092959,235241,261048,4596670,313476,182813,496289,230375,142558,372933,288389,226886,515275,22,11181,83079,29074,0,0,0,119757,62926,182683,83101,41319,124420,125745,66072,191817,22,12245,12267,22,12245,12267,0,0,0,117462,50341,167802,2131,318,2449,142,23,165,119735,50681,170416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664565,10386,20657,230375,141494,371869,193719,119887,313606,187731,116741,304472
2009,LITTLE BLUE,3,118678,18118,263264,20302,0,0,,16,10,26,2391454,1491357,3882811,179781,199503,3503527,286170,93114,379285,196242,46247,242489,255959,46722,302681,1468,16649,88460,30218,0,0,0,186261,97306,283566,89995,48986,138980,195574,102171,297744,1535,18768,20302,1535,18768,20302,0,0,0,182465,78199,260664,2119,316,2435,142,23,165,184726,78538,263264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667414,10246,20797,196176,44129,240304,99910,-4191,95718,90597,-9057,81540
2010,LITTLE BLUE,3,124185,17368,250163,18622,0,0,,19,14,34,2839921,2101950,4941871,200101,222053,4519716,259678,162477,422155,163374,117228,280602,179154,202487,381641,2487,14881,93817,30368,0,0,0,178227,90558,268785,96491,46316,142807,187138,95086,282225,2674,15948,18622,2674,15948,18622,0,0,0,173304,74273,247578,2107,314,2421,142,23,165,175553,74610,250163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670705,10637,21396,163187,116161,279348,81451,71919,153370,72540,67391,139930
2011,LITTLE BLUE,3,122145,10551,149470,11132,0,0,,16,13,29,2408068,1916339,4324407,170462,189163,3964782,245017,114609,359626,153468,73462,226930,192256,73462,265718,584,9967,90965,31180,0,0,0,105650,54953,160603,91549,41728,133277,110932,57701,168633,584,10548,11132,584,10548,11132,0,0,0,102829,44069,146898,2095,313,2407,142,23,165,105066,44405,149470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675500,10549,21634,153468,72881,226349,139367,59656,199024,134085,56909,190994
2012,LITTLE BLUE,3,127178,27992,434544,33233,0,0,,13,7,20,1860451,1080131,2940582,140632,156060,2643889,201775,94918,296692,106615,34907,141522,113446,35303,148749,24,27969,95136,32042,0,0,0,304641,163137,467778,95160,65252,160411,319873,171294,491167,24,33210,33233,24,33210,33233,0,0,0,302382,129592,431974,2093,313,2406,142,23,165,304617,129928,434544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675500,10549,21634,106615,29666,136281,-102866,-68220,-171086,-118098,-76377,-194475
1988,LODGEPOLE CREEK,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,LODGEPOLE CREEK,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,LODGEPOLE CREEK,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,LODGEPOLE CREEK,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,LODGEPOLE CREEK,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,LODGEPOLE CREEK,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,LODGEPOLE CREEK,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,LODGEPOLE CREEK,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,LODGEPOLE CREEK,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,LODGEPOLE CREEK,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,LODGEPOLE CREEK,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,LODGEPOLE CREEK,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,LODGEPOLE CREEK,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,LODGEPOLE CREEK,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,LODGEPOLE CREEK,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,LODGEPOLE CREEK,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,LODGEPOLE CREEK,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,LODGEPOLE CREEK,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,LODGEPOLE CREEK,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,LODGEPOLE CREEK,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,LODGEPOLE CREEK,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
