WRNUM,RESERVOIR_IDNUM,RESERVOIR_NAME,RESERVOIR_CAPACITY,DAM_HEIGHT,ACRES_INUNDATED,RES_BEG_DATE,RES_END_DATE,DAM_NUMBER,recordId
71-1590,4,Trail Spring Pond 1,0.54,0,0.18,101,1231,        ,13604
71-1590,5,Trail Spring Pond 2,0.689,0,0.12,101,1231,        ,13605
71-1591,10,Cove Hollow Reservoir,0.36,8,0.045,101,1231,        ,13606
35-11851,3,Whitear Reservoir,41.66,0,4.98,401,1031,        ,13833
55-12504,3,Wolf Creek Lot 50 Pond,1.422,0,0.26,101,1231,        ,13880
51-8457,5,Bridge Pond,16.4,15,3.28,101,1231,        ,13890
55-11881,1,Unnamed,15,0,3,101,1231,        ,13919
63-4782,2,Town Reservoir,100,0,0,1001,701,        ,13912
55-6758,1,Unnamed,15,0,3,101,1231,        ,13922
29-3714,2,Main Marsh Pond,180,5,112.5,101,1231,        ,13965
89-1613,1,Storage Pond,0.404,8,0.0504,101,1231,,13969
29-4351,9,Reservoir 4,60.12,3,60.12,101,1231,        ,13903
29-4351,10,Reservoir 5,10.2,3,10.2,101,1231,        ,13904
29-4351,11,Reservoir 6,77.51,3,77.51,101,1231,        ,13905
29-4351,12,Reservoir 7,6.18,3,6.18,101,1231,        ,13906
35-831,5,Aurthur V. Watkins (Willard Bay),247302,38,10075,101,1231,        ,13908
55-137,1,Unnamed,15,8,3,101,1231,        ,13910
55-6763,1,Unnamed,15,0,3,101,1231,        ,13915
55-6764,1,Unnamed,15,0,3,101,1231,        ,13916
55-6762,1,Unnamed,15,0,3,101,1231,        ,13926
55-6761,1,Unnamed,15,0,3,101,1231,        ,13927
93-3120,3,Stock Pond,1.3,6,0.4,101,1231,        ,13932
Sep-89,4,Metal Storage Tank,0.1,0,0.012,101,1231,        ,13959
35-12302,1,Unnamed Pond,1,0,0.33,101,1231,        ,13971
55-8161,24,Deer Valley,138,26,12,101,1231,UT00088,14005
43-3822,3,Currant Creek Reservoir,17207,133,286,101,1231,        ,14031
43-3822,1,Starvation Reservoir,188890,162,3310,101,1231,        ,14032
43-3822,4,Strawberry Reservoir Enlargement,1172600,251,17163,101,1231,        ,14033
43-3822,2,Upper Stillwater Reservoir,35253,195,314,101,1231,        ,14034
61-2177,5,Koosharem Reservoir,3858,26,340,101,1231,        ,14099
57-10832,2,Silver Lake,0,3,0,501,930,        ,13977
55-11119,9,Jordanelle Reservoir,314006,299,3300,101,1231,        ,13989
May-70,2,Lavender Pond,0.63,6,0.18,101,1231,        ,13986
55-11560,9,Jordanelle Reservoir,314006,299,3300,101,1231,        ,13990
55-965,4,Mill Hollow,314,49,19,101,1231,UT00207,14038
93-3768,2,Unnamed Pond #1,0.2,0,0.04,101,1231,        ,14040
93-3768,3,Unnamed Pond #2,0.175,0,0.035,101,1231,        ,14041
95-5310,2,Unnamed stock pond,0.53,8,0.053,101,1231,        ,14100
81-2723,20,Reservoir #10,1.47,5,0.818,101,1231,        ,12403
81-2723,23,Frehner Reservoir #3,0.428,10,0.107,101,1231,        ,12404
81-2723,19,Reservoir #9,0.84,6,0.364,101,1231,        ,12405
81-2723,22,Frehner Reservoir #2,19.2,22,1.226,101,1231,        ,12406
81-2723,11,Reservoir #1 (Huntsman),34.3,16,3.03,101,1231,        ,12407
00-4209,3,test,0,0,0,101,1231,        ,13855
49-200,144,Fish Hatchery Ponds (36 ponds),73.65,10,12.76,101,1231,        ,12650
49-200,133,Johnson Bottom,267,5,146,1101,331,        ,12651
49-200,138,L-01 (Leota Bottom),151,5,56,1101,331,        ,12652
13-3993,4,Upper Pond,0.089,4,0.04,101,1231,        ,12323
13-3993,5,Lower Pond,0.111,4,0.05,101,1231,        ,12324
91-5240,3,Unnamed Pond,0.81,0,0.27,101,1231,        ,12343
43-3187,6,Unnamed Lake,500,0,40,101,1231,        ,12367
81-5171,1,Kolob Reservoir,5586,67,249.13,101,1231,        ,12378
49-200,139,L-02 (Leota Bottom),225,5,86,1101,331,        ,12653
49-200,140,L-03 (Leota Bottom),375,5,106,1101,331,        ,12654
49-200,141,L-04 (Leota Bottom),335,5,84,1101,331,        ,12655
49-200,142,L-05 (Leota Bottom),215,5,79,1101,331,        ,12656
49-200,146,L-06 (Leota Bottom),355,5,98,1101,331,        ,12657
49-200,147,L-07 (Leota Bottom),267,5,118,1101,331,        ,12658
49-200,148,L-07A (Leota Bottom),39,5,20,1101,331,        ,12659
49-200,149,L-08 (Leota Bottom),281,5,118,1101,331,        ,12660
49-200,150,L-09 (Leota Bottom),221,5,91,1101,331,        ,12661
49-200,151,L-10 (Leota Bottom),542,5,150,1101,331,        ,12662
49-200,152,P-1 (Parker Tract),11,3,12,1101,331,        ,12663
49-200,153,P-2 (Parker Tract),10,3,10,1101,331,        ,12664
49-200,154,P-3 (Parker Tract),8,3,8,1101,331,        ,12665
49-200,155,P-4 (Parker Tract),11,3,8,1101,331,        ,12666
49-200,156,P-5 (Parker Tract),16,5,12,1101,331,        ,12667
49-200,157,S-1 (Sheppard Bottom),177,7,95,1101,331,        ,12668
49-200,158,S-2 (Sheppard Bottom),725,6,260,1101,331,        ,12669
49-200,159,S-3 (Sheppard Bottom),282.2,7,65.2,1101,331,        ,12670
49-200,160,S-4 (Sheppard Bottom),196,6,70,1101,331,        ,12671
49-200,145,S-5 (Shephard Bottom),706.3,5,238.4,1101,331,        ,12672
49-200,162,Woods Back,124,5,91,1101,331,        ,12673
49-200,161,Woods Main Pond,850,5,309,1101,331,        ,12674
49-200,1,Wyasket Lake,1156,4,792,1101,331,        ,12675
49-200,143,Wyasket Pond,581,5,262,1101,331,        ,12676
49-197,157,S-1 (Sheppard Bottom),177,7,95,1101,331,        ,12749
49-197,158,S-2 (Sheppard Bottom),725,6,260,1101,331,        ,12750
49-197,159,S-3 (Sheppard Bottom),282.2,7,65.2,1101,331,        ,12751
49-197,160,S-4 (Sheppard Bottom),196,6,70,1101,331,        ,12752
49-197,145,S-5 (Shephard Bottom),706.3,5,238.4,1101,331,        ,12753
49-197,162,Woods Back,124,5,91,1101,331,        ,12754
49-197,161,Woods Main Pond,850,5,309,1101,331,        ,12755
49-197,1,Wyasket Lake,1156,4,792,1101,331,        ,12756
49-197,143,Wyasket Pond,581,5,262,1101,331,        ,12757
49-80,144,Fish Hatchery Ponds (36 ponds),73.65,10,12.76,101,1231,        ,12812
49-80,133,Johnson Bottom,267,5,146,1101,331,        ,12813
49-80,138,L-01 (Leota Bottom),151,5,56,1101,331,        ,12814
49-80,139,L-02 (Leota Bottom),225,5,86,1101,331,        ,12815
49-80,140,L-03 (Leota Bottom),375,5,106,1101,331,        ,12816
49-80,141,L-04 (Leota Bottom),335,5,84,1101,331,        ,12817
49-80,142,L-05 (Leota Bottom),215,5,79,1101,331,        ,12818
49-80,146,L-06 (Leota Bottom),355,5,98,1101,331,        ,12819
49-80,147,L-07 (Leota Bottom),267,5,118,1101,331,        ,12820
49-80,148,L-07A (Leota Bottom),39,5,20,1101,331,        ,12821
49-80,149,L-08 (Leota Bottom),281,5,118,1101,331,        ,12822
49-80,150,L-09 (Leota Bottom),221,5,91,1101,331,        ,12823
49-80,151,L-10 (Leota Bottom),542,5,150,1101,331,        ,12824
49-80,152,P-1 (Parker Tract),11,3,12,1101,331,        ,12825
00-4209,4,tst,0,0,0,101,1231,        ,13856
15-470,5,Unnamed Storatge Tank,15000,10,0,101,1231,        ,128
31-4632,1,Unnamed Storage,30,27,4.3,101,1231,        ,129
31-1252,3,Unnamed Reservoir,0.03,0,0,101,1231,        ,130
35-5791,5,Wilkinson Reservoir,250,47,14.4,215,801,        ,131
16-693,1,Unnamed Reservoir,0.1,6,0.2,101,1231,        ,132
16-695,1,Unnamed Reservoir,0.1,7,0.2,101,1231,        ,133
35-5478,4,Silver Creek Waste Treatment Plant,5,4,0,115,215,        ,134
31-572,3,Unnamed Reservoir,4,0,0,401,1031,        ,135
15-2306,4,DRY LAKE RESERVOIR,5,0,0,101,1231,        ,136
35-1792,2,Unnamed Reservoir,0.1,5,0.1,101,1231,        ,137
35-1800,1,Billy Reservoir,0.3,4,0.5,101,1231,        ,138
35-5283,1,Unnamed,5000,12,500,101,1231,        ,140
31-1259,1,Unnamed Reservoir,0.09,0,0,401,1031,        ,141
16-679,1,Greasewood Pond,0.1,4,0.3,101,1231,        ,142
35-8317,5,Z Creek Reservoir,0,0,0,101,1231,,143
31-2328,1,Unnamed Reservoir,0.46,0,0,101,1231,        ,144
15-2862,5,Stansbury Lake,600,0,90,101,1231,        ,145
16-686,1,Unnamed Reservoir,0.1,9,0.4,101,1231,        ,146
15-78,4,UNNAMED,1.8,0,0,101,1231,        ,147
16-684,6,Unnamed Reservoir,0.1,8,0.4,101,1231,        ,148
35-8831,10,Peterson Reservoir,60,0,34.8,501,1031,        ,149
15-1744,6,Unnamed Reservoir,2,0,0,101,1231,        ,150
35-1795,3,Unnamed Private Reservoir,0.15,0,0,401,1030,        ,151
35-1749,1,Bohman,27.4,8,6.3,1001,614,        ,152
16-714,1,Unnamed Reservoir,0.1,15,0.4,101,1231,        ,153
16-716,1,Unnamed Reservoir,0.1,8,0.1,101,1231,        ,154
15-1668,6,Minnie Reservoir,0.5,0,0,101,1231,        ,155
15-2131,4,Unnamed,5,0,0,101,1231,        ,156
16-681,1,Unnamed Reservoir,0.1,4,0.5,101,1231,        ,157
35-7397,1,Pineview Reservoir,45000,0,26000,101,1231,        ,158
35-1725,1,Critchlow Reservoir,0.65,6,0.11,301,1101,        ,159
31-5042,11,Unnamed Pond,10.1,3,2.02,101,1231,        ,160
16-678,1,NW Grassy Reservoir,0.1,8,0.5,101,1231,        ,161
35-8009,5,Arsenal Reservoir,0.31,0,0,101,1231,        ,162
31-4210,1,Openshaw Reservoir,30,10,0,101,1231,        ,163
35-8400,3,East Canyon,15000,0,40790.7,101,1231,        ,164
31-78,4,Roueche Pond,15,0,0,101,1231,        ,165
15-8,4,Unnamed Reservoir,5.77,0,0,1101,501,        ,166
35-4936,5,Unnamed Reservoir,5,18,1,101,1231,        ,167
15-1730,6,Pond,0.1,0,0,101,1231,        ,168
35-832,1,Smith & Morehouse Reservoir,8350,82,200,101,1231,        ,169
18-499,3,Unnamed Reservoir,4000,80,160,101,1231,        ,170
16-705,1,Unnamed Reservoir,0.1,8,0.2,101,1231,        ,171
15-1703,2,Unnamed Canal,85,6,30,101,1231,        ,172
35-1655,1,Big Pond,0.5,8,0.06,101,1231,        ,173
35-200,1,Cottonwood Pond Hole Reservoir,0,0,0,215,801,        ,174
35-8268,1,Unnamed Reservoir,0,0,0,101,1231,        ,175
35-8054,5,Malan reservoirs,5,0,0,101,1231,        ,176
35-4701,1,Unnamed Reservoir,5,18,1,101,1231,        ,177
16-680,5,Poverty Point Reservoir,0.1,8,0.3,101,1231,        ,178
16-682,1,Unnamed Reservoir,0.1,3,0.2,101,1231,        ,179
35-4942,5,Unnamed Reservoir,5,18,1,101,1231,        ,180
18-549,1,unnamed reservoir,3.43,9,0.83,101,1231,        ,181
15-2139,4,Unnamed Reservoir,1,0,0,101,1231,        ,182
35-1765,1,Unnamed Reservoir,0.039,0,0,101,1231,        ,183
15-2993,1,Unnamed Reservoir,0.1,4,0.2,101,1231,        ,184
16-699,1,North Table Mountain Reservoir,0.1,10,0.5,101,1231,        ,185
35-7296,3,Unnamed,0,0,0,710,901,        ,186
35-4940,5,Unnamed Reservoir,5,18,1,101,1231,        ,187
35-8108,5,Unnamed Reservoir,0,0,0,101,1231,        ,188
31-2462,3,Holmes Creek Reservoir,1500,70,29.62,101,1231,        ,189
16-709,1,Earthen impoundment,0.1,8,0.4,101,1231,        ,190
15-3011,1,Unnamed Reservoir,0.5,20,1,101,1231,        ,191
35-8074,3,Unnamed,1800,0,0,701,901,        ,192
35-8332,4,Reservoir/on Lost Creek,0,0,0,101,1231,        ,193
15-2142,4,Mill Canyon Reservoir,5,0,0,101,1231,        ,194
35-1809,3,Unnamed Reservoir,2,0,0,101,1231,        ,195
31-665,1,Unnamed Reservoir,0.114,5,0,401,1031,        ,196
31-570,29,Unnamed Reservoir,0.53,12,0,101,1231,        ,197
31-570,30,Unnamed Reservoir,4,10,0,101,1231,        ,198
18-355,3,Swendson Knolls Reservoir,2.688,8,2.68,101,1231,        ,199
35-4585,5,Reservoir 79,0.05,6,0.18,101,1231,        ,200
31-2483,1,Masengale Pond,20,11,4,401,1130,        ,201
31-571,2,Unnamed Reservoir,0.53,12,0,101,1231,        ,202
31-571,3,Unnamed Reservoir,4,10,0,101,1231,        ,203
15-1658,6,Pine Canyon,5.25,19,0.85,101,1231,        ,204
16-38,3,Unnamed Reservoir,2.25,3,3.53,101,1231,        ,205
15-2141,4,Unnamed Reservoir,1,0,0,101,1231,        ,206
35-7199,2,Eccles Reservoir,0.5,0,0,101,1231,        ,207
35-8389,3,East  Canyon Creek Reservoir,280000,0,436.1,101,1231,        ,208
16-703,1,Unnamed Reservoir,0.1,8,0.4,101,1231,        ,209
35-4968,5,Unnamed Reservoir,5,18,1,101,1231,        ,210
31-2321,2,Unnamed Reservoir,6.47,0,0,101,1231,        ,211
16-711,1,Unnamed Reservoir,0.1,12,0.4,101,1231,        ,212
15-56,4,ATHERLY RESERVOIR,221.6,0,0,101,1231,        ,213
16-739,10,Unnamed Reservoir,100,15,3,101,1231,        ,214
31-915,1,Unnamed Reservoir,0.083,0,0,101,1231,        ,215
16-531,5,Unnamed reservoir,1.3,6,0.25,101,1231,        ,216
35-8307,5,Big Canyon Creek Reservoir,0,0,0,101,1231,,217
35-1810,1,Unnamed Reservoir,2,0,0,101,1231,        ,218
31-1081,1,Unnamed Reservoir,0.04,0,0,101,1231,        ,219
15-1775,2,UNNAMED,1,0,0,101,1231,        ,220
35-8781,7,8 Reservoirs,180,0,0,101,1231,        ,221
16-694,1,Puddle Valley Reservoir,0.1,12,0.3,101,1231,        ,222
16-696,1,Unnamed Reservoir,0.1,5,0.1,101,1231,        ,223
31-620,222,Unnamed reservoir,20,0,0,101,1231,        ,224
35-8327,4,Mary Moore Reservoir,14.4,0,0,101,1231,        ,225
17-186,4,Secret Spring Reservoir,0.1,6,0.1,101,1231,        ,226
35-1650,1,Unnamed Reservoir,0.077,0,0,101,1231,        ,227
15-1581,4,BENMORE POND,1,0,0,101,1231,        ,228
35-4863,8,Unnamed Reservoir,5,18,1,101,1231,        ,229
35-8324,4,Parsnip Creek Reservoir,2,0,0,101,1231,        ,230
35-7159,1,Chambers Reservoir,1,0,0,101,1231,        ,231
35-1824,1,Unnamed Reservoir,3,0,0,101,1231,        ,232
15-84,5,UNNAMED,14.3,12,5.07,101,1231,        ,233
31-4528,3,Unnamed Reservoir,1.5,0,0.16,101,1231,        ,234
35-482,5,Unnamed Reservoir,0.195,0,0,101,1231,        ,235
31-2782,5,Unnamed Reservoir,75,10,20,101,1231,        ,236
15-2995,1,Unnamed Reservoir,0.1,8,0.3,101,1231,        ,237
31-4174,1,Natural Pond Area,0.75,2,0.75,101,1231,        ,238
31-677,1,Unnamed Reservoir,0.114,5,0,401,1031,        ,239
35-8022,5,Unnamed Reservoir,0,0,0,1001,701,        ,240
16-685,1,Gary Kidd Reservoir,0.1,10,0.5,101,1231,        ,241
15-2272,4,UNNAMED,1,0,0,101,1231,        ,242
35-4682,1,20th Street Pond,313,3,20.9,101,1231,        ,243
15-3076,5,Unnamed Earthen Dam,1400,80,0,1015,615,        ,244
15-2931,2,UNNAMED,6831,270,75,101,1231,        ,245
35-1240,5,Unnamed Reservoir,0,0,0,301,1031,        ,246
15-2994,5,Dry Lake Reservoir,0.2,15,0.6,101,1231,        ,247
15-2965,1,Stansbury Lake,500,0,90,101,1231,        ,248
35-9032,3,East Canyon Reservoir,510200,260,684,101,1231,        ,249
35-5260,3,Unnamed,22510,248,0,101,1231,        ,250
31-4637,3,Pond,3,9,0,101,1231,        ,251
31-10,1,Unnamed Reservoir,0.39,0,0,101,1231,        ,252
35-8259,1,"Unnamed Reservoir, Lost Creek",120000,0,0,101,1231,        ,253
31-16,3,Unnamed,0.11,0,0,101,1231,        ,254
16-718,5,Winter Spring Reservoir,0.2,15,0.5,101,1231,        ,255
16-717,1,Unnamed Reservoir,0.1,7,0.2,101,1231,        ,256
16-689,1,Central Puddle Valley Reservoir,0.2,10,0.4,101,1231,        ,257
16-707,1,Unnamed Reservoir,0.1,10,0.4,101,1231,        ,258
35-8898,13,Bates Reservoir,0,0,730000,101,1231,        ,259
35-4587,1,Basin Reservoir,0.62,4,0.3,101,1231,        ,260
31-1140,4,Unnamed Reservoir,0.02,3,0,101,1231,        ,261
35-8114,4,Unnamed Reservoir,0,0,0,101,1231,        ,262
35-199,5,Wilkinson Reservoir,250,47,14.4,215,801,        ,263
35-1819,1,Unnamed Reservoir,1,0,0,101,1231,        ,264
31-4173,2,Natural Depression & Small Pond,0.75,0,0.25,101,1231,        ,265
35-847,4,Earth filled Dam,66.65,24,9.66,1101,514,        ,266
35-8429,4,Brown & Snyder Reservoir,0,0,0,101,1231,        ,267
35-8243,4,Unnamed Reservoir,50,0,0,101,1231,        ,268
35-8090,4,Kays Creek,0,0,0,101,1231,        ,269
35-7261,1,Shaw Reservoir,1,0,0,101,1231,        ,270
16-683,1,Milk Case Reservoir,0.5,5,0.8,101,1231,        ,271
16-720,1,Lookout Pass Reservoir,0.1,6,0.1,101,1231,        ,272
35-7393,3,Magpie Reservoir,50000,0,0,101,1231,        ,273
18-578,6,Granite Ranch Storage,19,2,5,1101,331,        ,274
35-8744,22,Kamas Lake,70.2,7,18.52,1001,901,UT00159,275
16-691,1,Badger Hole Reservoir,0.1,10,0.3,101,1231,        ,276
35-433,6,Unnamed Reservoir,35,15,3,215,521,        ,277
35-8472,4,Porcupine Reservoir,35,0,0,401,1101,        ,278
15-183,4,STOOKEY RESERVOIR,1.5,0,0,101,1231,        ,279
35-1818,1,Unnamed Reservoir,2,0,0,101,1231,        ,280
35-4507,1,Unnamed Reservoir,0.6,8,0.1,101,1231,        ,281
35-4581,1,Unnamed Ponds,0.33,8,0.2,101,1231,        ,282
35-7348,1,Unnamed,1,0,0,101,1231,        ,283
35-1821,1,Unnamed Reservoir,3,0,0,101,1231,        ,284
31-2821,6,Sjoblom Reservoir,0.003,5,0,101,1231,        ,285
35-4586,1,Meadow Reservoir,0.002,3,0,101,1231,        ,286
15-2664,2,CONCRETE STORAGE RES.,1.5,0,0,101,1231,        ,287
17-185,1,Berg Reservoir,0.1,15,0.2,101,1231,        ,288
35-1813,1,Unnamed Reservoir,2,0,0,101,1231,        ,289
31-670,4,Unnamed Reservoir,0.03,3,0,401,1031,        ,290
15-1667,6,Unnamed,1.5,0,0,101,1231,        ,291
35-8733,10,Smith & Morehouse,1040,33,84,1001,601,        ,293
35-8053,5,Malan Equalizing Reservoir,0.1,0,0,101,1231,        ,294
35-7398,2,Causey Reservoir,6865,195,145,101,1231,        ,295
35-11314,2,Stock Watering Pond 1,0.07,3,0.02,101,1231,        ,296
18-62,1,Earthen Reservoir,7,0,0,101,1231,        ,297
18-354,3,Watson Cow Pond,2.26,9,9.48,101,1231,        ,298
15-2267,6,UNNAMED,0.5,0,0,101,1231,        ,299
35-1430,3,Fish Pond,1.835,0,0,101,1231,        ,300
35-1482,2,Unnamed Reservoir,5,18,0.8,101,1231,        ,301
31-2800,17,Barton`s Pond,80.44,10,19.7,101,1231,        ,302
15-85,5,Unnamed,16.434,6,13.58,101,1231,        ,303
16-708,1,Unnamed Reservoir,0.1,10,0.3,101,1231,        ,304
17-2,5,Deep Creek Reservoir,800,0,0,101,1231,        ,305
35-9031,3,East Canyon Reservoir,510200,260,684,101,1231,        ,306
35-4963,1,Unnamed Ponds,0.06,0,0.24,101,1231,        ,307
31-4232,1,Unnamed Reservoir,150,4,10,101,1231,        ,308
35-7050,1,Pine View Dam,10000,0,0,101,1231,        ,309
15-3034,1,Unnamed Reservoir,680,30,34,101,1231,        ,310
35-1654,1,Little Pond,0.43,7,0.06,101,1231,        ,311
35-8736,9,Seymour Lake Reservoir,370,1549,33.81,1015,615,        ,312
35-8107,5,Unnamed Reservoir,0,0,0,101,1231,        ,313
16-712,1,Unnamed Reservoir,0.1,6,0.1,101,1231,        ,314
18-126,1,North Swazey Reservoir,7.88,16,0,101,1231,        ,315
17-184,1,Unnamed Reservoir,0.1,10,0.4,101,1231,        ,316
16-698,1,Dead Cow Point Reservoir,0.1,8,0.2,101,1231,        ,317
16-697,1,Unnamed Reservoir,0.1,6,0.15,101,1231,        ,318
16-687,1,Unnamed Reservoir,0.2,8,0.3,101,1231,        ,319
35-5022,1,Frog Pond,0.25,3,0.25,101,1231,        ,320
35-7429,6,Pine View Reservoir,110200,0,0,101,1231,        ,321
35-8739,21,Echo Reservoir,74000,155,0,101,1231,        ,322
31-5084,16,Davis Lake,617459,19,96352,101,1231,        ,323
16-710,4,Unnamed Reservoir,0.1,10,0.2,101,1231,        ,324
35-8734,16,Fish Lake Reservoir,1060,20,100,101,1231,        ,325
35-8756,19,Utah Lake,370200,0,120000,101,1231,        ,326
31-4795,4,Kaysville Reservoir,315,43,16,101,1231,        ,327
31-666,1,Unnamed Reservoir,0.114,5,0,401,1031,        ,328
35-7253,4,Holmes Reservoir,0,0,0,101,1231,        ,329
35-8603,9,Stored in 3 Reservoirs,10,0,0,701,831,        ,330
15-2137,4,Unnamed Reservoir,4,0,0,101,1231,        ,331
18-244,3,Garrison Reservoir,2588,9,450,101,1231,        ,332
15-2138,4,Unnamed Reservoir,1,0,0,101,1231,        ,334
35-8239,6,Unnamed,96,0,0,101,1231,        ,335
31-667,1,Unnamed Reservoir,0.114,5,0,401,1031,        ,336
35-5741,3,East  Canyon Creek Reservoir,280000,0,436.1,101,1231,        ,337
35-5740,3,East  Canyon Creek Reservoir,280000,0,436.1,101,1231,        ,338
16-36,4,Unnamed Reservoir,10,10,1,1015,501,        ,339
31-69,15,Reservoir #5,0.032,0,0,101,1231,        ,340
35-8721,16,Echo Reservoir,6500,0,0,901,615,        ,341
31-4754,5,unnamed reservoir,20,30,4,101,1231,        ,342
15-86,2,Unnamed Reservoir,5.77,10,0,1101,501,        ,343
35-1470,4,Conservation District`s No 2,11,18,2,101,1231,        ,344
35-9033,3,East Canyon Reservoir,510200,260,684,101,1231,        ,345
15-2136,4,Unnamed Reservoir,1,0,0,101,1231,        ,346
15-3000,1,Unnamed Reservoir,20,25,3,101,1231,        ,347
35-8331,3,Moore & Ball Reservoir,357,0,0,101,1231,        ,348
17-149,2,Deep Creek Reservoir,800,145,0,101,1231,        ,349
15-532,2,ARTHUR RESERVOIR,6.14,0,0,101,1231,        ,350
15-2140,4,Unnamed Reservoir,1,0,0,101,1231,        ,351
15-2884,2,Oasis Reservoir,160,6,31.52,301,1130,        ,352
35-7297,4,Unnamed,114.1,0,0,710,901,        ,353
35-8737,15,Deer Creek Reservoir,152564,235,2683,101,1231,        ,354
35-4969,5,Unnamed Reservoir,5,18,1,101,1231,        ,355
31-5066,7,Pond,10,0,5,101,1231,        ,356
17-157,5,Deep Creek Reservoir,800,145,60,1101,701,        ,357
15-3335,5,Charley`s Reservoir,120,8,40,1101,501,        ,358
35-8358,4,Carter Bros. Reservoir,4,0,0,101,1231,        ,359
15-2132,4,Unnamed,1,0,0,101,1231,        ,360
15-1745,6,Unnamed Reservoir,2,0,0,101,1231,        ,361
18-500,7,Unnamed Reservoir,2000,15,20,1001,301,        ,362
35-5690,2,Park West Fishpond,1,3,0.4,501,1015,        ,363
16-82,3,Unnamed Reservoir,1500,0,150,101,1231,        ,364
35-7298,2,Unnamed,1,0,0,401,1030,        ,365
35-474,1,Unnamed Reservoir,0.767,0,0,101,1231,        ,366
35-474,2,Unnamed Reservoir,3.069,0,0,101,1231,        ,367
31-2780,1,Unnamed Reservoir,50,10,9,101,1231,        ,368
16-713,1,Earthen impoundment,0.1,5,0.4,101,1231,        ,369
16-715,1,Jerry B. Reservoir,0.2,15,0.5,101,1231,        ,370
31-2501,5,Pettit Reservoir,1.05,12,0,101,1231,        ,371
18-255,1,Big Spring Reservoir,5.55,6,1.85,101,1231,        ,372
35-1812,1,Unnamed Reservoir,1.5,0,0,101,1231,        ,373
35-4559,5,Unnamed,74000,20,7400,101,1231,        ,374
35-4559,6,Unnamed,285000,15,72960,101,1231,        ,375
16-688,5,Lee`s Knoll Reservoir,0.1,8,0.3,101,1231,        ,376
31-58,7,Unnamed Reservoir,1.8,0,0,101,1231,        ,377
35-1332,5,Unnamed Reservoir,5,4,5,501,1031,        ,378
35-5290,1,Unnamed Reservoir,0.86,5,0.17,101,1231,        ,379
15-1697,8,UNNAMED,0.05,0,0,101,1231,        ,380
35-2638,1,Unnamed Reservoir,35000,4,10160,101,1231,        ,381
16-706,1,Unnamed Reservoir,0.1,8,0.4,101,1231,        ,382
16-704,1,Unnamed Reservoir,0.1,8,0.3,101,1231,        ,383
16-692,5,Howard Reservoir,0.1,6,0.1,101,1231,        ,384
35-399,1,Pond,0.03,0,0,301,1031,        ,385
35-5625,1,Unnamed Reservoir,5,18,1,101,1231,        ,386
31-3086,1,Potter,0.5,0,0,101,1231,        ,387
35-1828,4,Two Storage Tanks,0.072,0,0,101,1231,        ,388
16-690,1,Grant Rogers Reservoir,0.1,6,0.1,101,1231,        ,389
15-1582,5,Stock Pond,1.4,0,0,101,1231,        ,390
35-1814,1,Unnamed Reservoir,1.5,0,0,101,1231,        ,391
15-3049,1,Unnamed Reservoir,2000,100,90,101,1231,        ,392
16-197,6,Unnamed Reservoir,10,5,2,101,1231,        ,393
31-2833,4,Unnamed Reservoir,7,25,1,301,931,        ,394
15-2896,2,UNNAMED,2200,115,55,101,1231,        ,395
16-701,1,Knolls Reservoir,0.1,19,0.5,101,1231,        ,397
35-48,3,Unnamed Earthen Reservoir,78.555,0,0,1001,401,        ,398
31-633,1,Unnamed Reservoir,21.12,0,0,101,1231,        ,399
18-31,1,Unnamed Reservoir,31,0,25,101,1231,        ,400
35-8111,3,Unnamed Reservoir,6.1,0,0,101,1231,        ,401
31-7,3,Reservoir #1,0.055,0,0,101,1231,        ,402
31-7,4,Reservoir #2,0.57,0,0,101,1231,        ,403
31-7,5,Reservoir #3,0.39,0,0,101,1231,        ,404
31-7,6,Reservoir #4,0.044,0,0,101,1231,        ,405
31-7,7,Reservoir #5,0.032,0,0,101,1231,        ,406
31-7,8,Reservoir #6,1.8,0,0,501,1031,        ,407
35-8747,20,Echo Reservoir,0,0,0,415,1015,        ,408
35-8130,3,Unnamed Reservoir,0,0,0,101,1231,        ,409
35-8105,6,Unnamed Reservoir,0,0,0,101,1231,        ,410
35-397,1,Pond,0.03,0,0,301,1031,        ,411
35-8406,3,East Canyon Creek,10000,0,0,101,1231,        ,412
35-1830,1,Unnamed Reservoir,2,0,0,101,1231,        ,413
35-1267,5,Unnamed Reservoir,5,10,0,101,1231,        ,414
31-158,1,Unnamed Reservoir,1.68,12,0,401,1031,        ,415
18-393,1,Pruess Reservoir,6000,40,450,101,1231,        ,416
15-2126,4,Unnamed Reservoir,1,0,0,101,1231,        ,417
15-2930,1,UNNAMED,1500,100,70,101,1231,        ,418
31-5072,2,Unnamed equalizing reservoir,5,22,1,101,1231,        ,420
35-8326,4,Timber Hollow Reservoir,4,0,0,101,1231,        ,421
16-700,1,Kinney Spring Reservoir,0.1,6,0.2,101,1231,        ,422
16-702,1,Unnamed Reservoir,0.1,6,0.2,101,1231,        ,423
15-2114,5,Reservoir,14,0,0,101,1231,        ,424
16-719,1,Burton Reservoir,0.1,6,0.2,101,1231,        ,425
35-1496,1,Larrabee Reservoir,15800,100,460,101,1231,        ,426
35-921,4,Whitear,41.66,0,4.98,101,501,        ,427
31-4525,5,Unnamed Holding Pond,2.5,8,0.33,101,1231,        ,428
